id,name__en,name,image,gender,birth_date,given_name,identifier__VIAF,family_name,identifier__LCAuth,identifier__SUDOC,website,identifier__ISNI,identifier__NTA,identifier__freebase,identifier__hansard,wikipedia__en,twitter,identifier__parliamentDOTuk,name__cy,name__es,name__nl,name__fr,name__de,name__gl,wikipedia__cy,wikipedia__gl,name__fa,name__ca,wikipedia__ca,name__eu,name__br,wikipedia__br,wikipedia__eu,wikipedia__fr,wikipedia__de,name__nb,name__da,name__nn,name__sv,name__en_ca,name__en_gb,name__pl,name__gd,name__ko,name__ru,name__tr,name__hu,name__sco,name__scn,name__oc,name__ie,name__el,name__uk,name__cs,name__sk,wikipedia__commons,wikipedia__cs,wikipedia__el,wikipedia__es,wikipedia__gd,wikipedia__hu,wikipedia__ie,wikipedia__ko,wikipedia__pl,wikipedia__ru,wikipedia__scn,wikipedia__sco,wikipedia__simple,wikipedia__tr,wikipedia__uk,name__nds,wikipedia__nds,name__it,name__la,name__az,name__zh,wikipedia__az,wikipedia__la,wikipedia__oc,wikipedia__zh,name__vmf,identifier__BNF,wikipedia__fa,name__vi,name__id,name__ga,original_wikiname,identifier__publicwhip,name__pt,name__pcd,name__eo,last_seen,identifier__TWFY,name__mg,wikipedia__mg,name__ja,name__zh_cn,identifier__FAST,name__ro,wikipedia__ro,identifier__EuroparlMEP,identifier__journalisted,identifier__current_hansard,identifier__bbc_democracy_live,name__fi,wikipedia__fi,identifier__OLID,name__de_ch,occupation,identifier__snac,weblog,wikipedia__it,name__ar,identifier__quora,identifier__BBC_things,name__te,name__an,name__ast,name__ext,wikipedia__enwikiquote,name__zh_hant,wikipedia__cywikiquote,facebook,identifier__google_knowledge,identifier__Britannica,identifier__GND,identifier__BIBSYS,identifier__NUKAT,name__fo,name__kl,wikipedia__ms,death_date,name__ms,name__he,name__af,name__bar,name__bm,name__co,name__de_at,name__et,name__frc,name__frp,name__fur,name__gsw,name__hr,name__ia,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__min,name__nap,name__nds_nl,name__nrm,name__pap,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__sc,name__sw,name__vec,name__vls,name__vo,name__wa,name__wo,name__zu,identifier__LNB,name__sl,identifier__national_archives,name__bn,identifier__rush,identifier__Oxforddnb,identifier__NPG,identifier__NNDB,identifier__ne_se,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,wikipedia__da,wikipedia__id,wikipedia__sv,wikipedia__pt,identifier__WelshBiography,name__is,name__sr_el,identifier__welsh_assembly,honorific_suffix,wikipedia__ga,wikipedia__wuu,name__wuu,wikipedia__zh_yue,name__yue,identifier__NKC
Q24050178,Jayne Bryant,Jayne Bryant,https://upload.wikimedia.org/wikipedia/commons/c/c8/Jayne_Bryant_AM_(28092339351).jpg,female,,Jane,,Bryant,,,,,,,,Jayne Bryant,JBryantWales,,Jayne Bryant,,Jayne Bryant,,,,Jayne Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jayne Bryant,,,,,,,,,,,,,,,,,,,5038,,,,,,,
Q24405225,Caroline Jones,Caroline Jones,https://upload.wikimedia.org/wikipedia/commons/3/32/Caroline_Jones_AM.png,female,1955-04-01,Caroline,,Jones,,,,,,,,Caroline Jones (politician),CarolineJonesAM,,,,Caroline Jones,,,,,,,,,,,,,,,,,,,,,,,,Каролин Джонс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,كارولين جونز,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ক্যারোলিন জোন্স,,,,,,,,,,,,,,,,,5260,,,,,,,
Q24405234,David Rowlands,David Rowlands,https://upload.wikimedia.org/wikipedia/commons/2/27/David_Rowlands_AM_(28092341381).jpg,male,,David,,Rowlands,,,,,,,,David Rowlands (Welsh politician),AMDJRowlands,,David Rowlands,,David Rowlands,,,,,,,David Rowlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393,,,,,,,
Q24405244,Gareth Bennett,Gareth Bennett,https://upload.wikimedia.org/wikipedia/commons/d/da/Gareth_Bennett_AM.png,male,1968-12-01,Gareth,,Bennett,,,https://bennettukip.co.uk/,,,,,Gareth Bennett (politician),GarethBennettAM,,,,Gareth Bennett,,,,,,,,,,,,,,,,,,,,,,,,Гарет Беннетт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,غاريث بينيت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5040,,,,,,,
Q24405255,Steffan Lewis,Steffan Lewis,https://upload.wikimedia.org/wikipedia/commons/1/1b/Steffan_Lewis_AM_(27555190473).jpg,male,,Steffan,,Lewis,,,,,,,,Steffan Lewis,SteffanLewis,,Steffan Lewis,,Steffan Lewis,,,,Steffan Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steffan Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,,,,,,,
Q24706040,Jeremy Miles,Jeremy Miles,https://upload.wikimedia.org/wikipedia/commons/4/4c/Jeremy_Miles_AM_(28170809995).jpg,male,,Jeremy,,Miles,,,,,,,,Jeremy Miles,Jeremy_Miles,,Jeremy Miles,,Jeremy Miles,,,,Jeremy Miles,,,,,,,,,,,,,,,,,,,,Джереми Майлз,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Jeremy-Miles-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeremy Miles,,,,,,,,,,,,,,,,,,,5021,,,,,,,
Q268030,Alun Cairns,Alun Cairns,https://upload.wikimedia.org/wikipedia/commons/4/42/Alun_Cairns_2016.jpg,male,1970-07-30,Alun,315944357,Cairns,,,http://www.aluncairns.com/,,,/m/02q134j,,Alun Cairns,AlunCairns,commons/alun-cairns/4086,Alun Cairns,Alun Cairns,Alun Cairns,Alun Cairns,Alun Cairns,,Alun Cairns,,,,,,,,,Alun Cairns,,,,,Alun Cairns,Alun Cairns,Alun Cairns,,,,"Кэрнс, Алан",,Alun Cairns,Alun Cairns,,,,,Алан Кернс,,,,,,,,,,,,"Кэрнс, Алан",,Alun Cairns,,,Алан Кернс,,,Alun Cairns,,,阿龍·凱恩斯,,,,阿龍·凱恩斯,,,,,,,,Alun_Cairns,,,,,alun_cairns,,,,,,,,,,2422,33463,,,,,politician,,,,,,,,,,,,,,aluncairns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alun Cairns,,,,,,,,,,,,,,,,,,,4401,,,,,,,
Q296797,David Davies,David Davies,https://upload.wikimedia.org/wikipedia/commons/f/f9/Official_portrait_of_David_T._C._Davies.jpg,male,1970-06-27,David,,Davies,,,http://www.david-daviesmp.co.uk,,,/m/0310ky,mr-david-davies-5,David Davies (Welsh politician),davidtcdavies,commons/david-t.-c.-davies/1545,David Davies,David Davies,David Davies,David Davies,David Davies,,David Davies (gwleidydd Cymreig),,دیوید دیویس,,,,,,,,,,,,David Davies,David Davies,David Davies,,,,Дэвид Дейвис,,David Davies,,,,,,,,,,,,,,,,,,,,,,,,,,David Davies,David T. C. Davies,,大衛·戴維斯,,David T. C. Davies,,大衛·戴維斯 (政治人物),,,,,,,,David_Davies,,,,,david_davies,,,デビッド・デービス,,,,,,,2867,33522,,,,,politician,,,,دايفيد ديفيز,,,,,,,,,,davidtcdavies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Davies,,,9533,,,,,,,,,,,,,,,,1115,,,,,,,
Q296920,Glyn Davies,Glyn Davies,https://upload.wikimedia.org/wikipedia/commons/5/55/Glyn_Davies_(Welsh_Politician)_profile_photo.jpg,male,1944-02-16,Glyn,,Davies,,,http://www.glyn-davies.co.uk/,,,/m/02q12qf,,Glyn Davies (British politician),GlynDaviesMP,commons/glyn-davies/4041,Glyn Davies,Glyn Davies,Glyn Davies,Glyn Davies,Glyn Davies,,Glyn Davies,,,,,,,,,,,,,,Glyn Davies,Glyn Davies,Glyn Davies,,,,,,Glyn Davies,,,,,,,,,,,,,,,,,,,,,,,,,,Glyn Davies,,,格林·戴維斯,,,,格林·戴維斯,,,,,,,,Glyn_Davies,,,,,glyn_davies,,,,,,,,,glyn-davies,13,33513,,,,,politician,,,,,,,,,,,,,,glyndaviesmont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glyn Davies,,,,,,,,,,,,,,,,,,,4501,,,,,,,
Q333141,Rhodri Morgan,Rhodri Morgan,https://upload.wikimedia.org/wikipedia/commons/0/0d/Rhodri_Morgan.jpg,male,1939-09-29,Rhodri,50957866,Morgan,n96083296,,,,,/m/01dr9m,mr-rhodri-morgan,Rhodri Morgan,Rhodri_Morgan,,Rhodri Morgan,Rhodri Morgan,Rhodri Morgan,Rhodri Morgan,Rhodri Morgan,Rhodri Morgan,Rhodri Morgan,,رودری مورگان,Rhodri Morgan,Rhodri Morgan,Rhodri Morgan,Rhodri Morgan,Rhodri Morgan,Rhodri Morgan,Rhodri Morgan,Rhodri Morgan,,Rhodri Morgan,,Rhodri Morgan,,,,Rhodri Morgan,로드리 모건,"Морган, Родри",Rhodri Morgan,Rhodri Morgan,Rhodri Morgan,Rhodri Morgan,Rhodri Morgan,,,Родрі Морган,Rhodri Morgan,Rhodri Morgan,Category:Rhodri Morgan,Rhodri Morgan,,Rhodri Morgan,,Rhodri Morgan,,로드리 모건,,"Морган, Родри",Rhodri Morgan,Rhodri Morgan,Rhodri Morgan,Rhodri Morgan,Родрі Морган,,,Rhodri Morgan,,,洛蒂·摩根,,,,洛蒂·摩根,,,رودری مورگان,Rhodri Morgan,Rhodri Morgan,Rhodri Morgan,,,Rhodri Morgan,Rhodri Morgan,Rhodri Morgan,,,,,ロドリー・モーガン,洛蒂·摩根,379789,,,,,,,Rhodri Morgan,Rhodri Morgan,,,politician,,,Rhodri Morgan,,,,,,,,Rhodri Morgan,洛蒂·摩根,Rhodri Morgan,,,biography/Rhodri-Morgan,1142191451,,,,,,2017-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rhodri Morgan,,,516,,,,,洛蒂·摩根,洛蒂·摩根,洛蒂·摩根,洛蒂·摩根,Rhodri Morgan,Rhodri Morgan,Rhodri Morgan,,,,,4427,,,洛蒂·摩根,洛蒂·摩根,洛蒂摩根,洛蒂摩根,
Q333600,Dafydd Wigley,Dafydd Wigley,https://upload.wikimedia.org/wikipedia/commons/8/89/Dafydd_Wigley.jpg,male,1943-04-01,Dafydd,23865266,Wigley,n96061064,,,0000 0000 3524 0718,,/m/02l9rw,mr-dafydd-wigley,Dafydd Wigley,dafydd_wigley,lords/lord-wigley/547,Dafydd Wigley,Dafydd Wigley,Dafydd Wigley,Dafydd Wigley,"Dafydd Wigley, Baron Wigley",,Dafydd Wigley,,,Dafydd Wigley,Dafydd Wigley,Dafydd Wigley,Dafydd Wigley,Dafydd Wigley,Dafydd Wigley,,"Dafydd Wigley, Baron Wigley",,,,Dafydd Wigley,,,,,,,,Dafydd Wigley,,,,,,,,,Category:Dafydd Wigley,,,Dafydd Wigley,,,,,,,,,,,,,,Dafydd Wigley,,,,,,,,,,,,,,,,,,,,,,,ダヴィズ・ウィグリー,,376401,,,,,,,,,OL502202A,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dafydd Wigley,F60142,,704,,,,,,,,,,,,,,,,4421,,,,,,,
Q3337819,Neil Hamilton,Neil Hamilton,"https://upload.wikimedia.org/wikipedia/commons/c/c4/Neil_Hamilton_(politician),_March_2008.jpg",male,1949-03-09,Neil,266718450,Hamilton,n89632114,080731228,,0000 0003 8284 0718,,,mr-neil-hamilton,Neil Hamilton (politician),NeilUKIP,,Neil Hamilton,Neil Hamilton,Neil Hamilton,Neil Hamilton,Neil Hamilton,,,,نیل همیلتون,Neil Hamilton,,,,,,Neil Hamilton (homme politique),,,,,Neil Hamilton,Neil Hamilton,Neil Hamilton,Neil Hamilton,,,Нил Хэмилтон,Neil Hamilton,Neil Hamilton,,,,,,,Neil Hamilton,Neil Hamilton,Category:Neil Hamilton,,,,,,,,,,,,,,,Neil Hamilton,,Neil Hamilton,,,韓爾頓,,,,,,,,,,,,,,,Neil Hamilton,,,,,,尼尔·汉密尔顿,251630,,,,,,,,,,,politician,w6pm4szt,,,,,,,,,,Neil Hamilton (politician),尼爾·漢密爾頓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neil Hamilton,,,2974,,,,,,,,,,,,,,,,5048,,,,,,,
Q333841,Dafydd Elis-Thomas,Dafydd Elis-Thomas,https://upload.wikimedia.org/wikipedia/commons/e/e5/Dafydd_Elis-Thomas_2011.jpg,male,1946-10-18,Dafydd,66212742,Elis-Thomas,no2005099844,137547625,,0000 0000 4463 3548,,/m/033f63,mr-dafydd-elis-thomas,Dafydd Elis-Thomas,ElisThomasD,lords/lord-elis-thomas/2816,Dafydd Elis-Thomas,Dafydd Elis-Thomas,Dafydd Elis-Thomas,Dafydd Elis-Thomas,"Dafydd Elis-Thomas, Baron Elis-Thomas",Dafydd Elis-Thomas,Dafydd Elis-Thomas,,,Dafydd Elis-Thomas,,Dafydd Elis-Thomas,Dafydd Elis-Thomas,Dafydd Elis-Thomas,,,"Dafydd Elis-Thomas, Baron Elis-Thomas",,,,Dafydd Elis-Thomas,,,,Dafydd Elis-Thomas,,,,Dafydd Elis-Thomas,Dafydd Elis-Thomas,,Dafydd Elis-Thomas,,,,,,Category:Dafydd Elis-Thomas,,,,,,,,,,,,,,,,,Dafydd Elis-Thomas,,,,,,,,,,,Dafydd Elis-Thomas,Dafydd Elis-Thomas,Dafydd Elis-Thomas,,,Dafydd Elis-Thomas,Dafydd Elis-Thomas,Dafydd Elis-Thomas,,,,,ダフィズ・エリス＝トマス,,,,,,,,,,,OL4585037A,,politician,,,,,,,,,,,,,,dafydd.elisthomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dafydd Elis-Thomas,F34710,,8448,,,,,,,,,,,,,,,,146,,,,,,,
Q333869,Ron Davies,Ron Davies,https://upload.wikimedia.org/wikipedia/commons/c/c5/Rondavies1998.jpg,male,1946-08-06,Ron,,Davies,,,,,,/m/01_b7v,mr-ron-davies,Ron Davies (Welsh politician),,,Ron Davies,Ron Davies,Ron Davies,Ron Davies,Ron Davies,,Ron Davies,,ران دیویس,,,,,,,,Ron Davies,,,,Ron Davies,,,Ron Davies,,,Рон Дэвис,,Ron Davies,,,,,,,,,,,,,,,,,Ron Davies,,,,,,,,,Ron Davies,,,,,,,,,,,,,,,,,,,,,,,ロン・デイヴィス,,,,,,,,,,,OL1255400A,,politician,,,,رون ديفيز,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ron Davies,,,240,,,990/000164498,,,,,,,,,,,,,238,,,,,,,
Q336521,"Eluned Morgan, Baroness Morgan of Ely","Eluned Morgan, Baroness Morgan of Ely",https://upload.wikimedia.org/wikipedia/commons/5/5e/Eluned_Morgan_AM_(28136582086).jpg,female,1967-02-16,Eluned,316390846,Morgan,,,http://www.elunedmorgan.co.uk/,,,/m/035th3,,"Eluned Morgan, Baroness Morgan of Ely",Eluned_Morgan,lords/baroness-morgan-of-ely/4226,Eluned Morgan,"Eluned Morgan, Baroness Morgan of Ely","Eluned Morgan, Baroness Morgan of Ely",Eluned Morgan,Eluned Morgan,Eluned Morgan,Eluned Morgan (gwleidydd),Eluned Morgan,,,,,,,,,Eluned Morgan,,,,,,,Eluned Morgan,,,,,"Eluned Morgan, Baroness Morgan of Ely",,,,,,,,,Category:Eluned Morgan,,,,,,,,Eluned Morgan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eluned Morgan,Eluned Morgan,2171,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eluned Morgan,,,,,,,,,,,,,,,,,,,4970,,,,,,,
Q336526,"Mike German, Baron German","Mike German, Baron German",https://upload.wikimedia.org/wikipedia/commons/e/e2/Mike_German.jpg,male,1945-05-08,Mike,1594148814291345330009,German,nb2017003984,,,,,/m/073gqm,,"Mike German, Baron German",,lords/lord-german/4163,Mike German,"Mike German, Baron German","Mike German, Baron German",Mike German,"Michael German, Baron German",,Mike German,,,Mike German,,,,,,,"Michael German, Baron German",,Mike German,,,,,Mike German,,,,,Mike German,,,,,,,Mike German,Mike German,,,,,,,,,,,,,,,,,,Mike German,,,,,,,,,,,,,,,,Mike German,,,,,,,マイク・ジャーマン,,,Mike German,,,,,,Mike German,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mike German,,,,,Mike German,,,,,,,,,Mike German,,,,,,,,,,,,,,,,,,,,,Mike German,,,,,,,,,,,,,,,,,,,4405,,,,,,,
Q3396810,Ieuan Wyn Jones,Ieuan Wyn Jones,https://upload.wikimedia.org/wikipedia/commons/8/8a/Ieuan_Wyn_Jones_2011.jpg,male,1949-05-22,Ieuan,38651680,Jones,,,,,,,mr-ieuan-wyn-jones,Ieuan Wyn Jones,Rhosmeirch,,Ieuan Wyn Jones,Ieuan Wyn Jones,Ieuan Wyn Jones,Ieuan Wyn Jones,Ieuan Wyn Jones,Ieuan Wyn Jones,Ieuan Wyn Jones,,,Ieuan Wyn Jones,,Ieuan Wyn Jones,Ieuan Wyn Jones,Ieuan Wyn Jones,Ieuan Wyn Jones,Ieuan Wyn Jones,,,,,Ieuan Wyn Jones,,,,Ieuan Wyn Jones,,,,Ieuan Wyn Jones,Ieuan Wyn Jones,,Ieuan Wyn Jones,,,,,,Category:Ieuan Wyn Jones,,,,,,,,,,,,,,,,,Ieuan Wyn Jones,,,愛恩·維恩·瓊斯,,,,,,,,Ieuan Wyn Jones,Ieuan Wyn Jones,Ieuan Wyn Jones,,,Ieuan Wyn Jones,Ieuan Wyn Jones,Ieuan Wyn Jones,,,,,イェイアン・ウィン・ジョーンズ,,,,,,,,,,,OL190293A,,politician,,,,,,,,,,,,,Ieuan Wyn Jones,,,biography/Ieuan-Wyn-Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ieuan Wyn Jones,F55794,,395,,,,,,,,,,,,,,,,103,,,,,,,
Q3404581,Mohammad Asghar,Mohammad Asghar,https://upload.wikimedia.org/wikipedia/commons/3/31/Mohammad_Asghar.jpg,male,1945-09-30,Mohammad,,Asghar,,,,,,,,Mohammad Asghar,MohammadAsghar,,Mohammad Asghar,,Mohammad Asghar,Mohammad Asghar,Mohammad Asghar,,Mohammad Asghar,,,,,,Mohammad Asghar,Mohammad Asghar,,,,,,,,,,Mohammad Asghar,,,,,,,,,,,,Mohammad Asghar,,,Mohammad Asghar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,
Q3405033,Adam Price,Adam Price,https://upload.wikimedia.org/wikipedia/commons/d/dd/Adam_Price_2016.jpg,male,1968-09-23,Adam,53866748,Price,no2004089195,11494363X,,0000 0004 3077 2191,,,mr-adam-price,Adam Price,Adamprice,,Adam Price,Adam Price,Adam Price,Adam Price,Adam Price,Adam Price,Adam Price,,,Adam Price,,Adam Price,Adam Price,,,Adam Price (homme politique),,,,,Adam Price,,,,Adam Price,,Адам Прайс,,Adam Price,Adam Price,,Adam Price,,,,,,,,,,,,,,,,,Adam Price,,,,,,Adam Price,Adam Price,,,,Adam Price,,,,,,Adam Price,Adam Price,Adam Price,,,Adam Price,Adam Price,Adam Price,,,,,アダム・プライス,,,,,,,,,Adam Price,Adam Price,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adam Price,,,5503,,,,,,,,,,,,,,,,5030,,Adam Price,,,,,
Q3405113,Cynog Dafis,Cynog Dafis,,male,1938-04-01,Cynog,29276267,Dafis,no2006001317,,,0000 0000 4867 5737,,,mr-cynog-dafis,Cynog Dafis,,,Cynog Dafis,Cynog Dafis,Cynog Dafis,Cynog Dafis,Cynog Dafis,Cynog Dafis,Cynog Dafis,,,Cynog Dafis,Cynog Dafis,Cynog Dafis,Cynog Dafis,,,,,,,,Cynog Dafis,,,,Cynog Dafis,,,,Cynog Dafis,Cynog Dafis,,Cynog Dafis,,,,,,,,,,,,,,,,,,,,,,,Cynog Dafis,,,,,,,,,,,Cynog Dafis,Cynog Dafis,Cynog Dafis,,,Cynog Dafis,Cynog Dafis,Cynog Dafis,,,,,,,1631440,,,,,,,,,OL6713783A,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cynog Dafis,,,80,,,,,,,,,,,,,,,,4559,,,,,,,
Q3405148,Simon Thomas,Simon Thomas,https://upload.wikimedia.org/wikipedia/commons/2/2d/Simon_Thomas_(politician).jpg,male,1963-12-28,Simon,,Thomas,,,,,,,mr-simon-thomas,Simon Thomas (politician),SimonThomasAC,,Simon Thomas,Simon Thomas,Simon Thomas,Simon Thomas,Simon Thomas,,Simon Thomas (gwleidydd),,,Simon Thomas,Simon Thomas,,,,,,,,,,Simon Thomas,,,,,,Саймон Томас,,Simon Thomas,,,,,,,,,Category:Simon Thomas (politician),,,,,,,,,,,,,,,,,Simon Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,سيمون توماس,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simon Thomas,F246789,,68,,,,,,,,,,,,,,,,383,,,,,,,
Q3405595,Alun Ffred Jones,Alun Ffred Jones,https://upload.wikimedia.org/wikipedia/commons/2/2b/Alun_Ffred_Jones.jpg,male,1949-10-29,Alun,83647293,Jones,no2009047769,,,0000 0000 5798 6895,,,,Alun Ffred Jones,AlunFfredPlaid,,Alun Ffred Jones,Alun Ffred Jones,,Alun Ffred Jones,Alun Ffred Jones,Alun Ffred Jones,Alun Ffred Jones,,,Alun Ffred Jones,,Alun Ffred Jones,Alun Ffred Jones,,,,,,,,,,,Alun Ffred Jones,Alun Ffred Jones,,,,Alun Ffred Jones,Alun Ffred Jones,,Alun Ffred Jones,,,,Alun Ffred Jones,,Category:Alun Ffred Jones,Alun Ffred Jones,,,,,,,,,,,,,,Alun Ffred Jones,Alun Ffred Jones,Alun Jones,,,,,,,,,,,Alun Ffred Jones,Alun Ffred Jones,Alun Ffred Jones,,,Alun Ffred Jones,Alun Ffred Jones,Alun Ffred Jones,,,,,,,,,,,,,,,,,,politician,,,,ألون فريد,,,,,,,,,,,,,,,,,,,,,אלן פרד ג'ונס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alun Ffred Jones,,,,,,,,,,,,,,,,,,,160,,,,,,,
Q46999598,Mandy Jones,Mandy Jones,https://upload.wikimedia.org/wikipedia/commons/8/8f/Mandy_Jones_AM_2018.jpg,female,,Mandy,,Jones,,,,,,,,Mandy Jones (politician),MandyJonesAM,,Mandy Jones,,Mandy Jones,,,,Mandy Jones (gwleidydd),,,,,,,,,,,,,,,,,,,,Мэнди Джонс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,ماندي جونز,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ম্যান্ডি জোন্স,,,,,,,,,,,,,,,,,5103,,,,,,,
Q4727085,Alison Halford,Alison Halford,,female,1940-05-08,Alison,63809612,Halford,,,,0000 0000 4718 7467,,,,Alison Halford,,,Alison Halford,Alison Halford,Alison Halford,Alison Halford,Alison Halford,,,,,,,,,,,,,,,,,,,,,,,,Alison Halford,Alison Halford,,,,,,,,,,,,,,,,,,,,,,,,,Alison Halford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,police officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alison Halford,,,,,,,,,,,,,,,,,,,4471,,,,,,,
Q4737493,Alun Davies,Alun Davies,https://upload.wikimedia.org/wikipedia/commons/d/d5/Alun_Davies.jpg,male,1964-02-12,Alun,,Davies,,,,,,,,Alun Davies (politician),AlunDaviesAM,,Alun Davies,,Alun Davies,Alun Davies,Alun Davies,,Alun Davies,,,,,,,,,,,,,,,,,,,,Алан Дейвис,,,,,,,,,,,,,,,,,,,,"Дейвис, Алан (политик)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,艾伦·戴维斯,,,,,,,,,,,,politician,,,,,,,,,,,,艾倫·戴維斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,,,,,,,
Q4737506,Alun Pugh,Alun Pugh,,male,1955-06-09,Alun,,Pugh,,,,,,,,Alun Pugh,,,Alun Pugh,Alun Pugh,Alun Pugh,Alun Pugh,Alun Pugh,,Alun Pugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4460,,,,,,,
Q4756771,Andrew Davies,Andrew Davies,,male,1952-05-05,Andrew,,Davies,,,,,,,,Andrew Davies (Labour politician),,,Andrew Davies,,Andrew Davies,Andrew Davies,Andrew Davies,,Andrew Davies (gwleidydd),,اندرو دیویس,,,,,,,,,,,,,,,,,,Эндрю Дэвис,,Andrew Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,أندرو ديفيز,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Davies,,,,,,,,,,,,,,,,,,,2119,,,,,,,
