id,name,name__en,name__ht,name__es,name__fr,name__de,name__zh,wikipedia__en,wikipedia__ht,wikipedia__zh,identifier__VIAF,death_date,birth_date,gender,image,given_name,identifier__LCAuth,identifier__snac,original_wikiname,name__pt,name__pl,name__ru,name__yo,name__sv,name__nl,name__uk,name__nb,name__da,name__nn,name__hu,name__ar,wikipedia__ar,wikipedia__de,wikipedia__es,wikipedia__fr,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sv,wikipedia__uk,wikipedia__yo,identifier__freebase,identifier__BNF,occupation,identifier__ISNI,identifier__SUDOC,identifier__Britannica,name__it,identifier__OLID,family_name,identifier__FAST,identifier__GND,identifier__CERL,name__fa,name__gl,wikipedia__commons,wikipedia__fa,wikipedia__frwikisource,wikipedia__gl,identifier__NLAtrove,name__lb,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ko,name__ml,name__ja,name__br,name__vi,name__eo,name__sr_el,name__sr_ec,name__tr,name__ro,name__fi,name__la,name__war,name__cs,name__th,name__sr,name__eu,name__hy,name__id,name__be,wikipedia__be,wikipedia__br,wikipedia__cs,wikipedia__da,wikipedia__eo,wikipedia__eu,wikipedia__fi,wikipedia__hu,wikipedia__hy,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__ml,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__plwikiquote,wikipedia__ro,wikipedia__sr,wikipedia__th,wikipedia__tr,wikipedia__vi,wikipedia__war,identifier__NTA,identifier__GNC,identifier__NLI,identifier__bigenc_ru,identifier__CTHS,identifier__persee,name__mg,wikipedia__mg,identifier__IIAF,name__sl,wikipedia__sl,identifier__britishmuseum,identifier__GTAA,name__qu,wikipedia__qu,name__cy,identifier__nlg,name__ka,name__he,wikipedia__he,wikipedia__ka,name__el,wikipedia__el,identifier__NNDB,identifier__MusicBrainz,name__mr,wikipedia__mr,name__et,wikipedia__et,name__en_ca,name__en_gb,name__ca,name__oc,name__io,wikipedia__ca,wikipedia__io,wikipedia__simple,identifier__NUKAT,identifier__Munzinger,identifier__IMDB,name__mzn,wikipedia__frwikiquote,wikipedia__mzn,wikipedia__cy,identifier__SELIBR,name__hr,wikipedia__hr,name__mn,wikipedia__mn,wikipedia__enwikisource,identifier__OpenPlaques,name__jv,name__mk,name__sco,name__af,name__an,name__ast,name__bar,name__bm,name__co,name__de_at,name__de_ch,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__ia,name__ie,name__jam,name__kab,name__kg,name__li,name__lij,name__lt,name__lv,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__sc,name__scn,name__sk,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,wikipedia__jv,wikipedia__mk,wikipedia__sco,identifier__CSPAN,website,twitter,identifier__BNE,name__csb,name__dsb,name__om,wikipedia__oc,name__szl,name__fo,name__ilo,wikipedia__fo,wikipedia__ilo,wikipedia__szl,wikipedia__vo,identifier__NLA,wikipedia__elwikisource,name__sh,wikipedia__enwikinews,wikipedia__sh,wikipedia__sk,identifier__discogs,identifier__quora,identifier__votesmart,identifier__FEC
Q162778,Frankétienne,Frankétienne,Franketienne,Frankétienne,Frankétienne,Frankétienne,,Frankétienne,Frankétienne,,15916887,,1936-04-12,male,https://upload.wikimedia.org/wikipedia/commons/5/53/Jean_Laposte_2.jpg,,n96088503,,Frankétienne,,Frankétienne,Франкетьен,,,Frankétienne,,Frankétienne,,Frankétienne,,,,Frankétienne,Frankétienne,Frankétienne,Frankétienne,,Франкетьен,,,,/m/03h6s9,11886340v,painter,0000 0001 2099 3255,026656426,,Frankétienne,,Étienne,59451,131931636,,فرانکتین,,,فرانکتین,,,,,,,,,,,,,フランケチエンヌ,,,,,,,Frankétienne,,,,,,,,,,,,,,,,,,,,,,フランケチエンヌ,,,,,Frankétienne,Frankétienne,Frankétienne,,Frankétienne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,فرانکتین,Frankétienne,فرانکتین,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16672573,René Magloire,René Magloire,,,René Magloire,,,,,,,,,male,,René,,,René Magloire,,,,,,,,,,,,,,,,René Magloire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16732496,Isidor Mercier,Isidor Mercier,,,,Isidor Mercier,,Isidor Mercier,,,,,,male,,Isidor,,,Isidor Mercier,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,Isidor Mercier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1685304,Jean-Yves Jason,Jean Yves Jason,,Jean Yves Jason,Jean-Yves Jason,Jean-Yves Jason,,Jean Yves Jason,,,,,1969,male,,Jean,,,Jean-Yves Jason,,,,,,Jean-Yves Jason,,,,,Jean Yves Jason,,,Jean-Yves Jason,,Jean-Yves Jason,,,,,,,/m/09v77cl,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16855320,Josué Pierre-Louis,Josué Pierre-Louis,,,Josué Pierre-Louis,,,,,,,,1970-06-16,male,https://upload.wikimedia.org/wikipedia/commons/e/e3/Josué_Pierre-Louis.png,Josué,,,Josué Pierre-Louis,,,,,,,,,,,,,,,,Josué Pierre-Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16855485,Charles Haentjens,Charles Haentjens,,,Charles Haentjens,,,Charles Haentjens,,,,1874-07-21,1821-11-27,male,https://upload.wikimedia.org/wikipedia/commons/2/20/Charles_Borromée_Haentjens.jpg,Charles,,,Charles Haentjens,,,,,,Charles Haentjens,,,,,,,,,,Charles Haentjens,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16855496,Clément Haentjens,Clément Haentjens,,,Clément Haentjens,,,Clément Haentjens,,,,1923-01-16,1847-05-30,male,https://upload.wikimedia.org/wikipedia/commons/4/41/Clement_Haentjens.jpg,Clément,,,Clément Haentjens,,,,,,Clément Haentjens,,,,,,,,,,Clément Haentjens,,,,,,,,,minister plenipotentiary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16945724,Adrien Raymond,Adrien Raymond,Adrien Raymond,,Adrien Raymond,,,,Adrien Raymond,,,,,male,,Adrien,,,Adrien Raymond,,,,,,Adrien Raymond,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16945730,Albert Blanchet,,Albert Blanchet,,Albert Blanchet,,,,Albert Blanchet,,,,,male,,Albert,,,Albert Blanchet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albert Blanchet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16945733,Albert Ethéart,,Albert Ethéart,,,,,,Albert Ethéart,,,,,male,,Albert,,,Albert Ethéart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16945749,Alex Toussaint,,Alex Toussaint,,,,,,Alex Toussaint,,,,,male,,Alex,,,Alex Toussaint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16946010,Déjean Bélizaire,Déjean Bélizaire,Dejean Belizaire,,Déjean Bélizaire,,,,Déjean Bélizaire,,6773718,,,male,,,n2003099768,,Déjean Bélizaire,,,,,,,,,,,,,,,,Déjean Bélizaire,,,,,,,,,,0000 0000 5043 3024,08366100X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16946434,Gérard Dorcely,,Gérard Dorcely,,,,,,Gérard Dorcely,,,,,male,,,,,Gérard Dorcely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16946436,Gérard Lescot,,Gérard Lescot,,Gérard Lescot,,,,Gérard Lescot,,,1979,1914,male,,Gérard,,,Gérard Lescot,,,Жерар Леско,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16946554,Jean-Baptiste Hilaire,Jean Baptiste Hilaire,Jean Baptiste Hilaire,,Jean-Baptiste Hilaire,,,,Jean-Baptiste Hilaire,,,,,male,,Jean-Baptiste,,,Jean-Baptiste Hilaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16946600,Jean-Robert Estimé,,Jean Robert Estimé,,Jean-Robert Estimé,,,,Jean Robert Estimé,,,,,male,,,,,Jean Robert Estimé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16946623,Jean-Louis Lanoux Frederique,,Jean-Louis Lanoux Frederique,,,,,,Jean-Louis Lanoux Frederique,,,,,male,,Jean-Louis,,,Jean-Louis Lanoux Frederique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16946641,Jean-Robert Simonise,,Jean-Robert Simonise,,,,,,Jean-Robert Simonise,,,,,male,,,,,Jean-Robert Simonise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16946746,Kesler Clermont,,Kesler Clermont,,,,,,Kesler Clermont,,,,,,,,,,Kesler Clermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16946816,Louis Mars,,Louis Mars,,,,,,Louis Mars,,,,,male,,Louis,,,Louis Mars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Louis Mars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17486044,Louis Daure Lamartinière,Louis Daure Lamartinière,,,Louis Daure Lamartinière,,,,,,,1802-11-02,1771,male,https://upload.wikimedia.org/wikipedia/commons/2/2c/Louis_Daure_Lamartinière.jpg,Louis,,,Louis Daure Lamartinière,,,,,,,,,,,,,,,,Louis Daure Lamartinière,,,,,,,,,,,,,Louis Daure Lamartinière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17496908,Simon Dieuseul Desras,Simon Dieuseul Desras,,,Simon Dieuseul Desras,,,,,,,,1967-12-18,male,,Simon,,,Simon Dieuseul Desras,,,,,,Simon Dieuseul Desras,,,,,,,,,,Simon Dieuseul Desras,,,,,,,,,politician,,,,Simon Dieuseul Desras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19629249,Mainville-Joseph Soulouque,,,,Mainville-Joseph Soulouque,,,,,,,1891,1825,male,,Joseph,,,Mainville-Joseph Soulouque,,,,,,Mainville-Joseph Soulouque,,,,,,,,,,Mainville-Joseph Soulouque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19629250,Joseph Soulouque,,,,Joseph Soulouque,,,,,,,1922-06-18,1856,male,,Joseph,,,Joseph Soulouque,,,,,,Joseph Soulouque,,,,,,,,,,Joseph Soulouque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19630586,Jean-Joseph Soulouque,Jean-Joseph Soulouque,,,Jean-Joseph Soulouque,,,,,,,1869,1784,male,,Jean-Joseph,,,Jean-Joseph Soulouque,,,,,,Jean-Joseph Soulouque,,,,,,,,,,Jean-Joseph Soulouque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2031705,Manno Charlemagne,Manno Charlemagne,Manno Charlemagne,,Manno Charlemagne,Manno Charlemagne,,Manno Charlemagne,Manno Charlemagne,,26923354,,1948,male,https://upload.wikimedia.org/wikipedia/commons/2/2b/Manno_3.jpg,Manno,nr91043170,,Manno Charlemagne,,,,,,Manno Charlemagne,,,,,,,,,,Manno Charlemagne,,,,,,,,16582943r,singer-songwriter,0000 0000 5104 9139,077848047,,,,,295915,,,,,,مانو چارلماگنه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manno Charlemagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1f8b057d-71d2-4105-8d65-89c841c0e4b3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20558868,Marie-Denise Fabien-Jean-Louis,,Marie-Denise Fabien-Jean-Louis,,,,,,Marie-Denise Fabien-Jean-Louis,,,,,,,,,,Marie-Denise Fabien-Jean-Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20560756,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,,,Paul Christian Latortue,,,,,male,,Paul,,,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,,,Paul Christian Latortue,Paul Christian Latortue,,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,,,,,,,,,,,,,,,,,,Paul Christian Latortue,,,,,,,Paul Christian Latortue,,,,,,Paul Christian Latortue,,,,,,,,,,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,,,Paul Christian Latortue,,,Paul Christian Latortue,,Paul Christian Latortue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul Christian Latortue,,,,,,,,,Paul Christian Latortue,,,,,,,,,,,,Paul Christian Latortue,,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,,,,,,,,,,,,Paul Christian Latortue,,,,,,,,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,Paul Christian Latortue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20561106,Pierre Liautaud,,Pierre Liautaud,,,,,,Pierre Liautaud,,,,,,,Pierre,,,Pierre Liautaud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20562642,Serge Élie Charles,,Serge Élie Charles,,,,,,Serge Élie Charles,,,,,male,,,,,Serge Élie Charles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20563590,Vilfort Beauvoir,,Vilfort Beauvoir,,,,,,Vilfort Beauvoir,,,,,,,,,,Vilfort Beauvoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
