sort_name,source,phone,fax,email,id,name,area,party,tel,twitter,facebook,instagram,website,image,term,party_id
"Moncion, Lucie",https://sencanada.ca/en/senators/moncion-lucie/,1-613-996-2224,613-996-2191,Lucie.Moncion@sen.parl.gc.ca,moncion-lucie,Lucie Moncion,Ontario (Ontario),Independent Senators Group,613-996-2224,https://twitter.com/SenLucieMoncion,"","","",https://sencanada.ca/media/188229/sen_207814_large.jpg,42,independent_senators_group
"Moodie, Rosemary",https://sencanada.ca/en/senators/moodie-rosemary/,1-613-944-3453,"",Rosemary.Moodie@sen.parl.gc.ca,moodie-rosemary,Rosemary Moodie,Ontario (Ontario),Non-affiliated,613-944-3453,"","","","",https://sencanada.ca/media/363781/sen_large.jpg,42,non-affiliated
"Munson, Jim",https://sencanada.ca/en/senators/munson-jim/,1-613-947-2504,613-947-2506,jim.munson@sen.parl.gc.ca,munson-jim,Jim Munson,Ontario (Ottawa / Rideau Canal),Liberal Party of Canada,613-947-2504,https://twitter.com/SenatorMunson,https://www.facebook.com/SenatorJimMunson/,"",http://senatormunson.sencanada.ca/en/,https://sencanada.ca/media/26283/sen_2760_large.jpg,42,liberal_party_of_canada
"Neufeld, Richard",https://sencanada.ca/en/senators/neufeld-richard/,1-613-947-4055,613-947-4065,richard.neufeld@sen.parl.gc.ca,neufeld-richard,Richard Neufeld,British Columbia (British Columbia),Conservative Party of Canada,613-947-4055,"","","",http://senatorrichardneufeld.com/,https://sencanada.ca/media/26288/sen_2814_large.jpg,42,conservative_party_of_canada
"Ngo, Thanh Hai",https://sencanada.ca/en/senators/ngo-thanh-hai/,1-613-943-1599,613-943-1592,thanhhai.ngo@sen.parl.gc.ca,ngo-thanh-hai,Thanh Hai Ngo,Ontario (Ontario),Conservative Party of Canada,613-943-1599,https://twitter.com/SenatorNgo,"","",http://www.senatorngo.ca,https://sencanada.ca/media/26293/sen_3564_large-2018.jpg,42,conservative_party_of_canada
"Oh, Victor",https://sencanada.ca/en/senators/oh-victor/,1-613-943-1880,613-943-1882,senator.oh@sen.parl.gc.ca,oh-victor,Victor Oh,Ontario (Mississauga),Conservative Party of Canada,613-943-1880,https://twitter.com/SenatorVictorOh,https://www.facebook.com/SenatorVictorOh/,"",http://victoroh.ca/,https://sencanada.ca/media/26303/sen_3570_large.jpg,42,conservative_party_of_canada
"Omidvar, Ratna",https://sencanada.ca/en/senators/omidvar-ratna/,1-613-943-4330,613-943-4328,Ratna.Omidvar@sen.parl.gc.ca,omidvar-ratna,Ratna Omidvar,Ontario (Ontario),Independent Senators Group,613-943-4330,https://twitter.com/ratnaomi,"","",http://www.ratnaomidvar.ca,https://sencanada.ca/media/26308/sen_206052_large.jpg,42,independent_senators_group
"Pate, Kim",https://sencanada.ca/en/senators/pate-kim/,1-613-995-9220,613-995-9218,Kim.Pate@sen.parl.gc.ca,pate-kim,Kim Pate,Ontario (Ontario),Independent Senators Group,613-995-9220,https://twitter.com/KPateontheHill%20,https://www.facebook.com/kim.pate.3152,"","",https://sencanada.ca/media/188234/sen_207802_large.jpg,42,independent_senators_group
"Patterson, Dennis Glen",https://sencanada.ca/en/senators/patterson-dennis-glen/,1-613-992-0480,613-992-0495,dennis.patterson@sen.parl.gc.ca,patterson-dennis-glen,Dennis Glen Patterson,Nunavut (Nunavut),Conservative Party of Canada,613-992-0480,"",https://www.facebook.com/DennisGlenPatterson/,"",http://www.dennispatterson.ca,https://sencanada.ca/media/26313/sen_2857_large.jpg,42,conservative_party_of_canada
"Petitclerc, Chantal",https://sencanada.ca/en/senators/petitclerc-chantal/,1-613-995-0298,613-995-0276,Chantal.Petitclerc@sen.parl.gc.ca,petitclerc-chantal,Chantal Petitclerc,Quebec (Grandville),Independent Senators Group,613-995-0298,https://twitter.com/CPetitclerc,https://www.facebook.com/chantalpetitclerc,https://www.instagram.com/chantalpetitclerc/,"",https://sencanada.ca/media/188239/sen_102735_large.jpg,42,independent_senators_group
"Plett, Donald Neil",https://sencanada.ca/en/senators/plett-donald-neil/,1-613-992-0180,"613-992-0186 , 613-992-0180",don.plett@sen.parl.gc.ca,plett-donald-neil,Donald Neil Plett,Manitoba (Landmark),Conservative Party of Canada,"613-992-0180 , 613-992-3796",https://twitter.com/DonPlett,https://www.facebook.com/senatorplett,"",http://www.donplett.ca/,https://sencanada.ca/media/26318/sen_2858_large.jpg,42,conservative_party_of_canada
"Poirier, Rose-May",https://sencanada.ca/en/senators/poirier-rose-may/,1-613-943-4027,613-943-4026,rosemay.poirier@sen.parl.gc.ca,poirier-rose-may,Rose-May Poirier,New Brunswick (Saint-Louis-de-Kent),Conservative Party of Canada,613-943-4027,"","","",http://rosemaypoirier.sencanada.ca/,https://sencanada.ca/media/26323/sen_2867_large.jpg,42,conservative_party_of_canada
"Pratte, Andre",https://sencanada.ca/en/senators/pratte-andre/,1-613-995-0300,613-995-0318,Andre.Pratte@sen.parl.gc.ca,pratte-andre,André Pratte,Quebec (De Salaberry),Independent Senators Group,613-995-0300,"",https://www.facebook.com/profile.php?id=100012463301443,https://www.instagram.com/andre.pratte/,"",https://sencanada.ca/media/26328/sen_206056_large.jpg,42,independent_senators_group
"Ravalia, Mohamed-Iqbal",https://sencanada.ca/en/senators/ravalia-mohamed-iqbal/,1-613-943-3676,"",Mohamed-iqbal.ravalia@sen.parl.gc.ca,ravalia-mohamed-iqbal,Mohamed-Iqbal Ravalia,Newfoundland and Labrador (Newfoundland and Labrador),Independent Senators Group,613-943-3676,"","","","",https://sencanada.ca/media/362119/sen_213909_large_2018.jpg,42,independent_senators_group
"Richards, David",https://sencanada.ca/en/senators/richards-david/,1-613-943-6263,613-943-6265,David.Richards@sen.parl.gc.ca,richards-david,David Richards,New Brunswick (New Brunswick),Non-affiliated,613-943-6263,"","","","",https://sencanada.ca/media/359642/sen_210483_large.jpg,42,non-affiliated
"Ringuette, Pierrette",https://sencanada.ca/en/senators/ringuette-pierrette/,1-613-943-2248,613-943-2245,pierrette.ringuette@sen.parl.gc.ca,ringuette-pierrette,Pierrette Ringuette,New Brunswick (New Brunswick),Independent Senators Group,613-943-2248,"","","",http://pringuette.sencanada.ca/,https://sencanada.ca/media/26333/sen_2753_large.jpg,42,independent_senators_group
"Saint-Germain, Raymonde",https://sencanada.ca/en/senators/saint-germain-raymonde/,1-613-995-9204,613-995-9210,raymonde.saint-germain@sen.parl.gc.ca,saint-germain-raymonde,Raymonde Saint-Germain,Quebec (De la Vallière),Independent Senators Group,613-995-9204,https://twitter.com/SenSaintGermain,"","","",https://sencanada.ca/media/202271/sen_208007_large.jpg,42,independent_senators_group
"Seidman, Judith G.",https://sencanada.ca/en/senators/seidman-judith/,1-613-992-0110,613-992-0118,judith.seidman@sen.parl.gc.ca,seidman-judith,Judith G. Seidman,Quebec (De la Durantaye),Conservative Party of Canada,613-992-0110,https://twitter.com/judithseidman,"","",http://www.judithseidman.ca,https://sencanada.ca/media/26343/sen_2859_large.jpg,42,conservative_party_of_canada
"Simons, Paula",https://sencanada.ca/en/senators/simons-paula/,1-613-943-8242,613-943-8267,Paula.Simons@sen.parl.gc.ca,simons-paula,Paula Simons,Alberta (Alberta),Independent Senators Group,613-943-8242,"","","","",https://sencanada.ca/media/362976/sen_217516_large.jpg,42,independent_senators_group
"Sinclair, Murray",https://sencanada.ca/en/senators/sinclair-murray/,1-613-995-0234,613-995-0273,Senator.Sinclair@sen.parl.gc.ca,sinclair-murray,Murray Sinclair,Manitoba (Manitoba),Independent Senators Group,613-995-0234,https://twitter.com/SenSincmurr,https://www.facebook.com/Sincmurr1951,"","",https://sencanada.ca/media/26353/sen_206060_large.jpg,42,independent_senators_group
"Smith, Larry W.",https://sencanada.ca/en/senators/smith-larry-w/,1-613-996-8555,613-996-8565,larry.smith@sen.parl.gc.ca,smith-larry-w,Larry W. Smith,Quebec (Saurel),Conservative Party of Canada,613-996-8555,https://twitter.com/LarryWSmith36,"","",http://senlarrysmith.ca/en/,https://sencanada.ca/media/26360/sen_2870_large.jpg,42,conservative_party_of_canada
"Stewart Olsen, Carolyn",https://sencanada.ca/en/senators/stewart-olsen-carolyn/,1-613-992-0121,613-992-0124,SenatorStewartOlsen@sen.parl.gc.ca,stewart-olsen-carolyn,Carolyn Stewart Olsen,New Brunswick (New Brunswick),Conservative Party of Canada,613-992-0121,"","","",http://carolynstewartolsen.sencanada.ca/,https://sencanada.ca/media/26365/sen_2860_large.jpg,42,conservative_party_of_canada
"Tannas, Scott",https://sencanada.ca/en/senators/tannas-scott/,1-613-943-2240,613-943-2280,scott.tannas@sen.parl.gc.ca,tannas-scott,Scott Tannas,Alberta (Alberta),Conservative Party of Canada,613-943-2240,"",https://www.facebook.com/ScottTannas.ca,"",http://senatortannas.sencanada.ca/,https://sencanada.ca/media/26370/sen_3577_large.jpg,42,conservative_party_of_canada
"Tkachuk, David",https://sencanada.ca/en/senators/tkachuk-david/,1-613-947-3196,613-947-3198,david.tkachuk@sen.parl.gc.ca,tkachuk-david,David Tkachuk,Saskatchewan (Saskatchewan),Conservative Party of Canada,613-947-3196,"","","",http://senatortkachuk.com,https://sencanada.ca/media/26381/sen_101_large.jpg,42,conservative_party_of_canada
"Verner, Josee, P.C.",https://sencanada.ca/en/senators/verner-jos%C3%A9e/,1-613-996-6999,613-996-7004,josee.verner@sen.parl.gc.ca,verner-jos%C3%A9e,"Josée Verner, P.C.",Quebec (Montarville),Independent Senators Group,613-996-6999,"","","","",https://sencanada.ca/media/26391/sen_3336_large.jpg,42,independent_senators_group
"Wallin, Pamela",https://sencanada.ca/en/senators/wallin-pamela/,1-613-996-2794,613-995-0173,pamela.wallin@sen.parl.gc.ca,wallin-pamela,Pamela Wallin,Saskatchewan (Saskatchewan),Independent Senators Group,613-996-2794,"",https://www.facebook.com/SenPamelaWallin,"","",https://sencanada.ca/media/26401/sen_2811_large-2018.jpg,42,independent_senators_group
"Wells, David M.",https://sencanada.ca/en/senators/wells-david-m/,1-613-943-1788,613-943-1926,davidwells@sen.parl.gc.ca,wells-david-m,David M. Wells,Newfoundland and Labrador (Newfoundland and Labrador),Conservative Party of Canada,613-943-1788,https://twitter.com/wellsdavid,"","","",https://sencanada.ca/media/26411/sen_3568_large.jpg,42,conservative_party_of_canada
"Wetston, Howard",https://sencanada.ca/en/senators/wetston-howard/,1-613-995-9197,613-995-9201,Howard.Wetston@sen.parl.gc.ca,wetston-howard,Howard Wetston,Ontario (Ontario),Independent Senators Group,613-995-9197,"","","","",https://sencanada.ca/media/191415/sen_207812_large.jpg,42,independent_senators_group
"White, Vernon",https://sencanada.ca/en/senators/white-vernon/,1-613-996-7602,613-996-7654,senatorwhite@sen.parl.gc.ca,white-vernon,Vernon White,Ontario (Ontario),Conservative Party of Canada,613-996-7602,"",https://www.facebook.com/Honourable-Vern-White-107421413000121/,"",http://sen.parl.gc.ca/vwhite/,https://sencanada.ca/media/26416/sen_3561_large.jpg,42,conservative_party_of_canada
"Woo, Yuen Pau",https://sencanada.ca/en/senators/woo-yuen-pau/,1-613-995-9244,613-995-9246,YuenPau.Woo@sen.parl.gc.ca,woo-yuen-pau,Yuen Pau Woo,British Columbia (British Columbia),Independent Senators Group,613-995-9244,https://twitter.com/yuenpauwoo,https://www.facebook.com/senatoryuenpauwoo,https://www.instagram.com/yuenpauwoo/,http://www.yuenpauwoo.com/%20,https://sencanada.ca/media/191420/sen_207794_large.jpg,42,independent_senators_group
