start_date,end_date,image,sort_name,district,party,mandate_start,mandate_end,email,phone,facebook,twitter,source,name,given_name,family_name,term,id
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/422.png,Cabral Salvador,Misiones,Frente Renovador de la Concordia,2011-12-10,2017-12-09,salvador.cabral@senado.gob.ar,"","",https://twitter.com/SalvadorCabralA,http://www.senado.gov.ar/senadores/senador/422,Salvador Cabral,Salvador,Cabral,2017,422
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/423.png,Irrazábal Juan Manuel,Misiones,Frente para la Victoria,2011-12-10,2017-12-09,juan.irrazabal@senado.gob.ar,"","",https://twitter.com/JuanchIrrazabal,http://www.senado.gov.ar/senadores/senador/423,Juan Manuel Irrazábal,Juan Manuel,Irrazábal,2015,423
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/423.png,Irrazábal Juan Manuel,Misiones,Frente para la Victoria,2011-12-10,2017-12-09,juan.irrazabal@senado.gob.ar,"","",https://twitter.com/JuanchIrrazabal,http://www.senado.gov.ar/senadores/senador/423,Juan Manuel Irrazábal,Juan Manuel,Irrazábal,2016,423
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/423.png,Irrazábal Juan Manuel,Misiones,Frente para la Victoria,2011-12-10,2017-12-09,juan.irrazabal@senado.gob.ar,"","",https://twitter.com/JuanchIrrazabal,http://www.senado.gov.ar/senadores/senador/423,Juan Manuel Irrazábal,Juan Manuel,Irrazábal,2017,423
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/424.png,Godoy Ruperto Eduardo,San Juan,Alianza Frente para la Victoria,2011-12-10,2017-12-09,ruperto.godoy@senado.gob.ar,"",https://www.facebook.com/rupertogodoy.SJ,https://twitter.com/RupertoGodoy,http://www.senado.gov.ar/senadores/senador/424,Ruperto Eduardo Godoy,Ruperto Eduardo,Godoy,2015,424
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/424.png,Godoy Ruperto Eduardo,San Juan,Alianza Frente para la Victoria,2011-12-10,2017-12-09,ruperto.godoy@senado.gob.ar,"",https://www.facebook.com/rupertogodoy.SJ,https://twitter.com/RupertoGodoy,http://www.senado.gov.ar/senadores/senador/424,Ruperto Eduardo Godoy,Ruperto Eduardo,Godoy,2016,424
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/424.png,Godoy Ruperto Eduardo,San Juan,Alianza Frente para la Victoria,2011-12-10,2017-12-09,ruperto.godoy@senado.gob.ar,"",https://www.facebook.com/rupertogodoy.SJ,https://twitter.com/RupertoGodoy,http://www.senado.gov.ar/senadores/senador/424,Ruperto Eduardo Godoy,Ruperto Eduardo,Godoy,2017,424
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/426.png,Labado María Ester,Santa Cruz,Alianza Frente para la Victoria,2011-12-10,2017-12-09,maria.labado@senado.gob.ar,"",https://www.facebook.com/melabado,https://twitter.com/melabado,http://www.senado.gov.ar/senadores/senador/426,María Ester Labado,María Ester,Labado,2015,426
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/426.png,Labado María Ester,Santa Cruz,Alianza Frente para la Victoria,2011-12-10,2017-12-09,maria.labado@senado.gob.ar,"",https://www.facebook.com/melabado,https://twitter.com/melabado,http://www.senado.gov.ar/senadores/senador/426,María Ester Labado,María Ester,Labado,2016,426
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/426.png,Labado María Ester,Santa Cruz,Alianza Frente para la Victoria,2011-12-10,2017-12-09,maria.labado@senado.gob.ar,"",https://www.facebook.com/melabado,https://twitter.com/melabado,http://www.senado.gov.ar/senadores/senador/426,María Ester Labado,María Ester,Labado,2017,426
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/427.png,Blas Inés Imelda,Catamarca,Alianza Frente para la Victoria,2015-12-10,2021-12-09,ines.blas@senado.gob.ar,"",https://www.facebook.com/senadorainesblas/?fref=ts,https://twitter.com/SenadoraBlas,http://www.senado.gov.ar/senadores/senador/427,Inés Imelda Blas,Inés Imelda,Blas,2016,427
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/427.png,Blas Inés Imelda,Catamarca,Alianza Frente para la Victoria,2015-12-10,2021-12-09,ines.blas@senado.gob.ar,"",https://www.facebook.com/senadorainesblas/?fref=ts,https://twitter.com/SenadoraBlas,http://www.senado.gov.ar/senadores/senador/427,Inés Imelda Blas,Inés Imelda,Blas,2017,427
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/433.png,Solanas Fernando Ezequiel,Ciudad Autónoma de Buenos Aires,Alianza Unen,2013-12-10,2019-12-09,fernando.solanas@senado.gob.ar,"","",https://twitter.com/fernandosolanas,http://www.senado.gov.ar/senadores/senador/433,Fernando Ezequiel Solanas,Fernando Ezequiel,Solanas,2015,433
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/433.png,Solanas Fernando Ezequiel,Ciudad Autónoma de Buenos Aires,Alianza Unen,2013-12-10,2019-12-09,fernando.solanas@senado.gob.ar,"","",https://twitter.com/fernandosolanas,http://www.senado.gov.ar/senadores/senador/433,Fernando Ezequiel Solanas,Fernando Ezequiel,Solanas,2016,433
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/433.png,Solanas Fernando Ezequiel,Ciudad Autónoma de Buenos Aires,Alianza Unen,2013-12-10,2019-12-09,fernando.solanas@senado.gob.ar,"","",https://twitter.com/fernandosolanas,http://www.senado.gov.ar/senadores/senador/433,Fernando Ezequiel Solanas,Fernando Ezequiel,Solanas,2017,433
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/434.png,Aguilar Eduardo Alberto,Chaco,Frente para la Victoria,2013-12-10,2019-12-09,eduardo.aguilar@senado.gob.ar,"",https://www.facebook.com/EduardoAguilarChaco/,https://twitter.com/eduar_aguilar,http://www.senado.gov.ar/senadores/senador/434,Eduardo Alberto Aguilar,Eduardo Alberto,Aguilar,2015,434
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/434.png,Aguilar Eduardo Alberto,Chaco,Frente para la Victoria,2013-12-10,2019-12-09,eduardo.aguilar@senado.gob.ar,"",https://www.facebook.com/EduardoAguilarChaco/,https://twitter.com/eduar_aguilar,http://www.senado.gov.ar/senadores/senador/434,Eduardo Alberto Aguilar,Eduardo Alberto,Aguilar,2016,434
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/434.png,Aguilar Eduardo Alberto,Chaco,Frente para la Victoria,2013-12-10,2019-12-09,eduardo.aguilar@senado.gob.ar,"",https://www.facebook.com/EduardoAguilarChaco/,https://twitter.com/eduar_aguilar,http://www.senado.gov.ar/senadores/senador/434,Eduardo Alberto Aguilar,Eduardo Alberto,Aguilar,2017,434
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/435.png,Pilatti Vergara María Inés,Chaco,Frente para la Victoria,2013-12-10,2019-12-09,maria.pilattivergara@senado.gob.ar,"","",https://twitter.com/pilattivergara,http://www.senado.gov.ar/senadores/senador/435,María Inés Pilatti Vergara,María Inés,Pilatti Vergara,2015,435
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/435.png,Pilatti Vergara María Inés,Chaco,Frente para la Victoria,2013-12-10,2019-12-09,maria.pilattivergara@senado.gob.ar,"","",https://twitter.com/pilattivergara,http://www.senado.gov.ar/senadores/senador/435,María Inés Pilatti Vergara,María Inés,Pilatti Vergara,2016,435
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/435.png,Pilatti Vergara María Inés,Chaco,Frente para la Victoria,2013-12-10,2019-12-09,maria.pilattivergara@senado.gob.ar,"","",https://twitter.com/pilattivergara,http://www.senado.gov.ar/senadores/senador/435,María Inés Pilatti Vergara,María Inés,Pilatti Vergara,2017,435
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/436.png,Rozas Ángel,Chaco,Unión por Chaco,2013-12-10,2019-12-09,angel.rozas@senado.gob.ar,"","",https://twitter.com/angelrozaschaco,http://www.senado.gov.ar/senadores/senador/436,Ángel Rozas,Ángel,Rozas,2015,436
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/436.png,Rozas Ángel,Chaco,Unión por Chaco,2013-12-10,2019-12-09,angel.rozas@senado.gob.ar,"","",https://twitter.com/angelrozaschaco,http://www.senado.gov.ar/senadores/senador/436,Ángel Rozas,Ángel,Rozas,2016,436
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/436.png,Rozas Ángel,Chaco,Unión por Chaco,2013-12-10,2019-12-09,angel.rozas@senado.gob.ar,"","",https://twitter.com/angelrozaschaco,http://www.senado.gov.ar/senadores/senador/436,Ángel Rozas,Ángel,Rozas,2017,436
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/437.png,Kunath Sigrid Elisabeth,Entre Ríos,Frente para la Victoria,2013-12-10,2019-12-09,sigrid.kunath@senado.gob.ar,"","",https://twitter.com/SigridKunath,http://www.senado.gov.ar/senadores/senador/437,Sigrid Elisabeth Kunath,Sigrid Elisabeth,Kunath,2015,437
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/437.png,Kunath Sigrid Elisabeth,Entre Ríos,Frente para la Victoria,2013-12-10,2019-12-09,sigrid.kunath@senado.gob.ar,"","",https://twitter.com/SigridKunath,http://www.senado.gov.ar/senadores/senador/437,Sigrid Elisabeth Kunath,Sigrid Elisabeth,Kunath,2016,437
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/437.png,Kunath Sigrid Elisabeth,Entre Ríos,Frente para la Victoria,2013-12-10,2019-12-09,sigrid.kunath@senado.gob.ar,"","",https://twitter.com/SigridKunath,http://www.senado.gov.ar/senadores/senador/437,Sigrid Elisabeth Kunath,Sigrid Elisabeth,Kunath,2017,437
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/438.png,De Angeli,Entre Ríos,Alianza Unión por Entre Ríos,2013-12-10,2019-12-09,alfredo.deangeli@senado.gob.ar,"","",https://twitter.com/alfredodeangeli,http://www.senado.gov.ar/senadores/senador/438,Alfredo Luis De Angeli,Alfredo Luis,De Angeli,2015,438
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/438.png,De Angeli,Entre Ríos,Alianza Unión por Entre Ríos,2013-12-10,2019-12-09,alfredo.deangeli@senado.gob.ar,"","",https://twitter.com/alfredodeangeli,http://www.senado.gov.ar/senadores/senador/438,Alfredo Luis De Angeli,Alfredo Luis,De Angeli,2016,438
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/438.png,De Angeli,Entre Ríos,Alianza Unión por Entre Ríos,2013-12-10,2019-12-09,alfredo.deangeli@senado.gob.ar,"","",https://twitter.com/alfredodeangeli,http://www.senado.gov.ar/senadores/senador/438,Alfredo Luis De Angeli,Alfredo Luis,De Angeli,2017,438
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/439.png,Pereyra Guillermo Juan,Neuquén,Movimiento Popular Neuquino,2013-12-10,2019-12-09,guillermo.pereyra@senado.gob.ar,"","",https://twitter.com/SenadorPereyra,http://www.senado.gov.ar/senadores/senador/439,Guillermo Juan Pereyra,Guillermo Juan,Pereyra,2015,439
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/439.png,Pereyra Guillermo Juan,Neuquén,Movimiento Popular Neuquino,2013-12-10,2019-12-09,guillermo.pereyra@senado.gob.ar,"","",https://twitter.com/SenadorPereyra,http://www.senado.gov.ar/senadores/senador/439,Guillermo Juan Pereyra,Guillermo Juan,Pereyra,2016,439
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/439.png,Pereyra Guillermo Juan,Neuquén,Movimiento Popular Neuquino,2013-12-10,2019-12-09,guillermo.pereyra@senado.gob.ar,"","",https://twitter.com/SenadorPereyra,http://www.senado.gov.ar/senadores/senador/439,Guillermo Juan Pereyra,Guillermo Juan,Pereyra,2017,439
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/440.png,Crexell Carmen Lucila,Neuquén,Movimiento Popular Neuquino,2013-12-10,2019-12-09,lucila.crexell@senado.gob.ar,"",https://www.facebook.com/lucilacrexell/?fref=ts,https://twitter.com/LucilaCrexell,http://www.senado.gov.ar/senadores/senador/440,Carmen Lucila Crexell,Carmen Lucila,Crexell,2015,440
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/440.png,Crexell Carmen Lucila,Neuquén,Movimiento Popular Neuquino,2013-12-10,2019-12-09,lucila.crexell@senado.gob.ar,"",https://www.facebook.com/lucilacrexell/?fref=ts,https://twitter.com/LucilaCrexell,http://www.senado.gov.ar/senadores/senador/440,Carmen Lucila Crexell,Carmen Lucila,Crexell,2016,440
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/440.png,Crexell Carmen Lucila,Neuquén,Movimiento Popular Neuquino,2013-12-10,2019-12-09,lucila.crexell@senado.gob.ar,"",https://www.facebook.com/lucilacrexell/?fref=ts,https://twitter.com/LucilaCrexell,http://www.senado.gov.ar/senadores/senador/440,Carmen Lucila Crexell,Carmen Lucila,Crexell,2017,440
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/441.png,García Larraburu Silvina Marcela,Río Negro,Frente para la Victoria,2013-12-10,2019-12-09,silvina.garcialarraburu@senado.gob.ar,"",https://www.facebook.com/Silvina-García-Larraburu-147895613528/,"",http://www.senado.gov.ar/senadores/senador/441,Silvina Marcela García Larraburu,Silvina Marcela,García Larraburu,2015,441
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/441.png,García Larraburu Silvina Marcela,Río Negro,Frente para la Victoria,2013-12-10,2019-12-09,silvina.garcialarraburu@senado.gob.ar,"",https://www.facebook.com/Silvina-García-Larraburu-147895613528/,"",http://www.senado.gov.ar/senadores/senador/441,Silvina Marcela García Larraburu,Silvina Marcela,García Larraburu,2016,441
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/441.png,García Larraburu Silvina Marcela,Río Negro,Frente para la Victoria,2013-12-10,2019-12-09,silvina.garcialarraburu@senado.gob.ar,"",https://www.facebook.com/Silvina-García-Larraburu-147895613528/,"",http://www.senado.gov.ar/senadores/senador/441,Silvina Marcela García Larraburu,Silvina Marcela,García Larraburu,2017,441
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/442.png,Odarda María Magdalena,Río Negro,Alianza Frente Progresista,2013-12-10,2019-12-09,maria.odarda@senado.gob.ar,"",https://www.facebook.com/magdalenaodardaoficial,https://twitter.com/MagdalenaOdarda,http://www.senado.gov.ar/senadores/senador/442,María Magdalena Odarda,María Magdalena,Odarda,2015,442
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/442.png,Odarda María Magdalena,Río Negro,Alianza Frente Progresista,2013-12-10,2019-12-09,maria.odarda@senado.gob.ar,"",https://www.facebook.com/magdalenaodardaoficial,https://twitter.com/MagdalenaOdarda,http://www.senado.gov.ar/senadores/senador/442,María Magdalena Odarda,María Magdalena,Odarda,2016,442
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/442.png,Odarda María Magdalena,Río Negro,Alianza Frente Progresista,2013-12-10,2019-12-09,maria.odarda@senado.gob.ar,"",https://www.facebook.com/magdalenaodardaoficial,https://twitter.com/MagdalenaOdarda,http://www.senado.gov.ar/senadores/senador/442,María Magdalena Odarda,María Magdalena,Odarda,2017,442
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/443.png,Urtubey Rodolfo Julio,Salta,Frente para la Victoria,2013-12-10,2019-12-09,rodolfo.urtubey@senado.gob.ar,"","",https://twitter.com/tolourtubey,http://www.senado.gov.ar/senadores/senador/443,Rodolfo Julio Urtubey,Rodolfo Julio,Urtubey,2015,443
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/443.png,Urtubey Rodolfo Julio,Salta,Frente para la Victoria,2013-12-10,2019-12-09,rodolfo.urtubey@senado.gob.ar,"","",https://twitter.com/tolourtubey,http://www.senado.gov.ar/senadores/senador/443,Rodolfo Julio Urtubey,Rodolfo Julio,Urtubey,2016,443
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/443.png,Urtubey Rodolfo Julio,Salta,Frente para la Victoria,2013-12-10,2019-12-09,rodolfo.urtubey@senado.gob.ar,"","",https://twitter.com/tolourtubey,http://www.senado.gov.ar/senadores/senador/443,Rodolfo Julio Urtubey,Rodolfo Julio,Urtubey,2017,443
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/444.png,Fiore Viñuales María Cristina del Valle,Salta,Frente para la Victoria,2013-12-10,2019-12-09,maria.fiorevinuales@senado.gob.ar,"",https://www.facebook.com/Cristina-Fiore-Vi%C3%B1uales-380477738689513/,https://twitter.com/fiore_cristina,http://www.senado.gov.ar/senadores/senador/444,María Cristina del Valle Fiore Viñuales,María Cristina del Valle,Fiore Viñuales,2015,444
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/444.png,Fiore Viñuales María Cristina del Valle,Salta,Frente para la Victoria,2013-12-10,2019-12-09,maria.fiorevinuales@senado.gob.ar,"",https://www.facebook.com/Cristina-Fiore-Vi%C3%B1uales-380477738689513/,https://twitter.com/fiore_cristina,http://www.senado.gov.ar/senadores/senador/444,María Cristina del Valle Fiore Viñuales,María Cristina del Valle,Fiore Viñuales,2016,444
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/444.png,Fiore Viñuales María Cristina del Valle,Salta,Frente para la Victoria,2013-12-10,2019-12-09,maria.fiorevinuales@senado.gob.ar,"",https://www.facebook.com/Cristina-Fiore-Vi%C3%B1uales-380477738689513/,https://twitter.com/fiore_cristina,http://www.senado.gov.ar/senadores/senador/444,María Cristina del Valle Fiore Viñuales,María Cristina del Valle,Fiore Viñuales,2017,444
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/446.png,Montenegro Gerardo Antenor,Santiago del Estero,Frente Popular,2013-12-10,2019-12-09,gerardo.montenegro@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/446,Gerardo Antenor Montenegro,Gerardo Antenor,Montenegro,2015,446
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/446.png,Montenegro Gerardo Antenor,Santiago del Estero,Frente Popular,2013-12-10,2019-12-09,gerardo.montenegro@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/446,Gerardo Antenor Montenegro,Gerardo Antenor,Montenegro,2016,446
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/446.png,Montenegro Gerardo Antenor,Santiago del Estero,Frente Popular,2013-12-10,2019-12-09,gerardo.montenegro@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/446,Gerardo Antenor Montenegro,Gerardo Antenor,Montenegro,2017,446
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/448.png,Catalán Magni Julio César,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Frente para la Victoria,2013-12-10,2019-12-09,julio.catalanmagni@senado.gob.ar,"",https://www.facebook.com/JulioCatalanMagni,https://twitter.com/j_catalanmagni,http://www.senado.gov.ar/senadores/senador/448,Julio César Catalán Magni,Julio César,Catalán Magni,2015,448
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/448.png,Catalán Magni Julio César,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Frente para la Victoria,2013-12-10,2019-12-09,julio.catalanmagni@senado.gob.ar,"",https://www.facebook.com/JulioCatalanMagni,https://twitter.com/j_catalanmagni,http://www.senado.gov.ar/senadores/senador/448,Julio César Catalán Magni,Julio César,Catalán Magni,2016,448
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/448.png,Catalán Magni Julio César,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Frente para la Victoria,2013-12-10,2019-12-09,julio.catalanmagni@senado.gob.ar,"",https://www.facebook.com/JulioCatalanMagni,https://twitter.com/j_catalanmagni,http://www.senado.gov.ar/senadores/senador/448,Julio César Catalán Magni,Julio César,Catalán Magni,2017,448
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/450.png,Zamora Gerardo,Santiago del Estero,Frente Cívico por Santiago,2013-12-10,2019-12-09,gerardo.zamora@senado.gob.ar,"","",https://twitter.com/GZamoraSDE,http://www.senado.gov.ar/senadores/senador/450,Gerardo Zamora,Gerardo,Zamora,2015,450
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/450.png,Zamora Gerardo,Santiago del Estero,Frente Cívico por Santiago,2013-12-10,2019-12-09,gerardo.zamora@senado.gob.ar,"","",https://twitter.com/GZamoraSDE,http://www.senado.gov.ar/senadores/senador/450,Gerardo Zamora,Gerardo,Zamora,2016,450
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/450.png,Zamora Gerardo,Santiago del Estero,Frente Cívico por Santiago,2013-12-10,2019-12-09,gerardo.zamora@senado.gob.ar,"","",https://twitter.com/GZamoraSDE,http://www.senado.gov.ar/senadores/senador/450,Gerardo Zamora,Gerardo,Zamora,2017,450
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/451.png,Elías de Perez Silvia Beatriz,Tucumán,Alianza Cambiemos,2015-12-10,2021-12-09,silvia.elias@senado.gob.ar,"",https://www.facebook.com/silvia.eliasdeperez,https://twitter.com/silviaEdePerez,http://www.senado.gov.ar/senadores/senador/451,Silvia Beatriz Elías de Perez,Silvia Beatriz,Elías de Perez,2016,451
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/451.png,Elías de Perez Silvia Beatriz,Tucumán,Alianza Cambiemos,2015-12-10,2021-12-09,silvia.elias@senado.gob.ar,"",https://www.facebook.com/silvia.eliasdeperez,https://twitter.com/silviaEdePerez,http://www.senado.gov.ar/senadores/senador/451,Silvia Beatriz Elías de Perez,Silvia Beatriz,Elías de Perez,2017,451
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/452.png,Abal Medina Juan Manuel,Buenos Aires,Frente para la Victoria,2011-12-10,2017-12-09,juan.abalmedina@senado.gob.ar,"",https://www.facebook.com/JuanManuelAbalMedina,https://twitter.com/juanabalmedina,http://www.senado.gov.ar/senadores/senador/452,Juan Manuel Abal Medina,Juan Manuel,Abal Medina,2015,452
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/452.png,Abal Medina Juan Manuel,Buenos Aires,Frente para la Victoria,2011-12-10,2017-12-09,juan.abalmedina@senado.gob.ar,"",https://www.facebook.com/JuanManuelAbalMedina,https://twitter.com/juanabalmedina,http://www.senado.gov.ar/senadores/senador/452,Juan Manuel Abal Medina,Juan Manuel,Abal Medina,2016,452
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/452.png,Abal Medina Juan Manuel,Buenos Aires,Frente para la Victoria,2011-12-10,2017-12-09,juan.abalmedina@senado.gob.ar,"",https://www.facebook.com/JuanManuelAbalMedina,https://twitter.com/juanabalmedina,http://www.senado.gov.ar/senadores/senador/452,Juan Manuel Abal Medina,Juan Manuel,Abal Medina,2017,452
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/453.png,Boyadjian Miriam Ruth,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Movimiento Popular Fueguino,2013-12-10,2019-12-09,miriam.boyadjian@senado.gob.ar,"",https://www.facebook.com/miriam.boyadjian/?fref=ts,https://twitter.com/BoyadjianMiriam,http://www.senado.gov.ar/senadores/senador/453,Miriam Ruth Boyadjian,Miriam Ruth,Boyadjian,2015,453
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/453.png,Boyadjian Miriam Ruth,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Movimiento Popular Fueguino,2013-12-10,2019-12-09,miriam.boyadjian@senado.gob.ar,"",https://www.facebook.com/miriam.boyadjian/?fref=ts,https://twitter.com/BoyadjianMiriam,http://www.senado.gov.ar/senadores/senador/453,Miriam Ruth Boyadjian,Miriam Ruth,Boyadjian,2016,453
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/453.png,Boyadjian Miriam Ruth,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Movimiento Popular Fueguino,2013-12-10,2019-12-09,miriam.boyadjian@senado.gob.ar,"",https://www.facebook.com/miriam.boyadjian/?fref=ts,https://twitter.com/BoyadjianMiriam,http://www.senado.gov.ar/senadores/senador/453,Miriam Ruth Boyadjian,Miriam Ruth,Boyadjian,2017,453
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/454.png,Mera Dalmacio,Catamarca,Alianza Frente para la Victoria,2015-12-10,2021-12-09,dalmacio.mera@senado.gob.ar,"",https://www.facebook.com/dalmaciomera,https://twitter.com/dalmaciomera,http://www.senado.gov.ar/senadores/senador/454,Dalmacio Mera,Dalmacio,Mera,2016,454
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/454.png,Mera Dalmacio,Catamarca,Alianza Frente para la Victoria,2015-12-10,2021-12-09,dalmacio.mera@senado.gob.ar,"",https://www.facebook.com/dalmaciomera,https://twitter.com/dalmaciomera,http://www.senado.gov.ar/senadores/senador/454,Dalmacio Mera,Dalmacio,Mera,2017,454
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/455.png,Pais Juan Mario,Chubut,Alianza Frente para la Victoria,2015-12-10,2021-12-09,juan.pais@senado.gob.ar,"",https://www.facebook.com/Juan-Mario-Pais-1637635439805075/,https://twitter.com/juanmariopais,http://www.senado.gov.ar/senadores/senador/455,Juan Mario Pais,Juan Mario,Pais,2016,455
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/455.png,Pais Juan Mario,Chubut,Alianza Frente para la Victoria,2015-12-10,2021-12-09,juan.pais@senado.gob.ar,"",https://www.facebook.com/Juan-Mario-Pais-1637635439805075/,https://twitter.com/juanmariopais,http://www.senado.gov.ar/senadores/senador/455,Juan Mario Pais,Juan Mario,Pais,2017,455
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/456.png,González Nancy Susana,Chubut,Alianza Frente para la Victoria,2015-12-10,2021-12-09,nancy.gonzalez@senado.gob.ar,"","",https://twitter.com/nancysgonzalez,http://www.senado.gov.ar/senadores/senador/456,Nancy Susana González,Nancy Susana,González,2016,456
