id,name__ar,name__de,name__ce,name__fr,name__en,name__nl,name,wikipedia__ar,wikipedia__ce,wikipedia__de,gender,occupation,identifier__VIAF,identifier__BNF,identifier__SUDOC,birth_date,death_date,original_wikiname,name__pt,name__zh_hans,name__zh_hant,name__zh_hk,name__es,name__zh,name__nb,name__nn,name__cy,name__hu,name__eu,name__ja,wikipedia__en,wikipedia__pt,wikipedia__zh,identifier__freebase,given_name,name__fa,name__he,wikipedia__fa,image,name__ca,name__tr,name__it,name__zh_cn,wikipedia__ca,wikipedia__es,wikipedia__fr,wikipedia__it,wikipedia__nl,wikipedia__tr,name__hy,wikipedia__hy,wikipedia__hywikisource,identifier__ISNI,name__ka,wikipedia__ka,identifier__google_knowledge,name__ru,name__id,name__pl,wikipedia__id,wikipedia__pl,wikipedia__ru,name__ko,name__yo,name__ms,name__fi,name__gl,name__el,name__bg,name__sv,wikipedia__bg,wikipedia__el,wikipedia__fi,wikipedia__gl,wikipedia__he,wikipedia__hu,wikipedia__ko,wikipedia__ms,wikipedia__sv,wikipedia__yo,name__lb,name__jv,name__qu,name__gd,name__bs,name__ta,name__et,name__sq,name__bcl,name__pnb,name__eo,name__is,name__yi,name__new,name__sr,name__uk,name__be_tarask,name__io,name__hr,name__az,name__da,name__kk,name__arz,name__be,name__lv,name__ml,name__vi,name__yue,name__sh,name__sa,name__hi,name__sk,name__ku,name__ro,name__th,name__la,name__sl,name__cs,name__mr,name__ur,name__war,name__ga,name__mg,name__ckb,name__li,name__uz,name__pa,name__bn,name__sco,name__si,name__ky,name__lrc,name__br,name__sw,wikipedia__arwikiquote,wikipedia__arwikisource,wikipedia__arz,wikipedia__az,wikipedia__bcl,wikipedia__be_x_old,wikipedia__be,wikipedia__bn,wikipedia__br,wikipedia__bs,wikipedia__ckb,wikipedia__commons,wikipedia__cs,wikipedia__cswikiquote,wikipedia__da,wikipedia__eo,wikipedia__et,wikipedia__eu,wikipedia__fawikiquote,wikipedia__ga,wikipedia__gd,wikipedia__hewikiquote,wikipedia__hi,wikipedia__hr,wikipedia__io,wikipedia__is,wikipedia__itwikiquote,wikipedia__ja,wikipedia__jv,wikipedia__kk,wikipedia__ku,wikipedia__ky,wikipedia__la,wikipedia__lb,wikipedia__liwikiquote,wikipedia__lrc,wikipedia__lv,wikipedia__mg,wikipedia__ml,wikipedia__mr,wikipedia__new,wikipedia__nn,wikipedia__no,wikipedia__pa,wikipedia__plwikiquote,wikipedia__pnb,wikipedia__ptwikiquote,wikipedia__qu,wikipedia__ro,wikipedia__ruwikiquote,wikipedia__sa,wikipedia__sco,wikipedia__sh,wikipedia__simple,wikipedia__si,wikipedia__sk,wikipedia__sl,wikipedia__sq,wikipedia__sr,wikipedia__srwikinews,wikipedia__sw,wikipedia__ta,wikipedia__th,wikipedia__uk,wikipedia__ur,wikipedia__uz,wikipedia__vi,wikipedia__war,wikipedia__yi,wikipedia__zh_yue,identifier__GND,identifier__LCAuth,identifier__IMDB,identifier__NDL,identifier__NLA,identifier__MusicBrainz,identifier__OLID,identifier__NKC,website,identifier__SELIBR,identifier__BNE,identifier__NTA,identifier__NNDB,identifier__AlloCine,identifier__Munzinger,identifier__EGAXA,identifier__NLAtrove,identifier__N6I,identifier__discogs,identifier__FAST,identifier__kinopoisk,identifier__wikitree,identifier__nobel_prize,identifier__quora,identifier__snac,name__mzn,name__pt_br,wikipedia__mzn,identifier__GNC,name__zh_sg,name__zh_tw,identifier__bigenc_ru,identifier__persee,identifier__Britannica,wikipedia__af,name__af,wikipedia__fo,wikipedia__ast,name__ast,name__fo,wikipedia__cy,name__aeb_arab,identifier__CONOR,wikipedia__an,wikipedia__lfn,name__lfn,name__an,wikipedia__tl,identifier__GTAA,name__tl,wikipedia__wuu,wikipedia__ne,name__wuu,name__ne,wikipedia__nov,name__nov
Q1844252,محمد علي الحلبي,Mohammed Ali al-Halabi,,Mohammed Ali al-Halabi,Muhammad Ali al-Halabi,Muhammad Ali al-Halabi,محمد علي الحلبي,محمد علي الحلبي,,Mohammed Ali al-Halabi,male,diplomat,,,,1937,2016,Muhammad Ali al-Halabi,,,,,Muhammad Ali al-Halabi,穆罕默德·阿里·哈拉比,,,,,,,Muhammad Ali al-Halabi,,,/m/0n4cmjw,Muhammed,محمدعلی الحلبی,,محمدعلی حلبی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,محمد علي الحلبي,,,,,,,,,,,,,,
Q1884964,محمود الزعبي,Mahmoud Zoubi,,Mahmoud Zoubi,Mahmoud Zuabi,Mahmoud Zoubi,محمود الزعبي,محمود الزعبي,,Mahmoud Zoubi,male,politician,46613946,,,1938,2000-05-21,Mahmoud Zuabi,,,,,Mahmoud Zuabi,馬哈茂德·祖阿比,,,,Mahmoud Zuabi,,マフムード・ズウビー,Mahmoud Zuabi,,马哈茂德·祖阿比,/m/01x2kg,Mahmoud,محمود الزعبی,,محمود الزعبی,,,,,,,,Mahmoud Zoubi,,,,,,,,,,,Махмуд Зуаби,,Mahmud az-Zubi,,Mahmud az-Zubi,Махмуд Зуаби,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biography/Mahmud-az-Zubi,,,,,,,,محمود الزعبي,,,,,,,,,,,,,,
Q1942655,محمد جهاد اللحام,Muhammad Dschihad al-Lahham,,Muhammad Dschihad al-Lahham,Mohammad Jihad al-Laham,Mohammad Jihad al-Laham,محمد جهاد اللحام,محمد جهاد اللحام,,Muhammad Dschihad al-Lahham,male,lawyer,,,,1954-01-13,,Mohammad Jihad al-Laham,,,,,Mohammad Jihad al-Laham,穆罕默德·吉哈德·拉罕,,,,,,,Mohammad Jihad al-Laham,,穆罕默德·吉哈德·拉哈姆,,Muhammed,محمدجهاد لحام,מוחמד ג'יהאד אל-לחאם,محمدجهاد لحام,https://upload.wikimedia.org/wikipedia/commons/0/09/Mohammad_Jihad_al-Laham.jpg,,,,,,Mohammad Jihad al-Laham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,محمد جهاد اللحام,,,,,,,,,,,,,,
Q20404590,شريف شحادة,,,,,,شريف شحادة,شريف شحادة,,,male,journalist,,,,1963,,شريف شحادة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20900401,آرام قره مانوكيان,Aram Karamanoukian,,Aram Karamanoukian,Aram Karamanoukian,Aram Karamanoukian,آرام قره مانوكيان,آرام قره مانوكيان,,Aram Karamanoukian,male,politician,8644109,,,1910,1996-12-23,Aram Karamanoukian,,,,,,,,,,,,,Aram Karamanoukian,,,,Aram,,,,https://upload.wikimedia.org/wikipedia/commons/4/4c/Aram_karamanoukian.jpg,,,,,,,Aram Karamanoukian,,,,Արամ Գարամանուկյան,Արամ Կարամանուկյան,Հեղինակ:Արամ Գարամանուկյան,0000 0000 2226 0672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aram Karamanoukian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,072010738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2364272,سليمان المرشد,Sulaiman Murschid,,Salmān Muršid,Salman al-Murshid,Sulaimān al-Muršid,سليمان المرشد,سليمان المرشد,,Sulaimān Murschid,male,politician,4800732,13320449z,,1907,1946-12-16,Salman al-Murshid,,,,,Sulayman al-Murshid,,,,,Sulayman al-Murshid,,スレイマン・アル＝ムルシード,Salman al-Murshid,,,,Salman,,,,,,,,,,,,,,,,,,0000 0000 7859 214X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119207818,nr93011824,,,,,,,,,,125768222,,,,,,,,1836538,,,,,,,,,,,,,,,,,,,,,,سليمان المرشد,,,,,,,,,,,,,,
Q24572906,هدية عباس,,,,Hadiya Khalaf Abbas,Hadiya Khalaf Abbas,هدية عباس,هدية عباس,,,female,politician,,,,1958,,Hadiya Khalaf Abbas,,,,,Hadiya Khalaf Abbas,哈迪娅哈拉夫阿巴斯,,,,,,,Hadiya Khalaf Abbas,,哈迪亚·哈拉夫·阿巴斯,,,هدیه عباس,,هدیه عباس,https://upload.wikimedia.org/wikipedia/commons/c/ca/Hadiya_Khalaf_Abbas.jpg,,,,,,Hadiya Khalaf Abbas,,,,,,,,,ჰადია ხალაფ აბასი,ჰადია ხალაფ აბასი,/g/11bzs54ct3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,हादिया खालेफ अब्बास,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,हादिया खालेफ अब्बास,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,هدية عباس,,,,,,,,,,,,,,
Q2688982,سعيد الغزي,Said al-Ghazzi,,,Said al-Ghazzi,Said al-Ghazzi,سعيد الغزي,سعيد الغزي,,Said al-Ghazzi,male,diplomat,,,,1893,1967,Said al-Ghazzi,,,,,Said al-Ghazzi,,,,,,,,Said al-Ghazzi,,,/m/0bmd5bp,Sa'id,سعید الغزی,,سعید الغزی,https://upload.wikimedia.org/wikipedia/commons/7/7c/Said_al-Ghazzi.jpg,,,,,,,,,,,,,,,,,,Саид Гази,Said al-Ghazzi,,Said al-Ghazzi,,"Гази, Саид",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,سعيد الغزي,,,,,,,,,,,,,,
Q3277843,محمود الأبرش,,,Mahmoud el-Abrache,Mahmoud al-Abrash,Mahmoud al-Abrash,محمود الأبرش,محمود الأبرش,,,male,politician,,,,1944,,Mahmoud al-Abrash,,,,,,馬哈茂德·阿爾·亞伯拉什,,,,,,,Mahmoud al-Abrash,,馬哈茂德·阿爾·亞伯拉什,/m/0521f6b,Mahmoud,محمود ابرش,,محمود ابرش,"https://upload.wikimedia.org/wikipedia/commons/1/1d/The_President,_Smt._Pratibha_Devisingh_Patil_meeting_the_Speaker_of_the_Parliament_of_Syria,_Mr._Mahmoud_al-Abrash,_at_Parliament,_in_Damascus,_Syria_on_November_28,_2010.jpg",,,,,,,Mahmoud el-Abrache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Mahmoud al-Abrash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,محمود الأبرش,,,,,,,,,,,,,,
Q3302790,جميل الأسد,,,Jamil al-Assad,Jamil al-Assad,Jamil al-Assad,جميل الأسد,جميل الأسد,,,male,politician,,,,1933,2004,Jamil al-Assad,Jamil al-Assad,贾米勒·阿萨德,賈米勒·阿薩德,賈米勒·阿薩德,Jamil al-Assad,贾米勒·阿萨德,Jamil al-Assad,Jamil al-Assad,Jamil al-Assad,Jamil al-Assad,Jamil al-Assad,ジャミール・アル＝アサド,Jamil al-Assad,Jamil al-Assad,贾米勒·阿萨德,/m/08t_3l,Jamil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,জামিল আল-আসাদ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,جميل الأسد,,,,,,,,,,,,,,
Q3318564,محمد حبش,Mohammad Habash,,Mohamed Habache,Mohammad Habash,Mohammad Habash,محمد حبش,محمد حبش,,,male,politician,,,,1962-10-01,,Mohammad Habash,,,,,,,,,,,,,Mohammad Habash,,,,Mohammad,,,,https://upload.wikimedia.org/wikipedia/commons/1/1d/MuhammadHabash.jpg,,,,,,,Mohamed Habache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q336406,محمد ناجي عطري,Muhammad Nadschi al-Utri,,Mohammed Naji al-Otari,Muhammad Naji al-Otari,Muhammad Naji al-Otari,محمد ناجي عطري,محمد ناجي عطري,,Muhammad Nadschi al-Utri,male,politician,,,,1944,,Muhammad Naji al-Otari,,,,,Muhammad Naji al-Otari,穆罕默德·纳吉·奥特里,,,,Muhammad Nádzsi al-Otari,,ムハンマド・ナージー・アル＝オトリー,Muhammad Naji al-Otari,,穆罕默德·纳吉·奥特里,/m/05ywbm,Muhammed,محمد ناجی العطری,מוחמד נאג'י אל-עוטרי,محمدناجی عطری,https://upload.wikimedia.org/wikipedia/commons/c/c7/Mohammad_Naji_Otri.jpg,,Muhammed Naci el-Otari,Muhammad Naji al-Otari,,,Muhammad Naji al-Otari,Mohammed Naji al-Otari,Muhammad Naji al-Otari,,Muhammed Naci el-Utri,,,,,,,,Мухаммед Наджи аль-Отари,Muhammad Naji al-Otari,Muhammad Nadżi al-Utri,Muhammad Naji al-Otari,Muhammad Nadżi al-Utri,Мухаммед Наджи аль-Отари,무하마드 나지 알오타리,Mohammed Naji al-Otari,Muhammad Naji al-Otari,Muhammad Naji al-Utri,Mohammed Naji al-Otari,Μουχάμαντ Νατζί αλ Οταρί,Мохамед Наджи Отари,Muhammad Naji al-Otari,Мохамед Наджи Отари,Μουχάμαντ Νατζί αλ Οταρί,Muhammad Naji al-Utri,Muhamad Naxi al-Utri,מוחמד נאג'י אל-עוטרי,Muhammad Nádzsi al-Otari,무하마드 나지 알오타리,Muhammad Naji al-Otari,Muhammad Naji al-Otari,Mohammed Naji al-Otari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Muhammad Naji al-Otari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,محمد ناجي عطري,,,,,,,,,,,,,,
Q403528,خالد العظم,Chalid al-Azm,,Khaled al-Azem,Khalid al-Azm,Khalid al-Azm,خالد العظم,خالد العظم,,Chalid al-Azm,male,diplomat,51128146,,,1903-06-11,1965-11-18,Khalid al-Azm,,,哈立德·阿茲姆,,Jaled el Azm,,,,,Khalid al-Azm,,,Khalid al-Azm,,,/m/0b23bz,Khalid,خالد العظم,,خالد العظم,https://upload.wikimedia.org/wikipedia/commons/4/49/Khalid_al-Azm.jpg,Khalid al-Azm,,,哈立德·阿兹姆,Khalid al-Azm,,Khaled Alazem,,,,,,,0000 0000 8381 7841,ხალედ ალ-აზმი,ხალედ ალ-აზმი,,Халед Бей аль-Азем,Khalid al-Azm,Chalid al-Azm,Khalid al-Azm,Chalid al-Azm,"Аль-Азем, Халед",,,,,Khalid al-Azm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chálid al-Azm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chálid al-Azm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140420673,n2006202512,,,,,OL5812387A,,,,,,,,,,,,,1637263,,,,,w6bg2tf8,,,,,,,,,,,,,,,,,خالد العظم,,,,,,,,,,,,,,
Q41229317,حمودة الصباغ,,,,Hammouda Sabbagh,,حمودة الصباغ,حمودة الصباغ,,,male,politician,,,,1959-02-10,,Hammouda Sabbagh,,,,,Hammouda Sabbagh,汉穆达·萨巴格,,,,,,,Hammouda Sabbagh,,汉穆达·萨巴格,,,حموده صباغ,,حموده صباغ,https://upload.wikimedia.org/wikipedia/commons/a/a5/Hammouda_Sabbagh04).jpg,,,,,,Hammouda Sabbagh,,,,,,,,,,,,,,Hammuda Sabbagh,,Hammuda Sabbagh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Hammouda Sabbagh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q42013,محمد أنور السادات,Anwar as-Sadat,,Anouar el-Sadate,Anwar el Sadat,Anwar Sadat,محمد أنور السادات,محمد أنور السادات,,Anwar as-Sadat,male,politician,32191472,130916470,027116905,1918-12-25,1981-10-06,Anwar Sadat,Anwar Al Sadat,,,,Anwar el-Sadat,穆罕默德·安瓦爾·薩達特,Anwar Sadat,Anwar Sadat,Anwar Sadat,Anvar Szadat,Anuar as Sadat,アンワル・アッ＝サーダート,Anwar Sadat,Anwar Al Sadat,穆罕默德·安瓦爾·薩達特,/m/0d58h,Anwar,انور سادات,אנואר סאדאת,انور سادات,https://upload.wikimedia.org/wikipedia/commons/b/b0/Anwar_Sadat_cropped.jpg,Ànwar el-Sadat,Enver Sedat,Anwar al-Sadat,,Ànwar el-Sadat,Anwar el-Sadat,Anouar el-Sadate,Anwar al-Sadat,Anwar Sadat,Enver Sedat,Անվար Սադաթ,Անվար Սադաթ,,0000 0001 0963 1704,ანვარ ალ-სადათი,ანვარ ალ-სადათი,,Анвар Садат,Anwar Sadat,Anwar Sadat,Anwar Sadat,Anwar as-Sadat,"Садат, Анвар",안와르 사다트,Anwar El Sadat,Anwar Sadat,Anwar Sadat,Anwar el-Sadat,Ανουάρ Σαντάτ,Ануар Садат,Anwar Sadat,Ануар Садат,Ανουάρ Σαντάτ,Anwar Sadat,Anwar el-Sadat,אנואר סאדאת,Anvar Szadat,안와르 사다트,Anwar Sadat,Anwar Sadat,Anwar El Sadat,Anwar as-Sadat,Anwar Sadat,Anwar Sadat,Anwar El Sadat,Anvar el-Sadat,அன்வர் சாதாத்,Anwār as-Sadāt,Anwar el Sadat,Anwar Sadat,انور سادات,Anvar Sadat,Anwar Sadat,אנוואר סאדאט,अन्वर अल-सदात,Анвар ел Садат,Анвар Садат,Анвар Садат,Anwar Sadat,Anvar el-Sadat,Ənvər Sədat,Anwar Sadat,Ануар Саадат,محمد انور السادات,Анвар Садат,Anvars Sādāts,മുഹമ്മദ് അൻവർ അൽ സാദത്ത്,Anwar Al-Sadad,沙特,Anwar Sadat,अन्वर् अल्-सादात्,अनवर अल-सदात,Anwar as-Sádát,Enwer Sedat,Anwar Sadat,อันวัร อัสซาดาต,Anwar El Sadat,Anvar Sadat,Anvar as-Sádát,अन्वर अल सादात,انور سادات,Anwar Sadat,Anwar Sadat,Anwar Sadat,ئەنوەر سادات,Anwar Sadat,Sadat Anvar,ਅਨਵਰ ਸਾਦਾਤ,আনোয়ার সাদাত,Anwar Sadat,අන්වර් සදාත්,Анвар Садат,أنڤأر سادات,Anouar el-Sadat,Anwar Sadat,أنور السادات,مؤلف:محمد أنور السادات,محمد انور السادات,Ənvər Sadat,Anwar Sadat,Анвар Садат,Анвар Садат,আনোয়ার সাদাত,Anwar el-Sadat,Anwar El-Sadat,ئەنوەر سادات,محمد أنور السادات,Anvar as-Sádát,Anvar as-Sádát,Anwar Sadat,Anvar Sadat,Anwar as-Sādāt,Anuar as Sadat,انور سادات,Anwar Sadat,Anwar El Sadat,אנואר סאדאת,अनवर अल-सदात,Anvar el-Sadat,Anwar Sadat,Anwar Sadat,Anwar al-Sadat,アンワル・アッ＝サーダート,Anwar Sadat,Ануар Саадат,Enwer Sedat,Анвар Садат,Anwar al-Sādāt,Anwar as-Sadat,Anwar Sadat,محمد أنور السادات,Anvars Sādāts,Anwar Sadat,അൻവർ സാദാത്ത്,अन्वर अल सादात,अन्वर अल-सदात,Anwar Sadat,Anwar Sadat,ਅਨਵਰ ਸਾਦਾਤ,Anwar as-Sadat,انور سادات,Anwar Sadat,Anwar Sadat,Anwar Sadat,Анвар Садат,अन्वर् अल्-सादात्,Anwar Sadat,Anwar Sadat,Anwar el Sadat,අන්වර් සදාත්,Anwar as-Sádát,Anvar Sadat,Enver es-Sadat,Анвар ел Садат,Категорија:Анвар ел Садат,Anwar Sadat,அன்வர் சாதாத்,อันวัร อัสซาดาต,Анвар Садат,انور سادات,Anvar Sadat,Anwar Al-Sadad,Anwar Sadat,אנוואר סאדאט,沙特,118604724,n79068664,,00431133,35471102,,OL175654A,uk2012687095,http://www.anwarsadat.org,239244,XX1103786,070078211,954/000024882,440242,00000008119,002841731,964912,vtls000094715,,37982,,El-_Sadat-1,peace/laureates/1978/al-sadat,Anwar-Sadat-9,w60p0xhm,انور سادات,,انور سادات,,,,3527536,,biography/Anwar-Sadat,Anwar Sadat,Anwar Sadat,Anwar Sadat,Anwar el-Sadat,Anwar el-Sadat,Anwar Sadat,Anwar Sadat,,86270563,Anwar el-Sadat,Anwar al-Sadat,Anwar al-Sadat,Anwar el-Sadat,Anwar El Sadat,149815,Anwar El Sadat,穆罕默德·安瓦尔·萨达特,अनवर सादात,穆罕默德·安瓦尔·萨达特,अनवर सादात,Anwar es-Sadat,Anwar es-Sadat
Q420743,أكرم الحوراني,Akram al-Haurani,,Akram Hourani,Akram al-Hawrani,Akram al-Hawrani,أكرم الحوراني,أكرم الحوراني,,Akram al-Haurani,male,politician,77126186,,12910213X,1912,1996-02-24,Akram al-Hawrani,,,,,Akram al-Hawrani,,,,,,,アクラム・アル＝ホーラーニー,Akram al-Hawrani,,,/m/071_x6,Akram,اکرم حورانی,אכראם אל-חוראני,اکرم حورانی,https://upload.wikimedia.org/wikipedia/commons/7/76/Akram_Hawrani.jpg,Akram Hourani,Ekrem Havrani,Akram al-Hurani,,Akram Hourani,Akram al-Hawrani,Akram Hourani,Akram al-Hurani,,,,,,0000 0000 1289 3003,,,,"Хаурани, Акрам",Akram al-Hawrani,Akram al-Haurani,Akram al-Hawrani,Akram al-Haurani,"Хаурани, Акрам",,,,,,,,Akram Hourani,,,,,אכראם אל-חוראני,,,,Akram Hourani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Akram al-Hawrani,,,,,,,,,,,,,,,,アクラム・アル＝ホーラーニー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nr90001153,,,,,,,,,,,,,00000008371,,,,,263804,,,,,,,,,,,,,,biography/Akram-al-Hawrani,,,,,,,,أكرم الحوراني,,,,,,,,,,,,,,
Q4405212,لطفي الحفار,,,,Lutfi al-Haffar,Lutfi al-Haffar,لطفي الحفار,لطفي الحفار,,,male,entrepreneur,,,,1891,1968,Lutfi al-Haffar,,,,,Lutfi al-Haffar,,,,,Lutfi al-Haffar,,,Lutfi al-Haffar,,,/m/0h_97vz,Lutfi,لطفی الحفار,,لطفی الحفار,,,,,,,,,,,,,,,,,,,"Хаффар, Лутфи",,,,,"Хаффар, Лутфи",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,لطفي الحفار,,,,,,,,,,,,,,
Q4664575,عبد القادر قدورة,,,Abd al-Qadir Qaddura,Abd al-Qadir Qaddura,Abd al-Qadir Qaddura,عبد القادر قدورة,عبد القادر قدورة,,,male,politician,,,,1935,2013,Abd al-Qadir Qaddura,,,,,,,,,Abd al-Qadir Qaddura,,,,Abd al-Qadir Qaddura,,,,,,,,,,,Abd al-Qadir Qaddura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4840646,بدوي الجبل,,,,Badawi al-Jabal,Badawi al-Jabal,بدوي الجبل,بدوي الجبل,,,male,politician,3817127,15043454f,094250650,1905,1981-08-19,Badawi al-Jabal,,,,,Badawi al-Jabal,,,,,Badawi al-Jabal,,,Badawi al-Jabal,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9e/بدوي-الجبل-badawi-aljabal.jpg,,,,,,,,,,,,,,0000 0001 1991 6922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n82068763,,,,,,,,175703,,102995494,,,,,,,,92526,,,,,,,,,,,,,,,,,,,,,,بدوي الجبل,,,,,,,,,,,,,,
