id,name__en,name__ja,name__de,name__fr,name__nl,name,wikipedia__en,wikipedia__ja,gender,occupation,birth_date,death_date,original_wikiname,name__pt,name__pl,name__ru,name__ko,name__es,name__th,name__oc,name__yo,name__fi,name__to,name__et,name__id,name__cs,name__el,name__io,name__sh,name__da,name__nb,name__nn,name__sv,wikipedia__cs,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__id,wikipedia__io,wikipedia__ko,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sh,wikipedia__th,wikipedia__to,wikipedia__yo,image,identifier__VIAF,identifier__LCAuth,identifier__freebase,name__cy,wikipedia__nl,name__tr,name__hr,name__hu,name__zh,wikipedia__hr,wikipedia__tr,name__it,wikipedia__commons,wikipedia__it,name__lb,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__he,name__gl,name__sr_el,name__sr_ec,name__ro,name__ca,name__uk,name__la,name__sr,name__sco,name__fa,name__be,name__ur,name__ar,wikipedia__ar,wikipedia__be,wikipedia__ca,wikipedia__fa,wikipedia__gl,wikipedia__he,wikipedia__hu,wikipedia__la,wikipedia__lb,wikipedia__nn,wikipedia__ro,wikipedia__sco,wikipedia__simple,wikipedia__sr,wikipedia__sv,wikipedia__uk,wikipedia__ur,wikipedia__zh,identifier__IMDB,name__en_ca,name__en_gb,name__ast,wikipedia__ast,identifier__ISNI,identifier__NLA,given_name,identifier__NTA,identifier__Oxforddnb,identifier__AuDB,identifier__FAST,identifier__snac,name__eu,name__ms,name__lt,name__na,wikipedia__eu,wikipedia__lt,wikipedia__ms,wikipedia__na,wikipedia__plwikiquote,identifier__GND,identifier__BNF,identifier__NLI,identifier__Britannica,email,identifier__NNDB
Q7036716,Nikotimasi Fatafehi Laufilitonga Kakau Vaha'i,,Nikotimasi Fatafehi Laufilitonga Kakau Vaha'i,Nikotimasi Fatafehi Laufilitonga Kakau Vaha'i,,Nikotimasi Fatafehi Laufilitonga Kakau Vaha'i,Nikotimasi Fatafehi Laufilitonga Kakau Vahaʻi,,male,,1971,,Nikotimasi Fatafehi Laufilitonga Kakau Vahaʻi,,,,,,,,,,Nikotimasi Fatafehi Laufilitonga Kakau Vahaʻi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nikotimasi Fatafehi Laufilitonga Kakau Vahaʻi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7133012,Papiloa Foliaki,,Papiloa Foliaki,Papiloa Foliaki,Papiloa Foliaki,Papiloa Foliaki,Papiloa Foliaki,,female,politician,,,Papiloa Foliaki,,,,,,,,,,,,,,,,,Papiloa Foliaki,Papiloa Foliaki,Papiloa Foliaki,Papiloa Foliaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7449656,Semisi Sika,,Semisi Sika,Semisi Sika,Semisi Sika,Semisi Sika,Semisi Sika,,male,politician,1968-01-31,,Semisi Sika,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semisi Sika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7449658,Semisi Tapueluelu,,Semisi Tapueluelu,Semisi Tapueluelu,Semisi Tapueluelu,Semisi Tapueluelu,Semisi Tapueluelu,,male,politician,1949-10-28,,Semisi Tapueluelu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semisi Tapueluelu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7525382,Sione Feingatau ‘Iloa,,Sione Feingatau ‘Iloa,,,Sione Feingatau ‘Iloa,Sione Feingatau ‘Iloa,,male,politician,,,Sione Feingatau ‘Iloa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7525391,Sione Sangster Saulala,,Sione Sangster Saulala,Sione Sangster Saulala,,Sione Sangster Saulala,Sione Sangster Saulala,,male,,1974-04-09,,Sione Sangster Saulala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sione Sangster Saulala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7525392,Sione Taione,,Sione Taione,Sione Taione,,Sione Taione,Sione Taione,,male,,1971-09-02,,Sione Taione,,,,,Sione Taione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/27/Sione_Havea_Taione.jpg,,,,,,,,,,,,Sione Taione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7525394,Sione Teisina Fuko,,Sione Teisina Fuko,,Sione Teisina Fuko,Sione Teisina Fuko,Sione Teisina Fuko,,male,politician,,,Sione Teisina Fuko,Sione Teisina Fuko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sione Teisina Fuko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7525417,Siosifa Tuʻitupou Tuʻutafaiva,,Siosifa Tuʻitupou Tuʻutafaiva,,,Siosifa Tuʻitupou Tuʻutafaiva,Siosifa Tuʻitupou Tuʻutafaiva,,male,lawyer,,,Siosifa Tuʻitupou Tuʻutafaiva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7531909,Sitiveni Halapua,,Sitiveni Halapua,Sitiveni Halapua,Sitiveni Halapua,Sitiveni Halapua,Sitiveni Halapua,,male,politician,1969-02-13,,Sitiveni Halapua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sitiveni Halapua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7563830,Sosefo Fe‘aomoeata Vakata,,Sosefo Fe‘aomoeata Vakata,Fe‘ao Vakata,Sosefo Fe‘aomoeata Vakata,Sosefo Fe‘aomoeata Vakata,Sosefo Fe‘aomoeata Vakata,,male,politician,1969-02-13,,Sosefo Fe‘aomoeata Vakata,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fe‘ao Vakata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7640273,Sunia Fili,,Sunia Fili,Sunia Fili,Sunia Fili,Sunia Fili,Sunia Fili,,male,politician,1965-12-01,,Sunia Fili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunia Fili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7707162,Tevita Hala Palefau,,,Tevita Hala Palefau,,Tevita Hala Palefau,Tevita Hala Palefau,,male,,1958-06-14,,Tevita Hala Palefau,,,,,Tevita Hala Palefau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tevita Hala Palefau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7930213,Viliami Latu,,Viliami Latu,Viliami Latu,,Viliami Latu,Viliami Latu,,male,politician,,,Viliami Latu,,,,,Viliami Latu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b8/Viliami_Uasike_Latu_(cropped).jpg,,,,,,,,,,,,Viliami Latu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7930216,Viliami Tangi,,Viliami Tangi,,,Viliami Tangi,Viliami Tangi,,male,politician,,,Viliami Tangi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,維利亞米·湯吉,,,Viliami Tangi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8083950,ʻAisake Eke,,ʻAisake Eke,‘Aisake ‘Eke,ʻAisake Eke,ʻAisake Eke,ʻAisake Eke,,male,politician,,,ʻAisake Eke,,,,,,,,,,,,,,,,,,,,,,,,,,,,‘Aisake ‘Eke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8083956,ʻIsileli Pulu,,ʻIsileli Pulu,,,ʻIsileli Pulu,ʻIsileli Pulu,,male,,1957-05-15,,ʻIsileli Pulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8084044,‘Etuate Lavulavu,,‘Etuate Lavulavu,‘Etuate Lavulavu,‘Etuate Lavulavu,‘Etuate Lavulavu,‘Etuate Lavulavu,,male,politician,,,‘Etuate Lavulavu,,,,,,,,,,,,,,,,,,,,,,,,,,,,‘Etuate Lavulavu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mailto:etuatelavulavu@gmail.com,
Q8084048,‘Uliti Uata,,‘Uliti Uata,‘Uliti Uata,‘Uliti Uata,‘Uliti Uata,‘Uliti Uata,,male,politician,1936-08-24,,‘Uliti Uata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,烏利蒂·烏阿塔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q808685,Baron Vaea,バロン・ヴァエア,Baron Vaea,Baron Vaea,Vaea van Houma,Baron Vaea,Baron Vaea,,male,diplomat,1921-05-15,2009-06-07,Baron Vaea,Baron Vaea,Sia'osi Tu'ihala Alipate Tupou,Сиаоси Туихала Алипате Тупоу Ваеа,,Baron Vaea,บารอนวาเออา,,,,ʻAlipate Halakilangi Tauʻalupeoko Vaea Tupou,,,,,,,ʻAlipate Halakilangi Tauʻalupeoko Vaea Tupou,ʻAlipate Halakilangi Tauʻalupeoko Vaea Tupou,ʻAlipate Halakilangi Tauʻalupeoko Vaea Tupou,ʻAlipate Halakilangi Tauʻalupeoko Vaea Tupou,,,Baron Vaea,,,,,ʻAlipate Halakilangi Tauʻalupeoko Tupou,,,,,,Siaʻosi Tuʻihala Alipate Tupou,Baron Vaea,Барон Ваеа,,บารอนวาเออา,ʻAlipate Halakilangi Tauʻalupeoko Vaea Tupou,,https://upload.wikimedia.org/wikipedia/commons/c/c5/STʻ_Vaea.jpg,,,/m/0gyckz,Baron Vaea,Baron Vaea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q972020,Afuʻalo Matoto,,Afuʻalo Matoto,Afuʻalo Matoto,Afuʻalo Matoto,Afuʻalo Matoto,Afuʻalo Matoto,,male,,,,Afuʻalo Matoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,Afuʻalo Matoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q984131,Tu'i Pelehake,,Fatafehi Tuʻipelehake,Fatafehi Tuʻipelehake,Tu'i Pelehake,Tu'i Pelehake,Fatafehi Tuʻipelehake,,male,,1922-01-07,1999-04-10,Fatafehi Tuʻipelehake,,Sione Ngu Manumataongo Uelingatoni,"Ту'ипелехаке, Фата'фехи",,Tu'i Pelehake,,,,,Sione Ngū Manumataongo Uelingatoni,,,,,,,Sione Ngū Manumataongo Uelingatoni,Sione Ngū Manumataongo Uelingatoni,Sione Ngū Manumataongo Uelingatoni,Sione Ngū Manumataongo Uelingatoni,,,Fatafehi Tuʻipelehake,,,,,Fatafehi Tuʻipelehake,,,,,,Sione Ngu Manumataongo Uelingatoni,,Фатафехи Ту’ипелехаке,,,Sione Ngū Manumataongo Uelingatoni,,,,,/m/064pxjm,,,,,,,,,,,,,,,,,,,,,,,,,Фатафегі Ту'іпелегаке,,,,,,,,,,,,,,,,,,,,,,,Фатафегі Ту'іпелегаке,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
