id,name__de,name__en,name__sv,name__es,name__fr,name__nl,name__hu,name,wikipedia__de,wikipedia__en,wikipedia__sv,gender,birth_date,given_name,original_wikiname,name__zh_hans,name__zh_hant,name__zh_hk,name__id,name__pl,name__el,name__he,name__ru,name__ms,name__fi,name__zh,name__cy,name__zh_cn,wikipedia__el,wikipedia__fi,wikipedia__fr,wikipedia__he,wikipedia__id,wikipedia__ms,wikipedia__pl,wikipedia__ru,wikipedia__zh,identifier__VIAF,identifier__LCAuth,death_date,identifier__freebase,identifier__Britannica,name__eu,name__tr,name__yo,name__uk,name__et,name__nb,name__ja,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__ja,wikipedia__no,wikipedia__tr,wikipedia__uk,wikipedia__yo,image,identifier__NLAtrove,identifier__FAST,identifier__SUDOC,name__zh_sg,name__zh_tw,name__ko,name__gl,name__pt,name__bi,name__sr_el,name__sr_ec,name__war,name__tpi,name__da,name__bn,name__sr,name__nn,wikipedia__bi,wikipedia__bn,wikipedia__da,wikipedia__gl,wikipedia__ko,wikipedia__nl,wikipedia__pt,wikipedia__sr,wikipedia__tpi,wikipedia__war,name__ca,name__oc,identifier__ISNI,identifier__GND,identifier__NTA,identifier__BNF,identifier__catholic_hierarchy,name__it,name__sh,wikipedia__sh,family_name,identifier__Munzinger,name__cs,name__vi,wikipedia__cs,wikipedia__vi,name__bg,wikipedia__bg,name__ro,wikipedia__ro,name__en_ca,name__en_gb,wikipedia__commons,identifier__AuDB,name__ar,wikipedia__ar,name__th,name__is,name__fa,wikipedia__fa,wikipedia__is,wikipedia__it,wikipedia__simple,wikipedia__th,occupation,wikipedia__hi,name__hi,name__qu,wikipedia__qu,name__la,wikipedia__la,identifier__snac,wikipedia__srwikinews,name__hy,wikipedia__hy,wikipedia__zh_min_nan,name__nan,identifier__NDL,wikipedia__tl,name__tl,name__sl,name__ta,wikipedia__ta,wikipedia__io,identifier__GTAA,wikipedia__uz,name__pt_br,name__uz,name__io,identifier__NKC
Q28925128,,Camillus Dangma,,,,Camillus Dangma,,Camillus Dangma,,Camillus Dangma,,male,1957-05-02,,Camillus Dangma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28940953,,Aide Ganasi,,,,Aide Ganasi,,Aide Ganasi,,Aide Ganasi,,male,"",,Aide Ganasi,,,,,,,,,,,,,,,,,,,,,,,,,2016-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,Aide Ganasi,,,,,,,,,
Q28962701,,James Gau,,,,James Gau,,James Gau,,James Gau,,male,1957-09-19,James,James Gau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q28962710,,Lucas Dekena,,,,Lucas Dekena,,Lucas Dekena,,Lucas Dekena,,male,1967-10-19,Lucas,Lucas Dekena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q28962921,,Robert Ganim,,,,Robert Ganim,,Robert Ganim,,Robert Ganim,,male,1962-06-06,Robert,Robert Ganim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q28962940,,Roy Biyama,,,,Roy Biyama,,Roy Biyama,,Roy Biyama,,male,1967-08-03,,Roy Biyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q28966596,,Sam Basil,,,,Sam Basil,,Sam Basil,,Sam Basil,,male,1969-11-16,,Sam Basil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q28966872,,De Kewanu,,,,De Kewanu,,De Kewanu,,De Kewanu,,male,1965-06-07,,De Kewanu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q28967069,,Nixon Duban,,,,Nixon Duban,,Nixon Duban,,Nixon Duban,,male,,,Nixon Duban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q28967536,,Peter Ipatas,,,,Peter Ipatas,,Peter Ipatas,,Peter Ipatas,,male,1958-07-31,Peter,Peter Ipatas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,businessperson,,,,,,,,,,,,,,,,,,,,,,,,,
Q28967737,,Byron Chan,,,,Byron Chan,,Byron Chan,,Byron Chan,,male,1969-06-13,,Byron Chan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q28967857,,Jeffery Komal,,,,Jeffery Komal,,Jeffery Komal,,Jeffery Komal,,male,1968-12-20,,Jeffery Komal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q28967927,,Mehrra Minne Kipefa,,,,Mehrra Minne Kipefa,,Mehrra Minne Kipefa,,Mehrra Minne Kipefa,,male,1981-12-15,,Mehrra Minne Kipefa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28967931,,Komun Joe Koim,,,,Komun Joe Koim,,Komun Joe Koim,,Komun Joe Koim,,male,1966-10-10,,Komun Joe Koim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28974377,,Paul Isikiel,,,,Paul Isikiel,,Paul Isikiel,,Paul Isikiel,,male,1963-10-08,Paul,Paul Isikiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q28974649,,Noah Kool,,,,Noah Kool,,Noah Kool,,Noah Kool,,male,1962-10-10,,Noah Kool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q29025022,,Charlie Benjamin,,,,,,Charlie Benjamin,,Charlie Benjamin,,male,,,Charlie Benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benjamin,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q29452698,,Ephraim T. Apelis,,,,Ephraim T. Apelis,,Ephraim T. Apelis,,Ephraim Apelis,,male,1954-12-26,,Ephraim Apelis,,,,,,,,,,,,,,,,,,,,,,,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q29583256,,Peter Isoaimo,,,,Peter Isoaimo,,Peter Isoaimo,,Peter Isoaimo,,male,1969-12-12,Peter,Peter Isoaimo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q29584147,,Elias Kapavore,,,,Elias Kapavore,,Elias Kapavore,,Elias Kapavore,,male,1970-05-25,,Elias Kapavore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q29587334,,Bire Kimisopa,,,,Bire Kimisopa,,Bire Kimisopa,,Bire Kimisopa,,male,1962-12-22,,Bire Kimisopa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q29638946,,Jeffery Kuave,,,,Jeffery Kuave,,Jeffery Kuave,,Jeffery Kuave,,male,,,Jeffery Kuave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q29650223,,Timothy Masiu,,,,Timothy Masiu,,Timothy Masiu,,Timothy Masiu,,male,1964-11-25,Timothy,Timothy Masiu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q29791586,,Joe Lera,,,,Joe Lera,,Joe Lera,,Joe Lera,,male,1961-01-18,Joe,Joe Lera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,civil servant,,,,,,,,,,,,,,,,,,,,,,,,,
Q29799284,,Nixon Mangape,,,,Nixon Mangape,,Nixon Mangape,,Nixon Mangape,,male,1962-09-16,,Nixon Mangape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q29862015,,Ron Ganarafo,,,,Ron Ganarafo,,Ron Ganarafo,,Ron Ganarafo,,male,1955-04-20,Ron,Ron Ganarafo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q29944026,,Richard Mendani,,,,Richard Mendani,,Richard Mendani,,Richard Mendani,,male,1967-08-16,Richard,Richard Mendani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q30391049,,Tobias Kulang,,,,Tobias Kulang,,Tobias Kulang,,Tobias Kulang,,male,1970-06-21,Tobias,Tobias Kulang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q30829021,,Amkat Mai,,,,Amkat Mai,,Amkat Mai,,Amkat Mai,,male,1962-01-01,,Amkat Mai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q316264,Michael Somare,Michael Somare,Michael Somare,Michael Somare,Michael Somare,Michael Somare,Michael Somare,Michael Somare,Michael Somare,Michael Somare,Michael Somare,male,1936-04-09,Michael,Michael Somare,迈克尔·索马雷,邁克爾·索馬雷,米高·索馬雷,Michael Somare,Michael Somare,Μάικλ Σομάρε,,Майкл Томас Сомаре,Michael Somare,Michael Somare,迈克尔·索马雷,,迈克尔·索马雷,Μάικλ Σομάρε,Michael Somare,Michael Somare,,Michael Somare,Michael Somare,Michael Somare,"Сомаре, Майкл Томас",迈克尔·索马雷,63595418,no95050985,,/m/01xzgk,biography/Michael-Somare,,,Michael Somare,Майкл Сомаре,Michael Somare,Michael Somare,マイケル・ソマレ,Michael Somare,Michael Somare,,マイケル・ソマレ,Michael Somare,,Майкл Сомаре,Michael Somare,"https://upload.wikimedia.org/wikipedia/commons/1/1b/Somare,_Michael_(2008).jpg",,1524389,16431198X,迈克尔·索马雷,麥可·索馬雷,마이클 소마레,Michael Somare,Michael Somare,Michael Somare,Majkl Somare,Мајкл Сомаре,Michael Somare,Michael Somare,Michael Somare,মাইকেল সোমারে,Мајкл Сомаре,Michael Somare,Michael Somare,মাইকেল সোমারে,Michael Somare,Michael Somare,마이클 소마레,Michael Somare,Michael Somare,Мајкл Сомаре,Michael Somare,Michael Somare,,,0000 0000 4180 0152,,068846177,,,,,,,,,,,,,,,,,,Category:Michael Somare,,,,,,,,,,,,politician,,,Michael Somare,Michael Somare,,,w6v16hk1,,,,,,,Michael Somare,Michael Somare,,,,,156067,,,,,
Q3182674,John Waiko,John Waiko,,John Waiko,John Waiko,John Waiko,,John Waiko,,John Waiko,,male,1944,John,John Waiko,,,,,,,,,,,,,,,,John Waiko,,,,,,,46869123,nr93036646,,,,,,,,,,,,,,,,,,,,,328805,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 6307 4403,,071101179,12520032b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anthropologist,,,,,,,,,,,,,,,,,,,,,,,,,jn19990008870
Q3274465,Barry Holloway,Barry Holloway,,,Barry Holloway,Barry Holloway,,Barry Holloway,,Barry Holloway,,male,1934-09-26,Barry,Barry Holloway,,,,,,,,,,,,Barry Holloway,,,,Barry Holloway,,,,,,,,,2013-01-16,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f0/BarryHolloway1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holloway,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q3372294,Paul Tiensten,Paul Tiensten,,,Paul Tiensten,Paul Tiensten,,Paul Tiensten,,Paul Tiensten,,male,1966,Paul,Paul Tiensten,,,,,,,,,,,,,,,,Paul Tiensten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q35498105,,Walter Schnaubelt,,,,,,Walter Schnaubelt,,Walter Schnaubelt,,male,1966-10-04,Walter,Walter Schnaubelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schnaubelt,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q35553617,,Patrick Pruaitch,,,Patrick Pruaitch,,,Patrick Pruaitch,,Patrick Pruaitch,,male,,Patrick,Patrick Pruaitch,,,,,,,,,,,,,,,,Patrick Pruaitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q42506435,,Waliyato Clowes,,,,,,Waliyato Clowes,,Waliyato Clowes,,female,,,Waliyato Clowes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q42631708,,Julie Soso,,,,,,Julie Soso,,Julie Soso,,female,1960-08-29,Julie,Julie Soso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q438696,James Tanis,James Tanis,,James Tanis,James Tanis,James Tanis,James Tanis,James Tanis,James Tanis,James Tanis,,male,1965,James,Τζέιμς Τάνις,,,,,James Tanis,Τζέιμς Τάνις,,,,,,,,Τζέιμς Τάνις,,,,,,James Tanis,,,,,,/m/05b5_y_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tanis,,,,,,,,,,,,,,جيمس تانيس,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q458865,John Guise,John Guise,John Guise,John Guise,John Guise,John Guise,John Guise,John Guise,John Guise,John Guise (governor-general),John Guise,male,1914-08-29,John,John Guise (governor-general),,,,,John Guise,,,Джон Гайс,,,約翰·吉斯,,,,,John Guise,,,,John Guise,"Гис, Джон",,,,1991-02-07,/m/09pl__,,,,,,,,サー・ジョン・ガイズ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Guise,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,जॉन गाइज़ (गवर्नर-जनरल),जॉन गाइज़,,,,,,,,,,,,,,,,,,,,,,,
Q466818,Bernard Narokobi,Bernard Narokobi,,Bernard Narokobi,Bernard Narokobi,Bernard Narokobi,,Bernard Narokobi,Bernard Narokobi,Bernard Narokobi,,male,1937,Bernard,Bernard Narokobi,,,,,,,,,,,,Bernard Narokobi,,,,Bernard Narokobi,,,,,,,69025524,n82130208,2010-03-09,/m/0cw_yv,,,,,,,,,,,,,,,,,,,,033681473,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 8391 4430,,,12452438f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,,,,,,,,,,,,,,,,,,,,,,,,,
Q471229,Paulias Matane,Paulias Matane,Paulias Matane,Paulias Matane,Paulias Matane,Paulias Matane,,Paulias Matane,Paulias Matane,Paulias Matane,Paulias Matane,male,1931-09-21,,Paulias Matane,,,,Paulias Matane,Paulias Matane,Πόλιας Ματάνε,,"Матане, Полиас",,,保利亚斯·马塔恩,,,Πόλιας Ματάνε,,Paulias Matane,,Paulias Matane,,Paulias Matane,"Матане, Полиас",保利亚斯·马塔恩,23416674,n79053910,,/m/039yhc,,,,Paulias Matane,Поліас Нгуні Матанє,,,サー・ポーリアス・マタネ,Paulias Matane,,,,,,Поліас Нгуні Матанє,Paulias Matane,https://upload.wikimedia.org/wikipedia/commons/b/b2/Sir_Paulias_Matane.jpg,,35224,,,,,,Paulias Matane,,Paulijas Matane,Паулијас Матане,,,,,Паулијас Матане,,,,,,,,Paulias Matane,Паулијас Матане,,,,,0000 0000 8433 2141,1078288992,069712972,,,,,,,,Paulias Matane,Paulias Matane,Paulias Matane,Paulias Matane,,,,,,,,,,,,,,,,,,,diplomat,पॉलिएस मटाने,पॉलिएस मटाने,,,,,,,,,,,00449107,,,,,,,,,,,,
Q4734236,,Alois Kingsley,,,,Alois Kingsley,,Alois Kingsley,,Alois Kingsley,,male,1969-12-12,Alois,Alois Kingsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kingsley,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q4757866,Andrew Mald,Andrew Mald,,,,Andrew Mald,,Andrew Mald,,Andrew Mald,,male,1971-01-07,Andrew,Andrew Mald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q4889049,Benjamin Mul,Benjamin Mul,,,,Benjamin Mul,,Benjamin Mul,,Benjamin Mul,,male,1969-06-26,Benjamin,Benjamin Mul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4889136,Benjamin Poponawa,Benjamin Poponawa,,,,Benjamin Poponawa,,Benjamin Poponawa,,Benjamin Poponawa,,male,1960,Benjamin,Benjamin Poponawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q4938707,Boka Kondra,Boka Kondra,,,,Boka Kondra,,Boka Kondra,,Boka Kondra,,male,1970-12-16,,Boka Kondra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q5106757,Chris Haiveta,Chris Haiveta,Chris Haiveta,Chris Haiveta,Chris Haiveta,Chris Haiveta,Chris Haiveta,Chris Haiveta,,Chris Haiveta,Chris Haiveta,male,1960,Chris,Chris Haiveta,,,,,,,,,,,海維達,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q5230872,David Arore,David Arore,,,David Arore,David Arore,,David Arore,,David Arore,,male,1974-01-31,David,David Arore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Arore,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q5362021,Theo Zurenuoc,Theo Zurenuoc,Theo Zurenuoc,,Theo Zurenuoc,,,Theo Zurenuoc,,Theo Zurenuoc,,male,1965-10-06,Theo,Theo Zurenuoc,,,,,Theo Zurenuoc,,,,,,西奧多·佐倫諾克,,,,,Theo Zurenuoc,,,,Theo Zurenuoc,,,,,,,,,,,,,Theo Zurenuoc,,,,,,,,,,,,,,,,,,,,,,,,Theo Zurenuoc,,,Theo Zurenuoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q5482103,Francis Ona,Francis Ona,,Francis Ona,Francis Ona,Francis Ona,,Francis Ona,,Francis Ona,,male,1953,Francis,Francis Ona,,,,Francis Ona,,,,,,,,,,,,,,Francis Ona,,,,,,,2005-07-24,/m/072kqr,,,,,,,,フランシス・オナ,Francis Ona,,,,,,,,,,,,,,,,Francis Ona,,,,,,,,,,,,,,,,Francis Ona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Francis Ona,,,
Q5482225,Francis Potape,Francis Potape,,,,Francis Potape,,Francis Potape,,Francis Potape,,male,1972-06-16,Francis,Francis Potape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,フランシス・ポタペ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francis Potape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q56043281,,Bryan Jared Kramer,,,,Bryan Jared Kramer,,Bryan Jared Kramer,,Bryan Jared Kramer,,,,,Bryan Jared Kramer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
Q561338,Michael Ogio,Michael Ogio,Michael Ogio,Michael Ogio,Michael Ogio,Michael Ogio,Michael Ogio,Michael Ogio,Michael Ogio,Michael Ogio,Michael Ogio,male,1942-07-07,Michael,Michael Ogio,,邁克爾·奧吉奧,,,Michael Ogio,Μάικλ Ότζιο,,"Огио, Майкл",,,米高·奧吉奧,,迈克尔·奥吉奥,Μάικλ Ότζιο,,Michael Ogio,,,,Michael Ogio,"Огио, Майкл",,,,2017-02-18,/m/0g9y5l8,,Michael Ogio,Michael Ogio,Michael Ogio,Майкл Огіо,Michael Ogio,Michael Ogio,マイケル・オギオ,Michael Ogio,Michael Ogio,Michael Ogio,マイケル・オギオ,Michael Ogio,Michael Ogio,Майкл Огіо,Michael Ogio,https://upload.wikimedia.org/wikipedia/commons/3/3c/Michael_Ogio.jpg,,,,,,,,Michael Ogio,,,,,,,,,,,,,,,,Michael Ogio,,,,,,,,,,,,,,Ogio,,,,,,,,,,,,Category:Michael Ogio,,,,,,,,,,Michael Ogio,,politician,माइकल ओजियो,माइकल ओजियो,,,,,,,Մայքլ Օգիո,Մայքլ Օգիո,,,,,,,,,,,,,,,
Q5613862,Guao Zurenuoc,Guao Zurenuoc,,,Guao Zurenuoc,Guao Zurenuoc,,Guao Zurenuoc,,Guao Zurenuoc,,male,"",,Guao Zurenuoc,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guao Zurenuoc,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,
