name,source,id,image,email,birth_date,party,term
SNEZANA KALESKA-VANCHEVA,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-snezana-kaleska-vancheva-16-en.nspx,snezana-kaleska-vancheva,https://sobranie.mk/content/images/pratenici%2016-20/snezana-kaleska-vanceva.jpg,S.KaleskaVanceva@sobranie.mk,,Social Democratic Union of Macedonia,2016
SONJA MIRAKOVSKA,https://sobranie.mk/new-social-democratic-party-16-en-ns_article-sonja-mirakovska-16-en.nspx,sonja-mirakovska,http://www.sobranie.mk/content/images/pratenici%2016-20/Mirakovska-Sonja.jpg,s.mirakovska@sobranie.mk,1963-09-12,New Social Democratic Party,2016
STOJAN MILANOV,https://sobranie.mk/socialist-party-of-macedonia-16-en-ns_article-stojan-milanov-16-en.nspx,stojan-milanov,http://www.sobranie.mk/content/images/pratenici%2016-20/Milanov-Stojan.jpg,S.Milanov@sobranie.mk,1948-02-14,Socialist Party of Macedonia,2016
SURIJA RASIDI,https://sobranie.mk/alliance-of-albanians-coalition-dr-adp-uniteti-ndp-16-en-ns_article-surija-rasidi-16-en.nspx,surija-rasidi,http://www.sobranie.mk/content/images/pratenici%2016-20/Rasidi-Surija.jpg,S.Rasidi@sobranie.mk,1965-04-17,"“Alliance of Albanians” Coalition (DR-ADP, UNITETI, NDP)",2016
TALAT XHAFERI,https://sobranie.mk/democratic-union-for-integration-16-en-ns_article-talat-dzaferi-16-en.nspx,talat-dzaferi,http://www.sobranie.mk/content/images/pratenici%2016-20/Pretsedatel-T.Dzaferi-16.jpg,pretsedatel@sobranie.mk,,Democratic Union for Integration,2016
TANJA KOVACHEV,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-tanja-kovachev-16-en.nspx,tanja-kovachev,http://www.sobranie.mk/content/images/pratenici%2016-20/Kovacev-Tanja.jpg,t.kovacev@sobranie.mk,1983-07-07,Social Democratic Union of Macedonia,2016
TATIJANA LALCHEVSKA,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-tatijana-lalchevska-16-en.nspx,tatijana-lalchevska,https://sobranie.mk/content/images/pratenici%2016-20/Tatijana-lalcevska.jpg,"",,Social Democratic Union of Macedonia,2016
TATJANA PRENTOVIK,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-tatjana-prentovik-16-en.nspx,tatjana-prentovik,http://www.sobranie.mk/content/images/pratenici%2016-20/PrentovikTatjana.jpg,tprentovik@sobranie.mk,1964-07-27,Social Democratic Union of Macedonia,2016
TEUTA BILJALI,https://sobranie.mk/besa-16-en-ns_article-teuta-biljali-16-en.nspx,teuta-biljali,http://www.sobranie.mk/content/images/pratenici%2016-20/Biljalji-Teuta.jpg,t.bilali@sobranie.mk,1980-05-25,Movement BESA,2016
TRAJCHO DIMKOV,https://sobranie.mk/vmro-dpmne-16-en-ns_article-trajcho-dimkov-16-en.nspx,trajcho-dimkov,http://www.sobranie.mk/content/images/pratenici%2016-20/Dimkov-Trajco.jpg,t.dimkov@sobranie.mk,1967-07-22,VMRO-DPMNE,2016
TRAJKO VELJANOSKI,https://sobranie.mk/vmro-dpmne-16-en-ns_article-trajko-veljanoski-16-en.nspx,trajko-veljanoski,http://www.sobranie.mk/content/images/pratenici%2016-20/Trajko-Veljanoski.jpg,T.Veljanoski@sobranie.mk,,VMRO-DPMNE,2016
VANKOVER MANCHEV,https://sobranie.mk/vmro-dpmne-16-en-ns_article-vankover-manchev-16-en.nspx,vankover-manchev,http://www.sobranie.mk/content/images/pratenici%2016-20/Mancev-Vankover.jpg,v.mancev@sobranie.mk,1980-03-16,VMRO-DPMNE,2016
VASIL PISHEV,https://sobranie.mk/vmro-dpmne-16-en-ns_article-vasil-pishev-16-en.nspx,vasil-pishev,http://www.sobranie.mk/content/images/pratenici%2016-20/Pisev-Vasil.jpg,v.pisev@sobranie.mk,1965-04-22,VMRO-DPMNE,2016
VESEL MEMEDI,https://sobranie.mk/alliance-of-albanians-coalition-dr-adp-uniteti-ndp-16-en-ns_article-vesel-memedi-16-en.nspx,vesel-memedi,http://www.sobranie.mk/content/images/pratenici%2016-20/Memedi-Vesel.jpg,v.memedi@sobranie.mk,1974-09-12,"“Alliance of Albanians” Coalition (DR-ADP, UNITETI, NDP)",2016
VESNA DAMCHEVSKA - ILIEVSKA,https://sobranie.mk/vmro-dpmne-16-en-ns_article-vesna-damchevska-ilievska-16-en.nspx,vesna-damchevska-ilievska,http://www.sobranie.mk/content/images/pratenici%2016-20/Damcevska-ilievska-Vesna.jpg,V.DamcevskaIlievska@sobranie.mk,1961-11-27,VMRO-DPMNE,2016
VESNA PEMOVA,https://sobranie.mk/vmro-dpmne-16-en-ns_article-vesna-pemova-16-en.nspx,vesna-pemova,http://www.sobranie.mk/content/images/pratenici%2016-20/Pemova-Vesna.jpg,v.pemova@sobranie.mk,1960-11-05,VMRO-DPMNE,2016
VLADANKA AVIROVIK,https://sobranie.mk/socialist-party-of-macedonia-16-en-ns_article-vladanka-avirovik-16-en.nspx,vladanka-avirovik,http://www.sobranie.mk/content/images/pratenici%2016-20/Avirovik-Vladanka.jpg,v.avirovik@sobranie.mk,1954-01-22,Socialist Party of Macedonia,2016
VLADIMIR GJORCHEV,https://sobranie.mk/vmro-dpmne-16-en-ns_article-vladimir-gjorchev-16-en.nspx,vladimir-gjorchev,http://www.sobranie.mk/content/images/pratenici%2016-20/Vladimir-Gjorcev.jpg,v.gjorcev@sobranie.mk,1978-08-31,VMRO-DPMNE,2016
XHEVAT ADEMI,https://sobranie.mk/democratic-union-for-integration-16-en-ns_article-xhevat-ademi-16-en.nspx,xhevat-ademi,http://www.sobranie.mk/content/images/pratenici%2016-20/Ademi-Djevad.jpg,d.ademi@sobranie.mk,1962-12-08,Democratic Union for Integration,2016
ZAKLINA LAZAREVSKA,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-zaklina-lazarevska-16-en.nspx,zaklina-lazarevska,http://www.sobranie.mk/content/images/pratenici%2016-20/Lazarevska-Zaklina.jpg,z.lazarevska@sobranie.mk,1964-11-03,Social Democratic Union of Macedonia,2016
ZAKLINA PESHEVSKA,https://sobranie.mk/vmro-dpmne-16-en-ns_article-zaklina-peshevska-16-en.nspx,zaklina-peshevska,http://www.sobranie.mk/content/images/pratenici%2016-20/Pesevska-Zaklina.jpg,z.pesevska@sobranie.mk,1978-08-07,VMRO-DPMNE,2016
ZEKIR RAMCHILOVIK,https://sobranie.mk/association-for-cultural-unity-of-bosnians-16-en-ns_article-zekir-ramchilovik-16-en.nspx,zekir-ramchilovik,http://www.sobranie.mk/content/images/pratenici%2016-20/Ramcilovik-Zekir.jpg,z.ramcilovik@sobranie.mk,1975-03-16,Independent MPs,2016
ZIADIN SELA,https://sobranie.mk/alliance-of-albanians-coalition-dr-adp-uniteti-ndp-16-en-ns_article-ziadin-sela-16-en.nspx,ziadin-sela,http://www.sobranie.mk/content/images/pratenici%2016-20/Ziadin-Sela.jpg,z.sela@sobranie.mk,,"“Alliance of Albanians” Coalition (DR-ADP, UNITETI, NDP)",2016
ZORAN GJORGJIEVSKI,https://sobranie.mk/vmro-dpmne-16-en-ns_article-zoran-gjorgjievski-16-en.nspx,zoran-gjorgjievski,http://www.sobranie.mk/content/images/pratenici%2016-20/Zoran-Gjorgjievski.jpg,Z.Gjorgjievski@sobranie.mk,1958-11-18,VMRO-DPMNE,2016
ZORAN ILIOSKI,https://sobranie.mk/vmro-dpmne-16-en-ns_article-zoran-ilioski-16-en.nspx,zoran-ilioski,http://www.sobranie.mk/content/images/pratenici%2016-20/Ilioski-Zoran.jpg,z.ilioski@sobranie.mk,1962-10-28,VMRO-DPMNE,2016
