id,name__es,name__en,name__nl,name__fr,name__hu,name,wikipedia__es,gender,birth_date,given_name,original_wikiname,name__it,image,name__de,wikipedia__en,identifier__ISNI,identifier__VIAF,identifier__SUDOC,death_date,identifier__FAST,name__cy,identifier__GND,identifier__LCAuth,name__nb,name__da,name__nn,name__sv,name__ru,name__ca,name__gl,second_surname,name__pl,name__mg,wikipedia__mg,wikipedia__pl,wikipedia__de,wikipedia__ru,wikipedia__fr,name__zh_hant,name__zh_cn,name__tr,name__zh,wikipedia__trwikiquote,identifier__freebase,wikipedia__it,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,name__eu,name__wa,name__ko,name__he,name__oc,name__lv,name__ja,name__scn,name__pt,name__eo,name__fi,name__uk,name__la,name__cs,name__bg,name__fa,name__ksh,name__lt,name__tl,wikipedia__bg,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cswikiquote,wikipedia__da,wikipedia__dewikiquote,wikipedia__enwikiquote,wikipedia__eo,wikipedia__eswikiquote,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__he,wikipedia__itwikiquote,wikipedia__ja,wikipedia__ko,wikipedia__ksh,wikipedia__la,wikipedia__lt,wikipedia__lv,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pt,wikipedia__scn,wikipedia__simple,wikipedia__sv,wikipedia__tl,wikipedia__uk,wikipedia__wa,wikipedia__zh,identifier__BNF,identifier__NDL,identifier__SBN_it,identifier__NTA,family_name,name__nov,wikipedia__nov,website,twitter,facebook,name__en_ca,name__en_gb,name__sk,name__et,wikipedia__et,identifier__GTAA,name__qu,name__gd,name__be,name__af,name__yo,name__id,name__sq,name__vi,name__el,name__ar,name__sr_el,name__sr_ec,name__be_tarask,name__io,name__gv,name__sr,name__ro,name__az,name__sco,wikipedia__af,wikipedia__ar,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__el,wikipedia__gd,wikipedia__gl,wikipedia__gv,wikipedia__id,wikipedia__io,wikipedia__nn,wikipedia__qu,wikipedia__ro,wikipedia__sco,wikipedia__sq,wikipedia__sr,wikipedia__tr,wikipedia__vi,wikipedia__yo,identifier__IMDB,identifier__NKC,identifier__CANTIC,identifier__Munzinger,identifier__CSPAN,identifier__OLID,identifier__BNE,instagram,name__de_ch,name__pt_br,identifier__NNDB,linkedin,occupation,identifier__google_plus,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__de_at,name__frc,name__frp,name__fur,name__ga,name__gsw,name__hr,name__ia,name__ie,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__rgn,name__rm,name__sc,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wo,name__zu,identifier__nlg,identifier__snac,wikipedia__fawikiquote,wikipedia__eswikinews,identifier__TED,identifier__Britannica,identifier__PTBNP,identifier__SELIBR,wikipedia__plwikiquote,wikipedia__eswikisource,name__sl,identifier__bigenc_ru,identifier__CiNii,pseudonym,identifier__youtube,wikipedia__ast,name__hy,wikipedia__hy,identifier__goodreads,wikipedia__lb,wikipedia__zh_yue,name__yue,identifier__BVMC,identifier__BIBSYS,identifier__BAV,identifier__N6I,wikipedia__ruwikinews,wikipedia__tt,name__tt,identifier__NLP,honorific_prefix
Q17478000,Iván Duque Márquez,Iván Duque Márquez,Iván Duque,Iván Duque Márquez,Iván Duque,Iván Duque Márquez,Iván Duque Márquez,male,1976-08-01,Iván,,Iván Duque Márquez,https://upload.wikimedia.org/wikipedia/commons/1/12/Iván_Duque.png,Iván Duque,Iván Duque Márquez,,103299307,,,,,139979522,,Iván Duque,,,,"Дуке Маркес, Иван",Iván Duque Márquez,Iván Duque Márquez,Márquez,Iván Duque Márquez,,,Iván Duque Márquez,Iván Duque,"Дуке Маркес, Иван",Iván Duque,,,Iván Duque,,,,Iván Duque Márquez,,,,,,,이반 두께,איוואן דוקה,,,イバン・ドゥケ,,Iván Duque Márquez,Iván Duque Márquez,Iván Duque,Іван Дуке,Ioannes Duque,,,ایوان دوکه,,,,,Iván Duque Márquez,Category:Iván Duque Márquez,,,,,,Iván Duque Márquez,,,ایوان دوکه,Iván Duque,איוואן דוקה,Iván Duque Márquez,,이반 두께,,Ioannes Duque,,,,Iván Duque,,Iván Duque Márquez,,Iván Duque Márquez,,,Іван Дуке Маркес,,,,,,,Duque,,,http://www.ivanduque.com/,IvanDuque,ivanduquemarquez,Iván Duque Márquez,Iván Duque Márquez,,Iván Duque Márquez,Iván Duque Márquez,,,Iván Duque,Іван Дуке Маркес,,,,,,Ιβάν Ντούκε,,,,,,,Иван Дуке,,,,,,,,Іван Дуке Маркес,Ιβάν Ντούκε,Iván Duque,Iván Duque Márquez,,,,,,,,,,Iván Duque,,,,,,,,,,ivanduquemarquez,Iván Duque,Iván Duque Márquez,,https://www.linkedin.com/in/ivan-duque-46474a5/,politician,,,Iván Duque Márquez,,,,,,,,,,,,,,,,,Iván Duque,,,,,,,,,,,,,,,Iván Duque Márquez,,,,,,,,,,,,,,,,,,Iván Duque,,,,UC5wdznN-41mzUBnmMw7f3yw,Iván Duque Márquez,Իվան Դուկե Մարկես,Իվան Դուկե Մարկես,,Iván Duque,伊班杜奇馬基斯,伊班杜奇馬基斯,,,,,Категория:Иван Дуке Маркес,Иван Дуке Маркес,Иван Дуке Маркес,,Excellency
Q17478055,Ana Mercedes Gómez,Ana Mercedes Gómez,Ana Mercedes Gómez,Ana Mercedes Gómez,Ana Mercedes Gómez,Ana Mercedes Gómez,Ana Mercedes Gómez,female,"",Ana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ana Mercedes Gómez,,,,,,,,,,,,,,,,,,,,
Q17478056,Juan Diego Gómez,Juan Diego Gómez,Juan Diego Gómez,Juan Diego Gómez,Juan Diego Gómez,Juan Diego Gómez,Juan Diego Gómez,male,1975-11-26,Juan,,,https://upload.wikimedia.org/wikipedia/commons/6/65/Juan_diego_gomez.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juan Diego Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juan Diego Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juan Diego Gómez,,,,,,,,,,,,,,,,,,,,
Q17478075,Paola Andrea Holguín Moreno,Paola Andrea Holguín Moreno,,,,Paola Andrea Holguín Moreno,Paola Holguín,female,1973-11-12,Paola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paola Andrea Holguín Moreno,,,,,,,,,,,,,,,,,,,,
Q17478114,Mauricio Lizcano,Mauricio Lizcano,Mauricio Lizcano,Mauricio Lizcano,Mauricio Lizcano,Mauricio Lizcano,Mauricio Lizcano,male,1976-08-12,Mauricio,,Mauricio Lizcano,https://upload.wikimedia.org/wikipedia/commons/e/e4/S._Mauricio_Lizcano_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mauricio Lizcano,,,,,,,,,,,,,,,,,,,,
Q17478129,Ernesto Macías Tovar,Ernesto Macías Tovar,,,Ernesto Macías Tovar,Ernesto Macías Tovar,Ernesto Macías Tovar,male,1960,Ernesto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17478235,Alfredo Rangel,Alfredo Rangel,Alfredo Rangel,Alfredo Rangel,Alfredo Rangel,Alfredo Rangel,Alfredo Rangel,male,1955-02-15,Alfredo,,Alfredo Rangel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alfredo Rangel,,,,,,,,,,,,,,,,,,,,
Q17624021,Orlando Castañeda Serrano,Orlando Castañeda Serrano,Orlando Castañeda Serrano,Orlando Castañeda Serrano,Orlando Castañeda Serrano,Orlando Castañeda Serrano,Orlando Castañeda,male,"",Orlando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orlando Castañeda Serrano,,,,,,,,,,,,,,,,,,,,
Q17631347,Thania Vega,Thania Vega,Thania Vega,Thania Vega,Thania Vega,Thania Vega,Thania Vega,female,"",,,Thania Vega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thania Vega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thania Vega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thania Vega,,,,,,,,,,,,,,,,,,,,
Q17987359,Jaime Amín,Jaime Amín,Jaime Amín,Jaime Amín,Jaime Amín,Jaime Amín,Jaime Amín,male,"",Jaime,,,https://upload.wikimedia.org/wikipedia/commons/4/46/JaimeAmin.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaime Amín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaime Amín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaime Amín,,,,,,,,,,,,,,,,,,,,
Q17994694,Guillermo Gaviria Echeverri,Guillermo Gaviria Echeverri,Guillermo Gaviria Echeverri,Guillermo Gaviria Echeverri,Guillermo Gaviria Echeverri,Guillermo Gaviria Echeverri,Guillermo Gaviria Echeverri,male,1923-09-10,Guillermo,,Guillermo Gaviria Echeverri,,,,,,,2014-09-02,,Guillermo Gaviria Echeverri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guillermo Gaviria Echeverri,,,,,,,,,,,,,,,,,,,,
Q18170803,Jimmy Chamorro,Jimmy Chamorro,Jimmy Chamorro,Jimmy Chamorro,Jimmy Chamorro,Jimmy Chamorro,Jimmy Chamorro,male,1963-12-07,Jimmy,,,https://upload.wikimedia.org/wikipedia/commons/9/9f/Jimmy_Chamorro_Cruz.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Chamorro,,,,,,,,,,,,,,,,,,,,
Q18201479,Sofía Gaviria,Sofia Gaviria,Sofia Gaviria,Sofia Gaviria,Sofía Gaviria,Sofía Gaviria,Sofía Gaviria,female,1968-02,Sofia,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sofía Gaviria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sofía Gaviria,,,,,,,,,,,,,,,,,,,,
Q18222782,Daniel Cabrales,Daniel Cabrales,Daniel Cabrales,Daniel Cabrales,Daniel Cabrales,Daniel Cabrales,Daniel Cabrales,male,"",Daniel,,Daniel Cabrales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Cabrales,,,,,,,,,,,,,,,,,,,,
Q18223204,Fernando Araújo Rumie,Fernando Araújo Rumie,Fernando Araújo Rumie,Fernando Araújo Rumie,Fernando Araújo Rumie,Fernando Araújo Rumie,Fernando Araújo Rumié,male,1961-05-16,Fernando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fernando Araújo Rumié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fernando Araújo Rumié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fernando Araújo Rumie,,,,,,,,,,,,,,,,,,,,
Q18224184,Mario Fernández Alcocer,Mario Fernández Alcocer,Mario Fernández Alcocer,Mario Fernández Alcocer,Mario Fernández Alcocer,Mario Fernández Alcocer,Mario Fernández Alcocer,male,1979,Mario,,Mario Fernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fernández,,,,MarioFerAlco,MarioFerAlco,,,,,,,,,,,,,,,,ماريو فرنانديز,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marioferalco,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mario Fernández Alcocer,,,,,,,,,,,,,,,,,,,,
Q18416543,Andrés García Zuccardi,Andrés García Zuccardi,Andrés García Zuccardi,Andrés García Zuccardi,Andrés García Zuccardi,Andrés García Zuccardi,Andrés García Zuccardi,male,1983-06-18,Andrés,,,https://upload.wikimedia.org/wikipedia/commons/9/96/Agzplenaria.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,García,,,,,,,,,,,,,,,,,,,,,أندريس غارسيا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrés García Zuccardi,,,,,,,,,,,,,,,,,,,,
Q18417131,Nadya Georgette Blel Scaff,Nadya Blel,Nadia Blel,Nadia Georgette Blel Scaff,Nadia Georgette Blel Scaff,Nadya Georgette Blel Scaff,,female,1981-08-11,Nadia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://nadiablel.com,nadiablel,nadia.blel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.linkedin.com/in/nadiablelscaff/,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nadia Georgette Blel Scaff,,,,,,,,,,,,,,,,,,,,
Q18417274,Nora García,Nora García,Nora García,Nora García,Nora García,Nora García,Nora García,female,1956-05-15,Nora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nora García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nora García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,Nora García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nora García,,,,,Nora García,,,,,,,,,,,,,,,
Q18419667,Dr. Ernesto Vela Angulo,Dr. Ernesto Vela Angulo,,Dr. Ernesto Vela Angulo,,Dr. Ernesto Vela Angulo,Ernesto Vela Angulo,male,1919-01,,,,https://upload.wikimedia.org/wikipedia/commons/2/21/Dr._Ernesto_Vela_Angulo.jpg,,,,,,2014-10-10,,Dr. Ernesto Vela Angulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,philosopher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Ernesto Vela Angulo,,,,,,,,,,,,,,,,,,,,
Q18590618,José María Bernala,José María Bernal,José María Bernal,José María Bernal,José María Bernal,José María Bernala,José María Bernal,male,1895-06-29,José,,,,,,,,,1965-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,José María Bernala,,,,,,,,,,,,,,,,,,,,
Q18643822,Edgar Artunduaga,Edgar Artunduaga,Edgar Artunduaga,Edgar Artunduaga,Edgar Artunduaga,Edgar Artunduaga,Edgar Artunduaga,male,1953-10-03,Edgar,,Edgar Artunduaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edgar Artunduaga,,,,,,,,,,,,,,,,,,,,
Q18704453,Rodrigo Marín gato,Rodrigo Marín Bernal,Rodrigo Marín Bernal,Rodrigo Marín Bernal,Rodrigo Marín Bernal,Rodrigo Marín gato,Rodrigo Marín Bernal,male,1931-12-28,Rodrigo,,,,,,,,,2014-12-30,,Rodrigo Marín Bernal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rodrigo Marín Bernal,,,,,,,,,,,,,,,,,,,,
Q187413,Álvaro Uribe,Álvaro Uribe,Álvaro Uribe,Álvaro Uribe,Álvaro Uribe,Álvaro Uribe,Álvaro Uribe,male,1952-07-04,Álvaro,,Álvaro Uribe Vélez,https://upload.wikimedia.org/wikipedia/commons/2/24/Álvaro_Uribe_(cropped).jpg,Álvaro Uribe Vélez,Álvaro Uribe,,283092426,107088304,,483573,,141048603,no2002081266,Álvaro Uribe Vélez,Álvaro Uribe Vélez,Álvaro Uribe,Álvaro Uribe,Альваро Урибе Велес,Álvaro Uribe Vélez,Álvaro Uribe,Vélez,Álvaro Uribe,,,Álvaro Uribe,Álvaro Uribe Vélez,"Урибе Велес, Альваро",Álvaro Uribe,阿爾瓦羅·烏里韋·貝萊斯,阿尔瓦罗·乌里韦·贝莱斯,Álvaro Uribe,阿尔瓦罗·乌里韦·贝莱斯,,/m/01kb1b,Álvaro Uribe Vélez,阿尔瓦罗·乌里韦·贝莱斯,阿爾瓦羅·烏里韋·貝萊斯,阿尔瓦罗·乌里韦·贝莱斯,阿爾瓦羅·烏里韋·貝萊斯,Álvaro Uribe,,알바로 우리베,אלווארו אוריבה,Álvaro Uribe Vélez,,アルバロ・ウリベ,,Álvaro Uribe,Álvaro Uribe Vélez,Álvaro Uribe,Альваро Урібе,Alvarus Uribe,Álvaro Uribe Vélez,Алваро Урибе,الوارو اوریبه,,Álvaro Uribe,,Алваро Урибе,Álvaro Uribe Vélez,Category:Álvaro Uribe,Álvaro Uribe,,Álvaro Uribe Vélez,,,Álvaro Uribe Vélez,Álvaro Uribe Vélez,Álvaro Uribe,الوارو اوریبه,Álvaro Uribe,אלווארו אוריבה,,アルバロ・ウリベ,알바로 우리베,,Alvarus Uribe,Álvaro Uribe,,Álvaro Uribe,Álvaro Uribe Vélez,Álvaro Uribe Vélez,Álvaro Uribe,,Álvaro Uribe,Álvaro Uribe,,Альваро Урібе,,阿尔瓦罗·乌里韦,16623215r,,,300356358,Uribe,,,http://www.alvarouribevelez.com,AlvaroUribeVel,AlvaroUribeVel,Álvaro Uribe,Álvaro Uribe,,Álvaro Uribe Vélez,Álvaro Uribe Vélez,162974,Álvaro Uribe,Álvaro Uribe,Альвара Урыбэ,Alvaro Uribe,Álvaro Uribe,Álvaro Uribe Vélez,Alvaro Uribe,Álvaro Uribe,Άλβαρο Ουρίμπε,ألبارو أوريبي بيليث,Alvaro Uribe,Алваро Урибе,Альвара Урыбэ,Álvaro Uribe Vélez,Álvaro Uribe Vélez,Алваро Урибе,Álvaro Uribe,Alvaro Uribe Veles,Álvaro Uribe,Alvaro Uribe,ألبارو أوريبي بيليث,Alvaro Uribe Veles,Альвара Урыбэ,Альвара Урыбэ,Άλβαρο Ουρίμπε,Álvaro Uribe,Álvaro Uribe,Álvaro Uribe Vélez,Álvaro Uribe Vélez,Álvaro Uribe Vélez,Álvaro Uribe,Álvaro Uribe,Álvaro Uribe,Álvaro Uribe,Alvaro Uribe,Алваро Урибе,Álvaro Uribe,Álvaro Uribe,Álvaro Uribe,,js20080104001,,00000024110,alvarouribevelez,,,,Álvaro Uribe Vélez,Álvaro Uribe,161/000026083,,politician,,,Álvaro Uribe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Categoría:Álvaro Uribe Vélez,,biography/Alvaro-Uribe-Velez,,,,Autor:Álvaro Uribe,Álvaro Uribe,4701167,,,,Álvaro Uribe,,,,,烏里韋,烏里韋,,,,,,,,A30364024,
Q19722004,Mauricio Aguilar,Mauricio Aguilar,Mauricio Aguilar,,,Mauricio Aguilar,Mauricio Aguilar,male,1976-04-10,Mauricio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mauricio Aguilar,,,,,,,,,,,,,,,,,,,,
Q19722006,Jorge Eliécer Prieto,Jorge Eliécer Prieto,Jorge Eliécer Prieto,Jorge Eliécer Prieto,,Jorge Eliécer Prieto,Jorge Eliécer Prieto,male,1949,Jorge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jorge Eliécer Prieto,,,,,,,,,,,,,,,,,,,,
Q19722063,Maritza Martínez,Maritza Martínez,Maritza Martínez,Maritza Martínez,,Maritza Martínez,Maritza Martínez,female,1971,Maritza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maritza Martínez,,,,,,,,,,,,,,,,,,,,
Q19788617,Luis Evelis Andrade,Luis Evelis Andrade,Luis Evelis Andrade,Luis Evelis Andrade,Luis Evelis Andrade,Luis Evelis Andrade,Luis Evelis Andrade,male,1967-05-09,Luis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luis Evelis Andrade,,,,,,,,,,,,,,,,,,,,
