id,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__eu,name__pl,name__fr,name__ko,name__he,name__es,name__ta,name__ms,name__it,name__ps,name__et,name__de,name__id,name__ja,name__ml,name__bn,name__br,name__yue,name__en,name__sv,name__nl,name__ar,name__hi,name__pt,name__eo,name__ru,name__ast,name__tr,name__ro,name__fi,name__uk,name__cs,name__fa,name__mr,name__ka,name__ur,name__az,name__da,name__zh,name__nb,name__sco,name__ca,name__th,name__sh,name,wikipedia__ar,wikipedia__ast,wikipedia__az,wikipedia__bn,wikipedia__br,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__de,wikipedia__en,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__he,wikipedia__hi,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__no,wikipedia__pl,wikipedia__ps,wikipedia__pt,wikipedia__ro,wikipedia__ru,wikipedia__sco,wikipedia__sh,wikipedia__simple,wikipedia__sv,wikipedia__ta,wikipedia__th,wikipedia__tr,wikipedia__uk,wikipedia__ur,wikipedia__zh_yue,wikipedia__zh,image,gender,identifier__VIAF,identifier__GND,identifier__LCAuth,birth_date,death_date,identifier__freebase,given_name,name__de_ch,name__el,name__en_ca,name__en_gb,name__pt_br,wikipedia__el,identifier__ISNI,identifier__BNF,identifier__SUDOC,identifier__NTA,name__pa,wikipedia__pa,wikipedia__plwikiquote,name__mg,wikipedia__mg,name__hu,website,name__nds,identifier__IMDB,wikipedia__hu,twitter,name__cy,identifier__FAST,original_wikiname,identifier__Britannica,name__gl,last_seen,wikipedia__bg,name__nn,name__bg,identifier__OLID,name__tg,wikipedia__ckb,wikipedia__tg,identifier__wikitree,name__ckb,occupation,wikipedia__fawikiquote,name__qu,wikipedia__qu,family_name,identifier__DNF,identifier__ne_se,name__sq,wikipedia__be,name__be,wikipedia__itwikiquote,wikipedia__eswikiquote,identifier__GTAA,wikipedia__hy,name__hy,identifier__BNE,wikipedia__azb,identifier__NKC,name__azb
Q3065252,,,,,,,,Fawzia Koofi,Fawzia Koofi,,,Fawzia Koofi,,,Fawzia Koofi,,,Fawzia Koofi,,,,,,,Fawzia Koofi,,Fawzia Koofi,,,Fawzia Koofi,,,,Fawzia Koofi,,,,,فوزیه کوفی,,,,,,法齊婭·古菲,,,,,,Fawzia Koofi,,,,,,,Category:Fawzia Koofi,,,Fausia Kufi,Fawzia Koofi,,,,,فوزیه کوفی,,Fawzia Koofi,,,,,,,,,,,,,Fawzia Koofi,,Fawzia Koofi,,,,,,,,,Fevziye Kûfî,,,,法齊婭·古菲,https://upload.wikimedia.org/wikipedia/commons/f/f6/Fauzia_Koofi_of_Afghanistan_in_2011-cropped.jpg,female,170552138,1017837023,no2011091034,1975,,/m/0j3g9fl,Fawzia,,,,,,,0000 0001 2036 6710,16510179m,151606846,33216845X,ਫ਼ਵਜ਼ੀਆ ਕੂਫ਼ੀ,ਫ਼ਵਜ਼ੀਆ ਕੂਫ਼ੀ,Fawzia Koofi,,,Fawzia Koofi,http://www.fawziakoofi.org,,,,FawziaKoofi77,,1914715,,,,,Фаузия Кофи,,Фаузия Кофи,,,,,,,politician,,,,Koofi,,,,,,Fawzia Koofi,,229906,Ֆավզիա Քուֆի,Ֆավզիա Քուֆի,,,jo2014812409,
Q31069219,,,,,,,,,,,,,,,,,,,,,,,,,Ahmad Shah Ramazan,,,,,,,,,,,,,,احمدشاه رمضان,,,,,,,,,,,,Ahmad Shah Ramazan,,,,,,,Category:Ahmad Shah Ramazan,,,,Ahmad Shah Ramazan,,,,,احمدشاه رمضان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/8a/Ahmad_Shah_Ramazan.jpg,male,,,,1969,,,Ahmad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q31069227,,,,,,,,,,,,,,,,,,,,,,,,,Abbas Ibrahim Zada,,,,,,,,,,,,,,عباس ابراهیم‌زاده,,,,,,,,,,,,Abbas Ibrahim Zada,,,,,,,Category:Abbas Ibrahim Zada,,,,Abbas Ibrahim Zada,,,,,عباس ابراهیم‌زاده,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,1970,,,Abbas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q31069372,,,,,,,,,,,,,,,,,,,,,,,,,Sadiqi Zada Nili,,,,,,,,,,,,,,نصرالله صادقی‌زاده نیلی,,,,,,,,,,,,Sadiqi Zada Nili,,,,,,,Category:Nasrullah Sadiqi Zada Nili,,,,Nasrullah Sadiqi Zada Nili,,,,,نصرالله صادقی‌زاده نیلی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9a/Sadiqi_Zada_Nili.jpg,male,,,,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q31069385,,,,,,,,,,,,Hameedullah Khan Tokhi,,,,,,Hameedullah Khan Tokhi,,,,,,,Hameedullah Khan Tokhi,,Hameedullah Khan Tokhi,,,,,,,,,,,,حمید الله توخی,,,,,,,,,,,,Hameedullah Khan Tokhi,,,,,,,,,,,Hameedullah Khan Tokhi,,,,,حمید الله توخی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,Hameedullah Khan Tokhi,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q31069408,,,,,,,,,Ahmad Khan Samangani,,,,,,,,,Ahmad Khan Samangani,,アフマド・カーン・サマンガニ,,,,,Ahmad Khan Samangani,,Ahmad Khan Samangani,,,,,,,,,,,,احمد خان سمنگانی,,,,,,,,,,,,Ahmad Khan Samangani,,,,,,,,,,,Ahmad Khan Samangani,,,,,احمد خان سمنگانی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/61/Ahmad_Khan_Samangani.jpg,male,,,,1957,2012-07-14,,Ahmad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q31069416,,,,,,,,,,,,Ali Akbar Qasimi,,,,,,Ali Akbar Qasimi,,,,,,,Ali Akbar Qasimi,,Ali Akbar Qasimi,,,,,,,,,,,,علی اکبر قاسمی,,,,,,,,,,,,Ali Akbar Qasimi,,,,,,,Category:Ali Akbar Qasimi,,,,Ali Akbar Qasimi,,,,,علی اکبر قاسمی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/70/Ali_Akbar_Qasimi.jpg,male,,,,1954,,,Ali,,,,,,,,,,,,,,,,Ali Akbar Qasimi,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q4475242,,,,,,,,,Nur ul-Haq Ulumi,,,Noorulhaq Olumi,,,,نورالحق علومی,,Nur ul-Haq Ulumi,,ヌルルハク・オリュミ,,,,,Nur ul-Haq Ulumi,,Nur ul-Haq Ulumi,,,,,"Улюми, Нур-уль-Хак",,,,,,,نورالحق علومی,,,,,,,,,,,,Nur ul-Haq Ulumi,,,,,,,,,,Nur ul-Haq Ulumi,Nur ul-Haq Ulumi,,,,,نورالحق علومی,,,,,,,ヌルルハク・オリュミ,,,,,,,,,,,,"Улюми, Нур-уль-Хак",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/07/Nur_ul-Haq_Ulumi.jpg,male,,,,1941-08-15,,,,,,,,,,,,,,,,,,,Noorulhaq Olumi,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q4663780,,,,,,,,,,,,Abbas Noyan,,,,,,Abbas Noyan,,,,,,,Abbas Noyan,,Abbas Noyan,,,,,,,,,,,,عباس نویان,,,,,,,,,,,,Abbas Noyan,,,,,,,Category:Abbas Noyan,,,,Abbas Noyan,,,,,عباس نویان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/7a/Ghulam_Abbas_Noyan.png,male,,,,,,,Abbas,,,,,,,,,,,,,,Abbas Noyan,Abbas Noyan,Abbas Noyan,,,,,,,,,,,,,,,,,,,,,engineer,,,,,,,,,,,,,,,,,,
Q4665252,,,,,,,,,Abdul Ahmad Zahedi Niqala,,,Abdul Ahmad Zahedi Niqala,,,Abdul Ahmad Zahedi Niqala,,,Abdul Ahmad Zahedi Niqala,,,,,,,Abdul Ahmad Zahedi Niqala,,Abdul Ahmad Zahedi Niqala,,,,,,,,,,,,,,,,,,,,,,,,Abdul Ahmad Zahedi Niqala,,,,,,,,,,,Abdul Ahmad Zahedi Niqala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,Abdul,,,,,,,,,,,,,,,,Abdul Ahmad Zahedi Niqala,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q4665255,,,,,,,Abdul Ahad Karzai,,Abdul Ahad Karzai,,,Abdul Ahad Karzai,,,,عبدالاحد کرزی,,Abdul Ahad Karzai,,,,,,,Abdul Ahad Karzai,Abdul Ahad Karzai,Abdul Ahad Karzai,,,Abdul Ahad Karzai,,Абдул Ахад Карзай,,,,,,,عبدالاحد کرزای,,,,,,,Abdul Ahad Karzai,,,,,Abdul Ahad Karzai,,,,,,,,,,,Abdul Ahad Karzai,,,,,عبدالاحد کرزای,,,,,,,,,,,,,,,,,Abdul Ahad Karzai,,,,,,Abdul Ahad Karzai,,,,,,,,,male,,,,1922,1999-07-14,,Abdul,,,,,,,,,,,,,,,,Abdul Ahad Karzai,,,,,,,,,,,,,Abdul Ahad Karzai,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q4665599,,,,,,,,,Abdul Qadir Imami Ghori,,,Abdul Qadir Imami Ghori,,,Abdul Qadir Imami Ghori,,,Abdul Qadir Imami Ghori,,,,,,,Abdul Qadir Imami Ghori,,Abdul Qadir Imami Ghori,,,,,,,,,,,,عبدالقادر امامی غوری,,,,,,,,,,,,Abdul Qadir Imami Ghori,,,,,,,,,,,Abdul Qadir Imami Ghori,,,,,عبدالقادر امامی غوری,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,1954,,,Abdul Qadir,,,,,,,,,,,,,,,,Abdul Qadir Imami Ghori,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q4665606,,,,,,,,,Abdul Qayyum Sajjadi,,,Abdul Qayyum Sajjadi,,,,,,Abdul Qayyum Sajjadi,,,,,,,Abdul Qayyum Sajjadi,,Abdul Qayyum Sajjadi,,,,,,,,,,,,عبدالقیوم سجادی,,,,,,,,,,,,Abdul Qayyum Sajjadi,,,,,,,Category:Abdul Qayyum Sajjadi,,,,Abdul Qayyum Sajjadi,,,,,عبدالقیوم سجادی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f1/Abdul_Qayyum_Sajjadi-2012.jpg,male,,,,,,,Abdul Qayyum,,,,,,,,,,,,,,,,Abdul Qayyum Sajjadi,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q4695470,,,,,,,,,,,,Ahmad Shah Khan Asakzai,,,,,,Ahmad Shah Khan Asakzai,,,,,,,Ahmad Shah Khan Asakzai,,Ahmad Shah Khan Asakzai,,,,,,,,,,,,احمدشاه خان اچکزی,,,,,,,,,,,,Ahmad Shah Khan Asakzai,,,,,,,,,,,Ahmad Shah Khan Asakzai,,,,,احمدشاه خان اچکزی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,Ahmad,,,,,,,,,,,,,,,,Ahmad Shah Khan Asakzai,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q4702446,,,,,,,,,,,,Al-Haj Mamur Abdul Jabar Shulgari,,,,,,,,,,,,,Al-Haj Mamur Abdul Jabar Shulgari,,Al-Haj Mamur Abdul Jabar Shulgari,,,,,,,,,,,,عبدالجبار شلگری,,,,,,,,,,,,Al-Haj Mamur Abdul Jabar Shulgari,,,,,,,,,,,Al-Haj Mamur Abdul Jabar Shulgari,,,,,عبدالجبار شلگری,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,Al-Haj Mamur Abdul Jabar Shulgari,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q4705782,,,,,,,,,,,,,,,,,,Alam Gull Kuchi,,,,,,,Alam Gull Kuchi,,Alam Gull Kuchi,,,,,,,,,,,,علم گل کوچی,,,,,,,,,,,,Alam Gull Kuchi,,,,,,,,,,,Alam Gul Kuchi,,,,,علم گل کوچی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q4742127,,,,,,,,,Ameer Lali,,,Ameer Lali,,,Ameer Lali,,,Ameer Lali,,,,,,,Ameer Lali,,Ameer Lali,,,,,,,,,,,,نیاز محمد امیر لالی,,,,,,,,,,,,Ameer Lali,,,,,,,,,,,Ameer Lali,,,,,نیاز محمد امیر لالی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,Ameer Lali,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q4746579,,,,,,,,,,,,Amir Khan Sabri,,,,,,Amir Khan Sabri,,,,,,,Amir Khan Sabri,,Amir Khan Sabri,أمير خان صبري,,,,,,,,,,,امیرخان صبری,,,,,,,,,,,,Amir Khan Sabri,,,,,,,,,,,Amir Khan Sabri,,,,,امیرخان صبری,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,Amir,,,,,,,,,,,,,,,,Amir Khan Sabri,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q47467928,,,,,,,,,,,,Alami Balkhi,,,,,,Alami Balkhi,,,,,,,Alami Balkhi,,Alami Balkhi,,,,,,,,,,,,حسین عالمی بلخی,,,,,,,,,,,,Alami Balkhi,,,,,,,Category:Alami Balkhi,,,,Alami Balkhi,,,,,حسین عالمی بلخی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1a/Sayed_Hussain_Alami_Balkhi.jpg,male,,,,1957,,,,,,,,,,,,,,,,,,,Alami Balkhi,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q4778042,,,,,,,,,,,,Anwar Khan Auriakhel,,,,,,Anwar Khan Auriakhel,,,,,,,Anwar Khan Auriakhel,,Anwar Khan Auriakhel,,,,,,,,,,,,انورخان اوریاخل,,,,,,,,,,,,Anwar Khan Auriakhel,,,,,,,,,,,Anwar Khan Auriakhel,,,,,انورخان اوریاخل,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,Anwar,,,,,,,,,,,,,,,,Anwar Khan Auriakhel,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q4988888,,,,,,,,,,,,,,,,,,,,,,,,,Shinkai Karokhail,Shinkai Karokhail,Shinkai Karokhail,,,,,,,,,,,,شینکی ذهین کروخیل,,,,,,,,,,,,Shinkai Karokhail,,,,,,,Category:Shinkai Karokhail,,,,Shinkai Karokhail,,,,,شینکی ذهین کروخیل,,,,,,,,,,,,,,,,,,,,,,,Shinkai Karokhail,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/19/Shinkai_Karokhail_(2).jpg,female,,,,1962-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q500276,,,,,,,,,Said Mohammad Gulabzoi,,,Said Mohammad Gulabzoi,,,,,,Sayed Mohammad Gulabzoy,,サイイド・ムハンマド・グラーブズイ,,,,,Sayed Mohammad Gulabzoy,,Mohammed Gulabzoy,,,,,"Гулябзой, Саид Мохаммад",,,,,,,محمدگلاب زوی,,,,,,塞義德·穆罕默德·古拉布佐伊,,,,,,Sayed Mohammad Gulabzoy,,,,,,,,,,Sayed Mohammad Gulabzoy,Sayed Mohammad Gulabzoy,,Said Mohammad Gulabzoi,,,محمدگلاب زوی,,,,,,,サイイド・ムハンマド・グラーブズイ,,,,,,Mohammed Gulabzoy,,,,,,"Гулябзой, Саид Мохаммад",,,,,,,,,,,塞義德·穆罕默德·古拉布佐伊,https://upload.wikimedia.org/wikipedia/commons/8/81/RIAN_archive_829398_Afghan_ambassador_grants_an_Order_of_Glory_of_the_Republic_of_Afghanistan_to_A._Sekretaryov's_family.jpg,male,,,,1951,,/m/0bhb2n7,Mohammed,,,,,,,,,,,,,,,,Said Mohammad Gulabzoi,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q5207854,,,,,,,,,,,,,,,,داد محمد خان,,Dad Mohammad Khan,,,,,,,Dad Mohammad Khan,,Dad Mohammad Khan,,,,,,,,,,,,داد محمد خان,,,,,,,,,,,,Dad Mohammad Khan,,,,,,,,,,,Dad Mohammad Khan,,,,,امیر داد محمد خان,,,,,,,,,,,,,,,,داد محمد خان,,,,,,,,,,,,,,,,male,,,,,2009-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q5398489,,,,,,,,,Esmatullah Muhabat,,,Esmatullah Muhabat,,,Esmatullah Muhabat,,,Esmatullah Muhabat,,,,,,,Esmatullah Muhabat,,Esmatullah Muhabat,,,,,,,,,,,,,,,,,,,,,,,,Esmatullah Muhabat,,,,,,,,,,,Esmatullah Muhabat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/1/1b/Esmatullah_Muhabat,_Legham_Province,_Afghanistan.jpg",male,,,,,2005-12,,,,,,,,,,,,,,,,,,Esmatullah Muhabat,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q5435214,,,,,,,,,Fariba Ahmadi Kakar,,,Fariba Ahmadi Kakar,,,,,,Fariba Ahmadi Kakar,,ファリバ・アハマディ・カカル,,,,,Fariba Ahmadi Kakar,,Fariba Ahmadi Kakar,,,,,,,,,,,,فریبا احمدی کاکر,,,,,,,,,,,,Fariba Ahmadi Kakar,,,,,,,,,,,Fariba Ahmadi Kakar,,,,,فریبا احمدی کاکر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,,1965,,,,,,,,,,,,,,,,,,,Fariba Ahmadi Kakar,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q5438420,,,,,,,,,Fauzia Gailani,,,Fauzia Gailani,,,Fauzia Gailani,,,Fauzia Gailani,,,,,,,Fauzia Gailani,,Fauzia Gailani,,,,,,,,,,,,فوزیه گیلانی,,,,,,,,,,,,Fauzia Gailani,,,,,,,Category:Fauzia Gailani,,,,Fauzia Gailani,,,,,فوزیه گیلانی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/07/Fauzia_Gailani_of_Afghanistan-cropped.jpg,female,,,,1971,,,Fauzia,,,,,,,,,,,,,,,,Fauzia Gailani,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q5439236,,,,,,,,,Fazlullah Mujadedi,,,Fazlullah Mujadedi,,,,فضل الله مجددي,,Fazlullah Mujadedi,,,,,,,Fazlullah Mujadedi,,Fazlullah Mujadedi,,,,,,,,,,,,,,,,,,,,,,,,Fazlullah Mujadedi,,,,,,,,,,,Fazlullah Mujadedi,,,,,,,,,,,,,,,,,,,,,فضل الله مجددي,,,,,,,,,,,,,,,,male,,,,1957,,,,,,,,,,,,,,,,,,,Fazlullah Mujadedi,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q545955,,,,,,,,,Abdul Rasul Sayyaf,압둘 라술 사야프,,Abdul Rasul Sayyaf,,,Abd al-Rasul Sayyaf,عبدالرب رسول سياف,,Abdul Rab Rasul Sayyaf,Abdul Rasul Sayyaf,アブドゥル・ラスル・サイヤフ,അബ്ദുൾ റസൂൽ സയ്യഫ്,,,,Abdul Rasul Sayyaf,,Abdul Rasul Sayyaf,عبد رب الرسول سياف,,,,"Сайяф, Абдул Расул",,,,,Абдул Расул Сайяф,,رسول سیاف,,,,,,,,,,,,Abdul Rasul Sayyaf,عبد رب الرسول سياف,,,,,,Category:Abdul Rasul Sayyaf,,,Abdul Rasul Sayyaf,Abdul Rasul Sayyaf,,Abdul Rasul Sayyaf,,,رسول سیاف,,,,,Abdul Rasul Sayyaf,Abd al-Rasul Sayyaf,アブドゥル・ラスル・サイヤフ,,압둘 라술 사야프,അബ്ദുൾ റസൂൽ സയ്യഫ്,,,,,,عبدالرب رسول سياف,,,"Сайяф, Абдул Расул",,,,,,,,Абдул Расул Сайяф,,,,https://upload.wikimedia.org/wikipedia/commons/f/f4/عبدالرب_رسول_سياف.jpg,male,9722922,,nr93046088,1946,,/m/02_4n_,Abdul,,,,,,,,,,,,,,,,Abdul Rasul Sayyaf,,,,,,,331869,,,,,,,,,,,,,,politician,,,,,,,,,,,,149669,,,,,,
Q5506266,,,,,,,,,Frozan Fana,,,Frozan Fana,,,Frozan Fana,,,Frozan Fana,,,,,,,Frozan Fana,,Frozan Fana,,,,,,,,,,,,,,,,,,弗罗申·法娜,,,,,,Frozan Fana,,,,,,,,,,,Frozan Fana,,,,,فروزان فنا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,弗罗申·法娜,,female,,,,1969,,,,,,,,,,,,,,,,,,,Frozan Fana,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q5617136,,,,,,,,,,,,Gul Haar Jalal,,,,,,Gul Haar Jalal,,,,,,,Gul Haar Jalal,,Gul Haar Jalal,,,,,,,,,,,,گلهار جلال,,,,,,,,,,,,Gul Haar Jalal,,,,,,,,,,,Gul Haar Jalal,,,,,گلهار جلال,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,,,,,,,,,,,,,,,,,,,,,Gul Haar Jalal,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q5636843,,,,,,,,,,,,Habibullah Jan,,,,,,Habibullah Jan,,,,,,,Habibullah Jan,,Habibullah Jan,,,,,,,,,,,,,,,,,,,,,,,,Habibullah Jan,,,,,,,,,,,Habibullah Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,2008-07-05,,,,,,,,,,,,,,,,,,Habibullah Jan,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q5688389,,,,,,,,,Hazrat Ali,,,Hazrat Ali,,,Ali,,,Hazrat Ali,,ハズラト・アリー,,,,,Hazrat Ali,,Hazrat Ali,,,,,,,,,,,,حضرت علی,,,,,,,,,,,,Hazrat Ali,,,,,,,,,,,Hazrat Ali (Afghan politician),,,,,حضرت علی (سیاستمدار افغان),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,1964,,,,,,,,,,,,,,,,,,,Hazrat Ali,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q5917451,,,,,,,,,,,,,,,Abdul Rauf Ibrahimi,عبدالروف ابراهيمي,,,,,,,,,Abdul Rauf Ibrahimi,,Abdul Rauf Ibrahimi,,,,,,,,,,,,عبدالرؤوف ابراهیمی,,,,,,阿卜杜勒·拉烏夫·埃布拉希米,,,,,,Abdul Rauf Ibrahimi,,,,,,,Category:Abdul Rauf Ibrahimi,,,,Abdul Rauf Ibrahimi,,,,,عبدالرؤوف ابراهیمی,,,,,,,,,,,,,,,,عبدالروف ابراهيمي,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/25/Abdul_Rauf_Ibrahimi_in_2011.jpg,male,,,,1962,,,Abdur Rauf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q6080001,,,,,,,,,Ishaq Gailani,,,,,,,سيد اسحاق ګيلاني,,Ishaq Gailani,,,,,,,Ishaq Gailani,,Ishaq Gailani,,,,,,,,,,,,,,,,,,,,,,,,Ishaq Gailani,,,,,,,,,,,Ishaq Gailani,,,,,,,,,,,,,,,,,,,,,سيد اسحاق گيلاني,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/07/Pir_Ishaq_Gailani.jpg,male,,,,1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q6147737,,,,,,,,,,,,Jamil Karzai,,,,جميل کرزی,,Jamil Karzai,,,,,,,Jamil Karzai,,Jamil Karzai,,,,,,,,,,,,جمیل کرزی,,,,,,,,,,,,Jamil Karzai,,,,,,,,,,,Jamil Karzai,,,,,جمیل کرزی,,,,,,,,,,,,,,,,جميل کرزی,,,,,,,,,,,,,,,,male,,,,,,,Jamil,,,,,,,,,,,,,,,,Jamil Karzai,,,,,,,,,,,,,,,,,,,,,politician,,,,Karzai,,,,,,,,,,,,,,
Q6398889,,,,,,,,,,,,Khadija Ahrari,,,,,,Khadija Ahrari,,,,,,,Khadija Ahrari,,Khadija Ahrari,,,,,,,,,,,,,,,,,,,,,,,,Khadija Ahrari,,,,,,,,,,,Khadija Ahrari,,Khadija Ahrari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,,"",,,Khadija,,,,,,,,,,,,,,,,Khadija Ahrari,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q6399558,,,,,,,,,,,,Khalid Pashtoon,,,,خالد پښتون,,Khalid Pashtoon,,,,,,,Khalid Pashtoon,,Khalid Pashtoon,,,,,,,,,,,,خالد پشتون,,,,,,,,,,,,Khalid Pashtoon,,,,,,,,,,,Khalid Pashtoon,,,,,خالد پشتون,,,,,,,,,,,,,,,,خالد پښتون,,,,,,,,,,,,,,,,male,,,,,,,Khalid,,,,,,,,,,,,,,,,Khalid Pashtoon,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
Q6403467,,,,,,,,,,,,Khyal Mohammad Mohammad Khan,,,,,,Khyal Mohammad Mohammad Khan,,,,,,,Khyal Mohammad Mohammad Khan,,Khyal Mohammad Mohammad Khan,,,,,,,,,,,,,,,,,,,,,,,,Khyal Mohammad Mohammad Khan,,,,,,,,,,,Khyal Mohammad Mohammad Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,Khyal Mohammad Mohammad Khan,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
