id,name__id,name,wikipedia__id,original_wikiname,name__it,gender,given_name,birth_date,name__en,name__nl,name__de,name__fr,wikipedia__en,image,name__jv,name__es,wikipedia__jv,identifier__VIAF,name__ms,name__su,name__min,wikipedia__min,wikipedia__ms,wikipedia__su,name__zh,wikipedia__zh,name__nb,name__da,name__nn,name__sv,identifier__freebase,name__ru,wikipedia__ru,wikipedia__commons,name__ar,wikipedia__ar,wikipedia__es,identifier__MusicBrainz,name__ja,name__pl,name__hu,name__fa,name__pt,wikipedia__de,wikipedia__fa,wikipedia__fr,wikipedia__hu,wikipedia__it,wikipedia__ja,wikipedia__nl,wikipedia__pl,wikipedia__pt,identifier__ITF,name__map_bms,wikipedia__map_bms,name__zh_hans,name__zh_hant,name__zh_hk,website,name__pa,wikipedia__pa,name__af,name__an,name__ast,name__bar,name__br,name__ca,name__co,name__cs,name__cy,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__et,name__eu,name__fi,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__ia,name__ie,name__io,name__is,name__kg,name__lb,name__li,name__lij,name__mg,name__nap,name__nds,name__nds_nl,name__nrm,name__oc,name__pcd,name__pms,name__pt_br,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sl,name__sr_el,name__sw,name__vec,name__vi,name__vls,name__vo,name__wa,name__wo,name__zu,name__el,death_date,name__th,wikipedia__th,wikipedia__vi,identifier__SUDOC,identifier__IMDB,identifier__NLAtrove,twitter,identifier__FAST,identifier__OLID,occupation,wikipedia__lv,name__lv,identifier__LCAuth,identifier__quora,identifier__ISNI,name__ksh,identifier__NTA,identifier__DBNL,identifier__BNF,identifier__moviemeter,identifier__AlloCine,identifier__allmovie,identifier__PORT,identifier__kinopoisk,identifier__snac,name__ace,name__zh_cn,name__be_tarask,name__be,identifier__GND,name__bjn,wikipedia__bjn,name__ko,name__he,name__yue,wikipedia__cs,wikipedia__ko,wikipedia__simple,wikipedia__zh_yue,facebook,identifier__wikitree,family_name,instagram,identifier__NLA,wikipedia__bn,name__bn,wikipedia__ml,name__ml,wikipedia__idwikiquote,wikipedia__gor,identifier__GTAA,name__gor,name__lfn,name__uz,name__ta,name__or,name__am,name__pnb,name__tr,name__az,name__ug,name__ks,name__yo,name__ps,name__sa,name__hi,name__sd,name__war,name__bg,name__te,name__ur,name__sq,name__uk,name__ku,name__kn,name__bs,name__gom,name__azb,name__bpy,name__tg,name__ckb,name__gom_latn,name__gom_deva,name__mwl,name__mr,wikipedia__am,wikipedia__arwikiquote,wikipedia__ast,wikipedia__azb,wikipedia__az,wikipedia__azwikisource,wikipedia__be,wikipedia__bg,wikipedia__bpy,wikipedia__bswikiquote,wikipedia__ca,wikipedia__ckb,wikipedia__cswikiquote,wikipedia__da,wikipedia__enwikiquote,wikipedia__enwikisource,wikipedia__eo,wikipedia__et,wikipedia__fawikisource,wikipedia__fi,wikipedia__gl,wikipedia__gom,wikipedia__he,wikipedia__hi,wikipedia__hiwikiquote,wikipedia__hr,wikipedia__hrwikiquote,wikipedia__kn,wikipedia__ks,wikipedia__ku,wikipedia__la,wikipedia__lfn,wikipedia__mg,wikipedia__mwl,wikipedia__no,wikipedia__or,wikipedia__plwikiquote,wikipedia__pnb,wikipedia__ps,wikipedia__ro,wikipedia__sa,wikipedia__sco,wikipedia__sd,wikipedia__slwikiquote,wikipedia__sq,wikipedia__sv,wikipedia__ta,wikipedia__te,wikipedia__tg,wikipedia__tr,wikipedia__trwikiquote,wikipedia__ug,wikipedia__uk,wikipedia__ur,wikipedia__urwikiquote,wikipedia__uz,wikipedia__war,wikipedia__yo,identifier__NDL,identifier__BIBSYS,identifier__Munzinger,identifier__SELIBR,identifier__N6I,identifier__Gutenberg,identifier__GNC,identifier__NPG,identifier__britishmuseum,identifier__NLI,identifier__BNE,identifier__EGAXA,identifier__SBN_it,identifier__NKC,identifier__NUKAT,identifier__PTBNP,identifier__bigenc_ru,identifier__ne_se,identifier__Britannica,identifier__Oxforddnb,identifier__CONOR,identifier__LAC,name__bm,name__frc,name__jam,name__kab,name__lt,name__pap,name__prg,name__rgn,name__vmf,wikipedia__mr,name__zh_sg,name__zh_tw,name__sh,name__hy,name__sr_ec,name__diq,name__mk,name__sr,name__ka,name__tl,name__ota,name__nan,name__kk,name__tk,wikipedia__af,wikipedia__br,wikipedia__bs,wikipedia__diq,wikipedia__el,wikipedia__eu,wikipedia__hy,wikipedia__ka,wikipedia__kk,wikipedia__mk,wikipedia__sh,wikipedia__sk,wikipedia__sr,wikipedia__sw,wikipedia__tk,wikipedia__trwikisource,wikipedia__zh_min_nan,noble_title,identifier__CERL,wikipedia__frr,name__frr
Q12524547,Willy Midel Yoseph,Willy Midel Yoseph,Willy Midel Yoseph,Willy Midel Yoseph,,male,Willy,1960-05-01,Willy Midel Yoseph,,,,,,,,,305858478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0004 2338 5900,,369226062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12525322,Yoyoh Yusroh,Yoyoh Yusroh,Yoyoh Yusroh,Yoyoh Yusroh,,female,,1962-11-14,Yoyoh Yusroh,Yoyoh Yusroh,,Yoyoh Yusroh,,,Yoyoh Yusroh,,Yoyoh Yusroh,184853247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yoyoh Yusroh,,,,,,,,,,,2011-05-21,,,,,,1498056,,,,politician,,,n2007225357,,0000 0001 3892 9892,,337791260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12525496,Zulmiar Yanri,Zulmiar Yanri,Zulmiar Yanri,Zulmiar Yanri,,,,1948-01-01,Zulmiar Yanri,Zulmiar Yanri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zulmiar Yanri,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12699002,Nu'man Abdul Hakim,Nu'man Abdul Hakim,Nu'man Abdul Hakim,Nu'man Abdul Hakim,,male,,1953-04-11,Nu'man Abdul Hakim,,,,,,,,,,Nu'man Abdul Hakim,,,,Nu'man Abdul Hakim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nu'man Abdul Hakim,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1279930,Moreno Soeprapto,Moreno Soeprapto,Moreno Soeprapto,Moreno Soeprapto,,male,Moreno,1982-11-14,Moreno Suprapto,Moreno Suprapto,Moreno Soeprapto,Moreno Suprapto,Moreno Soeprapto,https://upload.wikimedia.org/wikipedia/commons/8/86/MorenoSoeprapto.jpg,,Moreno Suprapto,,,Moreno Soeprapto,,Moreno Soeprapto,Moreno Soeprapto,Moreno Soeprapto,,,,,,,,/m/0ccn6s,,,Category:Moreno Suprapto,,,,,,,,,Moreno Suprapto,Moreno Soeprapto,,,,,,Moreno Suprapto,,Moreno Suprapto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moreno Suprapto,,,,,,,,,,,,,,,,,,,,,racing driver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13091583,Angelina Sondakh,Angelina Sondakh,Angelina Sondakh,Angelina Sondakh,,female,,1977-12-28,Angelina Sondakh,,,,,,Angelina Sondakh,,Angelina Sondakh,167324176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.angelinasondakh.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0001 1432 1997,,244435359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13092889,E.E. Mangindaan,E.E. Mangindaan,E.E. Mangindaan,Evert Ernest Mangindaan,,male,,1943-01-05,E.E. Mangindaan,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a6/EE_Mangindaan.jpg,E.E. Mangindaan,,E. E. Mangindaan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E.E. Mangindaan,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13094776,Lucky Hakim,Lucky Hakim,Lucky Hakim,Lucky Hakim,,male,,1978-01-12,Lucky Hakim,,,,,https://upload.wikimedia.org/wikipedia/commons/6/63/Lucky_hakim_crop.jpg,Lucky Hakim,,Lucky Hakim,,Lucky Hakim,,,,Lucky Hakim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13095097,Meutya Hafid,Meutya Hafid,Meutya Viada Hafid,Meutya Hafid,,female,,1978-05-03,Meutya Hafid,Meutya Hafid,Meutya Hafid,Meutya Hafid,Meutya Hafid,https://upload.wikimedia.org/wikipedia/commons/f/f5/Meutya_Hafid.jpg,Meutya Hafid,Meutya Hafid,Meutya Hafid,215131830,,,,,,,,,,,,,,,,Category:Meutya Hafid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meutya Hafid,,,,,,,,,,,,,,,129688045,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13097173,Siswono Yudo Husodo,Siswono Yudo Husodo,Siswono Yudo Husodo,Siswono Yudo Husodo,,male,,1943-07-04,Siswono Yudo Husodo,Siswono Yudo Husodo,,Siswono Yudo Husodo,,,Siswono Yudo Husodo,,Siswono Yudo Husodo,72300666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siswono Yudo Husodo,,,,,,,,,,,,,,,,,,,296631,,politician,,,n89214293,,0000 0004 4458 0086,,085367737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13097776,Taufiq Effendi,Taufiq Effendi,Taufiq Effendi,Taufiq Effendi,,male,,1941-04-12,Taufiq Effendi,,,,,,Taufiq Effendi,,Taufiq Effendi,170726758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taufiq Effendi,,,,,,,,,,,,,,,,,1523975,,,,civil servant,,,,,0000 0001 1975 840X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1350057,Utut Adianto,Utut Adianto,Utut Adianto,Utut Adianto,,male,,1965-03-16,Utut Adianto,Utut Adianto,Utut Adianto,Utut Adianto,Utut Adianto,https://upload.wikimedia.org/wikipedia/commons/3/3a/Utut_Adianto_Wahyuwidayat.jpg,Utut Adianto,Utut Adianto,Utut Adianto,,,,,,,,,,,,,,/m/063kg0,Утут Адианто,"Адианто, Утут",Category:Utut Adianto,أوتوت أديانتو,أوتوت أديانتو,,,,Utut Adianto,,,Utut Adianto,Utut Adianto,,Utut Adianto,,,,,Utut Adianto,Utut Adianto,,,,,,,,ਉਤੂਤ ਏਡੀਆਂਟੋ,ਉਤੂਤ ਏਡੀਆਂਟੋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utut Adianto,,,,,,,,,,,,,,,,,,,,,chess player,Ututs Adianto,Ututs Adianto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14917433,Rachel Maryam,Rachel Maryam,Rachel Maryam,Rachel Maryam,,female,Rachel,1980-04-20,Rachel Maryam,Rachel Maryam,,Rachel Maryam,,https://upload.wikimedia.org/wikipedia/commons/9/9c/Rachel_Maryam.JPG,Rachel Maryam Sayidina,,Rachel Maryam Sayidina,,,,,,,,,,,,,,,,,Category:Rachel Maryam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rachel Maryam,,,,,,,,,,,,,,,,,,,,,actor,,,,,0000 0000 4862 7532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q151500,Abdul Aziz,Abdul Aziz,Abdul Aziz,Abdul Aziz,Abdul Aziz,male,Abd al-Aziz,1830-02-09,Abdülaziz,Abdülaziz,Abdülaziz,Abdulaziz,Abdülaziz,https://upload.wikimedia.org/wikipedia/commons/4/4b/Sultan_Abdullaziz_of_the_Ottoman_Empire.jpg,,Abdülaziz I,,122114473,Abd-ul-Aziz,,,,Abd-ul-Aziz,,阿卜杜勒-阿齊茲一世,阿卜杜勒-阿齊茲一世,Abdülâziz,,,Abd ül-Aziz,/m/0106t,Абдул-Азиз,Абдул-Азиз,Sultan Abdülaziz,عبد العزيز الأول,عبد العزيز الأول,Abdülaziz I,,アブデュルアズィズ,Abd-ul-Aziz,Abdul-Aziz oszmán szultán,عبدالعزیز یکم,Abd-ul-Aziz,Abdülaziz,عبدالعزیز یکم,Abdülaziz,Abdul-Aziz oszmán szultán,Abdul Aziz,アブデュルアズィズ,Abdülaziz,Abdülaziz,Abdulazize (sultão otomano),,,,阿卜杜勒-阿齐兹一世,阿卜杜勒-阿齊茲一世,阿卜杜勒-阿齊茲一世,,,,Abdülaziz,,,,Abdülaziz,Abdülâziz,,Abdulaziz,,,Abdülaziz,Abdülaziz,Abdülaziz,Abd-ul-Aziz,Abdülaziz,Abdulaziz I.a,Abd-ul-Aziz,,,,,,,Abdul Aziz,,,,,,,,,,,,,,,,,Abd-ul-Aziz,,Abdul-Aziz,,,Abdülaziz o the Ottoman Empire,Abdülaziz,Abdülaziz,Abdul Aziz,Abdulaziz I,,Abdul Aziz,,,,,,Αμπντούλ Αζίζ,1876-06-04,สุลต่านอับดุล อะซีซ,สุลต่านอับดุล อะซีซ,Abdul Aziz,102198012,,,,375777,,ruler,Abdulazizs,Abdulazizs,nr96020278,,0000 0001 0837 9148,,160978017,,153663404,,,,,,,,阿卜杜勒-阿齐兹一世,,Абдул-Азіз,12481400X,,,압뒬라지즈,אבדילאזיז,,Abdulaziz,압뒬라지즈,Abdülaziz,,,,,,,,,അബ്‌ദുൽ അസീസ്,അബ്‌ദുൽ അസീസ്,,,,,,Abdulaziz I,,,,,Abdülaziz,Əbduləziz,,,,,,अब्दुल अज़ीज़,,,Абдул Азис,,عبد العزیز اول,Abdyl Azizi,Абдул-Азіз,,,Abdul Aziz,,بیرینجی عبدالعزیز,,,عەبدولعەزیز,,,,"अब्दुल अझीझ, ओस्मानी सम्राट",,,,بیرینجی عبدالعزیز,Əbdüləziz (sultan),,Абдул-Азіз,Абдул Азис,,,Abdülâziz,عەبدولعەزیز (سوڵتان),,,,Author:Abd-ul-Aziz (1830-1876),Abd-ul-Aziz,Abdülaziz,,Abd-ul-Aziz (sulttaani),,,אבדילאזיז,अब्दुल अज़ीज़ (उस्मानी साम्राज्य),,Abdul Aziz,,,,,,,,,Abdülâziz,,Abd-ul-Aziz,,,Abdul-Aziz,,Abdülaziz o the Ottoman Empire,,,Abdyl Azizi,Abd ül-Aziz,,,,Abdülaziz,,,Абдул-Азіз,عبد العزیز اول,,Abdulaziz I,,,,,,277354,,,0000164,mp00003,,,,,,,,,660553,abdulaziz,biography/Abdulaziz-Ottoman-sultan,,,,,,,,,,,,,"अब्दुल अझीझ, ओस्मानी सम्राट",阿卜杜勒-阿齐兹一世,阿卜杜勒-阿齊茲一世,Abdul Aziz,Աբդուլ Ազիզ,Абдул Азиз,Abdul Aziz,Абдул Азис,Абдул Азиз,აბდულაზიზი,Abdülaziz,عبد العزيز|Abd ül-Azîz,Abdülaziz 1-sè,Әбділғазиз,Abdulaziz,Abdülaziz,Abdülaziz (sultan),Abdulaziz (sultan),Abdul Aziz,Αμπντούλ Αζίζ,Abdulaziz I.a,Աբդուլ Ազիզ,აბდულაზიზი,Әбділғазиз (Османлы сұлтаны),Абдул Азис,Abdul Aziz,Abdülaziz,Абдул Азиз,Abdulaziz I,Abdulaziz,Kişi:Abdülaziz,Abdülaziz 1-sè,sultan of the Ottoman Empire,cnp00582852,Abdülasis,Abdülasis
Q15620237,Hikmat Tomet,Hikmat Tomet,Hikmat Tomet,Hikmat Tomet,,male,,1955-06-05,Hikmat Tomet,,,Hikmat Tomet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-11-09,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15646541,Puan Maharani,Puan Maharani,Puan Maharani,Puan Maharani,Puan Maharani,female,,1973-09-06,Puan Maharani,Puan Maharani,Puan Maharani,Puan Maharani,Puan Maharani,https://upload.wikimedia.org/wikipedia/commons/9/9c/Puan_Maharani.jpg,,Puan Maharani,,,,,,,,,,,Puan Maharani,,,,,Пуан Махарани,,,,,,,プアン・マハラニ,,,,,,,,,,,,,,,,,,普安·馬哈拉尼,,,,,,,,,,,,Puan Maharani,,,,,,,,Puan Maharani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Puan Maharani,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,普安·马哈拉尼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16162253,Abdul Hakam Naja,Abdul Hakam Naja,Abdul Hakam Naja,Abdul Hakam Naja,,male,Abdul,1965-04-27,Abdul Hakam Naja,Abdul Hakam Naja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdul Hakam Naja,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16162367,Abdul Malik Haramain,Abdul Malik Haramain,Abdul Malik Haramain,Abdul Malik Haramain,,male,Abdul Malik,1972-05-03,Abdul Malik Haramain,Abdul Malik Haramain,,,,https://upload.wikimedia.org/wikipedia/commons/b/b3/Malik_Haramain.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdul Malik Haramain,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16162502,Abdul Wachid,Abdul Wachid,Abdul Wachid,Abdul Wachid,,male,Abdul,1961-05-12,Abdul Wachid,Abdul Wachid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdul Wachid,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16162516,Abdul Wahab Dalimunthe,Abdul Wahab Dalimunthe,Abdul Wahab Dalimunthe,Abdul Wahab Dalimunthe,,male,Abdul Wahhab,1939-01-10,Abdul Wahab Dalimunthe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16162627,Alimin Abdullah,Alimin Abdullah,Alimin Abdullah,Alimin Abdullah,Alimin Abdullah,male,,1949-09-19,Alimin Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
