id,name__en,name,wikipedia__en,gender,given_name,birth_date,death_date,identifier__freebase,image,identifier__VIAF,identifier__LCAuth,identifier__BNF,identifier__GNC,identifier__ISNI,identifier__GND,identifier__NLA,identifier__NTA,identifier__Oxforddnb,name__fr,name__es,name__nl,name__pl,name__nb,name__da,name__nn,name__sv,name__de,wikipedia__es,wikipedia__fr,wikipedia__pl,name__it,name__gl,name__ca,name__ta,wikipedia__ca,wikipedia__gl,wikipedia__ta,name__he,wikipedia__he,name__et,name__id,name__fi,name__el,name__en_ca,name__en_gb,name__pt,wikipedia__commons,wikipedia__da,wikipedia__el,wikipedia__enwikiquote,wikipedia__et,wikipedia__fi,wikipedia__id,wikipedia__it,wikipedia__pt,wikipedia__sv,name__ru,name__bg,wikipedia__bg,wikipedia__de,wikipedia__ru,name__cs,wikipedia__cs,name__zh,name__hu,wikipedia__hu,wikipedia__zh,identifier__SUDOC,original_wikiname,name__cy,identifier__FAST,family_name,last_seen,name__zh_hant,name__zh_cn,name__ja,occupation,name__sco,wikipedia__sco,wikipedia__tr,name__tr,name__ar,website,name__uk,wikipedia__uk,identifier__Britannica,name__sl,wikipedia__ast,name__ast,identifier__GTAA,identifier__BNE,name__zh_hans,twitter,wikipedia__simple,name__sq
Q61943727,Emilius Alvarez,Emilius Alvarez,,male,,,,,,,,,,,,,,,,Emilius Alvarez,Emilius Alvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Emilius Alvarez,,,,,,
Q61943728,Ernest Russo,Ernest Russo,,male,Ernest,,,,,,,,,,,,,,,Ernest Russo,Ernest Russo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Ernest Russo,,,,,,
Q61943729,Francis Panayotti,Francis Panayotti,,male,,,,,,,,,,,,,,,,Francis Panayotti,Francis Panayotti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Francis Panayotti,,,,,,
Q61943730,Freddie Vasquez,Freddie Vasquez,,male,,,,,,,,,,,,,,,,Freddie Vasquez,Freddie Vasquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Freddie Vasquez,,,,,,
Q61943731,Joseph Patron,Joseph Patron,,male,,,,,,,,,,,,,,,,Joseph Patron,Joseph Patron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Joseph Patron,,,,,,
Q61943732,Joshua Gabay,Joshua Gabay,,male,Joshua,,,,,,,,,,,,,,,Joshua Gabay,Joshua Gabay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Joshua Gabay,,,,,,
Q61943733,Juan Jose Triay,Juan Jose Triay,,male,,,,,,,,,,,,,,,,Juan Jose Triay,Juan Jose Triay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Juan Jose Triay,,,,,,
Q61943734,Kenneth Anthony,Kenneth Anthony,,male,Kenneth,,,,,,,,,,,,,,,Kenneth Anthony,Kenneth Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Kenneth Anthony,,,,,,
Q61943736,L. W. Triay,L. W. Triay,,male,,,,,,,,,,,,,,,,,L. W. Triay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,L. W. Triay,,,,,,
Q61943737,Lawrence Llamas,Lawrence Llamas,,male,Lawrence,,,,,,,,,,,,,,,Lawrence Llamas,Lawrence Llamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Lawrence Llamas,,,,,,
Q61943738,Lewis Francis,Lewis Francis,,male,,,,,,,,,,,,,,,,Lewis Francis,Lewis Francis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Lewis Francis,,,,,,
Q61943739,Lucio Randall,Lucio Randall,,male,,,,,,,,,,,,,,,,Lucio Randall,Lucio Randall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Lucio Randall,,,,,,
Q61943740,Luis Montiel,Luis Montiel,,male,,,,,,,,,,,,,,,,Luis Montiel,Luis Montiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Luis Montiel,,,,,,
Q61943741,M. E. Chiappe,M. E. Chiappe,,male,,,,,,,,,,,,,,,,,M. E. Chiappe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,M. E. Chiappe,,,,,,
Q61943742,Maurice Ramagge,Maurice Ramagge,,male,Maurice,,,,,,,,,,,,,,,Maurice Ramagge,Maurice Ramagge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Maurice Ramagge,,,,,,
Q61943744,Peter Cumming,Peter Cumming,,male,,,,,,,,,,,,,,,,Peter Cumming,Peter Cumming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Peter Cumming,,,,,,
Q61943745,Roy Clinton,Roy Clinton,,male,,,,,,,,,,,,,,,,Roy Clinton,Roy Clinton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Roy Clinton,,,,,,
Q61943746,Selwyn Figueras,Selwyn Figueras,,male,,,,,,,,,,,,,,,,Selwyn Figueras,Selwyn Figueras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Selwyn Figueras,,,,,,
Q61943749,Sergio Triay,Sergio Triay,,male,Sergio,,,,,,,,,,,,,,,Sergio Triay,Sergio Triay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Sergio Triay,,,,,,
Q61943750,Trevor Hammond,Trevor Hammond,,male,,,,,,,,,,,,,,,,Trevor Hammond,Trevor Hammond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Trevor Hammond,,,,,,
Q61943751,William Scott,William Scott,,male,William,,,,,,,,,,,,,,,William Scott,William Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,William Scott,,,,,,
Q61943752,Henry Coehlo,Henry Coehlo,,male,Henry,,,,,,,,,,,,,,,Henry Coehlo,Henry Coehlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Henry Coehlo,,,,,,
Q61943753,John Hayward,John Hayward,,male,,,,,,,,,,,,,,,,John Hayward,John Hayward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,John Hayward,,,,,,
Q6210376,Joe Holliday,Joe Holliday,Joe Holliday,male,Joe,,,,,,,,,,,,,,,Joe Holliday,Joe Holliday,,,,,,Joe Holliday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Joe Holliday,,,,,,
Q6384005,Keith Azopardi,Keith Azopardi,Keith Azopardi,male,Keith,1967-06-06,,,https://upload.wikimedia.org/wikipedia/commons/2/2a/Keith_Azopardi_on_National_Day_2011.jpg,101455753,nb2009027359,,,0000 0000 7193 5357,,,322458307,,Keith Azopardi,Keith Azopardi,Keith Azopardi,,,,,,Keith Azopardi,,,,,,Keith Azopardi,,,,,,,,,,,,,,Category:Keith Azopardi,,,,,,,,,,,,,,,Keith Azopardi,Keith Azopardi,,Keith Azopardi,,,,,,,Azopardi,,,,,politician,,,,,,,,,,Keith Azopardi,,Keith Azopardi,,,,,,
Q6793547,Maurice Xiberras,Maurice Xiberras,Maurice Xiberras,male,Maurice,1936-11-14,2017-03-19,,https://upload.wikimedia.org/wikipedia/commons/2/2c/Maurice_Xiberras_in_1981.jpg,,,,,,,,,,Maurice Xiberras,Maurice Xiberras,,,,,,,Maurice Xiberras,,,,,,Maurice Xiberras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maurice Xiberras,,,,,,,Xiberras,,,,,teacher,,,,,,http://www.surbitoncounselling.co.uk,,,,Maurice Xiberras,,Maurice Xiberras,,,,,Maurice Xiberras,
Q7174840,Peter Isola,Peter Isola,Peter Isola,male,Peter,1929,2006-01-28,,,,,,,,,,,,Peter Isola,Peter Isola,Peter Isola,,,,,,Peter Isola,,,,Peter Isola,,,,,,,,,,,,,,,,Category:Peter Isola,,,,,,,,,,,,,Peter Isola,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,Peter Isola,112267,,,,,
Q7308321,Reggie Valarino,Reggie Valarino,Reggie Valarino,male,Reggie,1941-06-09,2009-03-13,,,,,,,,,,,,Reggie Valarino,Reggie Valarino,,,,,,,Reggie Valarino,,,,Reggie Valarino,Reggie Valarino,Reggie Valarino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reggie Valarino,,,,,,,,,,,,politician,,,,,,,,,,Reggie Valarino,,Reggie Valarino,,,,,,Reggie Valarino
Q7558744,Solomon Seruya,Solomon Seruya,Solomon Seruya,male,Solomon,1926,2015-03-31,,,,,,,,,,,,Solomon Seruya,Solomon Seruya,Solomon Seruya,,,,,,Solomon Seruya,,,,,,Solomon Seruya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solomon Seruya,,,,,Solomon Seruya,,,,,,,diplomat,,,,,,,,,,,,Solomon Seruya,,,,,,
