id,name,gender,identifier__VIAF,identifier__BNF,birth_date,given_name,identifier__sycomore,identifier__senatfr,image,family_name,death_date,name__en,identifier__freebase,identifier__senatDOTfr,name__fr,wikipedia__fr,wikipedia__en,identifier__SUDOC,name__nl,name__es,name__nb,name__da,name__nn,name__sv,name__de,name__pl,name__ko,name__ca,name__ms,wikipedia__ca,wikipedia__ko,wikipedia__ms,wikipedia__pl,name__el,wikipedia__el,identifier__FAST,name__oc,wikipedia__oc,name__it,name__hu,name__pt,name__cy,wikipedia__pt,identifier__ISNI,wikipedia__de,identifier__EuroparlMEP,wikipedia__es,wikipedia__no,original_wikiname,name__zh_hant,name__zh_cn,twitter,occupation,identifier__LCAuth,wikipedia__commons,name__als,name__simple,name__nds,name__lt,name__li,name__lb,name__gsw,name__ht,wikipedia__ht,identifier__assemblee_nationale,identifier__ULAN,identifier__whoswho_france,name__ar,identifier__GND,name__zh,name__ru,name__sl,facebook,linkedin,identifier__NTA,wikipedia__ast,name__ja,name__ast,website
Q3386116,Pierre Maresca,male,232780425,150209102,1941-07-30,Pierre,,,,,,Pierre Maresca,,,Pierre Maresca,Pierre Maresca,,060408766,,,,,,,,,,,,,,,,,,,,,Pierre Maresca,,,,,0000 0003 6591 9360,,,,,Pierre Maresca,,,,politician,no2003011859,,,,,,,,,,,,,,,1020913452,,,Pierre Maresca,,,,,,,
Q3436591,Robert Xowie,male,,,1962-08-27,Robert,,,,,,Robert Xowie,,,Robert Xowie,Robert Xowie,Robert Xowie,,Robert Xowie,,Robert Xowie,Robert Xowie,Robert Xowie,Robert Xowie,Robert Xowie,,,Robert Xowie,,Robert Xowie,,,,,,,,,,,,,,,,,,,Robert Xowie,,,,politician,,,,,,,,,,,,,,,,,,,Robert Xowie,,,,,,,
Q3437790,Rock Wamytan,male,,,1950-12-13,Roch,,,https://upload.wikimedia.org/wikipedia/commons/7/75/Roch-wamytan-2.jpg,,,Roch Wamytan,,,Rock Wamytan,Rock Wamytan,Roch Wamytan,,Roch Wamytan,,,,,,Roch Wamytan,,,Rock Wamytan,,Rock Wamytan,,,,,,,Roch Wamytan,Roch Wamytan,,,,,,,,,,,Rock Wamytan,,,,politician,,,,,,,,,,,,,,,,,,,Rock Wamytan,,,,,,,
Q3453397,Rusmaeni Sanmohamat,female,,,1961-04-06,,,,,,,Rusmaeni Sanmohamat,,,Rusmaeni Sanmohamat,Rusmaeni Sanmohamat,,,Rusmaeni Sanmohamat,,,,,,,,,,,,,,,,,,,,Rusmaeni Sanmohamat,,,,,,,,,,Rusmaeni Sanmohamat,,,,politician,,,,,,,,,,,,,,,,,,,Rusmaeni Sanmohamat,,,,,,,
Q3455476,Réginald Bernut,male,,,1937-01-18,Réginald,,,,,,Réginald Bernut,,,Réginald Bernut,Réginald Bernut,Réginald Bernut,,Réginald Bernut,Réginald Bernut,Réginald Bernut,Réginald Bernut,Réginald Bernut,Réginald Bernut,Réginald Bernut,,,,,,,,,,,,,,,Réginald Bernut,,,,,,,,,Réginald Bernut,,,,politician,,,,,,,,,,,,,,,,,,,Réginald Bernut,,,,,,,
Q3484356,Simon Loueckhote,male,60150565702106251224,,1957-05-07,Simon,,,,,,Simon Loueckhote,/m/04y7r9r,senateur/loueckhote_simon92033r,Simon Loueckhote,Simon Loueckhote,Simon Loueckhote,,Simon Loueckhote,Simon Loueckhote,Simon Loueckhote,Simon Loueckhote,Simon Loueckhote,Simon Loueckhote,Simon Loueckhote,,,Simon Loueckhote,,Simon Loueckhote,,,,,,,,,,Simon Loueckhote,,,,0000 0004 6353 7534,,,,,Simon Loueckhote,,,,politician,,,,,,,,,,,,,,,,,,,Simon Loueckhote,,,,,,,
Q3490407,Sonia Backès,female,,,1976-05-21,Sonia,,,,,,Sonia Backès,,,Sonia Backès,Sonia Backès,,,Sonia Backès,,,,,,Sonia Backès,,,,,,,,,,,,,,,,,,,,,,,,Sonia Backès,,,,politician,,,,,,,,,,,,,,,,,,,Sonia Backès,,,,,,,
Q3490433,Sonia Lagarde,female,,,1948-08-29,Sonia,18453,,,Lagarde,,Sonia Lagarde,/m/0130csc8,,Sonia Lagarde,Sonia Lagarde,Sonia Lagarde,,Sonia Lagarde,Sonia Lagarde,Sonia Lagarde,Sonia Lagarde,Sonia Lagarde,Sonia Lagarde,Sonia Lagarde,Sonia Lagarde,,Sonia Lagarde,,,,,,,,,,,Sonia Lagarde,Sonia Lagarde,,,,,,,,,Sonia Lagarde,,,SoniaLagarde,politician,,,,,Sonia Lagarde,Sonia Lagarde,Sonia Lagarde,Sonia Lagarde,Sonia Lagarde,,,610770,,sonia-lagarde_72074,,,,Соня Лагард,Sonia Lagarde,,,,,,,
Q3507095,Sylvain Pabouty,male,,,1963-02-03,Sylvain,,,,,,Sylvain Pabouty,,,Sylvain Pabouty,Sylvain Pabouty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sylvain Pabouty,,,,politician,,,,,,,,,,,,,,,,,,,Sylvain Pabouty,,,,,,,
Q3507393,Sylvie Robineau,female,,,1956-05-23,Sylvie,,,,,,Sylvie Robineau,,,Sylvie Robineau,Sylvie Robineau,Sylvie Robineau,,Sylvie Robineau,,,,,,Sylvie Robineau,,,,,,,,,,,,,,,,,,,,,,,,Sylvie Robineau,,,,politician,,,,,,,,,,,,,,,,,,,Sylvie Robineau,,,,,,,
Q3524521,Thierry Song,male,,,1962-05-03,Thierry,,,,,,Thierry Song,,,Thierry Song,Thierry Song,,,,,Thierry Song,Thierry Song,Thierry Song,Thierry Song,,,,,,,,,,,,,,,,,,,,,,,,,Thierry Song,,,,politician,,,,,,,,,,,,,,,,,,,Thierry Song,,,,,,,
Q3573810,Yves Magnier,male,,,1938-08-15,Yves,,,,Magnier,,Yves Magnier,,,Yves Magnier,Yves Magnier,,,,Yves Magnier,,,,,Yves Magnier,,,,,,,,,,,,,,Yves Magnier,,,,,,,,,,Yves Magnier,,,,politician,,,,,,,,,,,,,,,,,,,Yves Magnier,,,,,,,
Q3590961,Éric Babin,male,,,1959-10-18,Éric,,,,Babin,,Éric Babin,,,Éric Babin,Éric Babin,Éric Babin,,Éric Babin,Éric Babin,Éric Babin,Éric Babin,Éric Babin,Éric Babin,Éric Babin,,,,,,,,,,,,,,,Éric Babin,,,,,,,,,Éric Babin,,,,politician,,,,,,,,,,,,,,,,,,,Éric Babin,,,,,,,
Q3591152,Éric Gay,male,,,1958-01-07,Éric,,,,Gay,,Éric Gay,,,Éric Gay,Éric Gay,Éric Gay,,Éric Gay,,Éric Gay,Éric Gay,Éric Gay,Éric Gay,Éric Gay,,,,,,,,,,,,,,,,,,,,,,,,Éric Gay,,,,politician,,,,,,,,,,,,,,,,,,Эрик Гей,Éric Gay,,,,,,,
Q3592784,Évelyne Lèques,female,,,1937-01-03,Évelyne,,,,,,Évelyne Lèques,,,Évelyne Lèques,Évelyne Lèques,,,Évelyne Lèques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Évelyne Lèques,,,,politician,,,,,,,,,,,,,,,,,,,Évelyne Lèques,,,,,,,
Q544880,Maurice Ponga,male,,,1947-06-05,Maurice,,,https://upload.wikimedia.org/wikipedia/commons/c/c6/Maurice_Ponga.jpg,,,Maurice Ponga,/m/06w3l79,,Maurice Ponga,Maurice Ponga,Maurice Ponga,,Maurice Ponga,Maurice Ponga,Maurice Ponga,Maurice Ponga,Maurice Ponga,Maurice Ponga,Maurice Ponga,Maurice Ponga,,,,,,,Maurice Ponga,,,,,,Maurice Ponga,Maurice Ponga,,,,,Maurice Ponga,96931,,,Maurice Ponga,,,mauriceponga,politician,,,,,,,,,,,,,,,,,,,Maurice Ponga,maurice.ponga,,,,,,
Q960015,Pierre Frogier,male,227071703,14599282b,1950-11-16,Pierre,3158,,,,,Pierre Frogier,/m/039qh8,senateur/frogier_pierre11010l,Pierre Frogier,Pierre Frogier,Pierre Frogier,084274417,Pierre Frogier,Pierre Frogier,Pierre Frogier,Pierre Frogier,Pierre Frogier,Pierre Frogier,Pierre Frogier,Pierre Frogier,,Pierre Frogier,,Pierre Frogier,,,,,,,,,Pierre Frogier,Pierre Frogier,,,,0000 0003 6471 1242,,,,,Pierre Frogier,皮埃爾·弗羅吉耶,皮埃尔·弗罗吉耶,,politician,,,,,Pierre Frogier,Pierre Frogier,Pierre Frogier,Pierre Frogier,Pierre Frogier,,,1375,,pierre-frogier_38145,,,,,Pierre Frogier,,,,,ピエール・フロジェ,,
