id,position,label,description,start_date,constituency,replaces,replaced_by,end_date,ordinal,party,election,of
Q1676274,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1676274,Q18654736,member of the Michigan House of Representatives,elected Representative,"",,,,,,,,
Q1677029,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1677029,Q18565274,member of the State Senate of Texas,"","",,,,,,,,
Q1677029,Q18604553,member of the Texas House of Representatives,elected representative,"",,,,,,,,
Q1679985,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1680110,Q13218630,United States representative,elected representative in the US,2003-01-03,Georgia's 3rd congressional district,Mac Collins,Lynn Westmoreland,2007-01-03,,,,
Q1680110,Q13218630,United States representative,elected representative in the US,2007-01-03,Georgia's 8th congressional district,,Austin Scott,2011-01-03,,,,
Q1680248,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1680319,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1680357,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1680357,Q21360913,member of the State Senate of Arizona,a member of the Senate of the state of Arizona,"",,,,,,,,
Q1680494,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1680494,Q19831739,member of the State Senate of Connecticut,"","",,,,,,,,
Q1680732,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1680732,Q18089655,Member of the North Carolina House of Representatives,"","",,,,,,,,
Q1680732,Q19727887,member of the State Senate of North Carolina,"Member the  of North Carolina Senate, USA","",,,,,,,,
Q1680820,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1683881,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1684313,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1684374,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1685558,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1685558,Q17342542,Member of the Massachusetts House of Representatives,"","",,,,,,,,
Q168592,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q168592,Q17598395,member of the Washington House of Representatives,elected Representative,"",,,,,,,,
Q1686295,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1686295,Q19690441,member of the State Senate of California,"","",,,,,,,,
Q1686330,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1687838,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1687846,Q13218630,United States representative,elected representative in the US,1984-04-03,Wisconsin's 4th congressional district,Clement J. Zablocki,Gwen Moore,2005-01-03,,,,
Q1687846,Q17602055,member of the State Senate of Wisconsin,"",1975,,Casimir Kendziorski,John Norquist,1984,,,,
Q1687846,Q18526160,member of the Wisconsin State Assembly,Representative of the state of Wisconsin,"",,,,,,,,
Q1687849,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1689035,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1689111,Q13218630,United States representative,elected representative in the US,2009-01-03,Connecticut's 4th congressional district,Chris Shays,,,,,,
Q1689145,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1689145,Q18604553,member of the Texas House of Representatives,elected representative,"",,,,,,,,
Q1689150,Q13218630,United States representative,elected representative in the US,1993-01-03,Louisiana's 5th congressional district,Jerry Huckaby,John Cooksey,1997-01-03,,,,
Q1689150,Q13218630,United States representative,elected representative in the US,1997-01-03,Louisiana's 4th congressional district,Cleo Fields,John Fleming,2009-01-03,,,,
Q1689170,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1689170,Q17602055,member of the State Senate of Wisconsin,"","",,,,,,,,
Q1689170,Q18526160,member of the Wisconsin State Assembly,Representative of the state of Wisconsin,"",,,,,,,,
Q1689180,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1689180,Q18694588,Member of the United States House of Representatives from Virginia,"","",,,,,,,,
Q1689219,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1689219,Q17487134,Member of the Kansas House of Representatives,elected Representative,"",,,,,,,,
Q1689229,Q13217683,United States senator,member of the United States Senate,2002-11-23,Missouri,Jean Carnahan,Claire McCaskill,2007-01-03,,,,
Q1689229,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1689229,Q18131809,Member of the Missouri House of Representatives,elected Representative,"",,,,,,,,
Q1689427,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1689427,Q18538054,member of the Tennessee House of Representatives,"","",,,,,,,,
Q1691639,Q13218630,United States representative,elected representative in the US,2011-01-03,Illinois's 8th congressional district,Melissa Bean,Tammy Duckworth,2013-01-03,,,,
Q16979824,Q13218630,United States representative,elected representative in the US,2015-01-03,Texas's 36th congressional district,,,,,,,
Q16980175,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q16982345,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1699277,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1699486,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1699656,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1699908,Q13217683,United States senator,member of the United States Senate,2003-01-03,New Hampshire,Robert C. Smith,Jeanne Shaheen,2009-01-03,,,,
Q1699908,Q13218630,United States representative,elected representative in the US,1997-01-03,New Hampshire's 1st congressional district,,,2003-01-03,,,,
Q1700027,Q13218630,United States representative,elected representative in the US,1997-01-03,Massachusetts's 6th congressional district,Peter G. Torkildsen,Seth Moulton,2015-01-03,,,,
Q1700842,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1701257,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1701257,Q17342542,Member of the Massachusetts House of Representatives,"","",,,,,,,,
Q1701257,Q20058776,state senator of Massachusetts,"",1973-01-03,,,Stan Rosenberg,1991-06-15,,,,
Q1701291,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1701350,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1701577,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1701650,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1701732,Q13218630,United States representative,elected representative in the US,1995-01-03,,,,2011-01-03,,,,
Q1701747,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1701882,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1704699,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1704699,Q17505193,member of the Minnesota House of Representatives,elected representative in Minnesota,"",,,,,,,,
Q170581,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q170581,Q140686,chairperson,"highest officer of an organized group such as a board, a committee, or a deliberative assembly",1985,,,,1986,,,,
Q170581,Q2746259,party chair,"",1981,,,,1983,,,,
Q170581,Q912994,speaker of the United States House of Representatives,position,2007-01-04,,Dennis Hastert,John Boehner,2011-01-03,,,,
Q1707644,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1707784,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1714165,Q13218630,United States representative,elected representative in the US,2011-01-03,Michigan's 3rd congressional district,Vern Ehlers,,,,,,
Q1714165,Q18654736,member of the Michigan House of Representatives,elected Representative,"",,,,,,,,
Q17160419,Q18694588,Member of the United States House of Representatives from Virginia,"",2014-11-04,,Eric Cantor,,,,,,
Q1717753,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1729888,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1738577,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q17386504,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q174264,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1758507,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1758631,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q177238,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1775679,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1775679,Q20064986,member of the Maryland House of Delegates,"","",,,,,,,,
Q1780222,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1791146,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1791146,Q18694588,Member of the United States House of Representatives from Virginia,"","",,,,,,,,
Q1792585,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1794112,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1794112,Q18342844,Member of the Florida House of Representatives,elected Representative of the legislature of the state of florida,"",,,,,,,,
Q179732,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q179732,Q20065663,member of the State Senate of Georgia,elected representative,1981-01-03,,,,1993-01-03,,,,
Q179732,Q880198,Governor of Georgia,head of the executive branch of Georgia's U.S. state government,2011-01-10,,Sonny Perdue,,,82,,,
Q180390,Q13218630,United States representative,elected representative in the US,1985-01-03,,Ron Paul,Shelley Sekula-Gibbs,2006-06-09,22,,,
Q180390,Q18604553,member of the Texas House of Representatives,elected representative,1979,,,,1983,21,,,
Q180390,Q7314582,Republican Conference Secretary of the United States House of Representatives,"",1993-01-03,,Vin Weber,Barbara Vucanovich,1995-01-03,,,,
Q18045052,Q13218630,United States representative,elected representative in the US,2015-01-06,Massachusetts's 6th congressional district,John F. Tierney,,,,,,
Q1805514,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1805514,Q18604553,member of the Texas House of Representatives,elected representative,"",,,,,,,,
Q1805986,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1806072,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1806078,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1809209,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1809209,Q19831739,member of the State Senate of Connecticut,"","",,,,,,,,
Q1819021,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1819021,Q18536527,member of the New Jersey General Assembly,"","",,,,,,,,
Q1819021,Q19385767,member of the State Senate of New Jersey,"","",,,,,,,,
Q1820456,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q182087,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q182788,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q182788,Q912994,speaker of the United States House of Representatives,position,1995-01-04,,Tom Foley,Dennis Hastert,1999-01-03,,,,
Q1855840,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1855840,Q18180908,member of the California State Assembly,"elected Representative in California, USA",1990,California's 59th State Assembly district,Charles Calderon,Dick Mountjoy,1992,,,,
Q1855840,Q3406489,Attorney General of California,"Attorney General of California, United States",2017-01-24,,Kamala Harris,,,33,,,
Q1855840,Q5255561,Democratic Caucus Chairman of the United States House of Representatives,"",2013-01-03,,John B. Larson,Joseph Crowley,2017-01-03,,,,
Q1855840,Q5255564,Democratic Caucus Vice-Chairman of the United States House of Representatives,"",2009-01-03,,John B. Larson,Joseph Crowley,2013-01-03,,,,
Q1855866,Q13218630,United States representative,elected representative in the US,1997-01-03,Maine's 1st congressional district,"James B. Longley, Jr.",Chellie Pingree,2009-01-03,,,,
Q18631366,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q18631533,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q18631846,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q18639742,Q13218630,United States representative,elected representative in the US,2015-01-03,,,,,,,,
Q1866591,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1866591,Q18676729,member of the State Senate of South Carolina,"","",,,,,,,,
Q18683775,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q18683976,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q18684853,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q18686454,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q187037,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q187037,Q17487134,Member of the Kansas House of Representatives,elected Representative,"",,,,,,,,
Q1878887,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1882459,Q13218630,United States representative,elected representative in the US,"",Georgia's 3rd congressional district,Richard Ray,Jim Marshall,,,,,
Q1882459,Q20065663,member of the State Senate of Georgia,elected representative,"",,,,,,,,
Q1882489,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1886758,Q13218630,United States representative,elected representative in the US,1995-01-03,Indiana's 4th congressional district,Jill Long Thompson,Steve Buyer,2003-01-03,,,,
Q1886758,Q13218630,United States representative,elected representative in the US,2003-01-03,Indiana's 3rd congressional district,Timothy J. Roemer,Marlin Stutzman,2010-05-21,,,,
Q1900355,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1900355,Q18526160,member of the Wisconsin State Assembly,Representative of the state of Wisconsin,"",,,,,,,,
Q1900418,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1900418,Q18654736,member of the Michigan House of Representatives,elected Representative,"",,,,,,,,
Q1900418,Q18675883,member of the State Senate of Michigan,"","",,,,,,,,
Q1903813,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1906098,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1909268,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1909268,Q21360913,member of the State Senate of Arizona,a member of the Senate of the state of Arizona,"",,,,,,,,
Q1909500,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1909500,Q18180908,member of the California State Assembly,"elected Representative in California, USA","",,,,,,,,
Q1918896,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1918896,Q18180908,member of the California State Assembly,"elected Representative in California, USA","",,,,,,,,
Q1927918,Q13218630,United States representative,elected representative in the US,1993-01-03,California's 22nd congressional district,Robert J. Lagomarsino,Andrea Seastrand,1995-01-03,,,,
Q1927997,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1928589,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1931352,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1933553,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1933579,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q193703,Q13218630,United States representative,elected representative in the US,2007-01-03,Arizona's 8th congressional district,Jim Kolbe,Ron Barber,2012-01-25,,,,
Q193703,Q17486298,Member of the Arizona House of Representatives,member of the House of Representatives of the state of Arizona,"",,,,,,,,
Q193703,Q21360913,member of the State Senate of Arizona,a member of the Senate of the state of Arizona,"",,,,,,,,
Q1941315,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q19673,Q11699,Vice President of the United States,public office in the United States,1993-01-20,,Dan Quayle,Dick Cheney,2001-01-20,45,,,
Q19673,Q13217683,United States senator,member of the United States Senate,1985-01-03,Tennessee,Howard Baker,Harlan Mathews,1993-01-02,,,,
Q19673,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q19673,Q312,Apple Inc.,"American producer of computers, smartphones and software, based in Cupertino, California","",,,,,,,,
Q1973033,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1973038,Q1294433,Resident Commissioner of Puerto Rico,Wikimedia list article,1977-01-03,,,,1985-01-03,,,,
Q1973038,Q28342409,major of San Juan,"","",,,,,,,,
Q1973038,Q6123144,Secretary of State of Puerto Rico,"","",,,,,,,,
Q1999495,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q202495,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q202495,Q18199902,member of the State Senate of Pennsylvania,"","",,,,,,,,
Q203966,Q13218630,United States representative,elected representative in the US,1999-01-03,,Mark Neumann,,,,,,
Q203966,Q912994,speaker of the United States House of Representatives,position,2015-10-29,,John Boehner,,,54,,,
Q2057809,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2057809,Q18089655,Member of the North Carolina House of Representatives,"","",,,,,,,,
Q2058762,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2058762,Q18654736,member of the Michigan House of Representatives,elected Representative,"",,,,,,,,
Q2058762,Q18675883,member of the State Senate of Michigan,"","",,,,,,,,
Q2059020,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2073303,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2077674,Q13218630,United States representative,elected representative in the US,"",Florida's 20th congressional district,"",Debbie Wasserman Schultz,,,,,
Q2077674,Q18342844,Member of the Florida House of Representatives,elected Representative of the legislature of the state of florida,"",,,,,,,,
Q2078827,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2078827,Q18526160,member of the Wisconsin State Assembly,Representative of the state of Wisconsin,"",,,,,,,,
Q2085648,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2085648,Q20065663,member of the State Senate of Georgia,elected representative,"",,,,,,,,
Q2091892,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2094491,Q13218630,United States representative,elected representative in the US,1953-01-03,Massachusetts's 11th congressional district,John F. Kennedy,Joseph P. Kennedy II,1987-01-03,,,,
Q2094491,Q17342542,Member of the Massachusetts House of Representatives,"",1947,,,Charles Gibbons,1949,,,,
Q2094491,Q6597942,Speaker of the Massachusetts House of Representatives,Wikimedia list article,1949,,Frederick Willis,Charles Gibbons,1953,,,,
Q2094491,Q912994,speaker of the United States House of Representatives,position,1977-01-04,,Carl Albert,Jim Wright,1987-01-03,47,,,
Q2096271,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2096807,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2096807,Q20058770,member of the New York State Assembly,elected representative,"",,,,,,,,
Q2119871,Q1294433,Resident Commissioner of Puerto Rico,Wikimedia list article,"",,,,,,,,
Q2139894,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2148853,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2151547,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2151547,Q18604340,member of the State Senate of Virginia,"","",,,,,,,,
Q2151547,Q18694588,Member of the United States House of Representatives from Virginia,"","",,,,,,,,
Q2151554,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2151594,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2151594,Q17505193,member of the Minnesota House of Representatives,elected representative in Minnesota,"",,,,,,,,
Q2156128,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2156310,Q13218630,United States representative,elected representative in the US,1993-01-03,,Vicente T. Blaz,Madeleine Bordallo,2003-01-03,,,,
Q2156912,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2157642,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2157642,Q18604340,member of the State Senate of Virginia,"","",,,,,,,,
Q2157642,Q18694588,Member of the United States House of Representatives from Virginia,"","",,,,,,,,
Q2157813,Q13218630,United States representative,elected representative in the US,1959,Wisconsin's 2nd congressional district,Donald Edgar Tewes,Scott L. Klug,1991,,,,
Q2159908,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2159908,Q19754409,member of the South Carolina House of Representatives,"","",,,,,,,,
Q2164923,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2165407,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2165572,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2165689,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q22201,Q13217683,United States senator,member of the United States Senate,2005-01-03,South Carolina,Ernest Hollings,Tim Scott,2013-01-01,,,,
Q22201,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q22212,Q13217683,United States senator,member of the United States Senate,2003-01-03,South Carolina,Strom Thurmond,,,,,,
Q22212,Q13218630,United States representative,elected representative in the US,1995-01-03,,,,2003-01-03,,,,
Q22212,Q19754409,member of the South Carolina House of Representatives,"","",,,,,,,,
Q22222,Q13217683,United States senator,member of the United States Senate,2009-01-26,New York,Hillary Clinton,,,,,,
Q22222,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2260839,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2260923,Q13218630,United States representative,elected representative in the US,1991,Wisconsin's 2nd congressional district,Robert Kastenmeier,Tammy Baldwin,1999,,,,
Q2286846,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q229141,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q229141,Q5255564,Democratic Caucus Vice-Chairman of the United States House of Representatives,"",1981-01-03,,,,1985-01-03,,,,
Q229141,Q7889422,United States Ambassador to the United Nations Human Rights Council,"",1993,,Armando Valladares,Nancy Rubin,1996,,,,
Q2302283,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2302283,Q18195558,member of the State Senate of Mississippi,"","",,,,,,,,
Q2344713,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2347302,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2347573,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2347573,Q18526160,member of the Wisconsin State Assembly,Representative of the state of Wisconsin,"",,,,,,,,
Q238733,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q24043,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q24043,Q18195558,member of the State Senate of Mississippi,"","",,,,,,,,
Q242019,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q24230,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q24230,Q17487661,Member of the Mississippi House of Representatives,"","",,,,,,,,
Q2425943,Q13218630,United States representative,elected representative in the US,1995-01-03,Virginia's 11th congressional district,Leslie L. Byrne,Gerry Connolly,2008-11-24,,,,
Q2425943,Q18694588,Member of the United States House of Representatives from Virginia,"","",,,,,,,,
Q24313,Q11699,Vice President of the United States,public office in the United States,2017-01-20,,Joe Biden,,,48,,"United States presidential election, 2016",
Q24313,Q13218630,United States representative,elected representative in the US,2003-01-03,,Dan Burton,Luke Messer,2013-01-03,,,,
Q24313,Q140686,chairperson,"highest officer of an organized group such as a board, a committee, or a deliberative assembly",2016-11-11,,Chris Christie,,2017-01-20,,,,presidential transition of Donald Trump
Q24313,Q16147601,Governor of Indiana,"",2013-01-14,,Mitch Daniels,Eric Holcomb,2017-01-09,50,,"Indiana gubernatorial election, 2012",
Q24313,Q7314581,Republican Conference Chairman of the United States House of Representatives,"",2009-01-03,,Adam Putnam,Jeb Hensarling,2011-01-03,,,,
Q2434181,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2434181,Q18199902,member of the State Senate of Pennsylvania,"","",,,,,,,,
Q2435200,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2439945,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2440035,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2442506,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2442580,Q13218630,United States representative,elected representative in the US,1979-01-03,Ohio's 3rd congressional district,,,2002-09-09,,,,
Q2442580,Q17502533,member of the Ohio House of Representatives,"","",,,,,,,,
Q2442580,Q20065429,member of the State Senate of Ohio,"",1973-01-03,Ohio's 6th senatorial district,,,1979-01-01,,,,
Q24458117,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q244631,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q244631,Q27656,Director of the Central Intelligence Agency,head of the Central Intelligence Agency,2009-02-13,,Michael Hayden,Michael Morell,2011-06-30,,,,
Q244631,Q735015,United States Secretary of Defense,position,2011-07-01,,Robert Gates,Chuck Hagel,2013-02-27,23,,,
Q244631,Q786242,White House Chief of Staff,"American political role, appointed by the President",1994-07-17,,Mack McLarty,Erskine Bowles,1997-01-20,18,,,
Q245724,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q245724,Q19961062,member of the State Senate of Florida,"","",,,,,,,,
Q249361,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q249361,Q18810381,member of the Utah House of Representatives,elected Representative,"",,,,,,,,
Q2517229,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2522517,Q13218630,United States representative,elected representative in the US,1995-01-03,,Ron de Lugo,Donna Christian-Christensen,1997-01-03,,,,
Q2522517,Q20853586,Delegate of the Virgin Islands to the United States House of Representatives,"","",,,,,,,,
Q253216,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q253216,Q19360961,Member of the North Dakota House of Representatives,"","",,,,,,,,
Q2544053,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2553106,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q25568,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q256130,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2563711,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2563711,Q19689183,member of the State Senate of Oregon,"","",,,,,,,,
Q2563736,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2563736,Q21367377,member of the State Senate of Oklahoma,"","",,,,,,,,
Q256517,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q257237,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q257237,Q18925362,Member of the Oklahoma House of Representatives,"","",,,,,,,,
Q257237,Q2550683,Governor of Oklahoma,governor of the U.S. state of Oklahoma,2011-01-10,,,,,27,,,
Q2577215,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2578426,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2578546,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2578546,Q18180908,member of the California State Assembly,"elected Representative in California, USA","",,,,,,,,
Q2579562,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2603131,Q13218630,United States representative,elected representative in the US,2001-01-03,Connecticut's 2nd congressional district,Sam Gejdenson,Joe Courtney,2007-01-03,,,,
Q2603131,Q18763331,member of the Connecticut House of Representatives,elected representative in Connecticut,"",,,,,,,,
Q2613704,Q13217683,United States senator,member of the United States Senate,1985-01-03,Texas,,John Cornyn,2002-11-30,,,,
Q2613704,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q262534,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2636210,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2637741,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q263856,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q263856,Q17548315,member of the Georgia House of Representatives,"","",,,,,,,,
Q2641439,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2655511,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q267740,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q272628,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q275237,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q275753,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q275753,Q17495450,member of the Illinois House of Representatives,"political office in Illinois, USA","",,,,,,,,
Q276359,Q13218630,United States representative,elected representative in the US,2011-01-03,,Charles Djou,Mark Takai,2015-01-03,,,,
Q276968,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q277060,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q277060,Q20058770,member of the New York State Assembly,elected representative,"",,,,,,,,
Q27842981,Q14761450,Member of Congress,person who has been appointed or elected to a congress,2017-01-03,,,,,,,,
Q279205,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q279205,Q18089655,Member of the North Carolina House of Representatives,"","",,,,,,,,
Q279205,Q19727887,member of the State Senate of North Carolina,"Member the  of North Carolina Senate, USA","",,,,,,,,
Q2800221,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q2800221,Q18694588,Member of the United States House of Representatives from Virginia,"","",,,,,,,,
Q283357,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q284704,Q13218630,United States representative,elected representative in the US,1985-01-03,Arizona's 5th congressional district,"James F. McNulty, Jr.",J. D. Hayworth,2003-01-03,,,,
