id,name__en,name__yo,name__es,name__de,name__nb,name__da,name__nn,name__sv,name__fr,name__cy,name__nl,name__hu,name,wikipedia__en,wikipedia__yo,gender,occupation,birth_date,death_date,given_name,original_wikiname,name__ig,wikipedia__ig,wikipedia__sv,image,wikipedia__es,identifier__VIAF,identifier__LCAuth,identifier__SUDOC,identifier__FAST,twitter,identifier__google_knowledge,name__tr,name__ru,wikipedia__de,wikipedia__no,wikipedia__ru,wikipedia__tr,identifier__freebase,name__zh_hant,name__zh_cn,name__ar,name__eu,name__fi,name__hr,name__id,name__it,name__ja,name__ka,name__ko,name__pl,name__pt,name__qu,name__sr,name__sw,name__uk,name__af,name__zh,name__fa,name__eo,name__ca,wikipedia__af,wikipedia__ar,wikipedia__ca,wikipedia__da,wikipedia__enwikiquote,wikipedia__eo,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__hr,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__nl,wikipedia__pl,wikipedia__plwikiquote,wikipedia__pt,wikipedia__qu,wikipedia__sr,wikipedia__sw,wikipedia__uk,wikipedia__zh,identifier__ISNI,identifier__GND,identifier__OLID,identifier__NTA,identifier__NNDB,identifier__Munzinger,identifier__Oxforddnb,identifier__britishmuseum,identifier__bigenc_ru,identifier__snac,wikipedia__simple,name__vi,wikipedia__vi,identifier__BNF,name__cs,wikipedia__cswikiquote,name__en_ca,name__en_gb,name__ht,wikipedia__ht,name__zh_tw,wikipedia__hu,identifier__FIFA,wikipedia__enwikisource,identifier__quora,identifier__ne_se,wikipedia__commons,website
Q181782,Nnamdi Azikiwe,Nnamdi Azikiwe,Nnamdi Azikiwe,Nnamdi Azikiwe,Nnamdi Azikiwe,Nnamdi Azikiwe,Nnamdi Azikiwe,Nnamdi Azikiwe,Nnamdi Azikiwe,,Nnamdi Azikiwe,Nnamdi Azikiwe,Nnamdi Azikiwe,Nnamdi Azikiwe,Nnamdi Azikiwe,male,writer,1904-11-16,1996-05-11,Nnamdi,Nnamdi Azikiwe,Nnamdi Azikiwe,Nnamdi Azikiwe,Nnamdi Azikiwe,,Nnamdi Azikiwe,27891207,n50029827,,1434112,,,Nnamdi Azikiwe,Ннамди Азикиве,Nnamdi Azikiwe,Nnamdi Azikiwe,"Азикиве, Ннамди",,/m/01phhr,,,نامدي أزيكيوي,Nnamdi Azikiwe,Nnamdi Azikiwe,Nnamdi Azikiwe,Nnamdi Azikiwe,Nnamdi Azikiwe,ンナムディ・アジキウェ,ნნამდი აზიკივე,은남디 아지키웨,Nnamdi Azikiwe,Nnamdi Azikiwe,Nnamdi Azikiwe,Намди Азикиве,Nnamdi Azikiwe,Бенджамін Ннамді Азіківе,Nnamdi Azikiwe,本杰明·纳姆迪·阿齐克韦,نمدی آزيکيوه,Nnamdi Azikiwe,Nnamdi Azikiwe,Nnamdi Azikiwe,نامدي أزيكيوي,Nnamdi Azikiwe,Nnamdi Azikiwe,Nnamdi Azikiwe,Nnamdi Azikiwe,Nnamdi Azikiwe,نمدی آزیکیوه,Nnamdi Azikiwe,Nnamdi Azikiwe,Nnamdi Azikiwe,Nnamdi Azikiwe,Nnamdi Azikiwe,ンナムディ・アジキウェ,ნნამდი აზიკივე,은남디 아지키웨,Nnamdi Azikiwe,Nnamdi Azikiwe,Nnamdi Azikiwe,Nnamdi Azikiwe,Nnamdi Azikiwe,Намди Азикиве,Nnamdi Azikiwe,Бенджамін Ннамді Азіківе,纳姆迪·阿齐基韦,0000 0000 8210 8154,120008270,OL411545A,070244790,269/000174744,00000006498,101068854,156439,1803630,w6ks732t,,,,,,,,,,,,,,,Nnamdi-Azikiwe-1,nnamdi-azikiwe,,
Q1945914,Chris Anyanwu,Chris Anyanwu,Chris Anyanwu,Chris Anyanwu,,,,,Christina Anyanwu,,Chris Anyanwu,Chris Anyanwu,Chris Anyanwu,Chris Anyanwu,Chris Anyanwu,female,journalist,1951-10-28,,Christina,Chris Anyanwu,,,,,,76546583,n83196224,,119548,,,,,,,,,/m/02r1lnw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christina Anyanwu,,,,,,,Chris Anyanwu,,,,,,,,,,,,,,,,,,,,Chris Anyanwu,Chris Anyanwu,145084071,,,,,,,,,,,,,,
Q19560093,Binta Masi Garba,,,,,,,,Binta Masi Garba,,Binta Masi Garba,,Binta Masi Garba,Binta Masi Garba,,female,,1967-04-17,,Binta,Binta Masi Garba,,,,,,,,,,,,,,,,,,,,,,,,,,Binta Masi Garba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19895375,Osinakachukwu Ideozu,,,,,,,,Osinakachukwu Ideozu,,Osinakachukwu Ideozu,,Osinakachukwu Ideozu,Osinakachukwu Ideozu,,male,,1965,,,Osinakachukwu Ideozu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20155621,Ben Murray-Bruce,,,,,,,,Ben Murray-Bruce,,Ben Murray-Bruce,,Ben Murray-Bruce,Ben Murray-Bruce,,male,politician,1956-02-17,,Ben,Ben Murray-Bruce,,,,,,,,,,benmurraybruce,/g/11btwqtj5t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20604100,,Ahmed Abdul Ningi,,,,,,,,,,,Ahmed Abdul Ningi,,Ahmed Abdul Ningi,male,,,,,Ahmed Abdul Ningi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20604138,,Amah Iwuagwu,,,,,,,,,,,Amah Iwuagwu,,Amah Iwuagwu,,,,,,Amah Iwuagwu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20604280,,Chris Adighije,,,,,,,,,,,Chris Adighije,,Chris Adighije,male,,,,Chris,Chris Adighije,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20604335,Gilbert E. Nnaji,Gilbert E. Nnaji,,,,,,,,,,,Gilbert E. Nnaji,,Gilbert E. Nnaji,male,,,,Gilbert,Gilbert E. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20604383,Iyabo Anisulowo,Iyabo Anisulowo,,,,,,,,,Iyabo Anisulowo,,Iyabo Anisulowo,Iyabo Anisulowo,Iyabo Anisulowo,female,,,,,Iyabo Anisulowo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20604483,,Nurudeen Abatemi Usman,,,,,,,,,,,Nurudeen Abatemi Usman,,Nurudeen Abatemi Usman,,,,,,Nurudeen Abatemi Usman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20604531,,Olubunmi Adetunbi,,,,,,,,,,,Olubunmi Adetunbi,,Olubunmi Adetunbi,,,,,,Olubunmi Adetunbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20604611,,Sani Kamba,,,,,,,,,,,Sani Kamba,,Sani Kamba,,,,,,Sani Kamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20604624,,Spiff Inatim Rufus,,,,,,,,,,,Spiff Inatim Rufus,,Spiff Inatim Rufus,,,,,,Spiff Inatim Rufus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20604659,,Títù Olupitan,,,,,,,,,,,Títù Olupitan,,Títù Olupitan,,,,,,Títù Olupitan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20774324,Olaka Nwogu,,,,,,,,Olaka Nwogu,,Olaka Nwogu,,Olaka Nwogu,Olaka Nwogu,,male,,1965-01-26,,,Olaka Nwogu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20932574,Taiwo Awoniyi,Taiwo Awoniyi,,Taiwo Awoniyi,,,,,Taiwo Awoniyi,,Taiwo Awoniyi,Taiwo Awoniyi,Taiwo Awoniyi,Taiwo Awoniyi,Taiwo Awoniyi,male,association football player,1997-04-12,,,Taiwo Awoniyi,,,,,,,,,,,,,"Авоньи, Тайво",Taiwo Awoniyi,,"Авоньи, Тайво",,,,,تايوو أيونيي,,,,,Taiwo Awoniyi,,,타이워 아워니이,Taiwo Awoniyi,,,,,,,,تایوو اونیای,,,,تايوو أيونيي,,,,,,تایوو اونیای,,,,,Taiwo Awoniyi,,,타이워 아워니이,Taiwo Awoniyi,Taiwo Awoniyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,泰禾,Taiwo Awoniyi,372541,,,,,
Q20982202,Mao Arukwe Ohuabunwa,,,,,,,,Mao Arukwe Ohuabunwa,,Mao Arukwe Ohuabunwa,,Mao Arukwe Ohuabunwa,Mao Arukwe Ohuabunwa,,male,,1957-05-24,,,Mao Arukwe Ohuabunwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21063207,Dino Melaiye,,,,,,,,Dino Melaiye,,Dino Melaiye,,Dino Melaiye,Dino Melaye,,male,,,,Dino,Dino Melaye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dinomelaye.com/
Q21598122,Haliru Dantoro,,,,,,,,Haliru Dantoro,Haliru Dantoro,Haliru Dantoro,,Haliru Dantoro,Haliru Dantoro,,male,,1938,2015-10-30,,Haliru Dantoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21997883,Gyang Pwajok,,,,,,,,,,Gyang Pwajok,,Gyang Pwajok,Gyang Pwajok,,male,,1966-03-15,2015-10-28,,Gyang Pwajok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22704987,Fatimat Olufunke Raji-Rasaki,,,,,,,,Fatimat Olufunke Raji-Rasaki,,Fatimat Olufunke Raji-Rasaki,,Fatimat Olufunke Raji-Rasaki,Fatimat Olufunke Raji-Rasaki,,female,politician,1957-01-01,,,Fatimat Olufunke Raji-Rasaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22806954,Rose Okoji Oko,,,,,,,,Rose Okoji Oko,,Rose Okoji Oko,,Rose Okoji Oko,Rose Okoji Oko,,female,politician,1956-09-27,,Rose,Rose Okoji Oko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22807281,Uche Ekwunife,,,,,,,,Uche Ekwunife,,Uche Ekwunife,,Uche Ekwunife,Uche Ekwunife,,female,politician,1970-12,,,Uche Ekwunife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23636295,Yusuf Abubakar Yusuf,,,,,,,,,,Yusuf Abubakar Yusuf,,Yusuf Abubakar Yusuf,Yusuf Abubakar Yusuf,,male,,1956-12-02,,Yusuf,Yusuf Abubakar Yusuf,,,,,,,,,,,,,,,,,,,,,,,,,Yusuf Abubakar Yusuf,,,,,,,,,,,,,,,,,,,,,,,,,,,Yusuf Abubakar Yusuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23765700,Bassey Albert,,,,,,,,,,Bassey Albert,,Bassey Albert,Bassey Albert,,male,,1972-10-28,,,Bassey Albert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q24574659,John Owan Enoh,,John Owan Enoh,John Owan Enoh,,,,,John Owan Enoh,,John Owan Enoh,,John Owan Enoh,John Owan Enoh,,male,politician,1966-06-04,,John,John Owan Enoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Owan Enoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25753711,Abubakar Kyari,,,,,,,,,,Abubakar Kyari,,Abubakar Kyari,Abubakar Kyari,,male,,,,,Abubakar Kyari,,,,https://upload.wikimedia.org/wikipedia/commons/b/b2/Abubakar_kyari.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28420151,Buruju Kashamu,,,,,,,,,,Buruju Kashamu,,Buruju Kashamu,Buruji Kashamu,,male,,,,,Buruji Kashamu,,,,https://upload.wikimedia.org/wikipedia/commons/3/35/Buruji_Kashamu.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28530040,Lanre Tejuosho,,,,,,,,,,Lanre Tejuosho,,Lanre Tejuosho,Lanre Tejuosho,,male,,,,,Lanre Tejuosho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28600192,Francis Alimikhena,,,,,,,,,,Francis Alimikhena,,Francis Alimikhena,Francis Alimikhena,,male,,,,Francis,Francis Alimikhena,,,,https://upload.wikimedia.org/wikipedia/commons/2/2f/Francis_Alimikhena.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2967578,Chuba Okadigbo,Chuba Okadigbo,Chuba Okadigbo,Chuba Okadigbo,Chuba Okadigbo,Chuba Okadigbo,Chuba Okadigbo,Chuba Okadigbo,Chuba Okadigbo,Chuba Okadigbo,Chuba Okadigbo,Chuba Okadigbo,Chuba Okadigbo,Chuba Okadigbo,Chuba Okadigbo,male,politician,1941-12-17,2003-09-25,,Chuba Okadigbo,,,,,,264593628,n82157240,086275879,102561,,,,,,,,,,,,شوبا أوكاديغبو,,,,,,,,,,,,,,,,,,,,,شوبا أوكاديغبو,,,Chuba Okadigbo,,,,,Chuba Okadigbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12202502b,,,,,,,,,,,,,,
Q30069968,Sen Usman kibiya,,,,,,,,,,Sen Usman kibiya,,Sen Usman kibiya,Sen Usman kibiya,,,,,,,Sen Usman kibiya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q32946601,Ademola Adeleke,,,,,,,,,,,,Ademola Adeleke,Ademola Adeleke,,male,,,,,Ademola Adeleke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3381247,Ike Nwachukwu,Ike Nwachukwu,Ike Nwachukwu,Ike Nwachukwu,Ike Nwachukwu,,,,Ike Nwachukwu,,Ike Nwachukwu,Ike Nwachukwu,Ike Nwachukwu,Ike Nwachukwu,Ike Nwachukwu,male,politician,1941-09-01,,Ike,Ike Nwachukwu,,,,,,,,,,,,,,Ike Nwachukwu,Ike Nwachukwu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q339008,Ahmed Makarfi,Ahmed Makarfi,Ahmed Makarfi,Ahmed Makarfi,Ahmed Makarfi,Ahmed Makarfi,Ahmed Makarfi,Ahmed Makarfi,Ahmed Makarfi,,Ahmed Makarfi,Ahmed Makarfi,Ahmed Makarfi,Ahmed Makarfi,Ahmed Makarfi,male,politician,1956-08-08,,Ahmed,Ahmed Makarfi,,,Ahmed Makarfi,,,19468746,no2007121537,,,,,,,Ahmed Makarfi,,,,/m/08nw5z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3509330,Ibrahim Saminu Turaki,Ibrahim Saminu Turaki,Ibrahim Saminu Turaki,Ibrahim Saminu Turaki,,,,Ibrahim Saminu Turaki,Ibrahim Saminu Turaki,,Ibrahim Saminu Turaki,Ibrahim Saminu Turaki,Ibrahim Saminu Turaki,Ibrahim Saminu Turaki,Ibrahim Saminu Turaki,male,politician,1963-07-14,,Ibrahim,Ibrahim Saminu Turaki,,,Ibrahim Saminu Turaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3509941,Mohammed Ali Ndume,Mohammed Ali Ndume,Mohammed Ali Ndume,Mohammed Ali Ndume,,,,,Mohammed Ali Ndume,,Mohammed Ali Ndume,Mohammed Ali Ndume,Mohammed Ali Ndume,Mohammed Ali Ndume,Mohammed Ali Ndume,male,politician,1959-11-20,,Mohammed,Mohammed Ali Ndume,,,,,,,,,,,,,"Ндуме, Мохаммед Али",,,"Ндуме, Мохаммед Али",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3510270,Uche Chukwumerije,Uche Chukwumerije,,Uche Chukwumerije,,,,,Uche Chukwumerije,Uche Chukwumerije,Uche Chukwumerije,,Uche Chukwumerije,Uche Chukwumerije,Uche Chukwumerije,male,politician,1939-11,2015-04-19,,Uche Chukwumerije,,,,https://upload.wikimedia.org/wikipedia/commons/8/84/Uche_Chukwumerije.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uche Chukwumerije,,,,,,,,,,,,,,,,,,,,,,,,,,Uche Chukwumerije,,,,,,,,,,,,,,,,,
Q3510712,Adamu Aliero,Adamu Aliero,Adamu Aliero,Adamu Aliero,,,,Adamu Aliero,Adamu Aliero,,Adamu Aliero,Adamu Aliero,Adamu Aliero,Adamu Aliero,Adamu Aliero,male,politician,1957-01-01,,,Adamu Aliero,,,Adamu Aliero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3510720,Ahmad Sani Yerima,Ahmed Sani Yerima,Ahmad Sani Yerima,Ahmad Sani Yerima,,,,Ahmed Sani,Ahmad Sani Yerima,,Ahmad Sani Yerima,Ahmad Sani Yerima,Ahmad Sani Yerima,Ahmad Sani Yerima,Ahmed Sani Yerima,male,politician,1960-07-22,,Ahmed,Ahmad Sani Yerima,,,Ahmed Sani,,,21926011,no2007088226,120865033,1681779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3510727,Ali Modu Sheriff,Ali Modu Sheriff,Ali Modu Sheriff,Ali Modu Sheriff,,,,Ali Modu Sheriff,Ali Modu Sheriff,,Ali Modu Sheriff,Ali Modu Sheriff,Ali Modu Sheriff,Ali Modu Sheriff,Ali Modu Sheriff,male,politician,1956,,Ali,Ali Modu Sheriff,,,Ali Modu Sheriff,https://upload.wikimedia.org/wikipedia/commons/c/cd/Ali_Modu_Sherrff_crop_2007.jpg,Ali Modu Sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3510785,Nenadi Usman,Nenadi Usman,Nenadi Usman,Nenadi Usman,,,,Nenadi Usman,Nenadi Usman,,Nenadi Usman,Nenadi Usman,Nenadi Usman,Nenadi Usman,Nenadi Usman,female,politician,1966-11-12,,,Nenadi Usman,,,Nenadi Usman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3510794,Chris Ngige,Chris Ngige,Chris Ngige,Chris Ngige,,,,Chris Ngige,Chris Ngige,,Chris Ngige,Chris Ngige,Chris Ngige,Chris Ngige,Chris Ngige,male,politician,1952-08-08,,Chris,Chris Ngige,,,Chris Ngige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3510803,George Akume,George Akume,George Akume,George Akume,,,,George Akume,George Akume,,George Akume,George Akume,George Akume,George Akume,George Akume,male,politician,1953-12-27,,George,George Akume,,,George Akume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3510872,Bola Ahmed Tinubu,Bola Tinubu,Bola Tinubu,Bola Tinubu,,,,,Bola Tinubu,,Bola Tinubu,Bola Tinubu,Bola Ahmed Tinubu,Bola Tinubu,Bola Tinubu,male,accountant,1952-03-29,,,Bola Tinubu,Bola Tinubu,Bola Tinubu,,https://upload.wikimedia.org/wikipedia/commons/6/61/Asiwaju_Bola_Ahmed_Tinubu_(5980497975).jpg,,,,,,,,,,,,,,,,,بولا تينوبو,,,,,,,,,,,,,,,,,,,,,بولا تينوبو,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3510881,Chimaroke Nnamani,Chimaroke Nnamani,Chimaroke Nnamani,Chimaroke Nnamani,Chimaroke Nnamani,Chimaroke Nnamani,Chimaroke Nnamani,Chimaroke Nnamani,Chimaroke Nnamani,,Chimaroke Nnamani,Chimaroke Nnamani,Chimaroke Nnamani,Chimaroke Nnamani,Chimaroke Nnamani,male,politician,1960-05-30,,,Chimaroke Nnamani,Chimaroke Nnamani,Chimaroke Nnamani,Chimaroke Nnamani,https://upload.wikimedia.org/wikipedia/commons/6/65/ENUGU_STATE_GOVERNOR_DR._CHIMAROKE_NNAMANI.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3511417,Iya Abubakar,Abubakar Iya,Iya Abubakar,Iya Abubakar,,,,,Iya Abubakar,,Iya Abubakar,Iya Abubakar,Iya Abubakar,Iya Abubakar,Abubakar Iya,male,politician,1934-12-14,,,Iya Abubakar,,,,,,,,,,,,,,,,,,,,,إيا أبو بكر,,,,,,,,,,,,,,,,,,,,,إيا أبو بكر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iya Abubakar,Iya Abubakar,,,,,,,,
Q3511513,Robert Ajayi Boroffice,Robert Ajayi Boroffice,,Robert Ajayi Boroffice,,,,,Robert Ajayi Boroffice,,Robert Ajayi Boroffice,,Robert Ajayi Boroffice,Robert Ajayi Boroffice,Robert Ajayi Boroffice,male,politician,1949-04-23,,Robert,Robert Ajayi Boroffice,,,,https://upload.wikimedia.org/wikipedia/commons/7/73/Robert_Boroffice.jpg,,,,,,,,,,,,,,,,,,,Robert Boroffice,,,,,,,,,,,,,,,,,,,,,,,,,,Robert Boroffice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q378378,Victor Ndoma-Egba,Victor Ndoma-Egba,,,,,,,Victor Ndoma-Egba,,Victor Ndoma-Egba,,Victor Ndoma-Egba,Victor Ndoma-Egba,Victor Ndoma-Egba,male,politician,1956-03-08,,Victor,Victor Ndoma-Egba,,,,,,,,,,,,,,,,,,/m/07s8ypr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q459205,David Mark,David Mark,David Mark,David Mark,David Mark,David Mark,David Mark,David Mark,David Mark,,David Mark,David Mark,David Mark,David Mark,David Mark,male,politician,1948-04-18,,David,David Mark,,,,,,,,,,,,,"Марк, Дэвид",David Mark,,"Марк, Дэвид",,/m/02z0d34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4664673,Abdallah Wali,Abdallah Wali,,Abdallah Wali,,,,,Abdallah Wali,,Abdallah Wali,,Abdallah Wali,Abdallah Wali,Abdallah Wali,male,politician,,,Abdullah,Abdallah Wali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4665254,Abdul Ahmed Ningi,,,Abdul Ahmed Ningi,,,,,Abdul Ahmed Ningi,,,,Abdul Ahmed Ningi,Abdul Ahmed Ningi,,male,,1960-04-20,,Abdul,Abdul Ahmed Ningi,,,,https://upload.wikimedia.org/wikipedia/commons/b/bb/Abdul_Ningi.jpg,,,,,,,,,,,,,,,,,,,,,,Abdul Ahmed Ningi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Abdul Ahmed Ningi,http://www.AbdulNingi.com/
Q4665765,Abdul Yandoma,Abdul Yandoma,,Abdul Yandoma,,,,,Abdul Yandoma,,Abdul Yandoma,,Abdul Yandoma,Abdul Yandoma,Abdul Yandoma,male,politician,,,Abdul,Abdul Yandoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
