id,name__es,name,wikipedia__es,gender,given_name,original_wikiname,name__it,name__en,birth_date,name__ru,name__hu,name__nl,name__de,name__fr,wikipedia__en,name__sv,wikipedia__sv,name__nb,name__da,name__nn,wikipedia__fr,name__la,wikipedia__de,wikipedia__la,wikipedia__commons,name__pl,name__ca,name__an,name__pt,name__mk,wikipedia__an,wikipedia__ca,wikipedia__it,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__ru,image,identifier__freebase,identifier__VIAF,identifier__BNF,identifier__SUDOC,twitter,name__fi,name__oc,wikipedia__fi,wikipedia__nl,identifier__FAST,name__gl,name__ko,name__uk,name__hy,name__cs,wikipedia__ko,wikipedia__uk,family_name,name__id,wikipedia__id,identifier__ISNI,identifier__IMDB,last_seen,name__be_tarask,name__zh,name__zh_hant,name__zh_cn,name__ast,name__eu,name__ro,website,wikipedia__eswikiquote,name__ja,instagram,facebook,wikipedia__ast,identifier__MusicBrainz,occupation,identifier__LCAuth,identifier__snac,identifier__youtube,wikipedia__fa,name__fa,name__lt,name__sco,name__sr,wikipedia__cs,wikipedia__hu,wikipedia__lt,wikipedia__ro,wikipedia__sco,wikipedia__sr,name__ar,identifier__ioc_athlete,identifier__cinenacional,identifier__songkick,name__he,wikipedia__sh,name__sh,linkedin,second_surname,name__af,name__bar,name__bm,name__br,name__co,name__cy,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__et,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lv,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__sc,name__scn,name__sk,name__sw,name__tr,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,wikipedia__simple,identifier__google_plus,name__sl,wikipedia__eu,wikipedia__ruwikinews,identifier__NTA,wikipedia__itwikiquote,identifier__BNE,name__ur,wikipedia__tr,identifier__NKC,name__zh_hans,wikipedia__vi,wikipedia__ar,wikipedia__zh,wikipedia__qu,name__bn,wikipedia__af,wikipedia__he,wikipedia__ka,wikipedia__ur,name__ka,name__el,wikipedia__el,name__th,wikipedia__hy,wikipedia__ja,wikipedia__th,wikipedia__zh_min_nan,identifier__GND,name__qu,name__nan,wikipedia__be_x_old,name__is,name__sr_el,name__be,wikipedia__be,wikipedia__bewikiquote,wikipedia__is,wikipedia__az,wikipedia__et,wikipedia__ms,wikipedia__sk,name__az,name__lmo,wikipedia__arz,wikipedia__lmo,wikipedia__da,name__arz,wikipedia__tt,wikipedia__bg,name__sq,name__zh_hk,name__yue,name__bg,name__tt,name__xmf,wikipedia__br,wikipedia__xmf,wikipedia__vec,wikipedia__ia,wikipedia__sw,wikipedia__eswikinews,wikipedia__sl,name__ml,name__mr,name__tl,name__ckb,name__jv,name__ta,name__bs,name__sgs,name__kk,name__wuu,name__lad,name__bcl,name__uz,name__hi,name__yi,wikipedia__arwikinews,wikipedia__bat_smg,wikipedia__bcl,wikipedia__bn,wikipedia__bs,wikipedia__ckb,wikipedia__enwikiquote,wikipedia__eo,wikipedia__frwikinews,wikipedia__ga,wikipedia__gl,wikipedia__hr,wikipedia__ie,wikipedia__io,wikipedia__jv,wikipedia__kk,wikipedia__lad,wikipedia__lb,wikipedia__lv,wikipedia__mg,wikipedia__ml,wikipedia__mr,wikipedia__nlwikinews,wikipedia__oc,wikipedia__pap,wikipedia__plwikiquote,wikipedia__ptwikinews,wikipedia__ptwikiquote,wikipedia__sq,wikipedia__ta,wikipedia__tl,wikipedia__ukwikiquote,wikipedia__uz,wikipedia__wuu,wikipedia__yi,wikipedia__zh_yue,identifier__Britannica,identifier__bigenc_ru,identifier__GTAA,wikipedia__fo,name__fo
Q58132,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,male,Nicolás,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,1962-11-23,Николас Мадуро,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Nicolaus Maduro,Nicolás Maduro,Nicolaus Maduro,,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Николас Мадуро,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,"Мадуро, Николас","https://upload.wikimedia.org/wikipedia/commons/6/6e/Nicolás_Maduro,_president_of_Venezuela_(2016)_cropped.jpg",/m/0h7hb4,305130149,,,NicolasMaduro,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,,Nicolás Maduro,니콜라스 마두로,Ніколас Мадуро,Նիկոլաս Մադուրո,Nicolás Maduro Moros,니콜라스 마두로,Ніколас Мадуро,Maduro,Nicolás Maduro,Nicolás Maduro,0000 0004 1723 6810,,,Нікаляс Мадура,尼古拉斯·马杜罗,,,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,http://www.nicolasmaduro.org.ve/,Nicolás Maduro,ニコラス・マドゥロ,,NicolasMaduro,Nicolás Maduro,,diplomat,no2013079964,,,نیکلاس مادورو,نیکلاس مادورو,Nicolás Maduro,Nicolás Maduro,Николас Мадуро,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Николас Мадуро,نيكولاس مادورو,,,,ניקולאס מדורו,Nicolás Maduro,Nicolás Maduro,,,,,,Nicolás Maduro,,,,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,,,,Nicolás Maduro,,,Nicolás Maduro,,Nicolás Maduro,Nicolás Maduro,,,,Nicolás Maduro,,,Nikolass Maduro,Nicolás Maduro,,Nicolás Maduro,,,,,Nicolás Maduro,,,,Nicolás Maduro,,,,,Nicolás Maduro,,Nicolás Maduro,Nicolás Maduro,Nicolas Maduro,,,,,,,Nicolás Maduro,,Nicolás Maduro,Nicolás Maduro,Категория:Николас Мадуро,,Nicolás Maduro,,نکولاس مادورو,Nicolás Maduro,,,Nicolás Maduro,نيكولاس مادورو,尼古拉斯·马杜罗,,নিকোলাস মাদুরো,,ניקולאס מדורו,ნიკოლას მადურო,نکولاس مادورو,ნიკოლას მადურო,Νίκολας Μαδούρο,Νικολάς Μαδούρο,นิโกลัส มาดูโร,Նիկոլաս Մադուրո,ニコラス・マドゥロ,นิโกลัส มาดูโร,,1047678039,,,Нікаляс Мадура,Nicolás Maduro,,Нікалас Мадура,Нікалас Мадура,Нікалас Мадура,Nicolás Maduro,Nikolas Maduro,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Nikolas Maduro,Nicolás Maduro,نيكولاس مادورو,Nicolás Maduro,Nicolás Maduro,نيكولاس مادورو,Nikolas Maduro,Николас Мадуро,Nicolás Maduro,,馬杜羅,Николас Мадуро,Николас Мадуро,,Nicolás Maduro,,Nicolás Maduro,,,Categoría:Nicolás Maduro,Nicolás Maduro,നിക്കോളാസ് മഡുറോ,निकोलस मदुरो,Nicolás Maduro,نیکۆلاس مادورۆ,Nicolás Maduro,நிக்கோலசு மதுரோ,Nicolás Maduro,Nicolás Maduro,Николас Мадуро,尼古拉斯·马善六,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,निकोलस मदुरो,ניקאלאס מאדורא,تصنيف:نيكولاس مادورو,Nicolás Maduro,Nicolás Maduro,নিকোলাস মাদুরো,Nicolás Maduro,نیکۆلاس مادورۆ,Nicolás Maduro,Nicolás Maduro,Catégorie:Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Николас Мадуро,Nicolás Maduro,Nicolás Maduro,Nikolass Maduro,Nicolás Maduro,നിക്കോളാസ് മഡുറോ,निकोलस मदुरो,Categorie:Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Categoria:Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,நிக்கோலசு மதுரோ,Nicolás Maduro,Ніколас Мадуро,Nicolás Maduro,尼古拉斯·马善六,ניקאלאס מאדורא,馬杜羅,biography/Nicolas-Maduro,3989932,235277,Nicolás Maduro,Nicolás Maduro
Q5839852,Gladys Requena,Gladys Requena,Gladys Requena,female,Gladys,Gladys Requena,,Gladys Requena,1952-11-09,,Gladys Requena,Gladys Requena,,Gladys Requena,Gladys Requena,,,,,,Gladys Requena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gladys Requena,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gladys Requena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5894576,Henry Ramos Allup,Henry Ramos Allup,Henry Ramos Allup,male,Henry,Henry Ramos Allup,,Henry Ramos Allup,1943-10-17,"Рамос Аллуп, Энри",Henry Ramos Allup,Henry Ramos Allup,Henry Ramos Allup,Henry Ramos Allup,Henry Ramos Allup,,,,,,,,Henry Ramos Allup,,,,Henry Ramos Allup,,Henry Ramos Allup,,,Henry Ramos Allup,,,,Henry Ramos Allup,"Рамос Аллуп, Энри",https://upload.wikimedia.org/wikipedia/commons/0/07/Henry_Ramos_Allup_Portrait.jpg,,,,,,,,,,,,,,,,,,Ramos,,,,,,,亨利·拉莫斯·阿盧普,亨利·拉莫斯·阿盧普,亨利·拉莫斯·阿卢普,Henry Ramos Allup,,,,Henry Ramos Allup,ヘンリー・ラモス・アルップ,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Henry Ramos Allup,,,,,,,,,亨利·拉莫斯·阿卢普,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q59289588,Freddy Superlano,Freddy Superlano,Freddy Superlano,male,,Freddy Superlano,,Freddy Superlano,1976-06-25,,,Freddy Superlano,,Freddy Superlano,Freddy Superlano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freddy Superlano,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5948223,Juan Carlos Caldera,Juan Carlos Caldera,Juan Carlos Caldera,male,Juan Carlos,Juan Carlos Caldera,,Juan Carlos Caldera,1973-11-16,,Juan Carlos Caldera,Juan Carlos Caldera,,Juan Carlos Caldera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juan Carlos Caldera,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juan Carlos Caldera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5951793,Juan Pablo Guanipa,Juan Pablo Guanipa,Juan Pablo Guanipa,male,Juan Pablo,Juan Pablo Guanipa,,Juan Pablo Guanipa,1964-12-20,,,Juan Pablo Guanipa,,Juan Pablo Guanipa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juan Pablo Guanipa,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juan Pablo Guanipa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6015821,Miguel Ángel Rodríguez Vega,Miguel Ángel Rodríguez Vega,Miguel Ángel Rodríguez Vega,male,Miguel Ángel,Miguel Ángel Rodríguez (periodista),,Miguel Ángel Rodríguez Vega,1965-09-07,,,Miguel Ángel Rodríguez Vega,,Miguel Ángel Rodríguez Vega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Ángel Rodríguez Vega,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Ángel Rodríguez Vega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q61598875,Arkiely Perfecto,Arkiely Perfecto,Arkiely Perfecto,female,,Arkiely Perfecto,,,1987-11-15,,,Arkiely Perfecto,,,,,,,,,,,,,Category:Arkiely Perfecto,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0d/Arkiely_Perfecto_(cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arkiely Perfecto,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q62851423,Gilber Caro,Gilber Caro,Gilber Caro,male,,Gilber Caro,,Gilber Caro,1974-01-30,,,Gilber Caro,,,Gilber Caro,,,,,,,,,,Category:Gilber Caro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吉爾伯·卡羅,,,Gilber Caro,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q63311509,Franklyn Duarte,Franklyn Duarte,Franklyn Duarte,male,,Franklyn Duarte,,Franklyn Duarte,"",,,Franklyn Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Franklyn Duarte,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q64009074,Renzo Prieto,Renzo Prieto,Renzo Prieto,male,,Renzo Prieto,,Renzo Prieto,,,,Renzo Prieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q951338,Julio Borges,Julio Borges,Julio Borges,male,Julio,Julio Borges,Julio Borges,Julio Borges,1969-10-22,Хулио Борхес,Julio Borges,Julio Borges,Julio Borges,Julio Borges,Julio Borges,Julio Borges,Julio Borges,Julio Borges,Julio Borges,Julio Borges,Julio Borges,,Julio Borges,,Category:Julio Borges,Julio Borges,Julio Borges,,Julio Borges,,,,Julio Borges,,Julio Borges,Julio Borges,"Борхес, Хулио",https://upload.wikimedia.org/wikipedia/commons/2/2f/Julio_Andrés_Borges.png,/m/07rfpt,68380798,,,JulioBorges,Julio Borges,Julio Borges,Julio Borges,Julio Borges,1676251,Julio Borges,,,,,,,Borges,,,0000 0000 3671 5041,,,,胡利奧·博爾赫斯,,,Julio Borges,Julio Borges,,,Julio Borges,フリオ・ボルヘス,,,,,politician,n2007037945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Julio Borges,,,,,,,,,,,,,Julio Borges,,,,,,,,,,,,,,,Julio Borges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
