id,name__et,name__de,name__pl,name__ru,name__fr,name__es,name__en,name__tr,name__nb,name__nl,name__ca,name__oc,name__zh,name__uk,name__da,name__nn,name__sv,name__it,name__hu,name,wikipedia__de,wikipedia__en,wikipedia__es,wikipedia__et,wikipedia__fr,wikipedia__it,wikipedia__pl,wikipedia__ru,wikipedia__simple,wikipedia__tr,wikipedia__uk,wikipedia__zh,gender,birth_date,identifier__freebase,given_name,original_wikiname,name__ja,wikipedia__ja,image,name__la,name__yo,name__fi,wikipedia__enwikiquote,wikipedia__eswikiquote,wikipedia__fi,wikipedia__la,wikipedia__nl,wikipedia__plwikiquote,wikipedia__yo,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,death_date,identifier__sycomore,identifier__FAST,name__cy,name__el,name__id,name__is,wikipedia__el,wikipedia__id,wikipedia__is,wikipedia__no,name__zh_hans,name__zh_hant,name__zh_hk,name__vi,wikipedia__sv,wikipedia__vi,name__gl,wikipedia__gl,name__bg,wikipedia__bg,name__br,wikipedia__br,name__de_ch,name__en_ca,name__en_gb,name__pt,wikipedia__pt,identifier__LAC,last_seen,family_name,name__zh_cn,name__af,name__an,name__ast,name__bar,name__bm,name__co,name__cs,name__de_at,name__eo,name__eu,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sr_el,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,wikipedia__fa,name__ar,wikipedia__ar,name__fa,wikipedia__eo,occupation,identifier__NTA
Q668233,,Jean-François Ntoutoume Emane,,"Эман, Жан-Франсуа Нтутум",Jean-François Ntoutoume Emane,Jean-François Ntoutoume Emane,Jean-François Ntoutoume Emane,,Jean-François Ntoutoume Emane,Jean-François Ntoutoume Emane,,,让-弗朗索瓦·恩图图梅·埃马内,Жан-Франсуа Нтутум Еман,Jean-François Ntoutoume Emane,Jean-François Ntoutoume Emane,Jean-François Ntoutoume Emane,Jean-François Ntoutoume Emane,Jean-François Ntoutoume Emane,Jean-François Ntoutoume Emane,Jean-François Ntoutoume Emane,Jean-François Ntoutoume Emane,Jean-François Ntoutoume Emane,,Jean-François Ntoutoume Emane,Jean-François Ntoutoume Emane,,"Эман, Жан-Франсуа Нтутум",,,Жан-Франсуа Нтутум Еман,让-弗朗索瓦·恩图图梅·埃马内,male,1939-10-06,/m/0235wh,Jean-François,,ジャン＝フランソワ・ントゥトゥム・エマヌ,,,,Jean-François Ntoutoume Emane,Jean-François Ntoutoume Emane,,,Jean-François Ntoutoume Emane,,,,Jean-François Ntoutoume Emane,,191696495,170756211,,,,,,,,,,,,,,,,,,,,,Jean-François Ntoutoume Emane,Jean-François Ntoutoume Emane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q6695782,,Luc Marat Abyla,,,Luc Marat Abyla,,Luc Marat Abyla,,,Luc Marat Abyla,,,,,,,,,,Luc Marat Abyla,,Luc Marat Abyla,,,,,,,,,,,male,,,Luc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q6711098,,Léon Mbou Yembi,,,Léon Mbou Yembi,Léon Mbou Yembi,Léon Mbou Yembi,,Léon Mbou Yembi,Léon Mbou Yembi,,,,,Léon Mbou Yembi,Léon Mbou Yembi,Léon Mbou Yembi,,Léon Mbou Yembi,Léon Mbou Yembi,,Léon Mbou Yembi,,,Léon Mbou Yembi,,,,,,,,male,1946-01-15,,Léon,,レオン・ムボウ・エンビ,,,,,,,,,,,,,0000 0000 7972 0203,24610755,,,11996954k,028058461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q6711125,,Léonard Andjembé,,,Léonard Andjembé,Léonard Andjembé,Léonard Andjembé,,,Léonard Andjembé,,,,,,,,,Léonard Andjembé,Léonard Andjembé,,Léonard Andjembé,,,,,,,,,,,male,1948-01-01,,Léonard,,レオナール・アンジェンビ,,,,,,,,,,,,,0000 0001 1456 3590,121570465,,,15076193v,105683698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,297345095
Q6756384,,Marcellin Mve Ebang,,,Marcellin Mve Ebang,,Marcellin Mve Ebang,,,Marcellin Mve Ebang,,,,,,,,Marcellin Mve Ebang,,Marcellin Mve Ebang,,Marcellin Mve Ebang,,,,,,,,,,,male,1959-04-13,,Marcellin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q6836261,,Michel Akouloua,,,Michel Akouloua,,Michel Akouloua,,,Michel Akouloua,,,,,,,,,,Michel Akouloua,,Michel Akouloua,,,,,,,,,,,male,,,Michel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q7191961,,,,,Pierre-André Kombila,Pierre-André Kombila,Pierre-André Kombila,,,Pierre-André Kombila,,,,,,,,,,Pierre-André Kombila,,Pierre-André Kombila,Pierre-André Kombila,,,,,,,,,,male,1941-05-08,,Pierre-André,,,,,,,,,,,,,,,,301229848,,,,169650561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q7520896,,Simplice Guedet Manzela,,,Simplice Guedet Manzela,,Simplice Guedet Manzela,,,Simplice Guedet Manzela,,,,,,,,Simplice Guedet Manzela,,Simplice Guedet Manzela,,Simplice Guedet Manzela,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q7932126,,Vincent de Paul Gondjout,,,Vincent de Paul Gondjout,,Vincent de Paul Gondjout,,,Vincent de Paul Gondjout,,,,,,,,,,Vincent de Paul Gondjout,,Vincent de Paul Gondjout,,,,,,,,,,,male,,,Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q8063923,,Zacharie Myboto,,,Zacharie Myboto,Zacharie Myboto,Zacharie Myboto,,,Zacharie Myboto,,,,,,,,,Zacharie Myboto,Zacharie Myboto,,Zacharie Myboto,,,Zacharie Myboto,,,,,,,,male,1938,,Zacharie,,ザカーリ・ムボト,,,,,,,,,,,,,,74128237,,no2005072291,15004289z,091499194,,,1619407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,
