id,name__lt,name__de,name__pl,name__nl,name__en,name__af,name__an,name__ast,name__bar,name__br,name__bs,name__ca,name__co,name__cs,name__cy,name__da,name__eo,name__es,name__et,name__eu,name__fi,name__fr,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__hu,name__is,name__it,name__lb,name__li,name__lij,name__lmo,name__nap,name__nb,name__nds,name__nds_nl,name__nn,name__pcd,name__pms,name__pt,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sl,name__sq,name__sv,name__tr,name__vec,name__vls,name__wa,name,wikipedia__de,wikipedia__lt,wikipedia__pl,gender,birth_date,given_name,original_wikiname,name__la,name__ja,name__ru,name__uk,name__el,name__zh,name__be,name__lv,name__ie,name__sr,name__fa,name__ko,name__vi,name__sgs,wikipedia__bat_smg,wikipedia__be,wikipedia__ca,wikipedia__da,wikipedia__el,wikipedia__en,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fr,wikipedia__gl,wikipedia__ie,wikipedia__it,wikipedia__itwikiquote,wikipedia__ja,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__lv,wikipedia__nl,wikipedia__ru,wikipedia__sr,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__zh,image,identifier__freebase,identifier__parlement,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,name__oc,wikipedia__eo,wikipedia__fi,identifier__EuroparlMEP,name__he,name__id,name__ar,name__be_tarask,name__io,wikipedia__ar,wikipedia__be_x_old,wikipedia__cs,wikipedia__he,wikipedia__id,wikipedia__io,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__pt,wikipedia__plwikiquote,identifier__NTA,name__ltg,name__yo,name__mg,wikipedia__af,wikipedia__ltg,wikipedia__ltwikiquote,wikipedia__mg,wikipedia__svwikiquote,wikipedia__yo,name__ka,wikipedia__ka,identifier__Munzinger,identifier__LNB,wikipedia__enwikiquote,wikipedia__ro,death_date,name__az,wikipedia__az,identifier__NUKAT,name__de_ch,website,wikipedia__ast,wikipedia__br,wikipedia__commons,last_seen,identifier__GTAA,family_name,twitter,facebook,identifier__PACE,wikipedia__hsb,name__hsb,wikipedia__bg,name__bg,name__zh_hant,name__zh_cn,occupation,name__en_ca,name__en_gb,wikipedia__sq,identifier__google_knowledge,wikipedia__hu,identifier__NNDB,wikipedia__simple,identifier__BIBSYS,identifier__NLP,wikipedia__vo,name__ba,wikipedia__ba,name__hy,wikipedia__hy,name__lfn,name__pt_br,identifier__FAST,wikipedia__ruwikinews,name__sr_el,name__sr_ec,name__mn,name__zh_hans,wikipedia__hr,wikipedia__mn,wikipedia__sk,wikipedia__sl,wikipedia__cswikiquote,name__ty,name__fo,name__kl,wikipedia__cy,wikipedia__ml,instagram,identifier__youtube,name__ml
Q15138320,Raimundas Paliukas,Raimundas Paliukas,Raimundas Paliukas,Raimundas Paliukas,Raimundas Paliukas,,,Raimundas Paliukas,,,,,,,,,,Raimundas Paliukas,,,,Raimundas Paliukas,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raimundas Paliukas,,,,,,,Raimundas Paliukas,Raimundas Paliukas,Raimundas Paliukas,,male,1947-09-14,Raimundas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/31/Raimundas_Paliukas.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Raimundas Paliukas,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15138339,Valdas Skarbalius,Valdas Skarbalius,Valdas Skarbalius,Valdas Skarbalius,Valdas Skarbalius,,,Valdas Skarbalius,,,,,,,,,,Valdas Skarbalius,,,,Valdas Skarbalius,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valdas Skarbalius,,,,,,,Valdas Skarbalius,Valdas Skarbalius,Valdas Skarbalius,Valdas Skarbalius,male,1983-08-16,Valdas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15138466,Viktoras Fiodorovas,Viktor Fjodorow,Viktoras Fiodorovas,,Viktor Fjodorow,,,Viktor Fjodorow,,,,,,,,,,Viktor Fjodorow,,,,Viktor Fjodorow,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viktor Fjodorow,,,,,,,Viktor Fjodorow,Viktor Fjodorow,Viktoras Fiodorovas,Viktoras Fiodorovas,male,1987-01-29,Viktor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1523239,Giedrė Purvaneckienė,Giedrė Purvaneckienė,Giedrė Purvaneckienė,Giedrė Purvaneckienė,Giedrė Purvaneckienė,,,Giedrė Purvaneckienė,,,,Giedrė Purvaneckienė,,Giedrė Purvaneckienė,,Giedrė Purvaneckienė,,,Giedrė Purvaneckienė,,Giedrė Purvaneckienė,Giedrė Purvaneckienė,,,,,,Giedrė Purvaneckienė,,,,,,,,,,,,,,,Giedrė Purvaneckienė,,Giedrė Purvaneckienė,,,,Giedrė Purvaneckienė,Giedrė Purvaneckienė,,Giedrė Purvaneckienė,,,,,Giedrė Purvaneckienė,Giedrė Purvaneckienė,Giedrė Purvaneckienė,Giedrė Purvaneckienė,female,1945-03-08,Giedrė,,Giedrė Purvaneckienė,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5f/Giedrė_Purvaneckienė.jpg,,,0000 0000 3833 9000,41154508,,n98045630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Giedrė Purvaneckienė,,,,,,,,,,,,,physicist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15240798,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Antanas Ručys,Rimas Ručys,male,1954-05-26,Rimas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1525171,Gintaras Steponavičius,Gintaras Steponavičius,Gintaras Steponavičius,Gintaras Steponavičius,Gintaras Steponavičius,,,Gintaras Steponavičius,,,,Gintaras Steponavičius,,,,Gintaras Steponavičius,Gintaras Steponavičius,,,,,Gintaras Steponavičius,,,,,,,,,,,,,,,Gintaras Steponavičius,,,Gintaras Steponavičius,,,,,,,,,,Gintaras Steponavičius,Gintaras Steponavičius,Gintaras Steponavičius,,,,,Gintaras Steponavičius,Gintaras Steponavičius,Gintaras Steponavičius,Gintaras Steponavičius,male,1967-07-23,Gintaras,,,ギンタラス・ステポナヴィチュス,,,,,,,,,,,,,,,,,,Gintaras Steponavičius,,,,Gintaras Steponavičius,,,,,ギンタラス・ステポナヴィチュス,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5c/Gintaras_Steponavičius.JPG,/m/0jwt4zw,,,,,,,,,Gintaras Steponavičius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gintaras Steponaviçius,Gintaras Steponaviçius,,,,,,Category:Gintaras Steponavičius,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15268485,Bronius Markauskas,Bronius Markauskas,Bronius Markauskas,Bronius Markauskas,Bronius Markauskas,,,Bronius Markauskas,,,,,,,,,,Bronius Markauskas,,,,Bronius Markauskas,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronius Markauskas,,,,,,,Bronius Markauskas,Bronius Markauskas,Bronius Markauskas,Bronius Markauskas,male,1960-11-05,Bronius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Bronius Markauskas,,,Markauskas,,,,,,,,,,electrical engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1557883,Algimantas Salamakinas,Algimantas Salamakinas,Algimantas Salamakinas,Algimantas Salamakinas,Algimantas Salamakinas,,,Algimantas Salamakinas,,,,Algimantas Salamakinas,,Algimantas Salamakinas,,Algimantas Salamakinas,,Algimantas Salamakinas,Algimantas Salamakinas,,Algimantas Salamakinas,Algimantas Salamakinas,,,,,,Algimantas Salamakinas,,,,,,,,,,,,,,,Algimantas Salamakinas,,Algimantas Salamakinas,,,,Algimantas Salamakinas,Algimantas Salamakinas,,Algimantas Salamakinas,,,,,Algimantas Salamakinas,Algimantas Salamakinas,Algimantas Salamakinas,Algimantas Salamakinas,male,1952-09-04,Algimantas,,Algimantas Salamakinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15728551,Kazys Grybauskas,Kazys Grybauskas,Kazys Grybauskas,,Kazys Grybauskas,,,Kazys Grybauskas,,,,,,,,,,Kazys Grybauskas,,,,Kazys Grybauskas,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kazys Grybauskas,,,,,,,Kazys Grybauskas,Kazys Grybauskas,Kazys Grybauskas,Kazys Grybauskas,male,1954-03-05,Kazys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grybauskas,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15782189,Aleksandras Zeltinis,Aleksandras Zeltinis,Aleksandras Zeltinis,Aleksandras Zeltinis,Aleksandras Zeltinis,,,Aleksandras Zeltinis,,,,,,,,,,Aleksandras Zeltinis,,,,Aleksandras Zeltinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aleksandras Zeltinis,,,,,,,Aleksandras Zeltinis,Aleksandras Zeltinis,Aleksandras Zeltinis,Aleksandras Zeltinis,male,1951-02-19,Aleksandras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16443650,Andriejus Stančikas,Andriejus Stančikas,Andriejus Stančikas,,Andriejus Stančikas,,,Andriejus Stančikas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andriejus Stančikas,Andriejus Stančikas,Andriejus Stančikas,Andriejus Stančikas,male,1961-11-30,Andriejus,,,,,,,,,,,,,,,Andriejus Stančikas,Andriejus Stančikas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16443691,Andrius Navickas,Andrius Navickas,Andrius Navickas,,Andrius Navickas,,,Andrius Navickas,,,,,,,,,,Andrius Navickas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrius Navickas,Andrius Navickas,Andrius Navickas (1972),Andrius Navickas,male,1972-03-09,Andrius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university teacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16444727,Audrys Šimas,Audrys Šimas,Audrys Šimas,,Audrys Šimas,,,Audrys Šimas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Audrys Šimas,Audrys Šimas,Audrys Šimas,Audrys Šimas,male,1961-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16444907,Aušra Maldeikienė,Aušra Maldeikienė,Aušra Maldeikienė,,Aušra Maldeikienė,,,Aušra Maldeikienė,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aušra Maldeikienė,Aušra Maldeikienė,Aušra Maldeikienė,Aušra Maldeikienė,female,1958-06-04,Aušra,,,,"Малдейкене, Аушра",Аушра Малдейкєне,,,,,,,,,,,,,,,,Aušra Maldeikienė,,,,,,,,,,,,,,,"Малдейкене, Аушра",,,,Аушра Малдейкєне,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.maldeikiene.lt/,,,,,,,,,,,,,,,,economist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16446841,Dainius Kepenis,Dainius Kepenis,Dainius Kepenis,,Dainius Kepenis,,,Dainius Kepenis,,,,,,,,,Dainius Kepenis,Dainius Kepenis,,,,Dainius Kepenis,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dainius Kepenis,,,,,,,Dainius Kepenis,Dainius Kepenis,Dainius Kepenis,Dainius Kepenis,male,1952-08-18,Dainius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/09/Dainius_Kepenis_en_aŭgusto_2006.JPG,,,,,,,,,,Dainius Kepenis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16450577,Eugenijus Jovaiša,Eugenijus Jovaiša,Eugenijus Jovaiša,,Eugenijus Jovaiša,,,Eugenijus Jovaiša,,,,,,,,,,,,,,Eugenijus Jovaiša,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eugenijus Jovaiša,,,,,,,Eugenijus Jovaiša,Eugenijus Jovaiša,Eugenijus Jovaiša,Eugenijus Jovaiša,male,1950-04-24,Eugenijus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0003 8320 4959,267574393,143469320,nr2003037388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university teacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16453773,Jonas Varkalys,Jonas Varkalys,Jonas Varkalys,,Jonas Varkalys,,,Jonas Varkalys,,,,,,,,,,Jonas Varkalys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jonas Varkalys,Jonas Varkalys,Jonas Varkalys,Jonas Varkalys,male,1950-08-28,Jonas,,,,,,,,,,,,,,,Jonas Varkalys,Jonas Varkalys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16454236,Juozas Baublys,Juozas Baublys,Juozas Baublys,,Juozas Baublys,,,Juozas Baublys,,,,,,,,,,Juozas Baublys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juozas Baublys,Juozas Baublys,Juozas Baublys,,male,1961-11-19,Juozas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16454395,Juozas Varžgalys,Juozas Varžgalys,Juozas Varžgalys,,Juozas Varžgalys,,,Juozas Varžgalys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juozas Varžgalys,Juozas Varžgalys,Juozas Varžgalys,Juozas Varžgalys,male,1956-10-12,Juozas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16458534,Levutė Staniuvienė,Levutė Staniuvienė,Levutė Staniuvienė,,Levutė Staniuvienė,,,Levutė Staniuvienė,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Levutė Staniuvienė,Levutė Staniuvienė,Levutė Staniuvienė,Levutė Staniuvienė,female,1958-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16473251,Stasys Tumėnas,Stasys Tumėnas,Stasys Tumėnas,Stasys Tumėnas,Stasys Tumėnas,,,Stasys Tumėnas,,,,,,,,,,,,,,Stasys Tumėnas,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stasys Tumėnas,,,,,,,Stasys Tumėnas,Stasys Tumėnas,Stasys Tumėnas,Stasys Tumėnas,male,1958-05-07,Stasys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/23/2009_07_03Tumėnas_36.JPG,,,0000 0000 4184 7903,63655099,,no2001022416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Stasys Tumėnas,,,,,,,,,,,,,university teacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16473801,Tadas Langaitis,Tadas Langaitis,Tadas Langaitis,,Tadas Langaitis,,,Tadas Langaitis,,Tadas Langaitis,,,,,,Tadas Langaitis,,Tadas Langaitis,,,,Tadas Langaitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tadas Langaitis,,Tadas Langaitis,,,,,Tadas Langaitis,Tadas Langaitis,Tadas Langaitis,Tadas Langaitis,male,1977-07-07,Tadas,,,,,,,,,,,,,,,,,,,,,Tadas Langaitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16475412,Valius Ąžuolas,Valius Ąžuolas,Valius Ąžuolas,,Valius Ąžuolas,,,Valius Ąžuolas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valius Ąžuolas,Valius Ąžuolas,Valius Ąžuolas,Valius Ąžuolas,male,1979-04-28,Valius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agronomist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16477432,Zenonas Streikus,Zenonas Streikus,Zenonas Streikus,,Zenonas Streikus,,,Zenonas Streikus,,,,,,,,,,Zenonas Streikus,,,,Zenonas Streikus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zenonas Streikus,Zenonas Streikus,Zenonas Streikus,Zenonas Streikus,male,1954-12-23,Zenonas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psychologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16477652,Česlav Olševski,Česlav Olševski,Czesław Olszewski,,Česlav Olševski,,,Česlav Olševski,,,,Česlav Olševski,,,,,,,,,,Česlav Olševski,,,,,,,,,,,,,,,,,,,,,,,,,,,,Česlav Olševski,Česlav Olševski,,,,,,Česlav Olševski,Česlav Olševski,Česlav Olševski,Czesław Olszewski,male,1961-06-26,Česlav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17118365,Gabrielius Landsbergis,Gabrielius Landsbergis,Gabrielius Landsbergis,Gabrielius Landsbergis,Gabrielius Landsbergis,,,Gabrielius Landsbergis,,,,,,,,,,Gabrielius Landsbergis,Gabrielius Landsbergis,,,Gabrielius Landsbergis,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabrielius Landsbergis,,,,,,,Gabrielius Landsbergis,Gabrielius Landsbergis,Gabrielius Landsbergis (1982),Gabrielius Landsbergis,male,1982-01-07,Gabrielius,,,ガブリエリュス・ランズベルギス,,,,格比亞魯斯·蘭斯伯格斯,,,,,,,,,,,,,,Gabrielius Landsbergis,,Gabrielius Landsbergis,,Gabrielius Landsbergis (homme politique),,,,,ガブリエリュス・ランズベルギス,,,,,,,,,,,,格比亞魯斯·蘭斯伯格斯,"https://upload.wikimedia.org/wikipedia/commons/6/6e/EPP_Summit,_December_2015_(23782875616)_(cropped).jpg",,,,8085147967374584200006,,,,,,,,124759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Gabrielius Landsbergis,,,,,,,,,,,,,politician,,,,,,,,,A35425106,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17126647,,Gintaras Tamošiūnas,Gintaras Tamošiūnas,Gintaras Tamošiūnas,Gintaras Tamošiūnas,,,Gintaras Tamošiūnas,,,,,,,,,,,,,,Gintaras Tamošiūnas,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gintaras Tamošiūnas,,,,,,,Gintaras Tamošiūnas,Gintaras Tamošiūnas,,Gintaras Tamošiūnas,male,1976-08-08,Gintaras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jurist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1713862,Jurgis Razma,Jurgis Razma,Jurgis Razma,Jurgis Razma,Jurgis Razma,,,Jurgis Razma,,,,Jurgis Razma,,,,Jurgis Razma,,Jurgis Razma,,,,Jurgis Razma,,,,,,,,,,,,,,,Jurgis Razma,,,Jurgis Razma,,,,,,,,,,Jurgis Razma,Jurgis Razma,Jurgis Razma,,,,,Jurgis Razma,Jurgis Razma,Jurgis Razma,Jurgis Razma,male,1958-03-14,Jurgis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physicist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1722310,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,Rytas Kupčinskas,male,1949-02-08,Rytas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b6/Rytas_Kupčinskas.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Rytas Kupčinskas,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,Rytas Kupčinskas,,,,,,,,,,,,,,,,,,,,
