id,name__lb,name__zh_hans,name__zh_hant,name__zh_hk,name__ky,name__eu,name__pl,name__be,name__fr,name__ko,name__uz,name__es,name__ta,name__yo,name__ms,name__lv,name__it,name__et,name__de,name__id,name__ja,name__el,name__vi,name__sh,name__sv,name__ar,name__nl,name__pt,name__eo,name__ru,name__en,name__sr_el,name__sr_ec,name__tr,name__ca,name__fi,name__uk,name__be_tarask,name__cy,name__nn,name__cs,name__bg,name__fa,name__ka,name__az,name__tl,name__da,name__kk_arab,name__kk_cyrl,name__kk_latn,name__kk,name__sr,name__zh,name__hr,name__nb,name__qu,name__tg,name__sco,name,wikipedia__ar,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cy,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__en,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__hr,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__kk,wikipedia__ko,wikipedia__ky,wikipedia__lb,wikipedia__lv,wikipedia__ms,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__qu,wikipedia__ru,wikipedia__sco,wikipedia__sh,wikipedia__sr,wikipedia__sv,wikipedia__ta,wikipedia__tg,wikipedia__tl,wikipedia__tr,wikipedia__uk,wikipedia__uz,wikipedia__vi,wikipedia__yo,wikipedia__zh,image,gender,identifier__VIAF,birth_date,identifier__freebase,name__nan,name__he,name__hu,name__br,name__tg_latn,name__cv,wikipedia__br,wikipedia__cv,wikipedia__enwikiquote,wikipedia__he,wikipedia__hu,wikipedia__simple,wikipedia__zh_min_nan,given_name,death_date,name__hy,name__la,wikipedia__hy,wikipedia__la,identifier__ISNI,identifier__LCAuth,wikipedia__pa,original_wikiname,name__pa,last_seen,wikipedia__xmf,name__xmf,wikipedia__mg,name__mg,name__kana,identifier__GTAA,identifier__bigenc_ru,occupation,wikipedia__fawikiquote,wikipedia__tt,name__tt,identifier__quora,wikipedia__eswikinews,identifier__Britannica,identifier__ne_se,identifier__NNDB,name__ur,wikipedia__ur,name__zh_cn,identifier__GND,wikipedia__ast,name__en_ca,name__en_gb,name__mk,wikipedia__hi,name__ast,name__hi,wikipedia__oc,website,name__oc,family_name,name__pt_br,name__kk_kz,name__de_ch,name__bar,wikipedia__ruwikinews,identifier__FAST,identifier__Munzinger,name__gl,identifier__NKC,facebook,twitter,name__th,identifier__PACE
Q24692,,,,,Алмазбек Атамбаев,Almazbek Atanbaiev,Ałmazbek Atambajew,Алмазбек Шаршэнавіч Атамбаеў,Almazbek Atambaev,알마즈베크 아탐바예프,Almazbek Atambayev,Almazbek Atambayev,அல்மாஸ்பெக் அத்தம்பாயெவ்,Almazbek Atambayev,,,Almazbek Atambayev,Almazbek Atambajev,Almasbek Atambajew,Almazbek Atambayev,アルマズベク・アタンバエフ,Αλμάζμπεκ Αταμπάγιεφ,Almazbek Atambayev,Almazbek Atambajev,Almazbek Atambajev,ألمازبيك أتامباييف,Almazbek Atambajev,Almazbek Atambaiev,Almazbek Atambajev,Алмазбек Шаршенович Атамбаев,Almazbek Atambayev,,,Almazbek Atambayev,Almazbek Atambàiev,Almazbek Atambajev,Алмазбек Атамбаєв,Алмазбэк Атамбаеў,,Almazbek Atambajev,Almazbek Atambajev,Алмазбек Атамбаев,آلمازبک آتامبایف,ალმაზბეკ ატამბაევი,Almazbek Atambayev,Almazbek Atambayev,Almazbek Atambajev,,,,Алмазбек Сәрсенұлы Атамбаев,Алмазбек Атамбајев,阿尔马兹别克·阿坦巴耶夫,Almazbek Atambajev,Almazbek Atambajev,,Алмосбек Отамбоев,Almazbek Atambayev,Almazbek Atambayev,ألمازبيك أتامباييف,Almazbek Atambayev,Алмазбэк Атамбаеў,Алмазбек Шаршэнавіч Атамбаеў,Алмазбек Атамбаев,Almazbek Atambàiev,Category:Almazbek Atambayev,Almazbek Atambajev,,Almazbek Atambajev,Almasbek Atambajew,Αλμάζμπεκ Αταμπάγιεφ,Almazbek Atambayev,Almazbek Atambajev,Almazbek Atambáyev,Almazbek Atambajev,Almazbek Atanbaiev,الماس‌بیگ آتامبایف,Almazbek Atambajev,Almazbek Atambaev,Almazbek Atambajev,Almazbek Atambayev,Almazbek Atambayev,アルマズベク・アタンバエフ,ალმაზბეკ ატამბაევი,Алмазбек Сәрсенұлы Атамбаев,알마즈베크 아탐바예프,Алмазбек Атамбаев,,,,Almazbek Atambajev,,Almazbek Atambajev,Ałmazbek Atambajew,Almazbek Atambaiev,,"Атамбаев, Алмазбек Шаршенович",Almazbek Atambayev,Almazbek Atambajev,Алмазбек Атамбајев,Almazbek Atambajev,அல்மாஸ்பெக் அத்தம்பாயெவ்,Алмосбек Отамбоев,Almazbek Atambayev,Almazbek Atambayev,Атамбаєв Алмазбек Шаршенович,Almazbek Atambayev,Almazbek Atambayev,Almazbek Atambayev,阿尔马兹别克·阿坦巴耶夫,https://upload.wikimedia.org/wikipedia/commons/1/14/2012-03-20_Almazbek_Atambayev.jpeg,male,88147266856635482228,1956-09-17,/m/026fsdk,,אלמאזבק אטמבייב,Almazbek Atambajev,,,,,,Almazbek Atambayev,אלמאזבק אטמבייב,Almazbek Atambajev,,,,,Ալմազբեկ Ատամբաև,Almazbek Atambaev,Ալմազբեկ Ատամբաև,Almazbek Atambaev,,,,,,,ალმაზბეკ ატამბაევი,ალმაზბეკ ატამბაევი,Almazbek Atambaev,Almazbek Atambaev,,,3922476,politician,الماس‌بیگ آتامبایف,Алмазбәк Атамбаев,Алмазбәк Атамбаев,Almazbek-Atambayev,,,,932/000162446,الماس بیگ آتامبایف,الماس بیگ آتامبایف,,1138640069,Almazbek Atambáyev,,,,,Almazbek Atambáyev,,,,,,,Алмазбек Сәрсенұлы Атамбаев,,,,,,,,,,,
Q25386837,,,,,Жанар Акаев,,,,,,,Janarbek Akayev,,,,,,,,,,,,,,,,,,Жанарбек Кубанычович Акаев,Janarbek Akayev,,,,,,,,,,,,,,,,,,,,,,,,,,,,Janarbek Akayev,,,,,,,,,,,,,Janarbek Akayev,,,,,,,,,,,,,,,Жанар Акаев,,,,,,,,,,"Акаев, Жанарбек Кубанычович",,,,,,,,,,,,,,,male,,1986-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,Janarbek Akayev,,,,,,,,,,,,,,,janar.akaev,janarakaev,,
Q25597822,,,,,"Абдылдаев, Мыктыбек Юсупович",,,,,,,Myktybek Abdyldaev,,,,,,,,,ミクティベク・アブディルダイェフ,,,,,,,,,"Абдылдаев, Мыктыбек Юсупович",Myktybek Abdyldaev,,,,,,,,,,,,,,,,,,,,,,,,,,,,Myktybek Abdyldaev,,,,,,,,,,,,,Myktybek Abdyldayev,,,,,,,,,,,ミクティベク・アブディルダイェフ,,,,Мыктыбек Абдылдаев,,,,,,,,,,"Абдылдаев, Мыктыбек Юсупович",,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9c/Мыктыбек_Абдылдаев.jpg,male,,1953-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,Myktybek Abdyldaev,,,,,,,,,,,,,,,,,,
Q25597824,,,,,Арапбаев Азамат Абдуллажанович,,,,,,,Azamat Arapbayev,,,,,,,,,,,,,,,,,,,Azamat Arapbayev,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azamat Arapbayev,,,,,,,,,,,,,Azamat Arapbayev,,,,,,,,,,,,,,,Азамат Арапбаев,,,,,,,,,,,,,,,,,,,,,,,,,male,,1970-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,Azamat Arapbayev,,,,,,,,,,,,,,,,,,
Q25597827,,,,,Султанбекова Чолпон Аалыевна,,,,,,,Cholpon Sultanbekova,,,,,,,,,チョルポン・スルタンベコヴァ,,,,,,,,,Султанбекова Чолпон Аалыевна,Cholpon Sultanbekova,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cholpon Sultanbekova,,,,,,,,,,,,,Cholpon Sultanbekova,,,,,,,,,,,,,,,Султанбекова Чолпон Аалыевна,,,,,,,,,,,,,,,,,,,,,,,,,female,,1969-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,Cholpon Sultanbekova,,,,,,,,,,,,,,,,,,7498
Q2562313,,,,,"Исаков, Исмаил Исакович",,,,Ismaïl Issakov,,,Ismail Isakov,,,,,,Ismail Isakov,,,イスマイル・イサコフ,,,,,,Ismail Isakov,,,Исмаил Исакович Исаков,Ismail Isakov,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ismail Isakov,,,,,,,Category:Ismail Isakov,,,,,,Ismail Isakov,,,Ismail Isakov,,,,Ismaïl Issakov,,,,イスマイル・イサコフ,,,,Исмаил Исаков,,,,,,,,,,"Исаков, Исмаил Исакович",,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d4/Ismail_Isakovich_Isakov_070605-D-7203T-004.jpg,male,,1950-07-10,/m/04jj05g,,,,,,,,,,,,,,Ismail,,,,,,,,,,,,,,,,,,,military personnel,,,,,,,,,,,,,,,,,,,,,,,Issakov,,,,,,,,,,,,,
Q27663858,,,,,Наталья Никитенко,,,,,,,Natalya Nikitenko,,,,,,,,,,,,,,,Natalya Nikitenko,,,,Natalya Nikitenko,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natalya Nikitenko,,,,,,,,,,,,,Natalya Nikitenko,,,,,,,,,,,,,,,Наталья Никитенко,,,,,,,,,,,,,,,,,,,,,,,,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28498083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Саматбек Кулуевич Ибраев,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ибраев, Саматбек Кулуевич",,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/02/Самат_Ибраев.jpg,male,,1965-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28500219,,,,,Нурбаев Абдывахап Мамадрасулович,,,,,,,,,,,,,,,,,,,,,,,,,Абдывахап Мамадрасулович Нурбаев,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Нурбаев Абдывахап,,,,,,,,,,"Нурбаев, Абдывахап Мамадрасулович",,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/0/0f/Нурбаев,_Абдывахап_Мамадрасулович.jpg",male,,1970-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,http://www.nurbaev.kg,,,,,,,,,,,,,,,
Q2880365,,,,,,,,,Bakıt Beshimov,,,Bakyt Beshimov,,,,,,,,,,,,,,,Bakyt Beshimov,,,Бактыбек Жолчубекович Бешимов,Bakyt Beshimov,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bakyt Beshimov,,,,,,,,,,,,,Bakyt Beshimov,,Bakyt Beshimov,,,,,Bakyt Bechimov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5a/Beshimov_2008_parliament.jpg,male,,1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28955878,,,,,,,Ischak Masalijew,,,,,Masaliev Ishak Absamatovich,,,,,,,,,,,,,,,,,,Исхак Абсаматович Масалиев,Masaliev Ishak Absamatovich,,,,,,,,,,,,,,,,,,,,,,伊斯哈克·阿布萨马托维奇·马萨利耶夫,,,,,,Masaliev Ishak Absamatovich,,,,,,,Category:Ishak Masaliev,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ischak Masalijew,,,"Масалиев, Исхак Абсаматович",,,,,,,,,,,,,伊斯哈克·阿布萨马托维奇·马萨利耶夫,https://upload.wikimedia.org/wikipedia/commons/7/73/Исхак_Абсаматович_Масалиев.jpg,male,,1960-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://pkk.kg/index.php,,,,,,,,,,,,,,,
Q30346740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Сагынбек Уметалиевич Абдрахманов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Абдрахманов, Сагынбек Уметалиевич",,,,,,,,,,,,,,,male,,1961-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3736573,,,,,Темир Сариев,,Temir Sarijew,,Temir Sariyev,테미르 사리예프,Temir Sariyev,Temir Sariyev,,,,,Temir Sariyev,Temir Sarijev,Temir Sarijew,,テミール・サリエフ,Τεμίρ Σαρίγεφ,Temir Sariyev,,,,Temir Sariyev,,,Темир Аргембаевич Сариев,Temir Sariyev,,,Temir Sariyev,,,Темір Сарієв,,,,,Темир Сариев,تمیر ساریف,,Temir Sariyev,,,,,,,,泰米尔·萨里耶夫,,Temir Sarijev,,,,Temir Sariyev,,Temir Sariyev,,,Темир Сариев,,,,,,Temir Sarijew,Τεμίρ Σαρίγεφ,Temir Sariyev,,Temir Sariyev,Temir Sarijev,,تمیر ساریف,,Temir Sarïev,,,Temir Sariyev,テミール・サリエフ,,,테미르 사리예프,Темир Сариев,,,,,,Temir Sarijev,Temir Sarijew,,,"Сариев, Темир Аргембаевич",,,,,,,,Temir Sariyev,Темір Сарієв,Temir Sariyev,Temir Sariyev,,捷米尔·萨里耶夫,https://upload.wikimedia.org/wikipedia/commons/a/a2/Temir_Sariyev.png,male,,1963-06-17,/m/06zjpvm,,,,,,,,,,,,,,Temir,,,Temir Sariev,,Temir Sariev,,,,,,,,,,,,,,politician,,,,,,,,,,,,1163123358,,,,,,Temir Sariyev,,,,,,,,,,,,,,,,,,
Q38459236,,,,,Бакыт Төрөбаев,,,,,,,Bakyt Torobayev,,,,,,,,,,,,,,,,,,Бакыт Торобаев,Bakyt Torobayev,,,,,,,,,,,,,,Bakıt Torobayev,,,,,,,,,,,,,,Bakyt Torobayev,,Bakıt Torobayev,,,,,,,,,,,Bakyt Torobayev,,,,,,,,,,,,,,,Бакыт Төрөбаев,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/4e/Bakyt_torobayev_2016.jpg,male,,1973-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q39391489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Арсланбек Малиев,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Малиев, Арсланбек Касымакунович",,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a9/Maliev_Arslanbek.jpg,male,,1957-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4059278,,,,,,,,Айдар Аскаравіч Акаеў,,,,Ajdar Akajev,,,,,,Ajdar Akajev,,,,,,,,,,,,Айдар Аскарович Акаев,Ajdar Akajev,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ajdar Akajev,,,,,,,,,,,,,Aidar Akayev,,,Ajdar Akajev,,,,,,,,,,,,,,,,,,,,,,"Акаев, Айдар Аскарович",,,,,,,,,,,,,,,male,,1976-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,Ajdar Akajev,,,,,,,,,,,,,,,,,,
Q4059670,,,,,,,,,,,,Rysbek Akmatbayev,,,,,,,,,,,,,,,Rysbek Akmatbayev,,,"Акматбаев, Рысбек Абдымаликович",Rysbek Akmatbayev,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rysbek Akmatbayev,,,,,,,,,,,,,Rysbek Akmatbayev,,,,,,,,,,,,,,,,,,,,,,,,,"Акматбаев, Рысбек Абдымаликович",,,,,,,,,,,,,,,male,,1960-07-06,,,,,,,,,,,,,,,,2006-05-10,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4060344,,,,,Жапаров Акылбек Үсөнбекович,,,,,,,,,,,,,,,,,,,,,,,,,Акылбек Жапаров,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Акылбек Жапаров,,,,,,,,,,"Жапаров, Акылбек Усунбекович",,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d4/Акылбек_Жапаров.jpg,male,,1964-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4065018,,,,,,,,,,,,Anvar Artykov,,,,,,,,,アンヴァル・アルティコフ,,,,,,,,,Анвар Артыков,Anvar Artykov,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anvar Artykov,,,,,,,,,,,,,Anvar Artykov,,,,,,,,,,,アンヴァル・アルティコフ,,,,,,,,,,,,,,"Артыков, Анвар Артыкович",,,,,,,,,,,,,,,male,,1951-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,Anvar Artykov,,,,,,,,,,,,,,,,,,
Q4070339,,,,,Осмонбек Артыкбаев,,,,,,,Osmonbek Artykbayev,,,,,,,,,,,,,,,,,,Осмонбек Мамбетжанович Артыкбаев,Osmonbek Artykbayev,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmonbek Artykbayev,,,,,,,,,,,,,Osmonbek Artykbayev,,,,,,,,,,,,,,,Артыкбаев Осмонбек,,,,,,,,,,"Артыкбаев, Осмонбек Мамбетжанович",,,,,,,,,,,,,,,male,,1960-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,Osmonbek Artykbayev,,,,,,,,,,,,,,,,,,
Q4071139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Асанов, Бектур Жантороевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Асанов, Бектур Жантороевич",,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4075061,,,,,Баекова Чолпон Турсуновна,,,,,,,Cholpon Baekova,,,,,,,,,,,,,,,,,,"Баекова, Чолпон Турсуновна",Cholpon Baekova,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cholpon Baekova,,,,,,,,,,,,,,,,,,,,,,,,,,,,Чолпон Баекова,,,,,,,,,,"Баекова, Чолпон Турсуновна",,,,,,,,,,,,,,,female,,1947-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4079603,,,,,,,,,,,Qodirjon Botirov,Qodirjon Botirov,,,,,Kadyrzhan Batyrov,,,,,,,,,,Qodirjon Botirov,,,"Батыров, Кадыржан Алимжанович",Qodirjon Botirov,,,Kadircan Batirov,,,,,,,,,,,,,,,,,,,卡德爾然·巴提洛夫,,,,,,Qodirjon Botirov,,,,,,,,,,,,,Kadyrzhan Batyrov,,,,,,,,,,,,,,,,,,,,,,,,,"Батыров, Кадыржан Алимжанович",,,,,,,,Kadircan Batirov,,Qodirjon Botirov,,,,https://upload.wikimedia.org/wikipedia/commons/b/bc/Qodirjon_Botirov.JPG,male,,1956-03-09,,,,,,,,,,,,,Kadyrzhan Batyrov,,,2018-12-04,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4098923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Булекбаев, Эркин Касымович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Булекбаев, Эркин Касымович",,,,,,,,,,,,,,,male,,1961-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4182022,,,,,Жээнбеков,,,,Asylbek Jeenbekov,,,,,,Asylbek Jêênbekov,,,,,,アシルベク・ジェーンベコフ,,,,,,Asylbek Jêênbekov,,,Асилбек Шарипович Жээнбеков,Asylbek Jêênbekov,,,,,,,,,,,,,,,,,,,,,,阿瑟尔别克·热恩别科夫,,,,,,Asylbek Jêênbekov,,,,,,,,,,,,,Asylbek Jêênbekov,,,,,,,Asylbek Jeenbekov,,,,,,,,Асылбек Жээнбеков,,,Asylbek Jêênbekov,,,,,,,"Жээнбеков, Асылбек Шарипович",,,,,,,,,,,,,阿瑟尔别克·热恩别科夫,https://upload.wikimedia.org/wikipedia/commons/0/05/Asylbek_Jêênbekov.jpg,male,,1963-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4205601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Бексултан Бекмолдоевич Ишимов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ишимов, Бексултан Бекмолдоевич",,,,,,,,,,,,,,,male,,1947-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4212833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Капаров, Мирза Кулматович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Капаров, Мирза Кулматович",,,,,,,,,,,,,,,male,,1938-06-17,,,,,,,,,,,,,,,,2009-08-29,,,,,,,,,,,,,,,,,,civil servant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4216941,,,,,Төлөгөн Касымбеков,,,,,,,,,,,,,,Tölögön Kasymbekow,,,,,,,,,,,"Касымбеков, Тологон",,,,,,,,,,,,,,,Toloqon Qasımbəyov,,,,,,,,,,,,,,,,Toloqon Qasımbəyov,,,,,,,,,Tölögön Kasymbekow,,,,,,,,,,,,,,,,,Касымбеков Төлөгөн,,,,,,,,,,"Касымбеков, Тологон",,,,,,,,,,,,,,,male,60603301,1931-01-15,,,,,,,,,,,,,,,,2011-06-16,,,,,0000 0000 5567 5508,n87826479,,,,,,,,,,,,writer,,,,,,,,,,,,1158924399,,,,,,,,,,,,,,,,,1898351,,,,,,,
Q42295296,,,,,,,,,,,,Aliyarbek Abjaliyev,,,,,,,,,,,,,,,Aliyarbek Abjaliyev,,,,Aliyarbek Abjaliyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliyarbek Abjaliyev,,,,,,,,,,,,,Aliyarbek Abjaliyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,1967-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q42295299,,,,,,,,,,,,Salaydin Aydarov,,,,,,,,,,,,,,,Salaydin Aydarov,,,,Salaydin Aydarov,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salaydin Aydarov,,,,,,,,,,,,,Salaydin Aydarov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,1969-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q42336704,,,,,,,,,,,,Mukhtarbek Aynakulov,,,,,,,,,,,,,,,Mukhtarbek Aynakulov,,,,Mukhtarbek Aynakulov,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mukhtarbek Aynakulov,,,,,,,,,,,,,Mukhtarbek Aynakulov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,1957-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q42336719,,,努爾別克·阿里姆別科夫,,,,,,,,,Nurbek Alimbekov,,,,,,,,,,,,,,,Nurbek Alimbekov,,,,Nurbek Alimbekov,,,,,,,,,,,,,,,,,,,,,,努尔贝克·阿里姆别科夫,,,,,,Nurbek Alimbekov,,,,,,,,,,,,,Nurbek Alimbekov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,1975-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7315
Q42578771,,,,,,,,,,,,Mira Jangaracheva,,,,,,,,,,,,,,,Mira Jangaracheva,,,,Mira Jangaracheva,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mira Jangaracheva,,,,,,,,,,,,,Mira Jangaracheva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q42666013,,,,,,,,,,,,Almasbek Akmatov,,,,,,,,,,,,,,,Almasbek Akmatov,,,,Almasbek Akmatov,,,,,,,,,,,,,,,,,,,,,,,,,,,,Almasbek Akmatov,,,,,,,,,,,,,Almasbek Akmatov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,1964-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q42666017,,,,,Айнуру Алтыбаева,,,,,,,Aynuru Altybayeva,,,,,,,,,,,,,,,Aynuru Altybayeva,,,,Aynuru Altybayeva,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aynuru Altybayeva,,,,,,,,,,,,,Aynuru Altybayeva,,,,,,,,,,,,,,,Айнуру Алтыбаева,,,,,,,,,,,,,,,,,,,,,,,,,female,,1958-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q42728919,,,,,,,,,,,,Aybek Altynbekov,,,,,,,,,,,,,,,Aybek Altynbekov,,,,Aybek Altynbekov,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aybek Altynbekov,,,,,,,,,,,,,Aybek Altynbekov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,1978-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
