id,name__en,name__de,name__it,name__fr,name__cy,name__es,name__hu,name__nl,name,wikipedia__en,gender,occupation,birth_date,death_date,given_name,original_wikiname,name__zh,name__pl,name__eu,name__qu,name__gd,name__oc,name__sw,name__et,name__br,name__sq,name__el,name__pnb,name__sv,name__ar,name__pt,name__is,name__eo,name__xmf,name__ru,name__sr,name__tr,name__fi,name__uk,name__be_tarask,name__nn,name__io,name__az,name__hr,name__da,name__an,name__nan,name__ko,name__be,name__he,name__yo,name__lv,name__gl,name__ay,name__id,name__ja,name__vi,name__hi,name__ku,name__sk,name__ro,name__ca,name__la,name__ilo,name__sl,name__cs,name__fa,name__bg,name__ka,name__lt,name__nb,name__de_ch,name__en_ca,name__en_gb,name__ga,name__pt_br,name__lb,name__uz,name__hy,name__tg,name__ur,name__mr,name__mk,name__sco,name__lrc,wikipedia__an,wikipedia__ar,wikipedia__ay,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__br,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cswikiquote,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__eswikiquote,wikipedia__eswikisource,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__ga,wikipedia__gd,wikipedia__gl,wikipedia__he,wikipedia__hi,wikipedia__hr,wikipedia__hu,wikipedia__hy,wikipedia__id,wikipedia__ilo,wikipedia__io,wikipedia__is,wikipedia__it,wikipedia__itwikiquote,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__ku,wikipedia__la,wikipedia__lb,wikipedia__lrc,wikipedia__lt,wikipedia__lv,wikipedia__mr,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__plwikiquote,wikipedia__pnb,wikipedia__pt,wikipedia__qu,wikipedia__ro,wikipedia__ru,wikipedia__sco,wikipedia__simple,wikipedia__sk,wikipedia__skwikiquote,wikipedia__sl,wikipedia__slwikiquote,wikipedia__sq,wikipedia__sr,wikipedia__sv,wikipedia__sw,wikipedia__tg,wikipedia__tr,wikipedia__uk,wikipedia__ukwikiquote,wikipedia__ur,wikipedia__uz,wikipedia__vi,wikipedia__xmf,wikipedia__yo,wikipedia__zh_min_nan,wikipedia__zh,image,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__CiNii,identifier__NDL,identifier__NLA,identifier__freebase,identifier__OLID,identifier__NKC,identifier__SELIBR,identifier__NLI,identifier__BNE,identifier__NTA,identifier__NNDB,identifier__KLfG,identifier__GNC,identifier__NLAtrove,identifier__GTAA,identifier__FAST,identifier__BiblioNet,identifier__bigenc_ru,identifier__nobel_prize,identifier__snac,name__ta,name__sh,name__ace,wikipedia__enwikinews,wikipedia__sh,wikipedia__ta,family_name,website,identifier__Britannica,twitter,facebook,name__bs,wikipedia__bswikiquote,name__af,name__ast,name__bar,name__co,name__de_at,name__frp,name__fur,name__gsw,name__ia,name__ie,name__kg,name__li,name__lij,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__pcd,name__pms,name__rm,name__sc,name__scn,name__sr_el,name__vec,name__vls,name__vo,name__wa,name__wo,name__zu,name__zh_hant,name__zh_cn,name__bm,name__frc,name__jam,name__kab,name__pap,name__prg,name__rgn,name__vmf,name__bcl,wikipedia__bcl,identifier__Munzinger,identifier__quora,identifier__BAV,identifier__NLP,identifier__BVMC
Q4749656,Amílcar Méndez Urízar,Amílcar Méndez Urízar,,Amílcar Méndez Urízar,,,,Amílcar Méndez Urízar,Amílcar Méndez Urízar,Amílcar Méndez Urízar,male,politician,,,Amílcar,Amílcar Méndez Urízar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/m/047pzz6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5051481,Catarina Castor,Catarina Castor,Catarina Castor,Catarina Castor,Catarina Castor,,,Catarina Castor,Catarina Castor,Catarina Castor,female,politician,1980,2012-12-30,Catarina,Catarina Castor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q539891,Ramiro de León Carpio,Ramiro de León Carpio,Ramiro de León Carpio,Ramiro de León Carpio,Ramiro de León Carpio,Ramiro de León Carpio,Ramiro de León Carpio,Ramiro de León Carpio,Ramiro de León Carpio,Ramiro de León Carpio,male,politician,1942-01-12,2002-04-16,Ramiro,Ramiro de León Carpio,,Ramiro de León Carpio,Ramiro De León Carpio,,,,,,,,,,,راميرو دي ليون كاربيو,Ramiro de León Carpio,,,,"Леон Карпио, Рамиро",,,,Раміро де Леон Карпіо,,,Ramiro de León Carpio,,,,,,라미로 델 레온,,,,,,,,ラミロ・デ・レオン・カルピオ,,,,,,,,,,,,,,,Ramiro de León Carpio,,,,,,,,,,,,,,,,راميرو دي ليون كاربيو,,,,,,,,,,,,Ramiro de León Carpio,,,Ramiro de León Carpio,,,,Ramiro de León Carpio,,,Ramiro de León Carpio,,,,,,,,,,,Ramiro de León Carpio,,Ramiro de León Carpio,,,,라미로 델 레온,,,,,,,,Ramiro de León Carpio,,Ramiro de León Carpio,,Ramiro de León Carpio,,,Ramiro de León Carpio,,,"Леон Карпио, Рамиро",,,,,,,,,,,,,Раміро де Леон Карпіо,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/fc/León_Carpio_1993.jpg,0000 0000 5588 1985,79436077,120404427,nr92011736,,,,,,/m/01tjnj,,,,,,,,,,,,301706,,,,,,,,,,,,,biography/Ramiro-de-Leon-Carpio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5666708,Alfonso Bauer Paíz,Alfonso Bauer Paiz,,Alfonso Bauer Paíz,,Alfonso Bauer Paiz,,Alfonso Bauer Paiz,Alfonso Bauer Paíz,,male,lawyer,1918-04-29,2011-07-10,Alfonso,Alfonso Bauer Paiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alfonso Bauer Paiz,,,Alfonso Bauer Paiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59382691,128619449,nr95026683,15112469s,089283864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q57539,Otto Pérez Molina,Otto Pérez Molina,Otto Pérez Molina,Otto Pérez Molina,,Otto Pérez Molina,Otto Pérez Molina,Otto Pérez,Otto Pérez Molina,Otto Pérez Molina,male,politician,1950-12-01,,Otto,Otto Pérez Molina,奥托·佩雷斯·莫利纳,Otto Pérez Molina,Otto Pérez Molina,,,Otto Pérez Molina,,Otto Pérez Molina,Otto Pérez Molina,,Ότο Πέρες Μολίνα,,Otto Pérez Molina,أوتو بيريز مولينا,Otto Pérez Molina,,Otto Pérez Molina,,"Перес Молина, Отто",,Otto Pérez Molina,Otto Pérez Molina,Отто Перес Моліна,,Otto Pérez Molina,Otto Pérez Molina,,,Otto Pérez Molina,,,오토 페레스 몰리나,Ота Перэс Маліна,אוטו פרס מולינה,,,,,Otto Pérez Molina,オットー・ペレス・モリーナ,Otto Pérez Molina,,,,,Otto Pérez Molina,Otto Pérez Molina,,,Otto Pérez Molina,اتو پرز مولینا,Ото Перес Молина,ოტო პერეს მოლინა,,Otto Pérez Molina,Otto Pérez Molina,Otto Pérez Molina,Otto Pérez Molina,,Otto Pérez Molina,,,,,,ओत्तो पेरेझ मोलिना,,Otto Pérez Molina,,,أوتو بيريز مولينا,,,,Ота Перэс Маліна,Ото Перес Молина,Otto Pérez Molina,Otto Pérez Molina,Category:Otto Pérez Molina,Otto Pérez Molina,,Otto Pérez Molina,Otto Pérez Molina,Ότο Πέρες Μολίνα,Otto Pérez Molina,Otto Pérez Molina,,,Otto Pérez Molina,Otto Pérez Molina,اتو پرز مولینا,Otto Pérez Molina,Otto Pérez Molina,,,,אוטו פרס מולינה,,,,,Otto Pérez Molina,,Otto Pérez Molina,,Otto Pérez Molina,,オットー・ペレス・モリーナ,ოტო პერეს მოლინა,오토 페레스 몰리나,,Otto Pérez Molina,,,,,ओत्तो पेरेझ मोलिना,Otto Pérez Molina,,Otto Pérez Molina,Otto Pérez Molina,Otto Pérez Molina,,,Otto Pérez Molina,,,"Перес Молина, Отто",Otto Pérez Molina,Otto Pérez Molina,,,,,,,Otto Pérez Molina,,,Otto Pérez Molina,Отто Перес Моліна,,,,Otto Pérez Molina,,,,奥托·佩雷斯·莫利纳,https://upload.wikimedia.org/wikipedia/commons/a/a1/Otto_Perez_Molina_at_World_Economic_Forum_2013-cropped.jpg,,,,,,,,,,/m/02z7rt8,,,,,,,,,,,,,,,,,ஒட்டோ பெரெஸ் மொலினா,Otto Pérez Molina,Otto Pérez Molina,Category:Otto Pérez Molina,Otto Pérez Molina,ஒட்டோ பெரெஸ் மொலினா,Pérez,http://partidopatriota.com/,biography/Otto-Perez-Molina,ottoperezmolina,ottoperezpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5840731,Mario Monteforte Toledo,Mario Monteforte Toledo,,Mario Monteforte Toledo,,Mario Monteforte Toledo,Mario Monteforte Toledo,Mario Monteforte Toledo,Mario Monteforte Toledo,Mario Monteforte Toledo,male,diplomat,1911-09-15,2003-09-04,Mario,Mario Monteforte Toledo,,,,,,,,,,,,,Mario Monteforte Toledo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mario Monteforte Toledo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mario Monteforte Toledo,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5a/Montefortetoledolacandonas1938.jpg,0000 0001 2277 9906,31984674,119318385,n81033180,12149865d,029990157,,,,,,,,,XX830359,074039970,,,,,,70054,,,,w6g019vg,,,,,,,Monteforte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q590736,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,female,journalist,1962-05-13,,Roxana,Roxana Baldetti,羅克珊娜·芭爾德蒂,Roxana Baldetti,Roxana Baldetti,,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,,,,Roxana Baldetti,,Roxana Baldetti,,Roxana Baldetti,,Роксана Бальдетти,,Roxana Baldetti,Roxana Baldetti,Роксана Бальдеті,,Roxana Baldetti,Roxana Baldetti,,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,,,,רוקסנה בלדטי,,Roxana Baldetti,Roxana Baldetti,,Roxana Baldetti,ロクサーナ・バルデッティ,Roxana Baldetti,,,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,,,,Roxana Baldetti,,,,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,,,,,,,Roxana Baldetti,,,,,,,,,,,,,,,,,,Roxana Baldetti,Roxana Baldetti,,,,,,Roxana Baldetti,,,,רוקסנה בלדטי,,,,,,,,,,,,,,,,,,,,,,,,,,Roxana Baldetti,,Roxana Baldetti,,,"Бальдетти, Роксана",Roxana Baldetti,,,,,,,,,,,Roxana Baldetti,Роксана Бальдеті,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0d/Roxana_Baldetti_ONU.jpg,,,,,,,,,,/m/0h_fcc_,,,,,,,,,,,,,,,,,,,,,,,,http://www.roxanabaldetti.com,,roxanabaldetti,roxanabaldettipp,,,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,,,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,Roxana Baldetti,,,,,,,
Q6700406,Luis Cardoza y Aragón,Luis Cardoza y Aragón,,Luis Cardoza y Aragón,,Luis Cardoza y Aragón,Luis Cardoza y Aragón,Luis Cardoza y Aragón,Luis Cardoza y Aragón,Luis Cardoza y Aragón,male,diplomat,1901-06-21,1992-09-04,Luis,Luis Cardoza y Aragón,,,,,,,,,,,,,,,,,,,"Кардоса-и-Арагон, Луис",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luis Cardoza y Aragón,,,,,,,Luis Cardoza y Aragón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luis Cardoza y Aragón,,,,,"Кардоса-и-Арагон, Луис",,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/87/Luis_cardoza_y_Aragón.jpg,0000 0001 1449 883X,84024245,118899120,n82232153,12187149k,030461871,,,35025808,,,,181047,000450103,XX827931,072602813,,,,,,1727777,,2046292,,,,,,,,,Cardoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADV10107852,A11454933,74288
Q7038554,Nineth Montenegro,Nineth Montenegro,,Nineth Montenegro,,Nineth Montenegro,Nineth Montenegro,Nineth Montenegro,Nineth Montenegro,Nineth Montenegro,female,politician,1958,,,Nineth Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nineth Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e9/Nineth_Montenegro.jpg,,86216074,,,,,,,,/m/047pr8j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7106284,Oscar Valentín Leal Caal,Oscar Valentín Leal Caal,,Oscar Valentín Leal Caal,,,,Oscar Valentín Leal Caal,Oscar Valentín Leal Caal,Oscar Valentín Leal Caal,male,politician,1971-02-20,2012-01-13,Oscar,Oscar Valentín Leal Caal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7282072,Rafael Castillo Valdez,Rafael Castillo Valdez,Rafael Castillo Valdez,Rafael Castillo Valdez,Rafael Castillo Valdez,Rafael Castillo Valdez,Rafael Castillo Valdez,Rafael Castillo Valdez,Rafael Castillo Valdez,Rafael Castillo Valdez,male,politician,1928-01-15,2015-03-17,Rafael,Rafael Castillo Valdez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q75603,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,male,poet,1899-10-19,1974-06-09,Miguel,Miguel Ángel Asturias,米格尔·安赫尔·阿斯图里亚斯,Miguel Ángel Asturias,Miguel Angel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Μιγκέλ Άνχελ Αστούριας,مگویل استوریاس,Miguel Ángel Asturias,ميغل أنخل أستورياس,Miguel Ángel Asturias,Miguel Angel Asturias,Miguel Ángel Asturias,მიგელ ასტურიასი,Мигель Анхель Астуриас,Мигел Анхел Астуријас,Miguel Angel Asturias,Miguel Ángel Asturias,Міґель Анхель Астуріас,Мігель Анхель Астурыяс,Miguel Ángel Asturias,Miguel Ángel Asturias,Migel Anhel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,미겔 앙헬 아스투리아스,Мігель Анхель Астурыяс,מיגל אנחל אסטוריאס,Miguel Ángel Asturias,Migels Anhels Asturjass,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,ミゲル・アンヘル・アストゥリアス,Miguel Ángel Asturias,मिग्वेल आंगेल अस्टूरियस,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias Rosales,Michael Angelus Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,میگل آنخل آستوریاس,Мигел Анхел Астуриас,მიგელ ანხელ ასტურიასი,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Asturias Migel Anxel,Միգել Անխել Աստուրիաս,Астуриас Мигел Анхел,میگوئو ل اینجل اسٹریس,मिगेल आंगेल आस्तुरियास,Мигел Анхел Астуријас,Miguel Ángel Asturias,ميگل آنخل آستورياس,Miguel Ángel Asturias,ميغل أنخل أستورياس,Miguel Ángel Asturias,Migel Anhel Asturias,Мігель Анхель Астурыяс,Мігель Анхель Астурыяс,Мигел Анхел Астуриас,Miguel Ángel Asturias,Miguel Ángel Asturias Rosales,Category:Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Μιγκέλ Άνχελ Αστούριας,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Autor:Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,میگل آنخل آستوریاس,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,מיגל אנחל אסטוריאס,मिग्वेल आंगेल अस्टूरियस,Miguel Ángel Asturias,Miguel Ángel Asturias,Միգել Անխել Աստուրիաս,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,ミゲル・アンヘル・アストゥリアス,მიგელ ანხელ ასტურიასი,미겔 앙헬 아스투리아스,Miguel Ángel Asturias,Michael Angelus Asturias,Miguel Ángel Asturias,ميگل آنخل آستورياس,Miguel Ángel Asturias,Migels Anhels Asturjass,मिगेल आंगेल आस्तुरियास,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,مگویل استوریاس,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,"Астуриас, Мигель Анхель",Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Ángel Asturias,Miguel Angel Asturias,Miguel Ángel Asturias,Мигел Анхел Астуријас,Miguel Ángel Asturias,Miguel Ángel Asturias,Астуриас Мигел Анхел,Miguel Angel Asturias,Мігель Анхель Астуріас,Мігель Анхель Астуріас,میگوئو ل اینجل اسٹریس,Asturias Migel Anxel,Miguel Ángel Asturias,მიგელ ასტურიასი,Miguel Ángel Asturias,Miguel Ángel Asturias,米格尔·安赫尔·阿斯图里亚斯,"https://upload.wikimedia.org/wikipedia/commons/7/78/Miguel_Angel_Asturias,_Nobel_Prize_of_Litterature_1967,_at_the_UNESCO's_studios.jpg",0000 0001 2130 8942,46756659,118504797,n79084755,11889334n,02669378X,DA00047139,00431856,35009707,/m/01vzkn,OL82868A,jn19990000297,231788,000012837,XX825360,069290288,766/000113427,18000000029,0005860,788534,78647,40106,813,1836596,literature/laureates/1967/asturias,w64x7j87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q887617,Vinicio Cerezo,Marco Vinicio Cerezo Arévalo,Marco Vinicio Cerezo Arévalo,Marco Vinicio Cerezo Arévalo,,Marco Vinicio Cerezo Arévalo,Marco Vinicio Cerezo Arévalo,Vinicio Cerezo,Vinicio Cerezo,Vinicio Cerezo,male,politician,1942-12-26,,Marco,Marco Vinicio Cerezo Arévalo,,Marco Vinicio Cerezo Arévalo,Vinicio Cerezo,,,,,,,,,,,فينيسيو سيريزو,Marco Vinicio Cerezo Arévalo,,,,Марко Сересо Аревало,,,,Вінісіо Сересо,,,,,,,,,비니시오 세레소,,,,,,,,ヴィニシオ・セレッソ,,,,,,,,,,,,,,,Vinicio Cerezo,,,,,,,,,,,,,,,,فينيسيو سيريزو,,,,,,,,Category:Marco Vinicio Cerezo Arévalo,,,,Marco Vinicio Cerezo Arévalo,,,Vinicio Cerezo,,,,Vinicio Cerezo,,,Vinicio Cerezo,,,,,,,,,,,,,Marco Vinicio Cerezo Arévalo,,,,비니시오 세레소,,,,,,,,Vinicio Cerezo,,Vinicio Cerezo,,Marco Vinicio Cerezo Arévalo,,,Marco Vinicio Cerezo Arévalo,,,"Сересо Аревало, Марко",,,,,,,,,,,,,Вінісіо Сересо,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f9/Marco_Vinicio_Cerezo_Arévalo_DN-SN-86-05174.JPEG,,55687045,1056180773,n88004874,,,,,,/m/035n97,,,,,,,,,,,,233308,,,,,,,,,,,,,,,,Marco Vinicio Cerezo Arevalo,Marco Vinicio Cerezo Arevalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
