id,name__en,name__pl,name__nl,name__de,name,wikipedia__en,wikipedia__pl,gender,birth_date,given_name,original_wikiname,name__fr,name__es,name__tr,name__de_ch,name__el,name__en_ca,name__en_gb,name__et,name__nb,name__ru,name__na,name__fi,name__da,name__nn,name__sv,name__sk,name__ja,name__ar,name__la,name__it,name__vi,wikipedia__ar,wikipedia__commons,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__it,wikipedia__ja,wikipedia__la,wikipedia__na,wikipedia__nl,wikipedia__no,wikipedia__ru,wikipedia__simple,wikipedia__sk,wikipedia__tr,wikipedia__vi,image,identifier__freebase,name__ca,name__oc,name__az,wikipedia__az,name__szl,wikipedia__szl,name__eo,wikipedia__eo,wikipedia__nn,name__pt,name__is,name__he,name__ast,name__gl,name__id,name__mr,name__io,name__hr,wikipedia__ast,wikipedia__gl,wikipedia__he,wikipedia__hr,wikipedia__id,wikipedia__io,wikipedia__is,wikipedia__mr,wikipedia__oc,wikipedia__pt,wikipedia__sv,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ko,name__be,name__yo,name__sw,name__sh,name__ro,name__tpi,name__zh,name__cs,wikipedia__be,wikipedia__cs,wikipedia__da,wikipedia__ko,wikipedia__ro,wikipedia__sh,wikipedia__sw,wikipedia__tpi,wikipedia__yo,wikipedia__zh,family_name,name__hu,wikipedia__bg,name__bg,twitter,wikipedia__plwikiquote,death_date,name__cy,identifier__Britannica,wikipedia__cy,occupation,wikipedia__kk,name__kk,wikipedia__ca,name__uk,wikipedia__uk,name__fo,name__se,name__sje,name__sma,name__smj,name__th,wikipedia__th
Q715836,Bernard Dowiyogo,Bernard Dowiyogo,Bernard Dowiyogo,Bernard Dowiyogo,Bernard Dowiyogo,Bernard Dowiyogo,Bernard Dowiyogo,male,1946-02-14,Bernard,Bernard Dowiyogo,Bernard Dowiyogo,Bernard Dowiyogo,,,Μπέρναρντ Ντοουιγιόγκο,,,,Bernard Dowiyogo,"Довийого, Бернард",Bernard Dowiyogo,Bernard Dowiyogo,Bernard Dowiyogo,Bernard Dowiyogo,Bernard Dowiyogo,,バーナード・ドウィヨゴ,برنارد دويوغو,,,,برنارد دويوغو,,Bernard Dowiyogo,Μπέρναρντ Ντοουιγιόγκο,Bernard Dowiyogo,,Bernard Dowiyogo,Bernard Dowiyogo,,,,Bernard Dowiyogo,,Bernard Dowiyogo,"Довийого, Бернард",,,,,,/m/01cf5d,Bernard Dowiyogo,,,,,,,,,Bernard Dowiyogo,Bernard Dowiyogo,,,Bernard Dowiyogo,,बर्नार्ड डोवियोगो,,Bernard Dowiyogo,,,,Bernard Dowiyogo,,,Bernard Dowiyogo,बर्नार्ड डोवियोगो,,Bernard Dowiyogo,,,,,,,,,,,Bernard Dowiyogo,,,,,,,,,,,,,,,,Dowiyogo,Bernard Dowiyogo,,,,,2003-03-09,Bernard Dowiyogo,biography/Bernard-Dowiyogo,,politician,Бернард Довийого,Бернард Довийого,,,,Bernard Dowiyogo,Bernard Dowiyogo,Bernard Dowiyogo,Bernard Dowiyogo,Bernard Dowiyogo,,
Q7385080,Rykers Solomon,Rykers Solomon,Rykers Solomon,Rykers Solomon,Rykers Solomon,Rykers Solomon,Rykers Solomon,male,1965-10-04,Rykers,Rykers Solomon,Rykers Solomon,,,,,,,,Rykers Solomon,,,,Rykers Solomon,Rykers Solomon,Rykers Solomon,,,,,,,,,,,,,,Rykers Solomon,,,,,,,,,,,,,,,,,,,,,,,,Rykers Solomon,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rykers Solomon,,,,,,,,,,,,,,,,Solomon,,,,,,,,,,politician,,,,,,Rykers Solomon,Rykers Solomon,Rykers Solomon,Rykers Solomon,Rykers Solomon,,
Q7701578,Terangi Adam,Lyn Adam,Terangi Adam,Terangi Adam,Terangi Adam,Terangi Adam,Lyn Adam,male,1947-08-08,,Terangi Adam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q783823,Lagumot Harris,Lagumot Harris,Lagumot Harris,Lagumot Harris,Lagumot Harris,Lagumot Harris,Lagumot Harris,male,1938-12-28,Lagumot,Lagumot Harris,Lagumot Harris,Lagumot Harris,,,Λάγκουμοτ Χάρις,,,,Lagumot Harris,"Харрис, Лагумот",Lagumot Harris,Lagumot Harris,Lagumot Harris,Lagumot Harris,Lagumot Harris,,ラグモット・ハリス,,,,,,,Lagumot Harris,Λάγκουμοτ Χάρις,,,Lagumot Harris,Lagumot Harris,,,,Lagumot Harris,,Lagumot Harris,"Харрис, Лагумот",,,,,,/m/03mmnq,,,,,,,,,,,Lagumot Harris,,,,,लागुमॉट हॅरिस,,Lagumot Harris,,,,Lagumot Harris,,,Lagumot Harris,लागुमॉट हॅरिस,,,,,,,,,,,,,Lagumot Harris,,,,,,,,,,,,,,,,Harris,Lagumot Harris,,,,,1999-09-06,,,,politician,,,,,,Lagumot Harris,Lagumot Harris,Lagumot Harris,Lagumot Harris,Lagumot Harris,,
Q887804,Kenos Aroi,Kenos Aroi,Kenas Aroi,Kenos Aroi,Kenos Aroi,Kenas Aroi,Kenos Aroi,male,1942-04-17,Kenos,Kenas Aroi,Kenos Aroi,Kenas Aroi,,Kenos Aroi,Κένας Αρόι,Kenas Aroi,Kenas Aroi,,Kenos Aroi,Кенос Арои,,Kenos Aroi,Kenos Aroi,Kenos Aroi,Kenos Aroi,,ケナス・アロイ,,,,,,,Kenos Aroi,Κένας Αρόι,,,Kenos Aroi,Kenos Aroi,,,,,,Kenos Aroi,"Арои, Кенос",,,,,,/m/0fygzx,,,,,,,,,,,Kenos Aroi,,,,,,,Kenos Aroi,,,,Kenos Aroi,,,Kenos Aroi,,,,,,,,,,,,,,Kenos Aroi,,,,,,,,,,,,,,,,Aroi,,,,,,1991-01-22,,,,politician,,,,,,Kenos Aroi,Kenos Aroi,Kenos Aroi,Kenos Aroi,Kenos Aroi,,
Q887813,Ruben Kun,Ruben Kun,Ruben Kun,Ruben Kun,Ruben Kun,Ruben Kun,Ruben Kun,male,1942-03-30,Ruben,Ruben Kun,Ruben Kun,Ruben Kun,,Ruben Kun,Ρούμπεν Καν,Ruben Kun,Ruben Kun,,Ruben Kun,"Кун, Рубен Джеймс",,Ruben Kun,Ruben Kun,Ruben Kun,Ruben Kun,,ルーベン・クン,روبن كون,,,,روبن كون,,Ruben Kun,Ρούμπεν Καν,,,Ruben Kun,Ruben Kun,,,,,,Ruben Kun,"Кун, Рубен Джеймс",,,,,,/m/02zxjx,,,,,,,,,,,Ruben Kun,,,,,,,Ruben Kun,,,,Ruben Kun,,,Ruben Kun,,,,,,,,,,,,,,Ruben Kun,,,,,,,,,,,,,,,,Kun,Ruben Kun,,,,,2014-09-21,,,,politician,,,,,,Ruben Kun,Ruben Kun,Ruben Kun,Ruben Kun,Ruben Kun,,
Q888025,Kinza Clodumar,Kinza Clodumar,Kinza Clodumar,Kinza Clodumar,Kinza Clodumar,Kinza Clodumar,Kinza Clodumar,male,1945-02-08,Kinza,Kinza Clodumar,Kinza Clodumar,Kinza Clodumar,,Kinza Clodumar,Κίνζα Κλοντούμαρ,Kinza Clodumar,Kinza Clodumar,,Kinza Clodumar,Кинза Годфри Клодумар,,Kinza Clodumar,Kinza Clodumar,Kinza Clodumar,Kinza Clodumar,,キンザ・クロドゥマー,,,,,,,Kinza Clodumar,Κίνζα Κλοντούμαρ,,,Kinza Clodumar,Kinza Clodumar,,,,,,Kinza Clodumar,"Клодумар, Кинза Годфри",,,,,,/m/037t_y,,,,,,,,,,,Kinza Clodumar,,,,,,,Kinza Clodumar,,,,Kinza Clodumar,,,Kinza Clodumar,,,,,,,,,,,,,,Kinza Clodumar,,,,,,,,,,,,,,,,Clodumar,Kinza Clodumar,,,,,,,,,politician,,,,,,Kinza Clodumar,Kinza Clodumar,Kinza Clodumar,Kinza Clodumar,Kinza Clodumar,,
Q888033,Derog Gioura,Derog Gioura,Derog Gioura,Derog Gioura,Derog Gioura,Derog Gioura,Derog Gioura,male,1932-09-01,Derog,Derog Gioura,Derog Gioura,Derog Gioura,,Derog Gioura,Ντέρογκ Γκιούρα,Derog Gioura,Derog Gioura,,Derog Gioura,Дерог Гиура,Derog Gioura,Derog Gioura,Derog Gioura,Derog Gioura,Derog Gioura,,デログ・ギオウラ,,,,,,,Derog Gioura,Ντέρογκ Γκιούρα,Derog Gioura,,Derog Gioura,Derog Gioura,,,,Derog Gioura,,Derog Gioura,"Гиура, Дерог",,,,,,/m/0ggw5f,,,,,,,,,,,Derog Gioura,,,,,,,Derog Gioura,,,,Derog Gioura,,,Derog Gioura,,,,,,,,,,,,,,Derog Gioura,,,,,,,,,,,,,,,,Gioura,Derog Gioura,,,,,2008-09-25,Derog Gioura,,,politician,,,,,,Derog Gioura,Derog Gioura,Derog Gioura,Derog Gioura,Derog Gioura,,
Q888040,Kennan Adeang,Kennan Adeang,Kennan Adeang,Kennan Adeang,Kennan Adeang,Kennan Adeang,Kennan Adeang,male,1942-12-23,Kennan,Kennan Adeang,Kennan Adeang,Kennan Adeang,,,Κέναν Αντέανγκ,,,,Kennan Adeang,Кеннан Аданг,Kennan Adeang,Kennan Adeang,Kennan Adeang,Kennan Adeang,Kennan Adeang,,ケナン・アデアン,,,,,,,Kennan Adeang,Κέναν Αντέανγκ,,,Kennan Adeang,Kennan Adeang,,,,Kennan Adeang,,Kennan Adeang,"Аданг, Кеннан",,,,,,/m/0ggw96,,,,,,,,,,,Kennan Adeang,,,,,,,Kennan Adeang,,,,Kennan Adeang,,,Kennan Adeang,,,,,,,,,,,,,,Kennan Adeang,,,,,,,,,,,,,,,,Adeang,Kennan Adeang,,,,,2011-12-26,Kennan Adeang,,,politician,,,,,,Kennan Adeang,Kennan Adeang,Kennan Adeang,Kennan Adeang,Kennan Adeang,,
Q917601,Frederick Pitcher,Frederick Pitcher,Freddie Pitcher,Frederick Pitcher,Frederick Pitcher,Freddie Pitcher,Frederick Pitcher,male,1967-02-05,Frederick,Frederick Pitcher,Frederick Pitcher,Freddie Pitcher,Freddie Pitcher,Frederick Pitcher,Φρέντερικ Πίτσερ,Freddie Pitcher,Freddie Pitcher,,Frederick Pitcher,"Питчер, Фредерик",Frederick Pitcher,Freddie Pitcher,Frederick Pitcher,Frederick Pitcher,Frederick Pitcher,,フレディー・ピッチャー,فريدي بيتشر,,Frederick Pitcher,,فريدي بيتشر,,Frederick Pitcher,Φρέντερικ Πίτσερ,,,Freddie Pitcher,Frederick Pitcher,Frederick Pitcher,,,Frederick Pitcher,,Frederick Pitcher,"Питчер, Фредерик",,,Freddie Pitcher,,,/m/03gzt02,,Frederick Pitcher,,,,,,,,Freddie Pitcher,Frederick Pitcher,,,,,,,,,,,,,,,,Frederick Pitcher,Freddie Pitcher,,,,,,,,,,,Frederick Pitcher,,,,,,,,,,,,,,,,Pitcher,Freddie Pitcher,,,,,,,,,politician,,,,,,Frederick Pitcher,Frederick Pitcher,Frederick Pitcher,Frederick Pitcher,Frederick Pitcher,เฟรดดี พิตเชอร์,
Q9323548,Ruby Thoma,Ruby Dediya,Ruby Thoma,Ruby Dediya,Ruby Thoma,Ruby Thoma,Ruby Dediya,female,1949,Ruby,Ruby Thoma,Ruby Thoma,Ruby Thoma,,,,,,,Ruby Thoma,,,,Ruby Thoma,Ruby Thoma,Ruby Thoma,,,,,,,,,Ruby Dediya,,,,,Ruby Thoma,,,,,,,,,,,,,,,,,,,,,,,,Ruby Thoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruby Thoma,,,,,,,,,,,,,,,,Thoma,Ruby Thoma,,,,,,,,,politician,,,,,,Ruby Thoma,Ruby Thoma,Ruby Thoma,Ruby Thoma,Ruby Thoma,,
