id,name,birth_date,image,email,party,start_date,end_date,area,area_id,source,term
koba-nakopia,Koba Nakopia,1969-02-22,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2128.jpg?itok=fJlmbgI_,knakophia@parliament.ge,The United National Movement,2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/koba-nakopia,9
koba-narchemashvili,Koba Narchemashvili,1969-12-20,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5686.jpg?itok=kTzE8w-Q,knarchemashvili@parliament.ge,"Faction ""The Georgian Dream - Social-Democrats""",2016-11-18,,#49 Kutaisi,49,http://www.chemiparlamenti.ge/en/parliamentarian/koba-narchemashvili,9
lasha-damenia,Lasha Damenia,1974-08-14,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/4254.jpg?itok=nuZVA-in,ldamenia@parliament.ge,მოძრაობა თავისუფლებისთვის - რეგიონები,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/lasha-damenia,9
lela-keburia,Lela Keburia,1976-09-21,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5643_0.jpg?itok=71Oxd1pI,lkeburia@parliament.ge,მოძრაობა თავისუფლებისთვის - რეგიონები,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/lela-keburia,9
leri-khabelovi,Leri Khabelovi,1964-07-05,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2048.jpg?itok=CU79J0Sy,LKhabelovi@parliament.ge,The Georgian Dream,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/leri-khabelovi,9
levan-bejanidze,Levan Bejanidze,1957-11-14,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/5702.jpg?itok=XaCsWQ2X,lbezhanidze@parliament.ge,The Georgian Dream - Entrepreneurs,2016-11-18,,#69 Batumi,69,http://www.chemiparlamenti.ge/en/parliamentarian/levan-bejanidze,9
levan-gogichaishvili,Levan Gogichaishvili,1981-04-13,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/4501_1.jpg?itok=leeNEd63,lgogichaishvili@parliament.ge,The Georgian Dream,2016-11-18,,#6 Saburtalo,6,http://www.chemiparlamenti.ge/en/parliamentarian/levan-gogichaishvili,9
levan-kobiashvili,Levan Kobiashvili,1977-07-10,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5666.jpg?itok=dquIiiZD,lkobiashvili@parliament.ge,The Georgian Dream,2016-11-18,,#21 Gldani,21,http://www.chemiparlamenti.ge/en/parliamentarian/levan-kobiashvili,9
levani-koberidze,Levani Koberidze,1972-05-28,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5667.jpg?itok=hAf6jPHg,lkoberidze@parliament.ge,The Georgian Dream,2016-11-18,,#22 Gldani,22,http://www.chemiparlamenti.ge/en/parliamentarian/levani-koberidze,9
makhir-darzievi,Makhir Darzievi,1957-08-04,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/2271.jpg?itok=I_SIiZrb,mdarzievi@parliament.ge,The Georgian Dream,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/makhir-darzievi,9
mamuka-chikovani,Mamuka Chikovani,1976-08-20,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5644.jpg?itok=f5z6zKR6,mchikovani@parliament.ge,მოძრაობა თავისუფლებისთვის - რეგიონები,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/mamuka-chikovani,9
mamuka-mdinaradze,Mamuka Mdinaradze,1978-11-24,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5654.jpg?itok=bSahQKwG,mmdinaradze@parliament.ge,The Georgian Dream,2016-11-18,,#4 Saburtalo,4,http://www.chemiparlamenti.ge/en/parliamentarian/mamuka-mdinaradze,9
mariam-jashi,Mariam Jashi,1976-06-17,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5660.jpg?itok=FWNIPkLJ,mjashi@parliament.ge,The Georgian Dream,2016-11-18,,#12 Isani,12,http://www.chemiparlamenti.ge/en/parliamentarian/mariam-jashi,9
merabi-kvaraia,Merabi Kvaraia,1972-07-13,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5699.jpg?itok=_3HSRQZ9,mkvaraia@parliament.ge,The Georgian Dream,2016-11-18,,#65 Zugdidi,65,http://www.chemiparlamenti.ge/en/parliamentarian/merabi-kvaraia,9
mikheil-kavelashvili,Mikheil Kavelashvili,1971-07-22,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5663.jpg?itok=6Gp1cqPQ,mkavelashvili@parliament.ge,The Georgian Dream,2016-11-18,,#18 Nadzaladevi,18,http://www.chemiparlamenti.ge/en/parliamentarian/mikheil-kavelashvili,9
miriani-tsiklauri,Miriani Tsiklauri,1960-01-12,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2322.jpg?itok=Dy4PxJz9,mtsiklauri@parliament.ge,The Georgian Dream,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/miriani-tsiklauri,9
mukhran-vakhtangadze,Mukhran Vakhtangadze,1973-01-22,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5703.jpg?itok=mPgeBqMy,mvakhtangadze@parliament.ge,The Georgian Dream - Conservatives,2016-11-18,,#70 Batumi,70,http://www.chemiparlamenti.ge/en/parliamentarian/mukhran-vakhtangadze,9
nato-chkheidze,Nato Chkheidze,1960-06-01,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5177.jpg?itok=u4so-HCe,nchkheidze@parliament.ge,Patriots of Georgia,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/nato-chkheidze,9
nikanori-melia,Nikanori Melia,1979-12-21,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5638.jpg?itok=bVujTm9L,nmelia@parliament.ge,The United National Movement,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/nikanori-melia,9
nino-goguadze,Nino Goguadze,1980-06-24,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/5655.jpg?itok=G3WHc_TK,n.goguadze@parliament.ge,The Georgian Dream - Conservatives,2016-11-18,,#5 Saburtalo,5,http://www.chemiparlamenti.ge/en/parliamentarian/nino-goguadze,9
nino-tsilosani,Nino Tsilosani,1982-02-19,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5694.jpg?itok=gy5Grqzg,ntsilosani@parliament.ge,The Georgian Dream,2016-11-18,,#60 Lanchkhuti,60,http://www.chemiparlamenti.ge/en/parliamentarian/nino-tsilosani,9
otar-chrdileli,Otar Chrdileli,1974-09-27,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2297.jpg?itok=0RvMCP9s,ochrdileli@parliament.ge,The Georgian Dream,2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/otar-chrdileli,9
otari-danelia,Otari Danelia,1979-09-21,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/5696_0.jpg?itok=tjaAswgf,odanelia@parliament.ge,The Georgian Dream,2016-11-18,,#62 Martvili,62,http://www.chemiparlamenti.ge/en/parliamentarian/otari-danelia,9
otari-kakhidze,Otari Kakhidze,1983-07-07,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5640.jpg?itok=PirvmCIp,okakhidze@parliament.ge,European Georgia,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/otari-kakhidze,9
paata-kvijinadze,Paata Kvijinadze,1964-12-16,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2455.jpg?itok=DeHH3SHA,pkvizhinadze@parliament.ge,The Georgian Dream - Conservatives,0016-11-18,,#53 Sachkhere,53,http://www.chemiparlamenti.ge/en/parliamentarian/paata-kvijinadze,9
paata-mkheidze,Paata Mkheidze,1960-05-09,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5672.jpg?itok=R_mEtj_N,pmkheidze@parliament.ge,"Faction ""The Georgian Dream for Development of Regions""",2016-11-18,,#29 Rustavi,29,http://www.chemiparlamenti.ge/en/parliamentarian/paata-mkheidze,9
phati-khalvashi,Phati Khalvashi,1962-05-20,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2429.jpg?itok=Bbwynpiu,phkhalvashi@parliament.ge,The Georgian Dream,2016-11-18,,#68 Batumi,68,http://www.chemiparlamenti.ge/en/parliamentarian/phati-khalvashi,9
ramaz-nikolaishvili,Ramaz Nikolaishvili,1965-06-17,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2004.jpg?itok=3790P80S,rnikolaishvili@parliament.ge,"",2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/ramaz-nikolaishvili,9
rati-ionatamishvili,Rati Ionatamishvili,1979-06-09,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5632.jpg?itok=Wxnnp2A7,rionatamishvili@parliament.ge,The Georgian Dream,2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/rati-ionatamishvili,9
revaz-arveladze,Revaz Arveladze,1941-10-28,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/4811.jpg?itok=7d09ydcl,rarveladze@parliament.ge,The Georgian Dream,2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/revaz-arveladze,9
roman-gotsiridze,Roman Gotsiridze,1955-12-16,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/4892.jpg?itok=VHY95cWw,rgotsiridze@parliament.ge,The United National Movement,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/roman-gotsiridze,9
roman-kakulia,Roman Kakulia,1961-05-19,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5620.jpg?itok=WU5C23yh,rkakulia@parliament.ge,The Georgian Dream,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/roman-kakulia,9
roman-muchiashvili,Roman Muchiashvili,1974-05-13,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5668.jpg?itok=YqAas4VZ,rmuchiashvili@parliament.ge,"Faction ""The Georgian Dream - Social-Democrats""",2016-11-18,,#23 Sagarejo,23,http://www.chemiparlamenti.ge/en/parliamentarian/roman-muchiashvili,9
ruslan-gajiev,Ruslan Gajiev,1978-01-01,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/5677.jpg?itok=S7_KBRx3,rgajievi@parliament.ge,The Georgian Dream - Conservatives,0006-11-18,,#35 Marneuli,35,http://www.chemiparlamenti.ge/en/parliamentarian/ruslan-gajiev,9
ruslan-poghosiani,Ruslan Poghosiani,1982-07-12,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2040.jpg?itok=Q0IflISL,rpoghosiani@parliament.ge,The Georgian Dream,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/ruslan-poghosiani,9
salome-samadashvili,Salome Samadashvili,1976-04-02,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5372.jpg?itok=Q34I1ovC,ssamadashvili@parliament.ge,The United National Movement,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/salome-samadashvili,9
salome-zourabichvili,Salome Zourabichvili,1952-03-18,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5651.jpg?itok=lggGlHBL,szurabishvili@parliament.ge,"",2016-11-18,,#1 Mtatsminda,1,http://www.chemiparlamenti.ge/en/parliamentarian/salome-zourabichvili,9
samvel-manukian,Samvel Manukian,1976-11-06,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5625.jpg?itok=ma8BB68j,smanukiani@parliament.ge,Georgian Dream - Greens,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/samvel-manukian,9
savalan-mirzoevi,Savalan Mirzoevi,1986-08-29,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5674.jpg?itok=ZHUOswGA,smirzoevi@parliament.ge,"Faction ""The Georgian Dream - Social-Democrats""",2016-11-18,,#31 Gardabani,31,http://www.chemiparlamenti.ge/en/parliamentarian/savalan-mirzoevi,9
sergi-kapanadze,Sergi Kapanadze,1981-04-25,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5642.jpg?itok=R91V8VBF,skapanadze@parliament.ge,Movement for Liberty - European Georgia,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/sergi-kapanadze,9
sergo-ratiani,Sergo Ratiani,1967-11-27,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-03/Ratiani.jpg?itok=rTyypswg,sratiani@parliament.ge,European Georgia,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/sergo-ratiani,9
shalva-kiknavelidze,Shalva Kiknavelidze,1987-03-19,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2237.jpg?itok=z4izahSj,shkiknavelidze@parliament.ge,The Georgian Dream,2016-11-18,,#52 Zestaponi,52,http://www.chemiparlamenti.ge/en/parliamentarian/shalva-kiknavelidze,9
shota-khabareli,Shota Khabareli,1956-12-26,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2025.jpg?itok=fL9NQOhR,shkhabareli@parliament.ge,The Georgian Dream,2016-11-18,,#13 Isani,13,http://www.chemiparlamenti.ge/en/parliamentarian/shota-khabareli,9
shota-shalelashvili,Shota Shalelashvili,1959-06-19,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5629.jpg?itok=r76zQbBz,shshalelashvili@parliament.ge,The Georgian Dream - Entrepreneurs,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/shota-shalelashvili,9
simon-nozadze,Simon Nozadze,1953-03-23,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5682.jpg?itok=tqbZ2ydi,snozadze@parliament.ge,The Georgian Dream - Entrepreneurs,2016-11-18,,#43 Khashuri,43,http://www.chemiparlamenti.ge/en/parliamentarian/simon-nozadze,9
sofio-katsarava,Sofio Katsarava,1976-12-08,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5621.jpg?itok=5SClmMmT,skatsarava@parliament.ge,The Georgian Dream,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/sofio-katsarava,9
sopio-kiladze,Sopio Kiladze,1984-01-16,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5662.jpg?itok=Pv2yE9R6,skiladze@parliament.ge,The Georgian Dream,2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/sopio-kiladze,9
sulkhan-makhatadze,Sulkhan Makhatadze,1982-06-26,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5691.jpg?itok=J9-Ooiob,smakhatadze@parliament.ge,"Faction ""The Georgian Dream - Social-Democrats""",2016-11-18,,#56 Chiatura,56,http://www.chemiparlamenti.ge/en/parliamentarian/sulkhan-makhatadze,9
svetlana-kudba,Svetlana Kudba,1952-05-15,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5631.jpg?itok=wvDM2cnw,skudba@parliament.ge,The Georgian Dream,2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/svetlana-kudba,9
tamar-khulordava,Tamar Khulordava,1979-02-12,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5619.jpg?itok=xJM5PEi2,tkhulordava@parliament.ge,The Georgian Dream,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/tamar-khulordava,9
tamari-chugoshvili,Tamari Chugoshvili,1984-12-31,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5616.jpg?itok=RwOVoRJ2,tchugoshvili@parliament.ge,The Georgian Dream,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/tamari-chugoshvili,9
tamaz-naveriani,Tamaz Naveriani,1967-01-08,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5678.jpg?itok=DVG9uYe7,tnaveriani@parliament.ge,The Georgian Dream,2016-11-18,,#36 Marneuli,36,http://www.chemiparlamenti.ge/en/parliamentarian/tamaz-naveriani,9
teimuraz-chkuaseli,Teimuraz Chkuaseli,1944-09-20,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2011_0.jpg?itok=ArutBUVu,tchkuaseli@parliament.ge,The Georgian Dream,2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/teimuraz-chkuaseli,9
teimuraz-kokhreidze,Teimuraz Kokhreidze,1963-01-01,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5630_0.jpg?itok=x5PSVBZW,tkokhreidze@parliament.ge,The Georgian Dream - Entrepreneurs,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/teimuraz-kokhreidze,9
tengiz-gunava,Tengiz Gunava,1976-03-29,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/5646.jpg?itok=gu2aiw6c,tgunava@parliament.ge,Movement for Liberty - European Georgia,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/tengiz-gunava,9
tengizi-khubuluri,Tengizi Khubuluri,1955-09-28,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2369.jpg?itok=-r08lOVR,Tkhubuluri@parliament.ge,The Georgian Dream - Entrepreneurs,2016-11-18,,#42 Gori,42,http://www.chemiparlamenti.ge/en/parliamentarian/tengizi-khubuluri,9
tinatin-bokuchava,Tinatin Bokuchava,1983-05-29,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/2189.jpg?itok=EGmynFLM,tbokuchava@parliament.ge,The United National Movement,,,,,http://www.chemiparlamenti.ge/en/parliamentarian/tinatin-bokuchava,9
tsotne-zurabiani,Tsotne Zurabiani,1984-09-28,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5692.jpg?itok=7kZsqc-S,tszurabiani@parliament.ge,The Georgian Dream,2016-11-18,,#57 Tskaltubo,57,http://www.chemiparlamenti.ge/en/parliamentarian/tsotne-zurabiani,9
vano-zardiashvili,Vano Zardiashvili,1982-09-12,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5628.jpg?itok=ciONs3iB,vzardiashvili@parliament.ge,The Georgian Dream,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/vano-zardiashvili,9
viktor-japaridze,Viktor Japaridze,1966-10-29,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/1991.jpg?itok=rLYXiVr7,vjapharidze@parliament.ge,The Georgian Dream,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/viktor-japaridze,9
zakaria-kutsnashvili,Zakaria Kutsnashvili,1972-02-13,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2142.jpg?itok=TgY4bghy,zkutsnashvili@parliament.ge,The Georgian Dream,2016-11-18,,#38 Dusheti,38,http://www.chemiparlamenti.ge/en/parliamentarian/zakaria-kutsnashvili,9
zaza-gabunia,Zaza Gabunia,1984-04-23,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/5664.jpg?itok=aCCPuze-,zgabunia@parliament.ge,Georgian Dream - Greens,2016-11-18,,#19 Nadzaladevi,19,http://www.chemiparlamenti.ge/en/parliamentarian/zaza-gabunia,9
zaza-kedelashvili,Zaza Kedelashvili,1985-11-12,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2226.jpg?itok=NF_GHjSP,zkedelashvili@parliament.ge,European Georgia,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/zaza-kedelashvili,9
zaza-khutsishvili,Zaza Khutsishvili,1965-05-12,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5653.jpg?itok=BHLj10vK,zkhutsishvili@parliament.ge,The Georgian Dream,2016-11-18,,#3 Vake,3,http://www.chemiparlamenti.ge/en/parliamentarian/zaza-khutsishvili,9
zaza-papuashvili,Zaza Papuashvili,1964-10-20,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/1995.jpg?itok=70dbddAA,zpapuashvili@parliament.ge,The Georgian Dream,2016-11-18,,#15 Didube,15,http://www.chemiparlamenti.ge/en/parliamentarian/zaza-papuashvili,9
zurab-tchiaberashvili,Zurab Tchiaberashvili,1972-06-06,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5645.jpg?itok=vZLK7xS6,zchiaberashvili@parliament.ge,მოძრაობა თავისუფლებისთვის - რეგიონები,2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/zurab-tchiaberashvili,9
zviad-dzidziguri,Zviad Dzidziguri,1964-10-31,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2298.jpg?itok=X_9ef6OO,zdzidziguri@parliament.ge,The Georgian Dream - Conservatives,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/zviad-dzidziguri,9
zviad-kvachantiradze,Zviad Kvachantiradze,1965-07-07,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2283.jpg?itok=gf8UwjJH,zkvatchantiradze@parliament.ge,The Georgian Dream,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/zviad-kvachantiradze,9
