id,name__ja,name__pl,name__ru,name__ka,name__en,name__fr,name__nl,name__sv,name__es,name__de,name__cs,name,wikipedia__cs,wikipedia__en,wikipedia__es,wikipedia__fr,wikipedia__ja,wikipedia__ka,wikipedia__pl,wikipedia__ru,wikipedia__sv,gender,birth_date,identifier__freebase,name__th,name__uk,name__pt,name__hy,wikipedia__de,wikipedia__hy,wikipedia__pt,wikipedia__th,wikipedia__uk,name__xmf,name__he,name__et,wikipedia__et,wikipedia__xmf,image,identifier__VIAF,given_name,name__fa,wikipedia__fa,name__az,wikipedia__az,death_date,wikipedia__it,name__it,original_wikiname,name__hu,last_seen,name__zh_hant,name__zh_cn,wikipedia__oc,name__oc,occupation,name__fi,name__tr,name__cy,wikipedia__fi,wikipedia__tr,identifier__LCAuth,identifier__GND,identifier__ISNI,identifier__BNF,identifier__SUDOC,identifier__bigenc_ru,pseudonym,name__eo,name__id,name__zh,wikipedia__eo,wikipedia__id,identifier__FAST,wikipedia__commons,name__ko,wikipedia__ko,wikipedia__zh,wikipedia__ruwikinews,wikipedia__enwikisource,identifier__MusicBrainz,identifier__IMDB,identifier__kinopoisk,identifier__SFDb,identifier__CSFD,identifier__elonet,identifier__allmovie,name__be_tarask,name__br,wikipedia__be_x_old,wikipedia__br,name__mn,name__os,name__nb,name__nn,wikipedia__mn,name__eu,wikipedia__nl,wikipedia__he,identifier__PACE,wikipedia__no,name__en_ca,name__en_gb,name__la,name__el,name__ab,name__da,name__ro,name__bg,wikipedia__ab,wikipedia__bg,wikipedia__el,wikipedia__la,wikipedia__ro,name__lt,wikipedia__hu,wikipedia__lt,wikipedia__os,wikipedia__simple,name__gl,wikipedia__da,wikipedia__gl,wikipedia__nn,wikipedia__plwikiquote,identifier__NNDB,wikipedia__ba,name__ba,family_name,identifier__SELIBR,identifier__NLP,twitter,wikipedia__lv,identifier__NTA,name__lv,name__ca,wikipedia__ca,wikipedia__be,wikipedia__ast,name__be,name__ast,identifier__BNE,name__ee,identifier__CONOR,identifier__CSPAN,name__sl,identifier__NKC
Q2511277,ショータ・ハバレーリ,Szota Chabareli,"Хабарели, Шота Дмитриевич",შოთა ხაბარელი,Shota Khabareli,Shota Khabareli,Shota Khabareli,Sjota Chabareli,Shota Khabareli,Schota Chabareli,Šota Chabareli,შოთა ხაბარელი,Šota Chabareli,Shota Khabareli,Shota Jabareli,Shota Khabareli,ショータ・ハバレーリ,შოთა ხაბარელი,Szota Chabareli,"Хабарели, Шота Дмитриевич",Sjota Chabareli,male,1958-12-26,/m/03qd169,,,,,Schota Chabareli,,,,,,,,,,,,Shota,,,,,,Šota Chabareli,Šota Chabareli,შოთა ხაბარელი,,,,,,,judoka,,,,,,,,,,,4727003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sjota Sjharbareli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2657663,,,"Шарадзе, Гурам Северьянович",გურამ შარაძე,Guram Sharadze,Guram Sharadze,Guram Sharadze,,Guram Sharadze,Guram Sharadze,,გურამ შარაძე,,Guram Sharadze,,,,გურამ შარაძე,,"Шарадзе, Гурам Северьянович",,male,1940-10-17,/m/02r7w7y,,,,,,,,,,,,,,,,11114324,Guram,,,,,2007-05-20,,,Guram Sharadze,,,,,,,historian,Guram Šaradze,,Guram Sharadze,Guram Šaradze,,n79007169,,0000 0000 2034 4987,,,,,Guram Ŝaradze,Guram Sharadze,吉拉姆·沙拉澤,Guram Ŝaradze,Guram Sharadze,30278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391735365,,,,,,,,,,,,,
Q27186868,,,Ирма Инашвили,ირმა ინაშვილი,Irma Inashvili,,Irma Inashvili,,,,,ირმა ინაშვილი,,Irma Inashvili,,,,ირმა ინაშვილი,,"Инашвили, Ирма",,female,1970-07-06,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/80/Irmainashvili.jpg,,Irma,,,,,,,,Irma Inashvili,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28456972,,,,,Rati Samkurashvili,,Rati Samkurashvili,,,,,Rati Samkurashvili,,Rati Samkurashvili,,,,,,,,male,1977-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,Rati Samkurashvili,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2899592,ズラブ・アデイシヴィリ,,"Адеишвили, Зураб",ზურაბ ადეიშვილი,Zurab Adeishvili,Zurab Adeishvili,Zurab Adeishvili,,Zurab Adeishvili,Zurab Adeishvili,,ზურაბ ადეიშვილი,,Zurab Adeishvili,,,ズラブ・アデイシヴィリ,ზურაბ ადეიშვილი,,"Адеишвили, Зураб Шалвович",,male,1972-07-27,,,Зураб Адеішвілі,,Զուրաբ Ադեիշվիլի,,Զուրաբ Ադեիշվիլի,,,Адеішвілі Зураб Шалвович,,זוראב אדאישווילי,,,,https://upload.wikimedia.org/wikipedia/commons/5/50/Zurab_Adeishvili.jpg,,Zurab,,,,,,,,Zurab Adeishvili,Zurab Adeishvili,,,,,,politician,,,,,,,,,,,,,,,,,,,Category:Zurab Adeishvili,,,,,,,,,,,,,,,,,,,,,,,,זוראב אדאישווילי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3139475,,,,კობა დავითაშვილი,Koba Davitashvili,Koba Davitachvili,Koba Davitashvili,,,Koba Davitashvili,,კობა დავითაშვილი,,Koba Davitashvili,,Koba Davitachvili,,კობა დავითაშვილი,,,,male,1971-07-31,/m/05m_74b,,Давіташвілі Коба Романович,,,,,,,Давіташвілі Коба Романович,,,Koba Davithašvili,Koba Davithašvili,,,,,,,,,,,,კობა დავითაშვილი,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q316238,ズラブ・ノガイデリ,Zurab Nogaideli,Зураб Теймуразович Ногаидели,ზურაბ ნოღაიდელი,Zurab Noghaideli,Zourab Noghaïdeli,Zurab Noghaideli,Zurab Noghaideli,Zurab Nogaideli,Surab Noghaideli,Zurab Nogaideli,ზურაბ ნოღაიდელი,Zurab Nogaideli,Zurab Noghaideli,Zurab Nogaideli,Zourab Noghaïdeli,ズラブ・ノガイデリ,ზურაბ ნოღაიდელი,Zurab Nogaideli,"Ногаидели, Зураб Теймуразович",Zurab Noghaideli,male,1964-10-22,/m/0554jw,,Ногаїделі Зураб Теймуразович,,Զուրաբ Նողայիդելի,Surab Noghaideli,Զուրաբ Նողայիդելի,,,Зураб Ногаїделі,,זוראב נור'אידלי,Zurab Nogaideli,Zurab Nogaideli,,https://upload.wikimedia.org/wikipedia/commons/7/74/Zurab_Nogaideli.jpg,,Zurab,زوراب نوقایدلی,زوراب نوقایدلی,,,,Zurab Noghaideli,Zurab Noghaideli,Zurab Noghaideli,Zurab Nogaideli,,諾哈德利,,Zurab Nogaideli,Zurab Nogaideli,politician,Zurab Noghaideli,,,Zurab Noghaideli,,,,,,,,,,Zurab Nogaideli,祖拉布·诺盖杰利,,Zurab Nogaideli,,Category:Zurab Noghaideli,,,祖拉布·诺盖杰利,,Author:Zurab Noghaideli,,,,,,,,,,,,,,Zurab Noghaideli,Zurab Noghaideli,,,,זוראב נור'אידלי,4241,Zurab Noghaideli,,,,Ζουράμπ Νογκαϊντέλι,"Ноҕaидели, Зураб Темур-иҧа",Surab Noghaideli,,,"Ноҕaидели, Зураб Темур-иҧа",,Ζουράμπ Νογκαϊντέλι,,,,Zurab Nogaideli,,,,Zurab Nogaideli,Surab Noghaideli,Zurab Noghaideli,Zurab Noghaideli,Zurab Nogaideli,908/000162422,,,,,,,,,,,,,,,,,,,,,
Q3341494,ニカ・グヴァラミア,,Ника Гварамия,ნიკოლოზ გვარამია,Nika Gvaramia,Nika Gvaramia,Nika Gvaramia,,Nika Gvaramia,Nika Gvaramia,,ნიკოლოზ გვარამია,,Nika Gvaramia,,Nika Gvaramia,,ნიკა გვარამია,,"Гварамия, Николоз",,male,1976-06-29,,,,,,,,,,,,,,,,,,Nika,,,,,,,,Nika Gvaramia,,,,,,,lawyer,,,,,,,,,,,,,,,尼卡·格瓦拉米亞,,,,,,,尼卡·格瓦拉米亞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3506301,ニコ・レキシヴィリ,,"Лекишвили, Николоз Михайлович",ნიკო ლეკიშვილი,Nikoloz Lekishvili,Nikoloz Lekishvili,Niko Lekishvili,,Nikoloz Lekishvili,Nikoloz Lekishvili,Nikoloz Lekišvili,ნიკო ლეკიშვილი,Nikoloz Lekišvili,Niko Lekishvili,,,,ნიკო ლეკიშვილი,,"Лекишвили, Николоз Михайлович",,male,1947-04-20,,,Лекішвілі Ніколоз Михайлович,,,,,,,Ніко Лекішвілі,,,,,,,,Nikoloz,,,,,,,,Niko Lekishvili,Nikoloz Lekishvili,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3649217,ラナ・ゴゴベリゼ,Lana Ghoghoberidze,Лана Левановна Гогоберидзе,ლანა ღოღობერიძე,Lana Gogoberidze,Lana Gogoberidze,Lana Gogoberidze,,Lana Gogoberidze,Lana Gogoberidse,,ლანა ღოღობერიძე,,Lana Gogoberidze,,Lana Gogoberidze,,ლანა ღოღობერიძე,Lana Ghoghoberidze,"Гогоберидзе, Лана Левановна",,female,1928-10-13,,,,,Լանա Ղողոբերիձե,,Լանա Ղողոբերիձե,,,,,,,,,,,Lana,,,,,,,Lana Gogoberidze,Lana Gogoberidze,Lana Gogoberidze,,,,,,film director,Lana Gogoberidze,,,Lana Gogoberidze,,,,,,,,,,,,,,,,,,,,,,,,119797,9044,127243,p198534,,,,,,,,,,,,,4207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q380730,イヴァネ・メラビシヴィリ,Iwane Merabiszwili,"Мерабишвили, Иване Сергеевич",ივანე მერაბიშვილი,Vano Merabishvili,Vano Merabichvili,Vano Merabishvili,Vano Merabisjvili,Vano Merabishvili,Wano Merabischwili,,ივანე მერაბიშვილი,,Vano Merabishvili,,Vano Merabichvili,,ვანო მერაბიშვილი,Iwane Merabiszwili,"Мерабишвили, Иване Сергеевич",Vano Merabisjvili,male,1968-04-15,/m/053fl8,,Мерабішвілі Іване Сергійович,,Վանո Մերաբիշվիլի,Wano Merabischwili,Վանո Մերաբիշվիլի,,,Іване Мерабішвілі,ივანე მერაბიშვილი,ואנו מראבישווילי,Ivane Merabišvili,Ivane Merabišvili,ივანე მერაბიშვილი,https://upload.wikimedia.org/wikipedia/commons/8/8e/Ivane_Merabishvili.jpg,,Vano,وانو مرابیشویلی,وانو مرابیشویلی,,,,Vano Merabishvili,Vano Merabishvili,Vano Merabishvili,Ivane Merabisvili,,,,,,politician,Vano Merabišvili,Vano Merabişvili,,Vano Merabišvili,Vano Merabişvili,,,,,,,,,,瓦诺·梅拉比什维利,,,,Category:Vano Merabishvili,,,瓦诺·梅拉比什维利,,,,,,,,,,,,,,,"Мерабишвили, Вано Сергейы фырт",,,,,,ואנו מראבישווילי,,,,,Vano Merabishvili,,Иуaне Мерaбишвили,,,,Иуaне Мерaбишвили,,,Ioannes Merabišvili,,Ivanas Merabišvilis,Ivane Merabisvili,Ivanas Merabišvilis,"Мерабишвили, Вано Сергейы фырт",Vano Merabishvili,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4207051,,,Георгий Георгиевич Кавтарадзе,გოგი ქავთარაძე,,,,,,,,გოგი ქავთარაძე,,,,,,გოგი ქავთარაძე,,"Кавтарадзе, Георгий Георгиевич",,male,1940-04-02,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/bd/Gogi_Kavtaradze.jpg,,Georgiy,,,,,,,,გოგი ქავთარაძე,,,,,,,actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,167161,,,p248921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q421613,,,"Таргамадзе, Георгий",გიორგი თარგამაძე,Giorgi Targamadze,Giorgi Targamadze,Giorgi Targamadze,Giorgi Targamadze,Giorgi Targamadze,Giorgi Targamadse,,გიორგი თარგამაძე,,Giorgi Targamadze,,,,გიორგი თარგამაძე,,"Таргамадзе, Георгий",Giorgi Targamadze,male,1973-11-22,/m/0hrd2ws,,Георгій Таргамадзе,,,Giorgi Targamadse,,,,Георгій Таргамадзе,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/ac/Giorgi_targamadze_3.jpg,,Giorgi,,,,,,,,Giorgi Targamadze,,,,,,,politician,,,,,,,,,,,,,Giorgi Targamadze,,格奧爾基·塔加馬澤,Giorgi Targamadze,,,Category:Giorgi Targamadze,,,格奧爾基·塔加馬澤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4352105,ギオルギ・ガチェチラゼ,,,გიორგი გაჩეჩილაძე,George Gachechiladze,George Gachechiladze,George Gachechiladze,,,George Gachechiladze,,გიორგი გაჩეჩილაძე,,,,,,გიორგი გაჩეჩილაძე,,,,male,1954-06-24,,,,,,,,,,,,גיאורגי גאצ'צ'ילדזה,,,,https://upload.wikimedia.org/wikipedia/commons/7/7e/G_gachechiladze.jpg,,George,,,,,,,,გიორგი გაჩეჩილაძე,,,,,,,politician,,,,,,,,,,,,,,,,,,,Category:George Gachechiladze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4401377,,,"Рчеулишвили, Вахтанг Шалвович",ვახტანგ რჩეულიშვილი,Vakhtang Rcheulishvili,Vakhtang Rcheulishvili,,,,,,ვახტანგ რჩეულიშვილი,,Vakhtang Rcheulishvili,,,,ვახტანგ რჩეულიშვილი,,"Рчеулишвили, Вахтанг Шалвович",,male,1954-01-01,,,Вахтанг Рчеулішвілі,,Վախթանգ Ռչեուլիշվիլի,,Վախթանգ Ռչեուլիշվիլի,,,,,,,,,,,Vakhtang,,,,,2017-04-13,,,Vakhtang Rcheulishvili,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vakhtang Rcheulishvili,Vakhtang Rcheulishvili,,Βαχτάνγκ Ρτσεουλισβίλι,,,,,,,Βαχτάνγκ Ρτσεουλισβίλι,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4570471,テド・ジャパリッゼ,,,თედო ჯაფარიძე,Tedo Japaridze,Tedo Djaparidze,Tedo Dzjaparidze,,Tedo Japaridze,Tedo Japaridze,,თედო ჯაფარიძე,,Tedo Japaridze,,Tedo Djaparidze,,თედო ჯაფარიძე,,"Джапаридзе, Тедо Зурабович",,male,1946-09-18,,,Джапарідзе Тедо Зурабович,,,,,,,Джапарідзе Тедо Зурабович,,,,,,"https://upload.wikimedia.org/wikipedia/commons/8/86/Tedo_Japaridze_(March_16,_2001).jpg",,,,,,,,,,Tedo Japaridze,Tedo Japaridze,,,,,,diplomat,,,,,,,,,,,,,,,,,,,Category:Tedo Japaridze,,,,,,,,,,,,,,,,,,,,,,,Tedo Dzjaparidze,,6991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tedojaparidze,,
Q4678282,,,"Маршания, Ада Лориковна",,Ada Marshania,Ada Marshania,Ada Marshania,,Ada Marshania,Ada Marshania,,Ada Marshania,,Ada Marshania,Ada Marshania,,,,,"Маршания, Ада Лориковна",,female,1961-07-01,,,,Ada Marshania,Ադա Մարշանիա,,Ադա Մարշանիա,Ada Marshania,,,,,,,,,,Ada,,,,,,,,Ada Marshania,Ada Marshania,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ada Marshania,,Ada Marshania,,,,,,
Q4700194,,,,,Akaki Minashvili,,Akaki Minashvili,,,Akaki Minashvili,,Akaki Minashvili,,Akaki Minashvili,,,,,,,,male,1980-09-24,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1e/Akaki_Minashvili.jpg,,,,,,,,,,Akaki Minashvili,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minashvili,,,,,,,,,,,,,,,,,,
Q5619831,,,,,Guram Mamulia,Guram Mamulia,Guram Mamulia,,,Guram Mamulia,,Guram Mamulia,,Guram Mamulia,,,,,,,,male,1937-05-09,,,,,,,,,,,,,,,,,,Guram,,,,,2003-01-01,,Guram Mamulia,Guram Mamulia,,,,,,,historian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q596570,アブハジアの政治家,,Жиули Калистратович Шартава,ჟიული შარტავა wikipedia,Zhiuli Shartava,Jiouli Chartava,Zhiuli Shartava,,Zhiuli Shartava,Schiuli Schartawa,,ჟიული შარტავა wikipedia,,Zhiuli Shartava,,Jiouli Chartava,,ჟიული შარტავა,,"Шартава, Жиули Калистратович",,male,1944-03-07,/m/059yvh,,Жиулі Шартава,,,Schiuli Schartawa,,,,Жиулі Шартава,ჟიული შარტავა,ז'יולי שרטאווה,,,ჟიული შარტავა,https://upload.wikimedia.org/wikipedia/commons/d/dc/Jiuli_shartava.jpg,,,,,,,1993-09-27,,,Zhiuli Shartava,Zhiuli Shartava,,,,,,politician,,Jiuli Şartava,,,Jiuli Şartava,,,,,,,,,,,,,,Category:Zhiuli Shartava,,,,,,,,,,,,,,,,,,,,,,,,ז'יולי שרטאווה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6101401,,,,იზა ორჯონიკიძე,Iza Orjonikidze,Iza Orjonikidze,Iza Orjonikidze,,,Iza Orjonikidze,,იზა ორჯონიკიძე,,Iza Orjonikidze,,,,იზა ორჯონიკიძე,,,,female,1938-11-21,,,,,,,,,,,,,,,,,302225862,Iza,,,,,2010-02-09,,,Iza Orjonikidze,,,,,,,poet,,,,,,,1056168145,0000 0004 0898 3785,,193275538,,,,,,,,,,이자 오르조니키제,이자 오르조니키제,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ordzhonikidze,,,,,,,,,,,,,,,,,,
Q6177070,,,,,Jemal Inaishvili,Jemal Inaishvili,Jemal Inaishvili,,,Jemal Inaishvili,,Jemal Inaishvili,,Jemal Inaishvili,,,,,,,,male,1962-11-11,,,,,,,,,,,,,,,,,,Jemal,,,,,,,,Jemal Inaishvili,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q617809,,Wladimer Gucaewi,"Гуцаев, Владимир Гаврилович",ვლადიმერ გუცაევი,Vladimir Gutsaev,Vladimir Gutsaev,Vladimir Gutsaev,,Vladimir Gutsaev,Wladimir Guzajew,,ვლადიმერ გუცაევი,,Vladimir Gutsaev,Vladimir Gutsaev,Vladimir Gutsaev,,ვლადიმერ გუცაევი,Wladimer Gucaewi,"Гуцаев, Владимир Гаврилович",,male,1952-12-21,/m/0413_n3,,Гуцаєв Володимир Гаврилович,,,Wladimir Guzajew,,,,Гуцаєв Володимир Гаврилович,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/05/Vladimir_Gutsaev_Cropped.jpg,,Wladimir,,,,,,Vladimer Gutsaevi,Vladimer Gutsaevi,Vladimir Gutsaev,,,,,,,association football player,,,,,,,,,,,4614439,,,,,,,,Category:Vladimir Gutsaev,,,,,,,,,,,,,,,,,,,,,,,Vladimer Goetsaevi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vladimir Gutsaev,,,,,,,,,,
Q6322997,,,,კონსტანტინე გაბაშვილი,Konstantine Gabashvili,Konstantine Gabashvili,Konstantine Gabashvili,,,Konstantine Gabashvili,,კონსტანტინე გაბაშვილი,,Konstantine Gabashvili,,,,კოტე გაბაშვილი,,,,male,1948-09-26,,,,,,,,,,,,קונסטנטין גבשווילי,,,,,,Konstantine,,,,,,,,Konstantine Gabashvili,,,,,,,diplomat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konstantine Gabashvili,Konstantine Gabashvili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6534839,,,,ლევან ალექსიძე,Levan Aleksidze,,Levan Aleksidze,,Levan Aleksidze,,,ლევან ალექსიძე,,Levan Aleksidze,,,,ლევან ალექსიძე,,,,male,1926-06-05,,,,,,,,,,,,,,,,,,Levan,,,,,,,,Levan Aleksidze,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6746884,マナナ・コバキーゼ,,Манана Кобахидзе,მანანა კობახიძე,Manana Kobakhidze,Manana Kobakhidze,Manana Kobakhidze,,,Manana Kobachidse,,მანანა კობახიძე,,Manana Kobakhidze,,,,მანანა კობახიძე,,"Кобахидзе, Манана",,female,1968-02-03,,,,,Մանանա Կոբախիձե,,Մանանա Կոբախիձե,,,,,,,,,,,,,,,,,,,Manana Kobakhidze,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6849803,,,,,Mikheil Makharadze,Mikheil Makharadze,,,Mikheil Makharadze,Mikheil Makharadze,,Mikheil Makharadze,,Mikheil Makharadze,,,,,,,,male,1946-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,Mikheil Makharadze,,,,,,,historian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6874825,,,,,Mirza Davitaia,Mirza Davitaia,Mirza Davitaia,,Mirza Davitaia,Mirza Davitaia,,Mirza Davitaia,,Mirza Davitaia,,,,,,,,male,1975-08-30,,,,,,,,,,,,,,,,,220999934,Mirza,,,,,,,Mirza Davitaia,Mirza Davitaia,,,,,,,politician,,,,,,,,0000 0003 6169 060X,,,,,,,米爾扎·達維塔亞,,,,,,,,,,,,,,,,,,,,,,,,,,Mirza Davitaia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A26609691,,,,,,,,,,,XX5550934,,,,,
Q709218,ズラブ・ズビャダウリ,Zurab Zwiadauri,"Звиадаури, Зураб",ზურაბ ზვიადაური,Zurab Zviadauri,Zurab Zviadauri,Zurab Zviadauri,Zurab Zviadauri,Zurab Zviadauri,Surab Swiadauri,Zurab Zviadauri,ზურაბ ზვიადაური,Zurab Zviadauri,Zurab Zviadauri,Zurab Zviadauri,Zurab Zviadauri,ズラブ・ズビャダウリ,ზურაბ ზვიადაური,Zurab Zwiadauri,"Звиадаури, Зураб",Zurab Zviadauri,male,1981-07-02,/m/07rswv,ซูรับ ซเวียเดารี,Зураб Звіадаурі,Zurab Zviadauri,Զուրաբ Զվիադաուրի,Surab Swiadauri,Զուրաբ Զվիադաուրի,Zurab Zviadauri,ซูรับ ซเวียเดารี,Зураб Звіадаурі,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/85/Zviadauri.jpg,,Zurab,,,,,,Zurab Zviadauri,Zurab Zviadauri,Zurab Zviadauri,,,,,,,judoka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zurab Zviadauri,,,,Zoerab Zviadaoeri,,,Zurab Zviadauri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q724900,,Czabua Amiredżibi,Чабуа Ираклиевич Амирэджиби,ჭაბუა ამირეჯიბი,Chabua Amirejibi,Chabua Amirejibi,Chabua Amirejibi,,Chabua Amirejibi,Tschabua Amiredschibi,,ჭაბუა ამირეჯიბი,,Chabua Amirejibi,Chabua Amirejibi,,,ჭაბუა ამირეჯიბი,Czabua Amiredżibi,"Амирэджиби, Чабуа Ираклиевич",,male,1921-11-18,/m/02qj2gk,,,,Ճաբուա Ամիրեջիբի,Tschabua Amiredschibi,Ճաբուա Ամիրեջիբի,,,,,,,,,,116674695,,,,Çabua Amirecibi,Çabua Amirecibi,2013-12-12,,,Chabua Amirejibi,,,,,,,author,Tšabua Amiredžibi,Çabua Amirecibi,Chabua Amirejibi,Tšabua Amiredžibi,Çabua Amirecibi,n85198498,119033070,0000 0000 8326 1329,16650276v,168039079,1818436,ჭაბუა,,,,,,1899653,Category:Chabua Amirejibi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ciabua Amiredjibi,Чабуа Амираджиби,,Чабуа Амираджиби,,,Ciabua Amiredjibi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94752355,,,ola2003162713
Q728094,レヴァン・ガチェチラゼ,Lewan Gaczecziladze,Леван Гачечиладзе,ლევან გაჩეჩილაძე,Levan Gachechiladze,Levan Gachechiladze,Levan Gachechiladze,Levan Gatjetjiladze,Levan Gachechiladze,Lewan Gatschetschiladse,,ლევან გაჩეჩილაძე,,Levan Gachechiladze,Levan Gachechiladze,Levan Gatchetchiladze,,ლევან გაჩეჩილაძე,Lewan Gaczecziladze,"Гачечиладзе, Леван",Levan Gatjetjiladze,male,1964-07-20,/m/03cy33h,,,,,Lewan Gatschetschiladse,,,,,,לבאן גאצ'צ'ילדזה,Levan Gatšetšiladze,Levan Gatšetšiladze,,"https://upload.wikimedia.org/wikipedia/commons/c/c7/Levan_Gachechiladze_(July_4,_2008).jpg",6025154387251530970007,Levan,,,,,,,,Levan Gachechiladze,,,,,,,entrepreneur,Levan Gatšetšiladze,,,Levan Gatšetšiladze,,,1172454515,,,,,,,,,,,,Category:Levan Gachechiladze,,,,,,,,,,,,,Леван Гачэчыладзэ,Levan Gatschetschiladse,Леван Гачэчыладзэ,Levan Gatschetschiladse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7359877,,,"Метревели, Роин Викторович",როინ მეტრეველი,Roin Metreveli,Roin Metreveli,Roin Metreveli,,Roin Metreveli,,,როინ მეტრეველი,,Roin Metreveli,,,,როინ მეტრეველი,,"Метревели, Роин Викторович",,male,1939-12-07,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/fd/R_Metreveli.jpg,117703173,,,,,,,,,Roin Metreveli,,,,,,,historian,,,,,,n78079420,,0000 0000 8480 4102,,161620132,,,,,,,,27570,Category:Roin Metreveli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183434420,,,,,,,,,,,,,
