id,name__ta,name__en,name,wikipedia__en,wikipedia__ta,gender,original_wikiname,given_name,name__nl,name__de,name__fr,name__si,wikipedia__si,birth_date,name__it,name__hi,name__es,wikipedia__hi,identifier__VIAF,image,identifier__ISNI,identifier__BNF,identifier__SUDOC,name__ru,wikipedia__de,wikipedia__fr,name__mr,name__te,name__bn,name__kn,wikipedia__bn,wikipedia__kn,wikipedia__mr,wikipedia__te,name__lb,name__zh,name__jv,name__pl,name__he,name__ko,name__oc,name__yo,name__ms,name__gl,name__et,name__id,name__ml,name__ja,name__el,name__sv,name__pt,name__eo,name__tr,name__ca,name__fi,name__mg,name__nn,name__cs,name__bg,name__io,name__fa,name__ka,name__lt,name__da,name__nb,name__eu,name__pam,name__ar,name__uk,name__be,name__ne,wikipedia__ar,wikipedia__be,wikipedia__bg,wikipedia__ca,wikipedia__cs,wikipedia__da,wikipedia__el,wikipedia__enwikinews,wikipedia__enwikiquote,wikipedia__enwikisource,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__gl,wikipedia__he,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__jv,wikipedia__ka,wikipedia__ko,wikipedia__lb,wikipedia__lt,wikipedia__mg,wikipedia__ml,wikipedia__ms,wikipedia__ne,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__pam,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__simple,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__yo,wikipedia__zh,identifier__GND,identifier__LCAuth,identifier__freebase,name__hif,wikipedia__hif,name__zh_hans,name__zh_hant,name__zh_hk,name__mk,name__la,wikipedia__la,wikipedia__vi,name__vi,website,wikipedia__pa,identifier__GNC,name__pa,wikipedia__commons,death_date,name__hu,identifier__FAST,last_seen,identifier__GTAA,name__zh_cn,wikipedia__plwikiquote,family_name,occupation,identifier__nyt_topic,wikipedia__trwikinews,identifier__quora,identifier__persee,identifier__NNDB
Q1848979,நாமல் ராசபக்ச,Namal Rajapaksa,Namal Rajapaksa,Namal Rajapaksa,நாமல் ராசபக்ச,male,Namal Rajapaksa,,Namal Rajapaksa,Namal Rajapaksa,,,,1986-04-10,,,Namal Rajapaksa,,,https://upload.wikimedia.org/wikipedia/commons/c/c6/Lakshman_Namal_Rajapaksa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,ナーマル・ラージャパクサ,,,,,,,,,,,,,,,,,,,,نامال راجاباكسا,,,,نامال راجاباكسا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Namal Rajapaksa,,,,,,,politician,,,,,
Q19518620,,Harshana Rajakaruna,Harshana Rajakaruna,Harshana Rajakaruna,,male,Harshana Rajakaruna,,Harshana Rajakaruna,,Harshana Rajakaruna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.harshanarajakaruna.com/,,,,,,,,,,,,,,,,,,
Q19604830,,Mohan De Silva,Mohan De Silva,Mohan De Silva (politician),,male,Mohan Silva,,Mohan De Silva,,,,,1966-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19605011,,Roshan Ranasinghe,Roshan Ranasinghe,Roshan Ranasinghe,,male,Roshan Ranasinghe,,Roshan Ranasinghe,,Roshan Ranasinghe,,,1975-10-25,Roshan Ranasinghe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19739174,,Sisira Jayakody,Sisira Jayakody,Sisira Jayakody,,male,Sisira Jayakody,,Sisira Jayakody,,,සිසිර ජයකොඞි,සිසිර ජයකොඩි,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19895418,,Hirunika Premachandra,Hirunika Premachandra,Hirunika Premachandra,,female,Hirunika Premachandra,,Hirunika Premachandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20675802,,A. A. Wijethunga,A. A. Wijethunga,A. A. Wijethunga,,male,A. A. Wijethunga,A.,A. A. Wijethunga,,,,,1957-11-16,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b2/A_A_Wijethunga.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20847049,ஞானமுத்து சிறீநேசன்,G. Sirinesan,G. Sirinesan,G. Sirinesan,ஞானமுத்து சிறிநேசன்,male,G. Sirinesan,G.,G. Sirinesan,,,,,1960-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20854499,கவீந்திரன் கோடீசுவரன்,K. Kodeeswaran,K. Kodeeswaran,K. Kodeeswaran,கவீந்திரன் கோடீசுவரன்,male,K. Kodeeswaran,K.,K. Kodeeswaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20855460,சதாசிவம் வியாழேந்திரன்,Sathasivam Vijenthiran,Sathasivam Vijenthiran,S. Viyalendiran,ச. வியாழேந்திரன்,male,S. Viyalendiran,,Sathasivam Vijenthiran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20855546,சார்ல்ஸ் நிர்மலநாதன்,Charles Nirmalanathan,Charles Nirmalanathan,Charles Nirmalanathan,சார்ல்ஸ் நிர்மலநாதன்,male,Charles Nirmalanathan,Charles,Charles Nirmalanathan,,Charles Nirmalanathan,,,1975-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20890301,சாந்தி சிறீஸ்கந்தராஜா,Shanthi Sriskantharajah,Shanthi Sriskantharajah,Shanthi Sriskantharajah,சாந்தி சிறீஸ்கந்தராசா,female,Shanthi Sriskantharajah,,Shanthi Sriskantharajah,,,,,1965-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20890492,அருணாசலம் அரவிந்தகுமார்,Aravinda Kumar,Aravinda Kumar,A. Aravind Kumar,அ. அரவிந்தகுமார்,male,A. Aravind Kumar,,Aravinda Kumar,,,,,1954-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trade unionist,,,,,
Q20893943,ம. திலகராஜா,M. Thilakarajah,M. Thilakarajah,M. Thilakarajah,ம. திலகராஜா,male,M. Thilakarajah,M.,M. Thilakarajah,,,,,1973-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trade unionist,,,,,
Q20902373,ஆனந்த அலுத்கமகே,Ananda Aluthgamage,Ananda Aluthgamage,Ananda Aluthgamage,ஆனந்த அளுத்கமகே,male,Ananda Aluthgamage,Ananda,Ananda Aluthgamage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20909648,அங்கஜன் இராமநாதன்,Angajan Ramanathan,Angajan Ramanathan,Angajan Ramanathan,அங்கஜன் இராமநாதன்,male,Angajan Ramanathan,,Angajan Ramanathan,,Angajan Ramanathan,,,1983-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20930857,,Sujith Sanjaya Perera,Sujith Sanjaya Perera,Sujith Sanjaya Perera,,male,Sujith Sanjaya Perera,,Sujith Sanjaya Perera,,,සුජිත් සංජය පෙරේරා,සුජිත් සංජය පෙරේරා,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20965948,எம். எ. எம். மகரூப்,M. A. M. Maharoof,M. A. M. Maharoof,M. A. M. Maharoof,எம். ஏ. எம். மகரூப்,male,M. A. M. Maharoof,M.,M. A. M. Maharoof,,,,,1957-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20968392,வேலு குமார்,M. Velu Kumar,M. Velu Kumar,M. Velu Kumar,வேலு குமார்,male,M. Velu Kumar,M.,M. Velu Kumar,,,,,1973-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20974199,,Saidulla Marikkar,Saidulla Marikkar,Saidulla Marikkar,,male,S. M. Marikkar,,Saidulla Marikkar,,,,,1977-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,
Q20974215,,Mujibur Rahman,Mujibur Rahman,Mujibur Rahman (Sri Lankan politician),,male,Mujibur Rahman (Sri Lankan politician),,Mujibur Rahman,,,,,1968-04-17,,,,,,,,,,Муджибур Рахман,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20983225,,Bandula Lal Bandarigoda,Bandula Lal Bandarigoda,Bandula Lal Bandarigoda,,male,Bandula Lal Bandarigoda,,Bandula Lal Bandarigoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20983280,,Wimalaweera Dissanayake,Wimalaweera Dissanayake,Wimalaweera Dissanayake,,male,Wimalaweera Dissanayake,,Wimalaweera Dissanayake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q20983326,,A. R. A. Hafeez,A. R. A. Hafeez,A. R. A. Hafeez,,male,A. R. A. Hafeez,A.,A. R. A. Hafeez,,,,,1952-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20983341,,Wijepala Hettiarachchi,Wijepala Hettiarachchi,Wijepala Hettiarachchi,,male,Wijepala Hettiarachchi,,Wijepala Hettiarachchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q20983353,,Mansoor Ibrahim,Mansoor Ibrahim,Mansoor Ibrahim,,male,M. I. M. Mansoor,,Mansoor Ibrahim,,,,,1965-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20983379,,Ananda Kumarasiri,Ananda Kumarasiri,Ananda Kumarasiri,,male,Ananda Kumarasiri,Ananda,Ananda Kumarasiri,,,,,1954-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q20983400,இம்ரான் மகரூப்,Imran Maharoof,Imran Maharoof,Imran Maharoof,இம்ரான் மகரூப்,male,Imran Maharoof,Imran,Imran Maharoof,,,,,1983-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20983450,,Nalaka Kolonne,Nalaka Kolonne,Nalaka Kolonne,,male,Nalaka Kolonne,,Nalaka Kolonne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20983451,,Mohamed Hanifa Mohamed Navavi,Mohamed Hanifa Mohamed Navavi,M. H. M. Navavi,,male,M. H. M. Navavi,M.,Mohamed Hanifa Mohamed Navavi,,,,,1946-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20983471,,Karu Paranawithana,Karu Paranawithana,Karu Paranawithana,,male,Karu Paranawithana,,Karu Paranawithana,,,,,1968-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20987207,,Ajith Mannapperuma,Ajith Mannapperuma,Ajith Mannapperuma,,male,Ajith Mannapperuma,,Ajith Mannapperuma,,,අජිත් මාන්නප්පෙරුම,අජිත් මාන්නප්පෙරුම,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20987377,,Ashoka Priyantha,Ashoka Priyantha,Ashoka Priyantha,,male,Ashoka Priyantha,,Ashoka Priyantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20987380,,Chamara Sampath Dassanayake,Chamara Sampath Dassanayake,Chamara Sampath Dassanayake,,male,Chamara Sampath Dassanayake,,Chamara Sampath Dassanayake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20987381,,Chaminda Wijesiri,Chaminda Wijesiri,Chaminda Wijesiri,,male,Chaminda Wijesiri,,Chaminda Wijesiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20987383,,Chandima Gamage,Chandima Gamage,Chandima Gamage,,male,Chandima Gamage,,Chandima Gamage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20987384,,Chathura Senarathne,Chathura Senarathne,Chathura Senarathne,,male,Chathura Senarathne,,Chathura Senarathne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20987401,,Dushmantha Mithrapala,Dushmantha Mithrapala,Dushmantha Mithrapala,,male,Dushmantha Mithrapala,,Dushmantha Mithrapala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20987411,,Hector Appuhamy,Hector Appuhamy,Hector Appuhamy,,male,Hector Appuhamy,Hector,Hector Appuhamy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20987414,,Indika Anuruddha,Indika Anuruddha,Indika Anuruddha,,male,Indika Anuruddha,,Indika Anuruddha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20987419,,Kavinda Jayawardena,Kavinda Jayawardena,Kavinda Jayawardena,,male,Kavinda Jayawardena,,Kavinda Jayawardena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physician,,,,,
Q20987441,,Nalinda Jayatissa,Nalinda Jayatissa,Nalinda Jayatissa,,male,Nalinda Jayatissa,,Nalinda Jayatissa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20987448,,Nimal Lanza,Nimal Lanza,Nimal Lanza,,male,Nimal Lanza,,Nimal Lanza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20987449,,Niroshan Premaratne,Niroshan Premaratne,Niroshan Premaratne,,male,Niroshan Premaratne,,Niroshan Premaratne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20987459,,Prasanna Ranaweera,Prasanna Ranaweera,Prasanna Ranaweera,,male,Prasanna Ranaweera,,Prasanna Ranaweera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20987474,,Malik Samarawickrama,Malik Samarawickrama,Malik Samarawickrama,,male,Malik Samarawickrama,Malik,Malik Samarawickrama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rugby union player,,,,,
Q20987475,,Sanath Nishantha,Sanath Nishantha,Sanath Nishantha,,male,Sanath Nishantha,,Sanath Nishantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20987476,,Sandith Samarasinghe,Sandith Samarasinghe,Sandith Samarasinghe,,male,Sandith Samarasinghe,,Sandith Samarasinghe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20987480,,Shantha Abeysekara,Shantha Abeysekara,Shantha Abeysekara,,male,Shantha Abeysekara,,Shantha Abeysekara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20987485,,Sidney Jayarathna,Sidney Jayarathna,Sidney Jayarathna,,male,Sidney Jayarathna,Sidney,Sidney Jayarathna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20987501,,Tharaka Balasuriya,Tharaka Balasuriya,Tharaka Balasuriya,,male,Tharaka Balasuriya,,Tharaka Balasuriya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20987503,,Thushara Indunil,Thushara Indunil,Thushara Indunil,,female,Thushara Indunil,,Thushara Indunil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20987504,,Thusitha Wijemanne,Thusitha Wijemanne,Thusitha Wijemanne,,female,Thusitha Wijemanne,,Thusitha Wijemanne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20987514,,Jayampathy Wickramaratne,Jayampathy Wickramaratne,Jayampathy Wickramaratne,,male,Jayampathy Wickramaratne,,Jayampathy Wickramaratne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,
Q20987515,,Kanchana Wijesekera,Kanchana Wijesekera,Kanchana Wijesekera,,male,Kanchana Wijesekera,,Kanchana Wijesekera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2117016,மனோ கணேசன்,Mano Ganesan,Mano Ganesan,Mano Ganesan,மனோ கணேசன்,male,Mano Ganesan,,Mano Ganesan,Mano Ganesan,Mano Ganesan,,,1959-12-17,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ef/Mano_Ganesan.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,マノ・ゲネサン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Mano Ganesan,,,,,,,,,politician,,,,,
Q259229,சி. பி. ரத்நாயக்கா,C. B. Rathnayake,C. B. Rathnayake,C. B. Ratnayake,சி. பி. ரத்நாயக்கா,male,C. B. Rathnayake,C.,C. B. Ratnayake,,,,,1958-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/m/06w8h7c,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
