id,name__vi,name,wikipedia__vi,birth_date,original_wikiname,name__en,name__fa,name__es,name__de,name__fr,name__zh,name__id,name__nl,name__hu,wikipedia__en,wikipedia__fa,wikipedia__id,wikipedia__zh,gender,identifier__freebase,image,name__ca,name__it,name__ms,name__nb,name__pt,name__ru,name__sv,name__ja,name__zh_hant,name__zh_hans,wikipedia__ca,wikipedia__commons,wikipedia__de,wikipedia__es,wikipedia__fr,wikipedia__it,wikipedia__ja,wikipedia__ms,wikipedia__nl,wikipedia__no,wikipedia__pt,wikipedia__ru,wikipedia__sv,identifier__VIAF,identifier__LCAuth,name__zh_cn,wikipedia__viwikiquote,name__cy,death_date,identifier__ISNI,identifier__BNF,identifier__SUDOC,family_name,identifier__GND,name__zh_hk,name__pl,wikipedia__pl,name__ko,name__da,name__et,name__io,name__lt,wikipedia__da,wikipedia__et,wikipedia__io,wikipedia__ko,wikipedia__lt,name__zh_sg,name__zh_tw,name__af,name__la,name__cs,name__tl,name__nn,name__sco,name__he,name__hy,wikipedia__af,wikipedia__cs,wikipedia__he,wikipedia__la,wikipedia__tl,name__lb,name__ta,name__oc,name__ia,name__eo,name__tw,name__sr,name__tr,name__fi,name__uk,name__az,name__nan,name__be,name__yo,name__ie,name__gl,name__ay,name__wo,name__hi,name__ht,name__sk,name__nov,name__th,name__ro,name__ilo,name__war,name__bg,name__en_gb,name__lv,name__yue,name__yi,name__ar,name__uz,name__bn,name__qu,wikipedia__ar,wikipedia__ay,wikipedia__az,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__cy,wikipedia__eo,wikipedia__fi,wikipedia__gl,wikipedia__hi,wikipedia__ht,wikipedia__hu,wikipedia__hy,wikipedia__ia,wikipedia__ie,wikipedia__ilo,wikipedia__lb,wikipedia__lv,wikipedia__nov,wikipedia__oc,wikipedia__qu,wikipedia__ro,wikipedia__sco,wikipedia__sk,wikipedia__sr,wikipedia__ta,wikipedia__th,wikipedia__tr,wikipedia__tw,wikipedia__uk,wikipedia__uz,wikipedia__war,wikipedia__wo,wikipedia__yi,wikipedia__yo,wikipedia__zh_min_nan,website,name__el,name__mn,name__mr,name__lo,wikipedia__el,wikipedia__lo,wikipedia__mn,wikipedia__mr,wikipedia__zh_yue,identifier__FAST,wikipedia__viwikisource,wikipedia__plwikiquote,name__mg,wikipedia__mg,name__wuu,wikipedia__enwikiquote,wikipedia__wuu,given_name,name__bar,identifier__MusicBrainz,wikipedia__simple,identifier__NTA,name__br,wikipedia__br,name__jv,name__eu,name__bs,name__sq,name__am,name__ga,name__my,name__is,name__xmf,name__ast,name__hak,name__be_tarask,name__gan,name__hr,name__kk,name__an,name__lad,name__ml,name__sh,name__scn,name__sa,name__hsb,name__fy,name__sl,name__te,name__ka,name__km,name__pa,name__ckb,name__sah,name__gsw,name__lzh,name__cdo,name__gu,name__glk,name__ur,name__lrc,wikipedia__als,wikipedia__am,wikipedia__an,wikipedia__ast,wikipedia__be_x_old,wikipedia__bs,wikipedia__cawikiquote,wikipedia__cdo,wikipedia__ckb,wikipedia__dewikiquote,wikipedia__enwikisource,wikipedia__eowikiquote,wikipedia__eswikiquote,wikipedia__eu,wikipedia__fy,wikipedia__gan,wikipedia__ga,wikipedia__glk,wikipedia__gu,wikipedia__hak,wikipedia__hewikiquote,wikipedia__hr,wikipedia__hsb,wikipedia__huwikiquote,wikipedia__is,wikipedia__itwikiquote,wikipedia__jv,wikipedia__ka,wikipedia__kk,wikipedia__km,wikipedia__kowikiquote,wikipedia__kowikisource,wikipedia__lad,wikipedia__lrc,wikipedia__ml,wikipedia__my,wikipedia__nn,wikipedia__pa,wikipedia__ptwikiquote,wikipedia__ruwikiquote,wikipedia__sah,wikipedia__sa,wikipedia__scn,wikipedia__sh,wikipedia__simplewikiquote,wikipedia__sl,wikipedia__sq,wikipedia__svwikiquote,wikipedia__te,wikipedia__thwikiquote,wikipedia__ur,wikipedia__xmf,wikipedia__zh_classical,wikipedia__zhwikiquote,identifier__NDL,identifier__OLID,identifier__DBNL,identifier__Munzinger,identifier__OpenPlaques,identifier__filmportal_de,identifier__BVMC,name__vep,wikipedia__vep,name__diq,identifier__Britannica,identifier__NLA,identifier__IMDB,electoral_district,name__fj,name__sr_el,name__sr_ec,name__pms,name__pam,name__si,wikipedia__bar,wikipedia__fj,wikipedia__pam,wikipedia__pms,wikipedia__si,identifier__CANTIC,identifier__GNC,identifier__kinopoisk,identifier__AlloCine,identifier__SFDb,wikipedia__ky,name__ky,identifier__NNDB,occupation,identifier__nlg,wikipedia__pnb,name__pnb,identifier__snac,identifier__google_knowledge,identifier__quora,wikipedia__arz,name__arz,identifier__persee,identifier__ne_se,identifier__NUKAT,identifier__BAV,identifier__BIBSYS,name__ba,wikipedia__ba,identifier__wikitree,identifier__SELIBR,name__new,wikipedia__new,identifier__NLP,identifier__PTBNP,identifier__bigenc_ru,identifier__NLI,wikipedia__ne,wikipedia__mzn,identifier__GTAA,name__mzn,identifier__britishmuseum,wikipedia__diq,name__ne,identifier__BNE,identifier__NLAtrove,wikipedia__ruwikinews,name__frc,name__en_ca,name__pt_br,identifier__goodreads,wikipedia__sat,identifier__CONOR
Q10799181,Nguyễn Hữu Thuận,Nguyễn Hữu Thuận,Nguyễn Hữu Thuận,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10799196,Nguyễn Hữu Tính,Nguyễn Hữu Tính,Nguyễn Hữu Tính,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10799197,Nguyễn Hữu Tước,Nguyễn Hữu Tước,Nguyễn Hữu Tước,1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10799203,Nguyễn Hữu Đồng,Nguyễn Hữu Đồng,Nguyễn Hữu Đồng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10799206,Nguyễn Hữu Đức,Nguyễn Hữu Đức,Nguyễn Hữu Đức (Hà Nội),1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10799213,Nguyễn Khoa Điềm,Nguyễn Khoa Điềm,Nguyễn Khoa Điềm,1943-04-15,,Nguyễn Khoa Điềm,,,Nguyễn Khoa Điềm,,阮科恬,,Nguyễn Khoa Điềm,,Nguyễn Khoa Điềm,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10799217,Nguyễn Khánh,Nguyễn Khánh,Nguyễn Khánh (Phó Thủ tướng),1928-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10799222,Nguyễn Khánh Toàn,Nguyễn Khánh Toàn,Nguyễn Khánh Toàn,1905-08-01,,,,,,,阮慶全,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993,0000 0000 8355 7971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10799223,Nguyễn Khánh Toàn,Nguyễn Khánh Toàn,Nguyễn Khánh Toàn (thượng tướng),1945-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10799232,Nguyễn Khắc Nghiên,Nguyễn Khắc Nghiên,Nguyễn Khắc Nghiên,1951-01-23,,Nguyễn Khắc Nghiên,,,,Nguyễn Khắc Nghiên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10799239,Nguyễn Kim Cúc,Nguyễn Kim Cúc,Nguyễn Kim Cúc,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10799242,Nguyễn Kim Khanh,Nguyễn Kim Khanh,Nguyễn Kim Khanh,1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10799243,Nguyễn Kim Khoa,Nguyễn Kim Khoa,Nguyễn Kim Khoa,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0003 6206 618X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10799246,Nguyễn Kim Sơn,Nguyễn Kim Sơn,Nguyễn Kim Sơn (thẩm phán),1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,judge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10799248,Nguyễn Kinh Chi,Nguyễn Kinh Chi,Nguyễn Kinh Chi,1899,,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10799256,Nguyễn Lam,Nguyễn Lam,Nguyễn Lam,1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10799259,Nguyễn Lào,Nguyễn Lào,Nguyễn Lào,1935,,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10799262,Nguyễn Lâm Thành,Nguyễn Lâm Thành,Nguyễn Lâm Thành,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10799265,Nguyễn Lân Dũng,Nguyễn Lân Dũng,Nguyễn Lân Dũng,1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 5174 6954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10799268,Nguyễn Lương Bằng,Nguyễn Lương Bằng,Nguyễn Lương Bằng,1904,,Nguyễn Lương Bằng,,,,,鮑斯,,,,Nguyễn Lương Bằng,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,11293537,n85245119,,,,1979,,,,,,,,,응우옌르엉방,,,,,,,,응우옌르엉방,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10799274,Nguyễn Minh Chữ,Nguyễn Minh Chữ,Nguyễn Minh Chữ,1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10799278,Nguyễn Minh Hà,Nguyễn Minh Hà,Nguyễn Minh Hà,1957,,Nguyen Minh Ha,,,,Nguyen Minh Ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10799283,Nguyễn Minh Lâm,Nguyễn Minh Lâm,Nguyễn Minh Lâm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10799285,Nguyễn Minh Quang,Nguyễn Minh Quang,Nguyễn Minh Quang (Bộ trưởng),1953-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10799286,Nguyễn Minh Quang,Nguyễn Minh Quang,Nguyễn Minh Quang (đại biểu quốc hội),1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10799296,Nguyễn Mạnh Cầm,Nguyễn Mạnh Cầm,Nguyễn Mạnh Cầm,1929-09-15,,Nguyễn Mạnh Cầm,,,Nguyễn Mạnh Cầm,,阮孟琴,,,,,,,,male,,"https://upload.wikimedia.org/wikipedia/commons/e/ee/Nguyen_Manh_Cam_detail,_981001-D-9880W-006.jpg",,,,,,,,,,,,,Nguyễn Mạnh Cầm,,,,,,,,,,,46685658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136322,,,,,,,,,,,,,
Q10799299,Nguyễn Mạnh Hà,Nguyễn Mạnh Hà,Nguyễn Mạnh Hà,1913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,0000 0000 8405 3257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10799303,Nguyễn Mạnh Tiến,Nguyễn Mạnh Tiến,Nguyễn Mạnh Tiến (chính khách),1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
