name,name__mn,party,wikiname,constituency,term,source,constituency_id
Saldangiin Odontuyaa,Салдангийн Одонтуяа,Democratic Party,,Ulaanbaatar — Bayangol,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",ulaanbaatar_—_bayangol
Luvsangiin Erdenechimeg,Лувсангийн Эрдэнэчимэг,Democratic Party,,Ulaanbaatar — Songino Khairkhan,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",ulaanbaatar_—_songino_khairkhan
Dolgorsürengiin Sumyaabazar,Долгорсүрэнгийн Сумъяабазар,Mongolian People's Party,Dolgorsürengiin Sumyaabazar,Ulaanbaatar — Songino Khairkhan,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",ulaanbaatar_—_songino_khairkhan
Gantömöriin Uyanga,Гантөмөрийн Уянга,Justice Coalition,,Ulaanbaatar — Chingeltei,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",ulaanbaatar_—_chingeltei
Garidkhüügiin Bayarsaikhan,Гарьдхүүгийн Баярсайхан,Democratic Party,,Ulaanbaatar — Chingeltei,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",ulaanbaatar_—_chingeltei
Norovyn Altankhuyag,Норовын Алтанхуяг,Democratic Party,Norovyn Altankhuyag,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Migeddorjiin Batchimeg,Мигэддоржийн Батчимэг,Democratic Party,,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Radnaagiin Burmaa,Раднаагийн Бурмаа,Democratic Party,,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Radnaasümbereliin Gonchigdorj,Раднаасүмбэрэлийн Гончигдорж,Democratic Party,Radnaasümbereliin Gonchigdorj,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Chimediin Saikhanbileg,Чимэдийн Сайханбилэг,Democratic Party,Chimediin Saikhanbileg,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Khishigdembereliin Temüüjin,Хишигдэмбэрэлийн Тэмүүжин,Democratic Party,,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Sharavdorjiin Tüvdendorj,Шаравдоржийн Түвдэндорж,Democratic Party,,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Zandaakhüügiin Enkhbold,Зандаахүүгийн Энхболд,Democratic Party,Zandaakhüügiin Enkhbold,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Dondogdorjiin Erdenebat,Дондогдоржийн Эрдэнэбат,Democratic Party,,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Tsevelmaagiin Bayarsaikhan,Цэвэлмаагийн Баярсайхан,Democratic Party,,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Damdingiin Demberel,Дамдингийн Дэмбэрэл,Mongolian People's Party,Damdingiin Demberel,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Nyamaagiin Enkhbold,Нямаагийн Энхболд,Mongolian People's Party,Nyamaagiin Enkhbold,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Sunduin Batbold,Сундуйн Батболд,Mongolian People's Party,,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Danzangiin Lündeejantsan,Данзангийн Лүндээжанцан,Mongolian People's Party,,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Tsendiin Nyamdorj,Цэндийн Нямдорж,Mongolian People's Party,Tsendiin Nyamdorj,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Yangugiin Sodbaatar,Янгугийн Содбаатар,Mongolian People's Party,,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Ukhnaagiin Xürelsükh,Ухнаагийн Хүрэлсүх,Mongolian People's Party,,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Jadambyn Enkhbayar,Жадамбын Энхбаяр,Mongolian People's Party,,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Ölziisaikhany Enkhtüvshin,Өлзийсайханы Энхтүвшин,Mongolian People's Party,,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Mishigiin Sonompil,Мишигийн Сономпил,Justice Coalition,Mishigiin Sonompil,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Namdagiin Battsereg,Намдагийн Батцэрэг,Justice Coalition,,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Zangadyn Bayanselenge,Зангадын Баянсэлэнгэ,Justice Coalition,,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Dendeviin Terbishdagva,Дэндэвийн Тэрбишдагва,Justice Coalition,,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Chültemiin Ulaan,Чүлтэмийн Улаан,Justice Coalition,,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Tserendashiin Tsolmon,Цэрэндашийн Цолмон,Justice Coalition,,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Oktyabriin Baasankhüü,Октябрийн Баасанхүү,Justice Coalition,,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Tserendashiin Oyuunbaatar,Цэрэндашийн Оюунбаатар,Justice Coalition,,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Sanjaasürengiin Oyuun,Санжаасүрэнгийн Оюун,Civil Will-Green Party,Sanjaasürengiin Oyuun,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Sambuugiin Demberel,Самбуугийн Дэмбэрэл,Civil Will-Green Party,,,2012,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012",
Nyamjavyn Batbayar,Нямжавын Батбаяр,Democratic Party,Nyamjavyn Batbayar,Arkhangai,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",arkhangai
Radnaasümbereliin Gonchigdorj,Раднаасүмбэрэлийн Гончигдорж,Democratic Party,Radnaasümbereliin Gonchigdorj,Arkhangai,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",arkhangai
Sambuugiin Lambaa,Самбуугийн Ламбаа,Democratic Party,,Arkhangai,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",arkhangai
Khalidoldain Jekei,Халидолдайн Жекей,Mongolian People's Party,,Bayan-Ölgii,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",bayan-Ölgii
Almalikyn Tleikhan,Алмаликын Тлейхан,Mongolian People's Party,,Bayan-Ölgii,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",bayan-Ölgii
Khavdislamyn Badyelkhan,Хавдисламын Баделхан,Mongolian People's Party,,Bayan-Ölgii,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",bayan-Ölgii
Gombojavyn Zandanshatar,Гомбожавын Занданшатар,Mongolian People's Party,Gombojavyn Zandanshatar,Bayankhongor,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",bayankhongor
Batjargalyn Batbayar,Батжаргалын Батбаяр,Democratic Party,Batjargalyn Batbayar,Bayankhongor,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",bayankhongor
Khaltmaagiin Battulga,Халтмаагийн Баттулга,Democratic Party,,Bayankhongor,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",bayankhongor
Enebishiin Mönkh-Ochir,Энэбишийн Мөнх-Очир,Mongolian People's Party,,Bulgan,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",bulgan
Tsegmidiin Tsengel,Цэгмидийн Цэнгэл,Mongolian People's Party,,Bulgan,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",bulgan
Tsedeviin Dashdorj,Цэдэвийн Дашдорж,Mongolian People's Party,,Govi-Altai,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",govi-altai
Jadambyn Enkhbayar,Жадамбын Энхбаяр,Mongolian People's Party,,Govi-Altai,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",govi-altai
Jamyansürengiin Batsuuri,Жамъянсүрэнгийн Батсуурь,Mongolian People's Party,,Govisümber•Dornogovi,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",govisümber•dornogovi
Yaichiliin Batsuuri,Яйчилийн Батсуурь,Democratic Party,,Govisümber•Dornogovi,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",govisümber•dornogovi
Dorjiin Odbayar,Доржийн Одбаяр,Mongolian People's Party,,Dornod,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",dornod
Tsendiin Shinebayar,Цэндийн Шинэбаяр,Mongolian People's Party,,Dornod,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",dornod
Püreviin Altangerel,Пүрэвийн Алтангэрэл,Democratic Party,,Dornod,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",dornod
Khalzkhüügiin Narankhüü,Халзхүүгийн Наранхүү,Mongolian People's Party,,Dundgovi,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",dundgovi
Radnaabazaryn Rash,Раднаабазарын Раш,Mongolian People's Party,,Dundgovi,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",dundgovi
Dogsomjavyn Baldan-Ochir,Догсомжавын Балдан-Очир,Mongolian People's Party,,Zavkhan,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",zavkhan
Dulamsürengiin Oyuunkhorol,Дуламсүрэнгийн Оюунхорол,Mongolian People's Party,,Zavkhan,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",zavkhan
Shinensambuugiin Saikhansambuu,Шинэнсамбуугийн Сайхансамбуу,Mongolian People's Party,,Zavkhan,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",zavkhan
Danzangiin Lündeejantsan,Данзангийн Лүндээжанцан,Mongolian People's Party,,Övörkhangai,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",Övörkhangai
Gavaagiin Batkhüü,Гаваагийн Батхүү,Democratic Party,,Övörkhangai,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",Övörkhangai
Dashzevegiin Zorigt,Дашзэвэгийн Зоригт,Democratic Party,,Övörkhangai,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",Övörkhangai
Zandaakhüügiin Enkhbold,Зандаахүүгийн Энхболд,Democratic Party,Zandaakhüügiin Enkhbold,Övörkhangai,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",Övörkhangai
Khookhoryn Badamsüren,Хоохорын Бадамсүрэн,Mongolian People's Party,,Ömnögovi,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",Ömnögovi
Tsevelmaagiin Bayarsaikhan,Цэвэлмаагийн Баярсайхан,Democratic Party,,Ömnögovi,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",Ömnögovi
Chültemiin Ulaan,Чүлтэмийн Улаан,Mongolian People's Party,,Sükhbaatar,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",sükhbaatar
Rentsengiin Bud,Рэнцэнгийн Буд,Mongolian People's Party,,Sükhbaatar,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",sükhbaatar
Ochirbatyn Chuluunbat,Очирбатын Чулуунбат,Mongolian People's Party,,Selenge,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",selenge
Erdeniin Bat-Uul,Эрдэнийн Бат-Үүл,Democratic Party,Erdeniin Bat-Uul,Selenge,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",selenge
Sangajavyn Bayartsogt,Сангажавын Баярцогт,Democratic Party,,Selenge,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",selenge
Sunduin Batbold,Сундуйн Батболд,Mongolian People's Party,,Töv,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",töv
Doltsongiin Dondog,Долцонгийн Дондог,Mongolian People's Party,,Töv,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",töv
Miyegombyn Enkhbold,Миеэгомбын Энхболд,Mongolian People's Party,,Töv,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",töv
Nyamaagiin Enkhbold,Нямаагийн Энхболд,Mongolian People's Party,Nyamaagiin Enkhbold,Töv,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",töv
Battogtokhyn Choijilsüren,Баттогтохын Чойжилсүрэн,Mongolian People's Party,,Uvs,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",uvs
Tsendiin Nyamdorj,Цэндийн Нямдорж,Mongolian People's Party,Tsendiin Nyamdorj,Uvs,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",uvs
Chimediin Khürelbaatar,Чимэдийн Хүрэлбаатар,Mongolian People's Party,,Uvs,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",uvs
Sandagiin Byambatsogt,Сандагийн Бямбацогт,Mongolian People's Party,,Khovd,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",khovd
Damdiny Demberel,Дамдины Дэмбэрэл,Mongolian People's Party,Damdiny Demberel,Khovd,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",khovd
Rinchinnyamyn Amarjargal,Ринчиннямын Амаржаргал,Democratic Party,Rinchinnyamyn Amarjargal,Khovd,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",khovd
Tserenpiliin Davaasüren,Цэрэнпилийн Даваасүрэн,Mongolian People's Party,,Khövsgöl,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",khövsgöl
Ölziisaikhany Enkhtüvshin,Өлзийсайханы Энхтүвшин,Mongolian People's Party,,Khövsgöl,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",khövsgöl
Lamjavyn Gundalai,Ламжавын Гүндалай,Democratic Party,Lamjavyn Gundalai,Khövsgöl,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",khövsgöl
Tserenbatyn Sedvanchig,Цэрэнбатын Сэдванчиг,Democratic Party,,Khövsgöl,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",khövsgöl
Dashjamtsyn Arvin,Дашжамцын Арвин,Mongolian People's Party,,Khentii,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",khentii
Badmaanyambuugiin Bat-Erdene,Бадмаанямбуугийн Бат-Эрдэнэ,Mongolian People's Party,Badmaanyambuugiin Bat-Erdene,Khentii,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",khentii
Navaansamdangiin Ganbyamba,Наваансамдангийн Ганбямба,Mongolian People's Party,,Khentii,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",khentii
Jamyankhorloogiin Sükhbaatar,Жамъянхорлоогийн Сүхбаатар,Mongolian People's Party,,Darkhan-Uul,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",darkhan-uul
Damdiny Khayankhyarvaa,Дамдины Хаянхярваа,Mongolian People's Party,,Darkhan-Uul,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",darkhan-uul
Lüimediin Gansükh,Лүймэдийн Гансүх,Democratic Party,,Darkhan-Uul,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",darkhan-uul
Dorjdambyn Damba-Ochir,Дорждамбын Дамба-Очир,Mongolian People's Party,,Orkhon,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",orkhon
Dürzeegiin Odkhüü,Дүрзээгийн Одхүү,Democratic Party,,Orkhon,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",orkhon
Delegiin Zagdjav,Дэлэгийн Загджав,Mongolian People's Party,,Ulan Bator — Baganuur•Bagakhangai•Khan-Uul,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",ulan_bator_—_baganuur•bagakhangai•khan-uul
Luvsanvandangiin Bold,Лувсанвандангийн Болд,Democratic Party,,Ulan Bator — Baganuur•Bagakhangai•Khan-Uul,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",ulan_bator_—_baganuur•bagakhangai•khan-uul
Tsogtyn Batbayar,Цогтын Батбаяр,Mongolian People's Party,Tsogtyn Batbayar,Ulan Bator — Bayanzürkh•Nalaikh,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",ulan_bator_—_bayanzürkh•nalaikh
Davaajavyn Gankhuyag,Даваажавын Ганхуяг,Democratic Party,,Ulan Bator — Bayanzürkh•Nalaikh,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",ulan_bator_—_bayanzürkh•nalaikh
Chimediin Saikhanbileg,Чимэдийн Сайханбилэг,Democratic Party,Chimediin Saikhanbileg,Ulan Bator — Bayanzürkh•Nalaikh,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",ulan_bator_—_bayanzürkh•nalaikh
Zorigiin Altai,Зоригийн Алтай,Independent,,Ulan Bator — Bayanzürkh•Nalaikh,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",ulan_bator_—_bayanzürkh•nalaikh
Sanjaagiin Bayar,Санжаагийн Баяр,Mongolian People's Party,Sanjaagiin Bayar,Ulan Bator — Sükhbaatar,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",ulan_bator_—_sükhbaatar
Sükhbaataryn Batbold,Сүхбаатарын Батболд,Mongolian People's Party,Sükhbaataryn Batbold,Ulan Bator — Sükhbaatar,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",ulan_bator_—_sükhbaatar
Luvsannyamyn Gantömör,Лувсаннямын Гантөмөр,Democratic Party,,Ulan Bator — Sükhbaatar,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",ulan_bator_—_sükhbaatar
Tsakhiagiin Elbegdorj,Цахиагийн Элбэгдорж,Democratic Party,Tsakhiagiin Elbegdorj,Ulan Bator — Chingeltei,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",ulan_bator_—_chingeltei
Garidkhüügiin Bayarsaikhan,Гарьдхүүгийн Баярсайхан,Democratic Party,,Ulan Bator — Chingeltei,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",ulan_bator_—_chingeltei
Dagvadorjiin Ochirbat,Дагвадоржийн Очирбат,Mongolian People's Party,,Ulan Bator — Chingeltei,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",ulan_bator_—_chingeltei
Dashdorjiin Zorigt,Дашдоржийн Зоригт,Mongolian People's Party,,Ulan Bator — Chingeltei,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",ulan_bator_—_chingeltei
Tsendiin Mönkh-Orgil,Цэндийн Мөнх-Оргил,Mongolian People's Party,,Ulan Bator — Bayangol,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",ulan_bator_—_bayangol
Khishigdembereliin Temüüjin,Хишигдэмбэрэлийн Тэмүүжин,Democratic Party,,Ulan Bator — Bayangol,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",ulan_bator_—_bayangol
Dangaasurengiin Enkhbat,Дангаасүрэнгийн Энхбат,Civil Will-Green Party,,Ulan Bator — Bayangol,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",ulan_bator_—_bayangol
Sodnomzunduin Erdene,Содномзундуйн Эрдэнэ,Democratic Party,,Ulan Bator — Bayangol,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",ulan_bator_—_bayangol
Dendeviin Terbishdagva,Дэндэвийн Тэрбишдагва,Mongolian People's Party,,Ulan Bator — Songino Khairkhan,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",ulan_bator_—_songino_khairkhan
Norovyn Altankhuyag,Норовын Алтанхуяг,Democratic Party,Norovyn Altankhuyag,Ulan Bator — Songino Khairkhan,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",ulan_bator_—_songino_khairkhan
Davaagiin Batbayar,Даваагийн Батбаяр,Democratic Party,Kyokushūzan Noboru,Ulan Bator — Songino Khairkhan,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",ulan_bator_—_songino_khairkhan
Sanjaasürengiin Oyuun,Санжаасүрэнгийн Оюун,Civil Will-Green Party,Sanjaasürengiin Oyuun,Ulan Bator — Songino Khairkhan,2008,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008",ulan_bator_—_songino_khairkhan
