id,name,wikipedia__pl,term,group,source,area,area_id,start_date,wikidata,end_date,replaced,name__pl,name__en,gender,birth_date,given_name,image,identifier__viaf,identifier__freebase,identifier__lcauth,identifier__europarlmep,identifier__isni,identifier__bnf,website,identifier__gnd,identifier__sudoc,identifier__nta,identifier__imdb,facebook,family_name,identifier__muzinger,death_date,twitter,identifier__gtaa,identifier__parlement,identifier__ndl,identifier__nla,identifier__nkc,identifier__nukat,identifier__nlp,identifier__ptbnp,identifier__nli,identifier__bne,identifier__bav,identifier__fifa,identifier__catholic_hierarchy
jarosław-urbaniak,Jarosław Urbaniak,Jarosław Urbaniak,6,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VI_kadencji,Województwo wielkopolskie 36,36-6,,Q441616,2010-12-07,Łukasz Borowiak,Jarosław Urbaniak,Jarosław Urbaniak,male,1966-08-07,Jarosław,,,/m/0f6ysf,,,,,,,,,,,,,,,,,,,,,,,,,,,
marcin-zawiła,Marcin Zawiła,Marcin Zawiła,6,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VI_kadencji,Województwo dolnośląskie 1,1-6,,Q1712874,2010-12-07,Wojciech Sokołowski (polityk),Marcin Zawiła,Marcin Zawiła,male,1958-05-06,Marcin,,162356448,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hanna-zdanowska,Hanna Zdanowska,Hanna Zdanowska,6,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VI_kadencji,Województwo łódzkie 9,9-6,,Q293211,2010-12-07,John Godson,Hanna Zdanowska,Hanna Zdanowska,female,1959-03-29,Hanna,,311428250,/m/0hhtcv2,,,,,,,,,,,,,,,,,,,,,,,,,,,
wojciech-Żukowski,Wojciech Żukowski,Wojciech Żukowski,6,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VI_kadencji,Województwo lubelskie 7,7-6,,Q8029166,2010-12-07,Henryk Młynarczyk (polityk),Wojciech Żukowski,Wojciech Żukowski,male,1964-11-07,Wojciech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aleksander-skorupa,Aleksander Skorupa,Aleksander Skorupa,6,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VI_kadencji,Województwo dolnośląskie 3,3-6,,Q590729,2010-12-28,Jarosław Wojciechowski (polityk),Aleksander Skorupa,Aleksander Skorupa,male,1955-12-12,Aleksander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
janusz-palikot,Janusz Palikot,Janusz Palikot,6,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VI_kadencji,Województwo lubelskie 6,6-6,,Q158298,2011-01-10,Zbigniew Wojciechowski (polityk),Janusz Palikot,Janusz Palikot,male,1964-10-26,Janusz,https://upload.wikimedia.org/wikipedia/commons/8/8f/Janusz_Palikot._2.JPG,102083046,/m/0f6wh8,n2011022123,,0000 0000 7171 3180,,http://www.palikot.eu/,1035654571,127700994,,,,,,,,,,,,,n2003036235,,,,,,,
jan-tomaka,Jan Tomaka,Jan Tomaka,6,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VI_kadencji,Województwo podkarpackie 23,23-6,,Q447143,2011-04-02,Mirosław Pluta,Jan Tomaka,Jan Walenty Tomaka,male,1949-01-15,Jan,,,/m/0f6yn_,,23778,,,,,,,,,,,,,,,,,,,,,,,,,
janusz-chwierut,Janusz Chwierut,Janusz Chwierut,6,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VI_kadencji,Województwo małopolskie 12,12-6,,Q327419,2011-07-11,Andrzej Pająk,Janusz Chwierut,Janusz Chwierut,male,1965-08-21,Janusz,,,/m/0f6q8x,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrzej-adamczyk,Andrzej Adamczyk,Andrzej Adamczyk,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo małopolskie 13,13-5,,Q381575,,,Andrzej Adamczyk,Andrzej Adamczyk,male,1959-01-04,Andrzej,,,/m/0f6phn,,,,,,,,,,,,,,,,,,,,,,,,,,,
waldemar-andzel,Waldemar Andzel,Waldemar Andzel,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo śląskie 32,32-5,,Q376758,,,Waldemar Andzel,Waldemar Andzel,male,1971-09-17,Waldemar,,,/m/0f6pkq,,,,,,,,,,,,,,,,,,,,,,,,,,,
iwona-arent,Iwona Arent,Iwona Arent,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo warmińsko-mazurskie 35,35-5,,Q1676071,,,Iwona Arent,Iwona Arent,female,1968-06-04,Iwona,https://upload.wikimedia.org/wikipedia/commons/8/88/Iwona_Arent.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marek-ast,Marek Ast,Marek Ast,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo lubuskie 8,8-5,,Q1665454,,,Marek Ast,Marek Ast,male,1958-09-27,Marek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jerzy-bielecki-(polityk),Jerzy Bielecki,Jerzy Bielecki (polityk),5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo lubelskie 6,6-5,,Q327678,,,Jerzy Bielecki,Jerzy Bielecki,male,1969-11-19,Jerzy,,,/m/0f6pr9,,,,,,,,,,,,,,,,,,,,,,,,,,,
jacek-bogucki,Jacek Bogucki,Jacek Bogucki,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo podlaskie 24,24-5,,Q327668,,,Jacek Bogucki,Jacek Bogucki,male,1959-02-13,Jacek,,,/m/0f6pt1,,,,,,,,,,,,,,,,,,,,,,,,,,,
bogusław-bosak,Bogusław Bosak,Bogusław Bosak,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo małopolskie 13,13-5,,Q327653,,,Bogusław Bosak,Bogusław Bosak,male,1968-07-06,Bogusław,,,/m/0f6pxx,,,,,,,,,,,,,,,,,,,,,,,,,,,
joachim-brudziński,Joachim Brudziński,Joachim Brudziński,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo zachodniopomorskie 41,41-5,,Q376746,,,Joachim Brudziński,Joachim Brudziński,male,1968-02-04,Joachim,,,/m/0f6pyz,,,,,,,,,,,,,,,,,,,,,,,,,,,
teresa-ceglecka-zielonka,Teresa Ceglecka-Zielonka,Teresa Ceglecka-Zielonka,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo opolskie 21,21-5,,Q273583,,,Teresa Ceglecka-Zielonka,Teresa Ceglecka-Zielonka,female,1957-03-08,Teresa,,,/m/0f6q3x,,,,,,,,,,,,,,,,,,,,,,,,,,,
józef-cepil,Józef Cepil,Józef Cepil,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo świętokrzyskie 33,33-5,,Q327629,,,Józef Cepil,Józef Cepil,male,1960-03-19,Józef,,,/m/0f6q4m,,,,,,,,,,,,,,,,,,,,,,,,,,,
aleksander-chłopek,Aleksander Chłopek,Aleksander Chłopek,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo śląskie 29,29-5,,Q327617,,,Aleksander Chłopek,Aleksander Chłopek,male,1946-12-13,Aleksander,,307175169,/m/0f6q62,,,,,,,,,,,,,,,,,,,,,,,,,,,
zbigniew-chmielowiec,Zbigniew Chmielowiec,Zbigniew Chmielowiec,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo podkarpackie 23,23-5,,Q168030,,,Zbigniew Chmielowiec,Zbigniew Chmielowiec,male,1954-09-22,Zbigniew,,,/m/0f6q7v,,,,,,,,,,,,,,,,,,,,,,,,,,,
daniela-chrapkiewicz,Daniela Chrapkiewicz,Daniela Chrapkiewicz,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo pomorskie 25,25-5,2005-12-14,Q5219205,,,Daniela Chrapkiewicz,Daniela Chrapkiewicz,female,1948-03-09,Daniela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piotr-cybulski,Piotr Cybulski,Piotr Cybulski,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo dolnośląskie 1,1-5,,Q382796,,,Piotr Cybulski,Piotr Cybulski,male,1955-04-19,Piotr,,,/m/0f6qd0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tadeusz-cymański,Tadeusz Cymański,Tadeusz Cymański,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo pomorskie 25,25-5,,Q382446,,,Tadeusz Cymański,Tadeusz Cymański,male,1955-06-06,Tadeusz,https://upload.wikimedia.org/wikipedia/commons/7/76/Posel-cymanski-tadeusz-2013-11m.jpg,,/m/0f6qfd,,96786,,,,,,,,,,,,,,,,,,,,,,,,,
krzysztof-czarnecki,Krzysztof Czarnecki,Krzysztof Czarnecki,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo wielkopolskie 38,38-5,,Q327687,,,Krzysztof Czarnecki,Krzysztof Czarnecki,male,1957-10-25,Krzysztof,,,/m/0f6qgf,,,,,,,,,,,,,,,,,,,,,,,,,,,
witold-czarnecki,Witold Czarnecki,Witold Czarnecki,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo wielkopolskie 36,36-5,,Q381551,,,Witold Czarnecki,Witold Czarnecki,male,1953-04-12,Witold,,,/m/0f6qj7,,,,,,,,,,,,,,,,,,,,,,,,,,,
arkadiusz-czartoryski,Arkadiusz Czartoryski,Arkadiusz Czartoryski,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo mazowieckie 18,18-5,,Q382639,,,Arkadiusz Czartoryski,Arkadiusz Czartoryski,male,1966-04-14,Arkadiusz,,121272369,/m/0f6qjz,,,,,,,,,,,,,,,,,,,,,,,,,,,
edward-czesak,Edward Czesak,Edward Czesak,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo małopolskie 15,15-5,,Q327692,,,Edward Czesak,Edward Czesak,male,1951-02-22,Edward,,,/m/0f6qmd,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrzej-Ćwierz,Andrzej Ćwierz,Andrzej Ćwierz,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo podkarpackie 22,22-5,,Q327425,,,Andrzej Ćwierz,Andrzej Ćwierz,male,1947-08-20,Andrzej,,,/m/0f6qq5,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrzej-dera,Andrzej Dera,Andrzej Dera,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo wielkopolskie 36,36-5,,Q328629,,,Andrzej Dera,Andrzej Mikołaj Dera,male,1961-09-10,Andrzej,https://upload.wikimedia.org/wikipedia/commons/8/82/Andrzej_Dera_Sejm_RP_05.JPG,315946260,/m/0f6qrl,,,,,,,,,,,,,,,,,,,,,,,,,,,
leszek-dobrzyński-(polityk),Leszek Dobrzyński,Leszek Dobrzyński (polityk),5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo zachodniopomorskie 41,41-5,,Q6532143,,,Leszek Dobrzyński (polityk),Leszek Dobrzyński,male,1967-06-05,Leszek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zbigniew-dolata,Zbigniew Dolata,Zbigniew Dolata,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo wielkopolskie 37,37-5,,Q168051,,,Zbigniew Dolata,Zbigniew Dolata,male,1965-12-01,Zbigniew,,,/m/0f6qtb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ludwik-dorn,Ludwik Dorn,Ludwik Dorn,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo mazowieckie 20,20-5,,Q55933,,,Ludwik Dorn,Ludwik Dorn,male,1954-06-05,Ludwik,https://upload.wikimedia.org/wikipedia/commons/8/81/Ludwik_Dorn_Sejm_2014.JPG,107457535,/m/08mfvd,no2010030381,,0000 0001 1002 4450,,,14003840X,169792323,,,,,,,,,,,,,n97012943,,,,,,,
tomasz-dudziński,Tomasz Dudziński,Tomasz Dudziński,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo lubelskie 7,7-5,,Q382657,,,Tomasz Dudziński,Tomasz Dudziński,male,1973-02-01,Tomasz,,,/m/0f6qx3,,,,,,,,,,,,,,,,,,,,,,,,,,,
jacek-falfus,Jacek Falfus,Jacek Falfus,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo śląskie 27,27-5,,Q381553,,,Jacek Falfus,Jacek Falfus,male,1951-02-01,Jacek,,,/m/0f6q_y,,,,,,,,,,,,,,,,,,,,,,,,,,,
karolina-gajewska,Karolina Gajewska,Karolina Gajewska,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo warmińsko-mazurskie 34,34-5,,Q273567,,,Karolina Gajewska,Karolina Gajewska,female,1972-07-31,Karolina,,,/m/0f6r64,,,,,,,,,,,,,,,,,,,,,,,,,,,
zbigniew-girzyński,Zbigniew Girzyński,Zbigniew Girzyński,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo kujawsko-pomorskie 5,5-5,,Q168064,,,Zbigniew Girzyński,Zbigniew Girzyński,male,1973-03-17,Zbigniew,https://upload.wikimedia.org/wikipedia/commons/1/19/Zbigniew_Girzyński_(9851887685).jpg,3642744,/m/0f6r98,nr2004031825,,0000 0001 1436 863X,14629115n,,132754738,,,,,,,,,,,,,,,,,,,,,
szymon-giżyński,Szymon Giżyński,Szymon Giżyński,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo śląskie 28,28-5,,Q328620,,,Szymon Giżyński,Szymon Giżyński,male,1956-03-08,Szymon,,,/m/0fbprz,,,,,,,,,,,,,,,,,,,,,,,,,,,
mieczysław-golba,Mieczysław Golba,Mieczysław Golba,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo podkarpackie 22,22-5,,Q327505,,,Mieczysław Golba,Mieczysław Golba,male,1966-04-24,Mieczysław,,,/m/0f6rbr,,,,,,,,,,,,,,,,,,,,,,,,,,,
marian-goliński,Marian Goliński,Marian Goliński,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo zachodniopomorskie 40,40-5,,Q382442,,,Marian Goliński,Marian Goliński,male,1949-07-16,Marian,,,/m/0f6rct,,,,,,,,,,,,,2009-06-11,,,,,,,,,,,,,,
kazimierz-gołojuch,Kazimierz Gołojuch,Kazimierz Gołojuch,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo podkarpackie 23,23-5,,Q327641,,,Kazimierz Gołojuch,Kazimierz Gołojuch,male,1964-02-05,Kazimierz,,,/m/0f6rfj,,,,,,,,,,,,,,,,,,,,,,,,,,,
małgorzata-gosiewska,Małgorzata Gosiewska,Małgorzata Gosiewska,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo mazowieckie 19,19-5,,Q6799365,,,Małgorzata Gosiewska,Małgorzata Gosiewska,female,1966-07-22,Małgorzata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jerzy-gosiewski,Jerzy Gosiewski,Jerzy Gosiewski,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo warmińsko-mazurskie 35,35-5,,Q327439,,,Jerzy Gosiewski,Jerzy Gosiewski,male,1952-11-20,Jerzy,,,/m/0f6rgy,,,,,,,,,,,,,,,,,,,,,,,,,,,
przemysław-gosiewski,Przemysław Gosiewski,Przemysław Gosiewski,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo świętokrzyskie 33,33-5,,Q55941,,,Przemysław Gosiewski,Przemysław Gosiewski,male,1964-05-12,Przemysław,https://upload.wikimedia.org/wikipedia/commons/1/1b/JKRUK_20090429_PRZEMYSŁAW_GOSIEWSKI_IMG_6399.jpg,250562496,/m/0fbpsn,,,0000 0003 7109 3518,,,,,,,,,,2010-04-10,,,,,,,n2011207586,,,,,,,
artur-górski-(polityk),Artur Górski,Artur Górski (polityk),5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo mazowieckie 19,19-5,,Q382726,,,Artur Górski,Artur Górski,male,1970-01-30,Artur,https://upload.wikimedia.org/wikipedia/commons/4/47/Artur_Górski_(9849471883).jpg,21485710,/m/0f6rhn,n2001040007,,0000 0000 7906 2490,,,,,,,,,,,,,,,,,n95002070,,,,,,,
tomasz-górski,Tomasz Górski,Tomasz Górski,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo wielkopolskie 39,39-5,,Q327635,,,Tomasz Górski,Tomasz Górski,male,1973-08-15,Tomasz,,,/m/0f6rh_,,,,,,,,,,,,,,,,,,,,,,,,,,,
kazimierz-gwiazdowski,Kazimierz Gwiazdowski,Kazimierz Gwiazdowski,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo podlaskie 24,24-5,,Q1737514,,,Kazimierz Gwiazdowski,Kazimierz Gwiazdowski,male,1962-06-10,Kazimierz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
czesław-hoc,Czesław Hoc,Czesław Hoc,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo zachodniopomorskie 40,40-5,,Q382842,,,Czesław Hoc,Czesław Hoc,male,1954-02-22,Czesław,,,/m/0f6sj7,,,,,,,,,,,,,,,,,,,,,,,,,,,
adam-hofman,Adam Hofman,Adam Hofman,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo wielkopolskie 37,37-5,,Q349774,,,Adam Hofman,Adam Hofman,male,1980-05-23,Adam,https://upload.wikimedia.org/wikipedia/commons/6/63/Adam_Hofman_Sejm_05.JPG,307175073,/m/0f6sjl,,,,,,,,,,,,,,,,,,,,,,,,,,,
michał-jach,Michał Jach,Michał Jach,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo zachodniopomorskie 41,41-5,,Q327449,,,Michał Jach,Michał Jach,male,1951-09-23,Michał,,,/m/0f6smp,,,,,,,,,,,,,,,,,,,,,,,,,,,
dawid-jackiewicz,Dawid Jackiewicz,Dawid Jackiewicz,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo dolnośląskie 3,3-5,,Q382848,,,Dawid Jackiewicz,Dawid Jackiewicz,male,1973-03-18,Dawid,https://upload.wikimedia.org/wikipedia/commons/f/fc/Dawid_Jackiewicz_Sejm_05.jpg,310522368,/m/0f6sn1,,124882,,,,,,,,,,,,,,,,,,,,,,,,,
jarosław-jagiełło,Jarosław Jagiełło,Jarosław Jagiełło,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo łódzkie 9,9-5,,Q382653,,,Jarosław Jagiełło,Jarosław Jagiełło,male,1971-05-15,Jarosław,,,/m/0f6sp2,,,,,,,,,,,,,,,,,,,,,,,,,,,
grzegorz-janik,Grzegorz Janik,Grzegorz Janik,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo śląskie 30,30-5,,Q382840,,,Grzegorz Janik,Grzegorz Janik,male,1965-06-27,Grzegorz,,,/m/0f6sq4,,,,,,,,,,,,,,,,,,,,,,,,,,,
wojciech-jasiński,Wojciech Jasiński,Wojciech Jasiński,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo mazowieckie 16,16-5,,Q382884,,,Wojciech Jasiński,Wojciech Jasiński,male,1948-04-01,Wojciech,,,/m/0f6st9,,,,,,,,,,,,,,,,,,,,,,,,,,,
jędrzej-jędrych,Jędrzej Jędrych,Jędrzej Jędrych,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo śląskie 29,29-5,,Q327455,,,Jędrzej Jędrych,Jędrzej Jędrych,male,1967-08-11,Jędrzej,,,/m/0f6sxs,,,,,,,,,,,,,,,,,,,,,,,,,,,
krzysztof-jurgiel,Krzysztof Jurgiel,Krzysztof Jurgiel,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo podlaskie 24,24-5,,Q432086,,,Krzysztof Jurgiel,Krzysztof Jurgiel,male,1953-11-18,Krzysztof,,162035847,/m/0f6sz5,,,,,,,,,,,,,,,,,,,,,,,,,,,
jarosław-kaczyński,Jarosław Kaczyński,Jarosław Kaczyński,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo mazowieckie 19,19-5,,Q55917,,,Jarosław Kaczyński,Jarosław Kaczyński,male,1949-06-18,Jarosław,https://upload.wikimedia.org/wikipedia/commons/5/5a/Kaczynski_Jaroslaw_1_070.JPG,84241422,/m/02zbhl,n93121796,,0000 0000 7861 3350,16728814f,,119108798,155239953,,nm1007331,,,,,,,,,,js20051031030,n93081135,,,,,,,
lucjan-karasiewicz,Lucjan Karasiewicz,Lucjan Karasiewicz,5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo śląskie 28,28-5,,Q327699,,,Lucjan Karasiewicz,Lucjan Karasiewicz,male,1979-07-10,Lucjan,,,/m/0f6t2n,,,,,,,,,,,,,,,,,,,,,,,,,,,
karol-karski-(polityk),Karol Karski,Karol Karski (polityk),5,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_V_kadencji,Województwo mazowieckie 19,19-5,,Q932720,,,Karol Karski,Karol Karski,male,1966-05-13,Karol,,,/m/0f6t53,,124887,,,,,,,,,,,,,,,,,,,,,,,,,
