id,name__en,name__da,name__nl,name__de,name__fr,name,wikipedia__da,wikipedia__en,gender,birth_date,given_name,original_wikiname,name__sv,name__ru,name__uk,name__it,name__pl,name__ka,name__ja,name__fi,name__nb,name__ko,name__ar,name__tr,name__es,name__hu,name__zh,name__fo,name__kl,name__el,name__nn,name__he,wikipedia__ar,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__fi,wikipedia__fo,wikipedia__fr,wikipedia__he,wikipedia__hu,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__nl,wikipedia__no,wikipedia__pl,wikipedia__ru,wikipedia__simple,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__zh,image,identifier__freebase,facebook,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__id,name__sh,name__pt,name__ca,name__cs,name__bg,name__sk,wikipedia__bg,wikipedia__ca,wikipedia__cs,wikipedia__id,wikipedia__kl,wikipedia__nn,wikipedia__pt,wikipedia__sh,wikipedia__sk,name__en_ca,name__en_gb,name__gl,wikipedia__commons,wikipedia__gl,name__se,name__oc,name__et,name__cy,wikipedia__cy,wikipedia__et,wikipedia__oc,wikipedia__se,identifier__MusicBrainz,identifier__VIAF,identifier__GND,wikipedia__dawikiquote,last_seen,twitter,name__is,family_name,website,identifier__ISNI,identifier__LCAuth,identifier__SUDOC,identifier__NTA,identifier__IMDB,wikipedia__fa,name__fa,identifier__google_knowledge,occupation,death_date,name__mr,name__qu,wikipedia__mr,wikipedia__qu,identifier__Munzinger,name__hy,name__sq,wikipedia__sq,identifier__ne_se,name__aa,name__af,name__ak,name__aln,name__an,name__ang,name__arn,name__ast,name__ay,name__az,name__bar,name__bcl,name__bi,name__bjn,name__bm,name__br,name__brh,name__bs,name__cbk_zam,name__cdo,name__ceb,name__ch,name__cho,name__chr,name__chy,name__co,name__cr,name__crh_latn,name__csb,name__de_at,name__de_ch,name__diq,name__dsb,name__dtp,name__ee,name__eml,name__eo,name__eu,name__ext,name__ff,name__fit,name__fj,name__frp,name__frr,name__fur,name__fy,name__ga,name__gag,name__gd,name__gn,name__got,name__gsw,name__ha,name__hak,name__haw,name__hif,name__hif_latn,name__ho,name__hr,name__hsb,name__ht,name__hz,name__ia,name__ie,name__ig,name__ik,name__ike_cans,name__ike_latn,name__ilo,name__io,name__iu,name__jam,name__jbo,name__jv,name__kaa,name__kab,name__kg,name__ki,name__kj,name__kk_latn,name__kk_kz,name__kk_tr,name__kr,name__krj,name__ksh,name__ku,name__la,name__lad,name__lb,name__lg,name__li,name__lij,name__lmo,name__ln,name__loz,name__lt,name__ltg,name__lus,name__lv,name__lzz,name__map_bms,name__mi,name__min,name__ms,name__mt,name__mus,name__mwl,name__na,name__nah,name__nap,name__nds,name__nds_nl,name__ng,name__nov,name__nrm,name__nso,name__nv,name__ny,name__om,name__pag,name__pam,name__pcd,name__pdc,name__pdt,name__pfl,name__pih,name__pms,name__pt_br,name__qug,name__rif,name__rm,name__rmy,name__rn,name__ro,name__roa_tara,name__rup,name__ruq,name__ruq_latn,name__rw,name__sat,name__sc,name__scn,name__sco,name__sdc,name__sei,name__sg,name__sgs,name__shi,name__shi_latn,name__sl,name__sli,name__sm,name__sma,name__sn,name__so,name__sr_el,name__srn,name__st,name__stq,name__sw,name__szl,name__tet,name__tg_latn,name__tk,name__tl,name__tn,name__to,name__tokipona,name__tpi,name__tru,name__ts,name__tt_latn,name__tum,name__ty,name__ug_latn,name__uz,name__ve,name__vec,name__vep,name__vi,name__vls,name__vmf,name__vo,name__vot,name__wa,name__war,name__wo,name__xh,name__yo,name__za,name__zea,name__zu,identifier__DNF,wikipedia__ast,identifier__BIBSYS,identifier__Britannica,identifier__GTAA,wikipedia__hi,name__hi,wikipedia__th,name__th
Q317400,Kuupik Kleist,Kuupik Kleist,Kuupik Kleist,Kuupik Kleist,Kuupik Kleist,Kuupik Kleist,Kuupik Kleist,Kuupik Kleist,male,1958-03-31,,Kuupik Kleist,Kuupik Kleist,"Клейст, Куупик",Куупік Клейст,,Kuupik Kleist,,クーピク・クライスト,Kuupik Kleist,Kuupik Kleist,,كوبيك كلايست,Kuupik Kleist,Kuupik Kleist,Kuupik Kleist,库皮克·克雷斯特,Kuupik Kleist,Kuupik Kleist,Κουουπίκ Κλάιστ,,קופיק קלייסט,كوبيك كلايست,Kuupik Kleist,Κουουπίκ Κλάιστ,Kuupik Kleist,Kuupik Kleist,Kuupik Kleist,Kuupik Kleist,קופיק קלייסט,Kuupik Kleist,,クーピク・クライスト,,Kuupik Kleist,Kuupik Kleist,Kuupik Kleist,"Клейст, Куупик",Kuupik Kleist,Kuupik Kleist,Kuupik Kleist,Куупік Клейст,库皮克·克雷斯特,https://upload.wikimedia.org/wikipedia/commons/8/84/Kuupik_Kleist.jpg,/m/064nrst,,库皮克·克雷斯特,庫皮克·克雷斯特,庫皮克·克雷斯特,库皮克·克雷斯特,库皮克·克雷斯特,庫皮克·克雷斯特,Kuupik Kleist,Kuupik Kleist,Kuupik Kleist,Kuupik Kleist,,,,,Kuupik Kleist,,Kuupik Kleist,Kuupik Kleist,,Kuupik Kleist,Kuupik Kleist,,,,,Category:Kuupik Kleist,,Kuupik Kleist,Kuupik Kleist,Kuupik Kleist,Kuupik Kleist,Kuupik Kleist,Kuupik Kleist,Kuupik Kleist,Kuupik Kleist,,,,,,,,,,,,,,,کوپیک کلایست,کوپیک کلایست,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuupik Kleist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biography/Kuupik-Kleist,,,,,
Q3371248,Ane Hansen,Ane Hansen,Ane Hansen,Ane Hansen,Ane Hansen,Ane Hansen,Ane Hansen,Ane Hansen (politician),female,1961,Ane,Ane Hansen,,,,,,,,,Ane Hansen,,,,,,,,,,,,,Ane Hansen (Politikerin),,,,,,,,,,,,Ane Hansen,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/6b/Ane_Hansen_MR-FJLS_2012.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hansen,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ane Hansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3429512,Palle Christiansen,Palle Christiansen,Palle Christiansen,Palle Christiansen,Palle Christiansen,Palle Christiansen,Palle Christiansen,Palle Christiansen,male,1973-06-25,Palle,Palle Christiansen,,,,,,,,,Palle Christiansen,,,,Palle Christiansen,Palle Christiansen,,,,,,,,Palle Christiansen,,,,,,,,,,,,Palle Christiansen,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/6/6f/Palle_Christiansen,_finansminister_Gronland_vid_nordisk_finansministermote_i_Kopenhamn_2010-03-22_(1).jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Palle Christiansen,,,,,,,,,,,307226699,,,,,,,,,,,,,پاله کریستینسن,پاله کریستینسن,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palle Christiansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3740035,Maliina Abelsen,Maliina Abelsen,Maliina Abelsen,Maliina Abelsen,Maliina Abelsen,Maliina Abelsen,Maliina Abelsen,Maliina Abelsen,female,1976-11-28,,Maliina Abelsen,,,,,,,,,Maliina Abelsen,,,,,,,,,,,,,,,,,,,,,,,,,Maliina Abelsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maliina Abelsen,,,Maliina Abelsen,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maliina Abelsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q381139,Jonathan Motzfeldt,Jonathan Motzfeldt,Jonathan Motzfeldt,Jonathan Motzfeldt,Jonathan Motzfeldt,Jonathan Motzfeldt,Jonathan Motzfeldt,Jonathan Motzfeldt,male,1938-09-25,Jonathan,Jonathan Motzfeldt,Jonathan Motzfeldt,"Мотсфельдт, Йонатан",Йонатан Мотсфельдт,Jonathan Motzfeldt,Jonathan Motzfeldt,,ヨナタン・モッツフェルト,Jonathan Motzfeldt,Jonathan Motzfeldt,,,,Jonathan Motzfeldt,Jonathan Motzfeldt,,Jonathan Motzfeldt,Jonathan Motzfeldt,,,יונתן מוצפלדט,,Jonathan Motzfeldt,,Jonathan Motzfeldt,Jonathan Motzfeldt,Jonathan Motzfeldt,Jonathan Motzfeldt,יונתן מוצפלדט,,Jonathan Motzfeldt,ヨナタン・モッツフェルト,,Jonathan Motzfeldt,Jonathan Motzfeldt,Jonathan Motzfeldt,"Мотсфельдт, Йонатан",Jonathan Motzfeldt,Jonathan Motzfeldt,,Йонатан Мотсфельдт,,https://upload.wikimedia.org/wikipedia/commons/3/3f/Jonathan_Motzfeldt_BogForum_Forum_Copenhagen.JPG,/m/01bk5g,,,喬納森·莫茲菲特,,乔纳森·莫兹菲特,,,,Jonathan Motzfeldt,Jonathan Motzfeldt,Jonathan Motzfeldt,,,,,Jonathan Motzfeldt,,,Jonathan Motzfeldt,,Jonathan Motzfeldt,Jonathan Motzfeldt,,,,,Category:Jonathan Motzfeldt,,,,,Jonathan Motzfeldt,,,,,,90028697,138495726,,,,,Motzfeldt,,0000 0000 6240 5127,nb2012019772,,,,جاناتان متزفلدت,جاناتان متزفلدت,,politician,2010-10-28,जोनाथन मोत्झफेल्ट,Jonathan Motzfeldt,जोनाथन मोत्झफेल्ट,Jonathan Motzfeldt,00000016615,,,,jonathan-motzfeldt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jonathan Motzfeldt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4559599,Josef Motzfeldt,Josef Motzfeldt,Josef Motzfeldt,Josef Motzfeldt,Josef Motzfeldt,Josef Motzfeldt,Josef Motzfeldt,Josef Motzfeldt,male,1941-11-24,Josef,Josef Motzfeldt,Josef Motzfeldt,Йозеф Моцфельдт,,Josef Motzfeldt,Josef Motzfeldt,,ジョセフ・モズフェルド,,Josef Motzfeldt,요제프 모즈펠트,,Josef Motzfeldt,Josef Motzfeldt,Josef Motzfeldt,约瑟夫·莫兹费尔特,,Josef Motzfeldt,,Josef Motzfeldt,יוסף מוצפלדט,,Josef Motzfeldt,,,,,,יוסף מוצפלדט,,,,,,,Josef Motzfeldt,,,Josef Motzfeldt,,,,https://upload.wikimedia.org/wikipedia/commons/3/3e/Josef_Motzfeldt_(IA)_Grönland_2009-01-16.jpg,/m/07n22s,,,喬瑟夫·莫茨菲爾特,,,,,,,Josef Motzfeldt,,,,,,,,,,,,,,,,,Category:Josef Motzfeldt,,,,,,,,,,,307260863,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josef Motzfeldt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4569194,Mikael Gam,Mikael Gam,Mikael Gam,Mikael Gam,Mikael Gam,Mikael Gam,Mikael Gam,,male,1901-02-14,Mikael,Mikael Gam,Mikael Gam,,,,,,,Mikael Gam,Mikael Gam,,,,Mikael Gam,Mikael Gam,,,,,,,,,,,,,Mikael Gam,,,,,,,Mikael Gam,,,,Mikael Gam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gam,,,,,,,,,,politician,1982-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mikael Gam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4570569,Aqqaluk Lynge,Aqqaluk Lynge,Aqqaluk Lynge,Aqqaluk Lynge,Aqqaluk Lynge,Aqqaluk Lynge,Aqqaluk Lynge,Aqqaluk Lynge,male,1947-10-12,,Aqqaluk Lynge,Aqqaluk Lynge,,,,,,,,Aqqaluk Lynge,,,,,,,,,,,,,Aqqaluk Lynge,,,,,,,,,,,,Aqqaluk Lynge,,,,Aqqaluk Lynge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31263979,,,,,,,,0000 0000 3546 8843,n96070360,094453799,161568378,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aqqaluk Lynge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169503,,90744921,,128079,,,,
Q468034,Lars-Emil Johansen,Lars-Emil Johansen,Lars Emil Johansen,Lars-Emil Johansen,Lars Emil Johansen,Lars-Emil Johansen,Lars-Emil Johansen,Lars-Emil Johansen,male,1946-09-24,Lars,Lars Emil Johansen,Lars Emil Johansen,Ларс-Эмиль Йохансен,Ларс Еміль Йохансен,Lars Emil Johansen,Lars Emil Johansen,,ラルス・エミール・ヨハンセン,Lars Emil Johansen,Lars Emil Johansen,,,,Lars Emil Johansen,Lars Emil Johansen,,Lars-Emil Johansen,Lars-Emil Johansen,,,לארס אמיל יוהנסן,,Lars-Emil Johansen,,,Lars Emil Johansen,Lars-Emil Johansen,Lars Emil Johansen,לארס אמיל יוהנסן,,Lars Emil Johansen,ラルス・エミール・ヨハンセン,,Lars Emil Johansen,Lars Emil Johansen,Lars Emil Johansen,"Йохансен, Ларс-Эмиль",Lars Emil Johansen,Lars Emil Johansen,,Ларс Еміль Йохансен,,,/m/01bls9,,,埃米爾·約翰森,,埃米尔·约翰森,,,,Lars Emil Johansen,Lars Emil Johansen,Lars-Emil Johansen,,,,,Lars-Emil Johansen,,,Lars-Emil Johansen,,Lars Emil Johansen,Lars Emil Johansen,,,,,,,,,,,,,,,,,,Lars Emil Johansen,,,,Johansen,,,,,,,لارس امیل جوهانسن,لارس امیل یوهانسن,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lars-Emil Johansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4691516,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,female,1951,Agathe,Agathe Fontain,Agathe Fontain,,,Agathe Fontain,Agathe Fontain,,,Agathe Fontain,Agathe Fontain,,,Agathe Fontain,Agathe Fontain,Agathe Fontain,,Agathe Fontain,Agathe Fontain,,Agathe Fontain,,,Agathe Fontain,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/58/Agathe_Fontain_in_Nordisk_ministerrads_moete_21._juni_2010_i_Danmark.jpg,,,,,,,,,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,,Agathe Fontain,,,,,,,,,,Agathe Fontain,Agathe Fontain,Agathe Fontain,Category:Agathe Fontain,,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,,,,,,,,,,,Agathe Fontain,,,,,,,,,,,politician,,,Agathe Fontain,,,,,Agathe Fontain,,,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,Agathe Fontain,,,,,,,,,
Q4974123,Henriette Rasmussen,Henriette Rasmussen,Henriette Rasmussen,Henriette Rasmussen,Henriette Rasmussen,Henriette Rasmussen,Henriette Rasmussen,,female,1950-06-08,Henriette,Henriette Rasmussen,Henriette Rasmussen,,,Henriette Rasmussen,,,,,,,,,Henriette Rasmussen,,,,,,,,,Henriette Rasmussen,,,,,,,,,,,,,,,,Henriette Rasmussen,,,,https://upload.wikimedia.org/wikipedia/commons/8/88/Henriette_Rasmussen_2009.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Henriette Rasmussen,,,,,,,,,,,172721959,1149937092,,,,,Rasmussen,,,,,,,,,,teacher,2017-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4993403,Finn Karlsen,Finn Karlsen,,Finn Karlsen,Finn Karlsen,Finn Karlsen,Finn Karlsen,Finn Karlsen,male,1952,Finn,Finn Karlsen,,,,,,,,,Finn Karlsen,,,,,,,,,,,פין קרלסן,,Finn Karlsen,,,,,,פין קרלסן,,,,,,Finn Karlsen,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d1/Vicelandsstyreformand_Finn_Karlsen_(A)_talar_vid_Nordiska_Radets_session_i_Helsingfors_2008-10-28.jpg,/m/0k3ngm5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finn Karlsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q533361,Juliane Henningsen,Juliane Henningsen,Juliane Henningsen,Juliane Henningsen,Juliane Henningsen,Juliane Henningsen,Juliane Henningsen,Juliane Henningsen,female,1984-07-29,Juliane,Juliane Henningsen,,,,,,,,,Juliane Henningsen,,جوليان هيننغسن,,,,,,,,,,جوليان هيننغسن,Juliane Henningsen,,,,,,,,,,,,Juliane Henningsen,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/41/Juliane_Henningsen_(IA)_suppleant_i_Nordiska_radets_danska_delegation.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Juliane Henningsen,,,,,,,,,,,,,,,,,,,,,,,,,,/g/1214m5h2,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juliane Henningsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5965473,Johan Lund Olsen,,Johan Lund Olsen,Johan Lund Olsen,,Johan Lund Olsen,,,male,1958-04-13,Johan,Johan Lund Olsen,Johan Lund Olsen,,,,,,,,,,,,,,,,,,,,,Johan Lund Olsen,,,,,,,,,,,,,,,,Johan Lund Olsen,,,,https://upload.wikimedia.org/wikipedia/commons/f/f1/Johan_Lund_Olsen_(IA)_talar_under_Nordiska_radets_session_i_Kopenhamn_2006.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Johan Lund Olsen,,,,,,,,,,,19149106012968490747,,,,,,Olsen,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johan Lund Olsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6002814,Jens Napãtôk,,Jens Napãtôk,,,Jens Napãtôk,,,male,1966,Jens,Jens Napãtôk,Jens Napãtôk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jens Napãtôk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6026334,Simon Olsen,,Simon Olsen,,,Simon Olsen,,,male,1938,Simon,Simon Olsen,Simon Olsen,,,Simon Olsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simon Olsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olsen,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6044767,Mikael Petersen,,Mikael Petersen,,,Mikael Petersen,,,male,1956,Mikael,Mikael Petersen,Mikael Petersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mikael Petersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Petersen,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
