id,name__nl,name__it,name__fr,name,wikipedia__nl,gender,birth_date,death_date,original_wikiname,name__en,name__de,wikipedia__de,wikipedia__en,image,identifier__VIAF,given_name,identifier__FAST,identifier__GTAA,name__af,name__an,name__ast,name__bar,name__br,name__ca,name__co,name__cs,name__cy,name__da,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__es,name__et,name__eu,name__fi,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__hu,name__ia,name__id,name__ie,name__io,name__is,name__kg,name__lb,name__li,name__lij,name__mg,name__min,name__ms,name__nap,name__nb,name__nds,name__nds_nl,name__nn,name__nrm,name__oc,name__pcd,name__pl,name__pms,name__pt,name__pt_br,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sl,name__sr_el,name__sv,name__sw,name__tr,name__vec,name__vi,name__vls,name__vo,name__wa,name__wo,name__zu,name__srn,wikipedia__srn,name__hi,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ko,name__ru,name__ja,name__el,name__ar,name__zh,wikipedia__ar,wikipedia__ca,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__fi,wikipedia__fr,wikipedia__hi,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__zh,identifier__GND,identifier__freebase,identifier__LCAuth,identifier__BNF,identifier__NTA,identifier__Britannica,identifier__DBNL,wikipedia__commons,wikipedia__id,name__fy,wikipedia__fy,identifier__ISNI,identifier__SUDOC,identifier__OLID,identifier__BPN,wikipedia__no,wikipedia__sv,family_name,wikipedia__af,wikipedia__da,wikipedia__eu,wikipedia__ro,wikipedia__tr,wikipedia__vi,name__he,name__yo,name__sr_ec,name__lt,name__sr,name__fa,wikipedia__et,wikipedia__fa,wikipedia__gl,wikipedia__he,wikipedia__lt,wikipedia__sr,wikipedia__yo,wikipedia__ast,occupation,identifier__bigenc_ru,name__bg,wikipedia__bg,name__la,wikipedia__la,wikipedia__nlwikinews,name__ace,identifier__BIBSYS,identifier__SELIBR,wikipedia__simple,identifier__BNE,identifier__CONOR,twitter,facebook,identifier__NLA
Q1977783,Erik Tjon Kie Sim,,Erik Tjon Kie Sim,Erik Tjon Kie Sim,Erik Tjon Kie Sim,male,1936-11-18,2009-04-12,Erik Tjon Kie Sim,Erik Tjon Kie Sim,,,,,,Erik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,張吉興,,张吉兴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q1988257,Cor Pigot,Cor Pigot,Cor Pigot,Cor Pigot,Cor Pigot,male,1947-12-12,,Cor Pigot,Cor Pigot,,,,,,Cor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q1992304,Harry Kisoensingh,,Harry Kisoensingh,Harry Kisoensingh,Harry Kisoensingh,male,1954-09-22,2008-04-27,Harry Kisoensingh,Harry Kisoensingh,Harry Kisoensingh,,Harry Kisoensingh,,,Harry,,,,,,,,,,,Harry Kisoensingh,Harry Kisoensingh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harry Kisoensingh,,,Harry Kisoensingh,,,,,,,,,,,,,,Harry Kisoensingh,,Harry Kisoensingh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q1992365,Atta Mungra,Atta Mungra,Atta Mungra,Atta Mungra,Atta Mungra,male,1939-02-19,2002-08-14,Atta Mungra,Atta Mungra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q1993321,Ewald Meyer,Ewald Meyer,Ewald Meyer,Ewald Meyer,Ewald Meyer,male,1930-02-18,1988-09,Ewald Meyer,Ewald Meyer,,,,,,Ewald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Эвальд Мейер,,,إيفال ماير,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meyer,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q1995807,Laurens Neede,Laurens Neede,Laurens Neede,Laurens Neede,Laurens Neede,male,1946,,Laurens Neede,Laurens Neede,,,,,,Laurens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q2000713,Samuel Pawironadi,,Samuel Pawironadi,Samuel Pawironadi,Samuel Pawironadi,male,1956,,Samuel Pawironadi,Samuel Pawironadi,Samuel Pawironadi,,,,,Samuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samuel Pawironadi,,,,,,,,,,,,,,,,,,,,,Samuel Pawironadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samuel Pawironadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q2010492,Robby Dragman,,Robby Dragman,Robby Dragman,Robby Dragman,male,1953-02-11,,Robby Dragman,Robby Koesman Dragman,,,,,,Robby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robby Koesman Dragman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robby Koesman Dragman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q2028391,Ferdinand Anton Langguth Oliviera,Ferdinand Anton Langguth Oliviera,Ferdinand Anton Langguth Oliviera,Ferdinand Anton Langguth Oliviera,Ferdinand Anton Langguth Oliviera,male,1900-11-13,1993,Ferdinand Anton Langguth Oliviera,Ferdinand Anton Langguth Oliviera,Ferdinand Anton Langguth Oliviera,,,,,Ferdinand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ferdinand Anton Langguth Oliviera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q2041628,Kermechend Raghoebarsing,,,Kermechend Raghoebarsing,Kermechend Raghoebarsing,male,1956-09-06,,Kermechend Raghoebarsing,Kermechend Raghoebarsing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q20670527,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,male,1980-06-10,,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,https://upload.wikimedia.org/wikipedia/commons/f/fd/Ashwin_Adhin_Minister_of_Education.jpg,,Ashwin,,1156229,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,Ashwin Adhin,,,,,,,,,,,Ашвин Адхин,,,,,,,,,Ashwin Adhin,,Ashwin Adhin,,,,,,,Ashwin Adhin,"Адхин, Асхвин",,,,,,,,,Category:Ashwin Adhin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Ашвин Адхин,Ашвин Адхин,,,Categorie:Ashwin Adhin,,,,,,,,,
Q2067233,Ernie Brunings,Ernie Brunings,Ernie Brunings,Ernie Brunings,Ernie Brunings,male,1944-11-20,2007-06-20,Ernie Brunings,Ernie Brunings,,,,,,Ernie,,,,,,,,,,,Ernie Brunings,,,,,,,,,,,,,,,,,,,,Ernie Brunings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ernie Brunings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,Ernie Brunings,,,,,,,,
Q2070297,Geetapersad Gangaram Panday,,,Geetapersad Gangaram Panday,Geetapersad Gangaram Panday,male,,,Geetapersad Gangaram Panday,Geetapersad Gangaram Panday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q2077028,Max Lobato,,,Max Lobato,Max Lobato,male,1901-04-22,1988-04-30,Max Lobato,Max Lobato,,,,,,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q2079013,Rick van Ravenswaay,,Rick van Ravenswaay,Rick van Ravenswaay,Rick van Ravenswaay,male,1957-12-13,,Rick van Ravenswaay,Rick van Ravenswaay,,,,,,Rick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q2095879,Paul van Philips,Paul van Philips,Paul van Philips,Paul van Philips,Paul van Philips,male,1923-11-15,1997-02-11,Paul van Philips,Paul van Philips,,,,,,Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul van Philips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q20968860,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,male,1889-03-02,1963-12,John Charles Zaal,John Charles Zaal,John Charles Zaal,,,,,John,,,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,John Charles Zaal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q2100261,Normann Kleine,,,Normann Kleine,Normann Kleine,male,,,Normann Kleine,Normann Kleine,,,,,,Normann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kleine,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q2100710,André Soeperman,,André Soeperman,André Soeperman,André Soeperman,male,1929-08-02,1977-12-31,André Soeperman,André Soeperman,,,,,,André,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,André Soeperman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,André Soeperman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,André Soeperman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q2118552,Alice Amafo,Alice Amafo,Alice Amafo,Alice Amafo,Alice Amafo,female,1977-02-04,,Alice Amafo,Alice Amafo,Alice Amafo,,Alice Amafo,,,Alice,,,,,,,,,,,,,,,,,,Alice Amafo,,,,,,,,,,,Alice Amafo,,Alice Amafo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alice Amafo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alice Amafo,,,,,,,,,,,,,/m/0rysqyz,,,,,,,Alice Amafo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q2124641,André Haakmat,,,André Haakmat,André Haakmat,male,1939-03-21,,André Haakmat,André Haakmat,,,,https://upload.wikimedia.org/wikipedia/commons/3/3d/André_Haakmat_en_Willem_Oltmans_(1985).jpg,27353108,André,210210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,André Haakmat,,,,,,,,,,,,André Haakmat,André Haakmat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n87881369,15065173s,072550430,,,Category:André Haakmat,,,,0000 0000 3075 2300,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,
Q2125987,Paul Somohardjo,,Paul Somohardjo,Paul Somohardjo,Paul Somohardjo,male,1943-05-02,,Paul Somohardjo,Paul Somohardjo,Paul Somohardjo,,Paul Somohardjo,https://upload.wikimedia.org/wikipedia/commons/b/b7/Paul_Somohardjo_(1975).jpg,,Paul,,,,,,,,,,,,Paul Somohardjo,,,,,,,,,,,,,,,,,,,Paul Slamet Somohardjo,,,,,,,,,,,,Paul Somohardjo,,,Paul Somohardjo,,,,,,,,,,,,,,Paul Somohardjo,,Paul Somohardjo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Paul Somohardjo,Paul Slamet Somohardjo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,Categorie:Paul Somohardjo,,,,,,,,,
Q2130476,Clifford Marica,Clifford Marica,,Clifford Marica,Clifford Marica,male,1964-02-04,,Clifford Marica,Clifford Marica,,,,,,Clifford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q2130697,Maurits Hassankhan,,Maurits Hassankhan,Maurits Hassankhan,Maurits Hassankhan,male,1947-12-10,,Maurits Hassankhan,Maurits Hassankhan,,,,,,Maurits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q2133758,Jim Hok,,Jim Hok,Jim Hok,Jim Hok,male,1955-06-02,,Jim Hok,Jim Hok,,,,,,Jim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q2157984,Enrico Abrahams,Enrico Abrahams,Enrico Abrahams,Enrico Abrahams,Enrico Abrahams,male,1943-04-21,2010-03-30,Enrico Abrahams,Enrico Abrahams,,,,,,Enrico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q2180002,Carl Breeveld,Carl Breeveld,Carl Breeveld,Carl Breeveld,Carl Breeveld,male,1955-09-20,,Carl Breeveld,Carl Breeveld,,,,https://upload.wikimedia.org/wikipedia/commons/f/fe/Carl_breeveld-1451739466.jpg,,Carl,,225370,,,,,,,,,,Carl Breeveld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carl Breeveld,,,Carl Breeveld,,,,,,,,,,,,,,Carl Breeveld,,Carl Breeveld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Carl Breeveld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q2192422,R.L. Jankie,,,R.L. Jankie,R.L. Jankie,male,1933-02-25,1988-01-15,R.L. Jankie,R.L. Jankie,,,,,,Rudolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R.L. Jankie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q22003256,Niermala Badrising,,,Niermala Badrising,Niermala Badrising,female,1962-07-04,,Niermala Badrising,Niermala Badrising,,,Niermala Badrising,https://upload.wikimedia.org/wikipedia/commons/3/3a/Niermala_Badrising_(cropped_version).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niermala Badrising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Niermala Badrising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q2212953,Ivan Fernald,,Ivan Fernald,Ivan Fernald,Ivan Fernald,male,1955-12-07,,Ivan Fernald,Ivan Fernald,Ivan Fernald,,Ivan Fernald,https://upload.wikimedia.org/wikipedia/commons/9/90/Ivan_Fernald_071006-N-7088A-085_0XP9I.jpg,,Ivan,,,,,,,,,,,,,,,,,,Ivan Fernald,,,,,,,,,,,Ivan Fernald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ivan Fernald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ivan Fernald,,,,,,,,,,,,,/m/04jlpbr,,,,,,Category:Ivan Fernald,,,,,,,,,,Fernald,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q2213747,Jan Sariman,,Jan Sariman,Jan Sariman,Jan Sariman,male,1938-12-10,2000-09-11,Jan Sariman,Jan Sariman,,,,https://upload.wikimedia.org/wikipedia/commons/5/5c/HendrikChinASen1983.jpg,206662557,Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan K. Sariman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan Sariman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,069533997,,,Category:Jan Sariman,Jan K. Sariman,,,0000 0003 8724 5723,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q2219083,Imro Fong Poen,Imro Fong Poen,Imro Fong Poen,Imro Fong Poen,Imro Fong Poen,male,1940,,Imro Fong Poen,Imro Fong Poen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Imro Fong Poen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q2250606,André Telting,,André Telting,André Telting,André Telting,male,1935-10-25,2010-08-06,André Telting,André Telting,,,,,,André,,160325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,André Telting,André Telting,,,安德烈·泰爾廷,,安德烈·泰尔廷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q2262701,Walther Hewitt,,,Walther Hewitt,Walther Hewitt,male,1897-01-08,1964,Walther Hewitt,Walther Hewitt,,,,,,Walther,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q2266876,Urmila Joella-Sewnundun,,Urmila Joella-Sewnundun,Urmila Joella-Sewnundun,Urmila Joella-Sewnundun,female,1968-07-08,,Urmila Joella-Sewnundun,Urmila Joella-Sewnundun,Urmila Joella-Sewnundun,Urmila Joella-Sewnundun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q2269474,Yvonne Raveles-Resida,,Yvonne Raveles-Resida,Yvonne Raveles-Resida,Yvonne Raveles-Resida,female,1941-05-29,,Yvonne Raveles-Resida,Yvonne Raveles-Resida,,,,,,Yvonne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q22998840,Mike Noersalim,,,Mike Noersalim,Mike Noersalim,male,1974-06-25,,Mike Noersalim,Mike Noersalim,,,,https://upload.wikimedia.org/wikipedia/commons/f/f9/Mike_Noersalim_(cropped).jpg,,Mike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mike Noersalim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Mike Noersalim,,,,,,,,,,Noersalim,,,,,,,,,,,,,,,,,,,,,politician,,,,,,Categorie:Mike Noersalim,,,,,,,,,
Q2303590,Allan Li Fo Sjoe,,Allan Li Fo Sjoe,Allan Li Fo Sjoe,Allan Li Fo Sjoe,male,1940-01-26,,Allan Li Fo Sjoe,Allan Li Fo Sjoe,,,,,,Allan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,李火秀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q2309965,Franklin Vreden,,Franklin Vreden,Franklin Vreden,Franklin Vreden,male,1940,,Franklin Vreden,Franklin Vreden,,,,,,Franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q2319317,Richel Apinsa,,,Richel Apinsa,Richel Apinsa,female,1962,,Richel Apinsa,Richel Apinsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richel Apinsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q2331849,Edwin Wolf,,,Edwin Wolf,Edwin Wolf,male,1959-04-01,,Edwin Wolf,Edwin Wolf,,,,,,Edwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edwin Wolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edwin Wolf,,,,,,,,,Wolf,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q2380953,Errol Snijders,,Errol Snijders,Errol Snijders,Errol Snijders,male,1948-12-01,,Errol Snijders,Errol Snijders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
