id,name__fr,name__en,name__es,name__de,name__ru,name__tr,name__pl,name__zh,name__ar,name__it,name__nl,name__id,name__da,name__hu,name__ja,name,wikipedia__ar,wikipedia__commons,wikipedia__da,wikipedia__de,wikipedia__en,wikipedia__es,wikipedia__fr,wikipedia__id,wikipedia__pl,wikipedia__ru,wikipedia__simple,wikipedia__tr,wikipedia__zh,image,gender,identifier__VIAF,identifier__GND,identifier__SUDOC,birth_date,given_name,original_wikiname,identifier__ISNI,identifier__LCAuth,name__vi,name__ca,name__sv,name__cs,wikipedia__ca,wikipedia__cs,wikipedia__nl,wikipedia__plwikiquote,wikipedia__sv,wikipedia__vi,identifier__freebase,name__yo,name__uk,wikipedia__uk,wikipedia__yo,death_date,wikipedia__it,name__fa,wikipedia__fa,identifier__BNF,identifier__MusicBrainz,name__br,wikipedia__br,identifier__FAST,identifier__SFDb,name__nb,name__nn,identifier__sycomore,name__kab,wikipedia__kab,name__pt,name__fi,wikipedia__fi,wikipedia__eo,name__oc,name__eo,identifier__elonet,identifier__kinopoisk,identifier__NLI,name__zh_hant,name__zh_cn,identifier__IMDB,identifier__AlloCine,identifier__allmovie,identifier__CSFD,wikipedia__no,occupation,wikipedia__pt,name__cy,name__he,wikipedia__he,identifier__NTA,identifier__EGAXA,identifier__NLP,name__nds,name__lt,name__li,name__lb,name__gsw,name__el,wikipedia__el,wikipedia__frwikiquote,identifier__NDL,identifier__BIBSYS,wikipedia__lad,name__lad,wikipedia__eu,name__eu,name__sl,wikipedia__ast,name__bar,identifier__GTAA,name__ast,identifier__CONOR,twitter,wikipedia__so,name__so,name__arq,family_name
Q401156,Ahmed Attaf,Ahmed Attaf,Ahmed Attaf,Ahmed Attaf,,,,,,Ahmed Attaf,Ahmed Attaf,,,Ahmed Attaf,,Ahmed Attaf,,,,Ahmed Attaf,Ahmed Attaf,,Ahmed Attaf,,,,,,,,male,,,,1953-07-10,Ahmed,Ahmed Attaf,,,,,,,,,,,,,/m/082vg3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,,,,,,,,,,,,,,,,,,,,,,Ahmed Attaf,,,,Ahmed Attaf,,,,,,
Q43681688,,Fatma Zohra Ksentini,Fatma Zohra Ksentini,,,,,,فاطمة زهرة قسنطيني,,Fatma Zohra Ksentini,,,,,Fatma Zohra Ksentini,فاطمة زهرة قسنطيني,,,,Fatma Zohra Ksentini,,,,,,,,,,female,,,,,,فاطمة زهرة قسنطيني,,,Fatma Zohra Ksentini,,,,,,,,,Fatma Zohra Ksentini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Special Rapporteur,,,,,,,,,,,,,,,,,,,,,,Fatma Zohra Ksentini,,,,Fatma Zohra Ksentini,,,,,,
Q4664899,Abderrachid Boukerzaza,Abderrachid Boukerzaza,Abderrachid Boukerzaza,Abderrachid Boukerzaza,,,,,,,Abderrachid Boukerzaza,,,,,Abderrachid Boukerzaza,,,,,Abderrachid Boukerzaza,,,,,,,,,,male,,,,1955-04-19,,Abderrachid Boukerzaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Abderrachid Boukerzaza,,,,Abderrachid Boukerzaza,,,,,,
Q48778064,Tahar Khaoua,Tahar Khaoua,Tahar Khaoua,,,,,,,,Tahar Khaoua,,,,,Tahar Khaoua,,,,,,,Tahar Khaoua,,,,,,,,male,,,,1966-01-23,,Tahar Khaoua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5285345,Djillali Mehri,Djilali Mehri,Djilali Mehri,Djilali Mehri,,,,,الجيلالي مهري,,Djilali Mehri,,,,,Djilali Mehri,الجيلالي مهري,,,,Djilali Mehri,,Djillali Mehri,,,,,,,,male,,,,1937-12-15,Djilali,Djilali Mehri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,businessperson,,,,,,,,,,,,,,,,,,,,,,Djilali Mehri,,,,,,,,,,
Q541706,Khalida Toumi,Khalida Toumi,Khalida Messaoudi,Khalida Messaoudi,"Туми, Халида",Halide Tumi,Khalida Toumi,,خليدة تومي,Khalida Toumi,Khalida Toumi,,,Khalida Messaoudi,,Khalida Toumi,خليدة تومي,Category:Khalida Toumi,,Khalida Messaoudi,Khalida Toumi,Khalida Messaoudi,Khalida Toumi,,Khalida Toumi,"Туми, Халида",,Halide Tumi,,"https://upload.wikimedia.org/wikipedia/commons/7/7f/Khalida_Toumi,_2009.jpg",female,167537936,119335433,,1958-03-13,,Khalida Messaoudi,0000 0001 1500 984X,,,,,,,,,,,,/m/055n1k,,Халіда Тумі,Халіда Тумі,,,,خلیده تومی,خلیده تومی,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Khalida Toumi,,,,,,,,,,
Q6815940,Azzedine Mihoubi,Azzedine Mihoubi,Azzedine Mihoubi,Azzedine Mihoubi,,,,,عز الدين ميهوبي,,Azzedine Mihoubi,,,,,Azzedine Mihoubi,عز الدين ميهوبي,,,Azzedine Mihoubi,Azzedine Mihoubi,,Azzedine Mihoubi,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/f/f8/Mihoubi,_Azzedine.jpg",male,47073805,140621288,,1959-01-01,,Azzedine Mihoubi,0000 0001 2131 383X,nr92021218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,Azzedine Mihoubi,,Azzedine Mihoubi,,Azzedine Mihoubi,,,,,,
Q6826855,Mhamed Yazid,Mhamed Yazid,Mhamed Yazid,Mhamed Yazid,,,,,,,Mhamed Yazid,,,,ムハメド・ヤジド,Mhamed Yazid,,,,,Mhamed Yazid,,,,,,,,,,male,,,,1923,,Mhamed Yazid,,,,,,,,,,,,,,,,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Mhamed Yazid,,,,Mhamed Yazid,,,,,,
Q769393,Nadia Boubeghla,Nadia Boubeghla,Nadia Boubeghla,Nadia Boubeghla,,,,,نادية بوبغلة,Nadia Boubeghla,Nadia Boubeghla,,,,,Nadia Boubeghla,نادية بوبغلة,,,,Nadia Boubeghla,,Nadia Boubeghla,,,,,,,,female,,,,"",Nadia,نادية بوبغلة,,,,,,,,,,,,,/m/03gv_fv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Nadia Boubeghla,,,,Nadia Boubeghla,,,,,,
Q894942,Boualem Bouguetaia,Boualem Bouguetaia,Boualem Bouguetaia,Boualem Bouguetaia,,,,,,,Boualem Bouguetaia,,,,,Boualem Bouguetaia,,,,Boualem Bouguetaia,,,,,,,,,,,male,32006384,,,1946-09-21,,Boualem Bouguetaia,0000 0000 6641 3298,n85371988,,,,,,,Boualem Bouguetaia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,布阿萊姆·布蓋岱亞,布阿莱姆·布盖岱亚,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Boualem Bouguetaia,,,,Boualem Bouguetaia,,,,,,
