first_name,last_name,name,party,birth_date,residence,title,nationality,region,email,website,image,source,id,term
Marián,Kéry,Marián Kéry,SMER – sociálna demokracia,1978-02-06,Červený Hrádok,Mgr.,slovenská,Nitriansky kraj,marian_kery@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=873&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=873&CisObdobia=7,873,7
Augustín,Hambálek,Augustín Hambálek,SMER – sociálna demokracia,1957-07-16,Trnava,Ing.,slovenská,Trnavský kraj,augustin_hambalek@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=874&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=874&CisObdobia=7,874,7
Michal,Bagačka,Michal Bagačka,SMER – sociálna demokracia,1963-05-15,Hnúšťa,Mgr.,slovenská,Banskobystrický kraj,michal_bagacka@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=875&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=875&CisObdobia=7,875,7
Róbert,Puci,Róbert Puci,SMER – sociálna demokracia,1973-06-13,Trebišov,Ing.,slovenská,Košický kraj,robert_puci@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=879&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=879&CisObdobia=7,879,7
Ladislav,Kamenický,Ladislav Kamenický,SMER – sociálna demokracia,1970-10-04,Bratislava,Ing.,slovenská,Bratislavský,ladislav_kamenicky@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=880&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=880&CisObdobia=7,880,7
Andrej,Hrnčiar,Andrej Hrnčiar,#SIEŤ,1973-07-10,Martin,Mgr. art.,slovenská,Žilinský kraj,andrej_hrnciar@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=881&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=881&CisObdobia=7,881,7
Ľuboš,Blaha,Ľuboš Blaha,SMER – sociálna demokracia,1979-12-07,Bratislava,"Mgr. PhDr., PhD.",slovenská,Bratislavský,lubos_blaha@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=885&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=885&CisObdobia=7,885,7
Jozef,Ježík,Jozef Ježík,SMER – sociálna demokracia,1967-06-21,Zvolen,MUDr.,slovenská,Banskobystrický kraj,jozef_jezik@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=891&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=891&CisObdobia=7,891,7
Peter,Náhlik,Peter Náhlik,SMER – sociálna demokracia,1981-08-18,Trnava,"PhDr., PhD.",slovenská,Trnavský kraj,peter_nahlik@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=899&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=899&CisObdobia=7,899,7
Veronika,Remišová,Veronika Remišová,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1976-05-31,Bratislava,"Mgr. art., M.A.ArtD.",slovenská,Bratislavský,veronika_remisova@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=905&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=905&CisObdobia=7,905,7
Alan,Suchánek,Alan Suchánek,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1953-11-22,Piešťany,MUDr.,slovenská,Trnavský,alan_suchanek@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=906&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=906&CisObdobia=7,906,7
Marek,Krajčí,Marek Krajčí,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1974-03-24,Bratislava,MUDr.,slovenská,Bratislavský,marek_krajci@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=907&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=907&CisObdobia=7,907,7
Oto,Žarnay,Oto Žarnay,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1969-03-18,Košice,Mgr.,slovenská,Košický,oto_zarnay@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=908&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=908&CisObdobia=7,908,7
Eduard,Heger,Eduard Heger,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1976-05-03,Bratislava,Ing.,slovenská,Bratislavský,eduard_heger@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=909&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=909&CisObdobia=7,909,7
Gábor,Grendel,Gábor Grendel,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1980-07-15,Bratislava,Mgr.,maďarská,Bratislavský,gabor_grendel@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=910&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=910&CisObdobia=7,910,7
Viera,Dubačová,Viera Dubačová,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1962-07-19,Banská Bystrica,Mgr. art.,slovenská,Banskobystrický,viera_dubacova@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=911&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=911&CisObdobia=7,911,7
Jozef,Lukáč,Jozef Lukáč,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1974-01-26,Záborské,Mgr.,slovenská,Prešovský,jozef_lukac@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=912&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=912&CisObdobia=7,912,7
Anna,Verešová,Anna Verešová,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1964-04-25,Kamenná Poruba,Mgr.,slovenská,Žilinský,anna_veresova@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=913&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=913&CisObdobia=7,913,7
Soňa,Gaborčáková,Soňa Gaborčáková,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1977-08-20,Stará Ľubovňa,PhDr.,slovenská,Prešovský,sona_gaborcakova@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=914&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=914&CisObdobia=7,914,7
Silvia,Shahzad,Silvia Shahzad,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1976-05-28,Bratislava,Mgr.,slovenská,Bratislavský,silvia_shahzad@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=915&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=915&CisObdobia=7,915,7
Miroslav,Sopko,Miroslav Sopko,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1975-01-25,Zalužice,Mgr.,slovenská,Košický,miroslav_sopko@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=916&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=916&CisObdobia=7,916,7
Boris,Kollár,Boris Kollár,SME RODINA - Boris Kollár,1965-08-14,Bratislava,Mgr.,slovenská,Bratislavský,boris_kollar@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=917&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=917&CisObdobia=7,917,7
Martina,Šimkovičová,Martina Šimkovičová,SME RODINA - Boris Kollár,1971-08-29,Bratislava,Mgr. PaedDr.,slovenská,Bratislavský,martina_simkovicova@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=918&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=918&CisObdobia=7,918,7
Martin,Beluský,Martin Beluský,Kotleba - Ľudová strana Naše Slovensko,1987-04-17,Piešťany,"Ing., PhD.",slovenská,Trnavský,martin_belusky@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=919&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=919&CisObdobia=7,919,7
Milan,Krajniak,Milan Krajniak,SME RODINA - Boris Kollár,1973-01-30,Bratislava,Bc.,slovenská,Bratislavský,milan_krajniak@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=920&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=920&CisObdobia=7,920,7
Peter,Marček,Peter Marček,SME RODINA - Boris Kollár,1953-12-23,Bratislava,"",slovenská,Bratislavský,peter_marcek@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=921&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=921&CisObdobia=7,921,7
Petra,Krištúfková,Petra Krištúfková,SME RODINA - Boris Kollár,1977-04-08,Bratislava,"",slovenská,Bratislavský,petra_kristufkova@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=922&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=922&CisObdobia=7,922,7
Peter,Pčolinský,Peter Pčolinský,SME RODINA - Boris Kollár,1982-04-06,Nižný Hrabovec,Mgr.,slovenská,Prešovský,peter_pcolinsky@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=923&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=923&CisObdobia=7,923,7
Zuzana,Šebová,Zuzana Šebová,SME RODINA - Boris Kollár,1969-03-22,Levice,Ing.,slovenská,Nitriansky,zuzana_sebova@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=924&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=924&CisObdobia=7,924,7
Rastislav,Holúbek,Rastislav Holúbek,SME RODINA - Boris Kollár,1977-07-23,Bratislava,"",slovenská,Bratislavský,rastislav_holubek@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=925&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=925&CisObdobia=7,925,7
Peter,Štarchoň,Peter Štarchoň,SME RODINA - Boris Kollár,1971-02-22,Demandice,"prof. Mgr., PhD.",slovenská,Nitriansky,peter_starchon@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=926&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=926&CisObdobia=7,926,7
Ľudovít,Goga,Ľudovít Goga,SME RODINA - Boris Kollár,1969-02-05,Bratislava,Ing.,slovenská,Bratislavský,ludovit_goga@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=927&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=927&CisObdobia=7,927,7
Adriana,Pčolinská,Adriana Pčolinská,SME RODINA - Boris Kollár,1978-08-07,Bratislava,"doc. PaedDr. , PhD.",slovenská,Bratislavský,adriana_pcolinska@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=928&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=928&CisObdobia=7,928,7
Andrej,Danko,Andrej Danko,Slovenská národná strana,1974-08-12,Miloslavov,JUDr.,slovenská,Bratislavský,andrej_danko@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=929&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=929&CisObdobia=7,929,7
Dušan,Tittel,Dušan Tittel,Slovenská národná strana,1966-12-27,Bratislava,Ing.,slovenská,Bratislavský,dusan_tittel@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=930&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=930&CisObdobia=7,930,7
Karol,Farkašovský,Karol Farkašovský,Slovenská národná strana,1955-08-17,Bratislava,"Mgr., PhD.",slovenská,Bratislavský,karol_farkasovský@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=931&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=931&CisObdobia=7,931,7
Jaroslav,Ridoško,Jaroslav Ridoško,Slovenská národná strana,1958-07-08,Trenčín,"MUDr., PhD. MBA",slovenská,Trenčiansky,jaroslav_ridosko@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=932&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=932&CisObdobia=7,932,7
Stanislav,Kmec,Stanislav Kmec,Slovenská národná strana,1965-10-30,Snežnica,"",slovenská,Žilinský,stanislav_kmec@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=933&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=933&CisObdobia=7,933,7
Magdaléna,Kuciaňová,Magdaléna Kuciaňová,Slovenská národná strana,1956-10-14,Moravany nad Váhom,JUDr.,slovenská,Trnavský,magdalena_kucianova@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=935&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=935&CisObdobia=7,935,7
Tibor,Bernaťák,Tibor Bernaťák,Slovenská národná strana,1974-05-11,Bratislava,JUDr.,slovenská,Bratislavský,tibor_bernatak@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=936&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=936&CisObdobia=7,936,7
Peter,Pamula,Peter Pamula,Slovenská národná strana,1971-02-18,Dobšiná,Bc.,slovenská,Košický,peter_pamula@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=937&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=937&CisObdobia=7,937,7
Radovan,Baláž,Radovan Baláž,Slovenská národná strana,1982-05-01,Banská Bystrica,Ing.,slovenská,Banskobystrický,radovan_balaz@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=938&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=938&CisObdobia=7,938,7
Erik,Tomáš,Erik Tomáš,SMER – sociálna demokracia,1975-06-15,Bratislava,Mgr.,slovenská,Bratislavský,erik_tomas@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=940&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=940&CisObdobia=7,940,7
Marian,Kotleba,Marian Kotleba,Kotleba - Ľudová strana Naše Slovensko,1977-04-07,Banská Bystrica,Ing. Mgr.,slovenská,Banskobystrický,marian_kotleba@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=944&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=944&CisObdobia=7,944,7
Rastislav,Schlosár,Rastislav Schlosár,Kotleba - Ľudová strana Naše Slovensko,1984-05-28,Bacúrov,Mgr.,slovenská,Banskobystrický,rastislav_schlosar@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=945&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=945&CisObdobia=7,945,7
Juraj,Kolesár,Juraj Kolesár,Kotleba - Ľudová strana Naše Slovensko,1978-07-29,Košice,"",slovenská,Košický,juraj_kolesar@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=946&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=946&CisObdobia=7,946,7
Milan,Uhrík,Milan Uhrík,Kotleba - Ľudová strana Naše Slovensko,1984-12-21,Komjatice,"Ing., PhD.",slovenská,Nitriansky,milan_uhrik@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=947&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=947&CisObdobia=7,947,7
Natália,Grausová,Natália Grausová,Kotleba - Ľudová strana Naše Slovensko,1953-12-04,Bratislava,MUDr.,slovenská,Bratislavský,natalia_grausova@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=948&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=948&CisObdobia=7,948,7
Martin,Kotleba,Martin Kotleba,Kotleba - Ľudová strana Naše Slovensko,1978-03-12,Banská Bystrica,Ing.,slovenská,Banskobystrický,martin_kotleba@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=949&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=949&CisObdobia=7,949,7
Stanislav,Drobný,Stanislav Drobný,Kotleba - Ľudová strana Naše Slovensko,1970-06-10,Piešťany,Bc.,slovenská,Trnavský,stanislav_drobny@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=951&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=951&CisObdobia=7,951,7
Ján,Kecskés,Ján Kecskés,Kotleba - Ľudová strana Naše Slovensko,1989-09-18,Nitra,Bc.,slovenská,Nitriansky,jan_kecskes@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=953&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=953&CisObdobia=7,953,7
Stanislav,Mizík,Stanislav Mizík,Kotleba - Ľudová strana Naše Slovensko,1963-11-11,Rovné,Mgr.,slovenská,Banskobystrický,stanislav_mizik@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=954&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=954&CisObdobia=7,954,7
Peter,Krupa,Peter Krupa,Kotleba - Ľudová strana Naše Slovensko,1980-10-02,Nová Dubnica,"",slovenská,Trenčiansky,peter_krupa@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=955&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=955&CisObdobia=7,955,7
Jana,Nehézová,Jana Nehézová,Kotleba - Ľudová strana Naše Slovensko,1975-02-25,Staré Hory,Ing.,slovenská,Banskobystrický,jana_nehezova@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=956&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=956&CisObdobia=7,956,7
Eduard,Adamčík,Eduard Adamčík,#SIEŤ,1963-01-07,Košice,Ing.,slovenská,Košický,eduard_adamcik@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=957&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=957&CisObdobia=7,957,7
Katarína,Macháčková,Katarína Macháčková,#SIEŤ,1970-07-27,Prievidza,JUDr.,slovenská,Trenčiansky,katarina_machackova@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=958&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=958&CisObdobia=7,958,7
Alena,Bašistová,Alena Bašistová,#SIEŤ,1976-10-30,Košice,"doc. PhDr., PhD.",slovenská,Košický,alena_basistova@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=959&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=959&CisObdobia=7,959,7
Katarína,Cséfalvayová,Katarína Cséfalvayová,#SIEŤ,1985-04-19,Dunajská Streda,"Ing., PhD.",maďarská,Trnavský,katarina_csefalvayova@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=960&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=960&CisObdobia=7,960,7
Igor,Janckulík,Igor Janckulík,#SIEŤ,1968-08-07,Krušetnica,"",slovenská,Žilinský,igor_janckulik@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=961&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=961&CisObdobia=7,961,7
Simona,Petrík,Simona Petrík,#SIEŤ,1982-11-10,Bratislava,Mgr.,slovenská,Bratislavský,simona_petrik@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=962&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=962&CisObdobia=7,962,7
Martin,Klus,Martin Klus,Sloboda a Solidarita,1980-06-08,Banská Bystrica,"doc. PhDr., PhD. MBA",slovenská,Banskobystrický,martin_klus@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=963&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=963&CisObdobia=7,963,7
Renáta,Kaščáková,Renáta Kaščáková,Sloboda a Solidarita,1965-10-28,Trenčín,Mgr.,slovenská,Trenčiansky,renata_kascakova@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=964&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=964&CisObdobia=7,964,7
Jozef,Rajtár,Jozef Rajtár,Sloboda a Solidarita,1977-01-12,Bratislava,Dip Mgmt,slovenská,Bratislavský,jozef_rajtar@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=965&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=965&CisObdobia=7,965,7
Karol,Galek,Karol Galek,Sloboda a Solidarita,1979-07-14,Bratislava,"RNDr., MSc.",slovenská,Bratislavský,karol_galek@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=966&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=966&CisObdobia=7,966,7
Alojz,Baránik,Alojz Baránik,Sloboda a Solidarita,1954-06-13,Bratislava,JUDr.,slovenská,Bratislavský,alojz_baranik@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=967&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=967&CisObdobia=7,967,7
Miroslav,Ivan,Miroslav Ivan,Sloboda a Solidarita,1966-08-13,Banská Bystrica,Ing.,slovenská,Banskobystrický,miroslav_ivan@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=968&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=968&CisObdobia=7,968,7
Anna,Zemanová,Anna Zemanová,Sloboda a Solidarita,1959-09-12,Bratislava,RNDr.,slovenská,Bratislavský,anna_zemanova@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=969&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=969&CisObdobia=7,969,7
Vladimír,Sloboda,Vladimír Sloboda,Sloboda a Solidarita,1979-07-08,Bratislava,Ing.,slovenská,Bratislavský,vladimir_sloboda@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=970&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=970&CisObdobia=7,970,7
Branislav,Gröhling,Branislav Gröhling,Sloboda a Solidarita,1974-04-06,Bratislava,Mgr.,slovenská,Bratislavský,branislav_grohling@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=971&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=971&CisObdobia=7,971,7
Eva,Smolíková,Eva Smolíková,Slovenská národná strana,1963-12-24,Dolný Ohaj,Mgr.,slovenská,Nitriansky,eva_smolikova@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=972&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=972&CisObdobia=7,972,7
Emil,Ďurovčík,Emil Ďurovčík,SMER – sociálna demokracia,1957-08-03,Sliepkovce,Ing.,slovenská,Košický,emil_durovcik@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=973&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=973&CisObdobia=7,973,7
