id,name__sk,name__cs,name,wikipedia__cs,wikipedia__sk,gender,occupation,identifier__VIAF,birth_date,given_name,original_wikiname,name__pl,wikipedia__pl,image,name__id,name__de,name__en,name__fi,name__nl,name__ru,name__uk,name__fr,wikipedia__de,wikipedia__en,wikipedia__fi,wikipedia__id,wikipedia__ru,wikipedia__uk,identifier__freebase,name__rue,name__et,wikipedia__et,wikipedia__fr,wikipedia__rue,wikipedia__skwikiquote,identifier__EuroparlMEP,name__hu,wikipedia__hu,name__es,identifier__GND,identifier__LCAuth,identifier__FAST,name__pa,name__nb,name__da,name__nn,name__sv,wikipedia__commons,wikipedia__pa,identifier__SUDOC,identifier__IMDB,identifier__NKC,identifier__PACE,name__it,wikipedia__it,death_date,name__ca,name__gl,wikipedia__cswikiquote,name__af,name__an,name__ast,name__bar,name__br,name__bs,name__co,name__cy,name__eo,name__eu,name__fur,name__ga,name__gd,name__gsw,name__hr,name__is,name__lb,name__li,name__lij,name__lmo,name__lt,name__nap,name__nds,name__nds_nl,name__pcd,name__pms,name__pt,name__rm,name__ro,name__sc,name__scn,name__sco,name__sl,name__sq,name__tr,name__vec,name__vls,name__wa,name__ja,wikipedia__ca,wikipedia__eo,identifier__ISNI,identifier__BNF,identifier__MusicBrainz,identifier__BMLO,name__be_tarask,name__de_ch,name__en_ca,name__en_gb,wikipedia__be_x_old,wikipedia__itwikiquote,website,identifier__AlloCine,identifier__allmovie,identifier__SFDb,identifier__elonet,identifier__PORT,identifier__kinopoisk,identifier__CSFD,identifier__filmportal_de,family_name,name__zh,wikipedia__zh,identifier__quora,identifier__Munzinger,name__be,name__ko,name__he,name__ta,name__yo,name__oc,name__ms,name__el,name__ar,name__sr,name__mr,name__io,name__pt_br,name__vi,name__bg,name__ie,name__fa,name__mk,name__ka,name__la,name__sh,name__zh_hant,name__hsb,wikipedia__ar,wikipedia__ast,wikipedia__be,wikipedia__bg,wikipedia__da,wikipedia__el,wikipedia__es,wikipedia__fa,wikipedia__he,wikipedia__hr,wikipedia__hsb,wikipedia__huwikiquote,wikipedia__ie,wikipedia__io,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__lmo,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__plwikiquote,wikipedia__pt,wikipedia__ruwikinews,wikipedia__sh,wikipedia__sr,wikipedia__sv,wikipedia__ta,wikipedia__tr,wikipedia__ukwikiquote,wikipedia__vi,wikipedia__yo,identifier__parlement,wikipedia__ro,name__dsb,name__lv,name__zh_cn,wikipedia__gl,wikipedia__lv,wikipedia__sl,wikipedia__ga,wikipedia__lt,name__ceb,name__eml,name__fo,name__frr,name__fy,name__jam,name__min,name__mt,name__tl,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,name__mg,wikipedia__mg,name__ty,name__qu,wikipedia__eu,wikipedia__qu,identifier__N6I,name__az,wikipedia__az,name__tt,identifier__bigenc_ru,twitter,name__bm,name__de_at,name__frc,name__frp,name__ia,name__kab,name__kg,name__nrm,name__pap,name__prg,name__rgn,name__sw,name__vmf,name__vo,name__wo,name__zu,name__sr_el,name__sr_ec,name__mn,wikipedia__mn,wikipedia__sq,name__szl,name__ba,name__hy,name__uz,wikipedia__ba,wikipedia__bs,wikipedia__gd,wikipedia__hy,wikipedia__sw,wikipedia__szl,wikipedia__uz,identifier__OLID,identifier__NTA,identifier__NSK,identifier__NLP,identifier__NNDB,wikipedia__sco,wikipedia__mk,identifier__NUKAT,identifier__BAV,identifier__NSZL,identifier__Britannica,identifier__BIBSYS,facebook,name__ace,name__jv,name__su,identifier__GTAA,identifier__ne_se,identifier__snac,wikipedia__simple,wikipedia__cy,identifier__google_plus,wikipedia__eml,name__lfn,identifier__FIFA,wikipedia__af,identifier__CONOR
Q12768624,Ján Rusnák,,Ján Rusnák,,Ján Rusnák (politik),male,politician,,1956-01-17,Ján,Ján Rusnák (politik),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12768696,János Szigeti,,János Szigeti,,János Szigeti,male,politician,,,János,János Szigeti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12768709,József Kvarda,,József Kvarda,,József Kvarda,male,politician,,,József,József Kvarda,,,https://upload.wikimedia.org/wikipedia/commons/b/b9/József_Kvarda_(2013).jpg,,,József Kvarda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:József Kvarda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12768838,Kamila Jandzíková,,Kamila Jandzíková,,Kamila Jandzíková,female,politician,,,,Kamila Jandzíková,,,,,,Kamila Jandzíková,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12768939,Karol Fajnor,,Karol Fajnor,,Karol Fajnor,male,politician,,1954-08-19,Karol,Karol Fajnor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12770096,Ladislav Ambróš,,Ladislav Ambróš,,Ladislav Ambróš,male,politician,,1956-06-13,Ladislav,Ladislav Ambróš,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12770149,Lajos Ladányi,,Lajos Ladányi,,Lajos Ladányi,male,politician,,,Lajos,Lajos Ladányi,,,,,,Lajos Ladányi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12770236,Lea Grečková,,Lea Grečková,,Lea Grečková,female,,,,,Lea Grečková,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12770346,Libuša Martinčeková,,Libuša Martinčeková,,Libuša Martinčeková,female,politician,,,,Libuša Martinčeková,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12770572,Lucia Nicholsonová,Lucia Nicholsonová,Lucia Nicholsonová,Lucia Nicholsonová,Lucia Ďuriš Nicholsonová,female,journalist,,1976-11-28,Lucia,Lucia Nicholsonová,Lucia Nicholsonová,Lucia Nicholsonová,https://upload.wikimedia.org/wikipedia/commons/2/27/Lucia_Nicholsonová.jpg,,,Lucia Ďuriš Nicholsonová,,Lucia Nicholsonová,,,,,Lucia Ďuriš Nicholsonová,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucia Nicholsonová,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12770727,Magda Košútová,,Magda Košútová,,Magda Košútová,female,politician,,,Magda,Magda Košútová,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12771096,Maroš Kondrót,,Maroš Kondrót,,Maroš Kondrót,male,politician,,1960-11-06,Maroš,Maroš Kondrót,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12771102,Marta Damborská,,Marta Damborská,,Marta Damborská,female,politician,,,Marta,Marta Damborská,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12771108,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,female,writer,84965997,1949-06-28,Marta,Marta Podhradská,Marta Podhradská,,,,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,,,Marta Podhradská,,,,,,,,,Marta Podhradská,,,,,,Marta Podhradská,,Marta Podhradská,,,,,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,,,,,ola2002152847,,Marta Podhradská,,,Marta Podhradská,Marta Podhradská,,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,Marta Podhradská,,,,0000 0000 5864 5953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marta Podhradská,,,
Q12771148,Martin Kuruc,,Martin Kuruc,,Martin Kuruc,male,,,1974-06-06,Martin,Martin Kuruc,,,"https://upload.wikimedia.org/wikipedia/commons/a/aa/Martin_Kuruc,_2014.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12771541,Michal Lukša,,Michal Lukša,,Michal Lukša,male,politician,,,Michal,Michal Lukša,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12771566,Michal Vajda,,Michal Vajda,,Michal Vajda,male,politician,,,Michal,Michal Vajda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12771890,Mojmír Mamojka,Mojmír Mamojka,Mojmír Mamojka,Mojmír Mamojka,Mojmír Mamojka,male,professor,12978034,1950-07-29,,Mojmír Mamojka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jx20050610042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 5529 9311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317632485,,,,,,,,,,,,,,,,,,,,,,,,,
Q12773495,Pavel Kandráč,,Pavel Kandráč,,Pavel Kandráč,male,,,1941-09-30,Pavel,Pavel Kandráč,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12773531,Pavol Džurina,Pavol Džurina,Pavol Džurina,,Pavol Džurina,male,politician,,1960-03-11,Pavol,Pavol Džurina,,,,,,Pavol Džurina,,,,,Pavol Džurina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12773558,Pavol Minárik,,Pavol Minárik,,Pavol Minárik,male,politician,,1957-06-25,Pavol,Pavol Minárik,,,,,,,,,,,,,,,,,,,,,,,,Pavol Minárik,,,,,,,,,,,,,,,,,,,,,2018-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12773704,Peter Biroš,,Peter Biroš,,Peter Biroš,male,,,,Peter,Peter Biroš,,,,,,,,,,,Peter Biroš,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12773709,Peter Bódy,,Peter Bódy,,Peter Bódy,male,,,1955-06-27,Peter,Peter Bódy,,,,,,,,,,,Peter Bódy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12773740,Peter Miššík,,Peter Miššík,,Peter Miššík,male,politician,,,Peter,Peter Miššík,,,,,,Peter Miššík,,,,,Peter Miššík,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12773799,Petra Masácová,,Petra Masácová,,Petra Masácová,female,politician,,1973-12-04,Petra,Petra Masácová,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12774921,Pál Keszegh,,Pál Keszegh,,Pál Keszegh,male,politician,,1948-08-29,Pál,Pál Keszegh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12774922,Pál Farkas,,Pál Farkas,,Pál Farkas,male,politician,,,Pál,Pál Farkas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12775234,Renáta Zmajkovičová,,Renáta Zmajkovičová,,Renáta Zmajkovičová,female,politician,,1962-05-09,Renáta,Renáta Zmajkovičová,,,,,,Renáta Zmajkovičová,,Renáta Zmajkovičová,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12775297,Richard Vašečka,,Richard Vašečka,,Richard Vašečka,male,writer,,1973-11-03,Richard,Richard Vašečka,,,https://upload.wikimedia.org/wikipedia/commons/e/e7/Richardvasecka.JPG,,,Richard Vašečka,,Richard Vašečka,,,Richard Vašečka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12775415,Roman Vavrík,,Roman Vavrík,,Roman Vavrík,male,politician,,,Roman,Roman Vavrík,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12775672,Róbert Madej,,Róbert Madej,,Róbert Madej,male,politician,,1981-01-03,Róbert,Róbert Madej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12775830,Samuel Zubo,,Samuel Zubo,,Samuel Zubo,male,politician,,,Samuel,Samuel Zubo,,,,,,Samuel Zubo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samuel Zubo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12776638,Stanislav Bartoš,,Stanislav Bartoš,,Stanislav Bartoš,male,politician,,,Stanislav,Stanislav Bartoš,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12776642,Stanislav Kahanec,,Stanislav Kahanec,,Stanislav Kahanec,male,politician,,,Stanislav,Stanislav Kahanec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
