honorific_suffix,honorific_prefix,end_date,name,start_date,role,id,term,side,wikipedia_name,wikipedia,group,family_name,given_name,sort_name,death_date,name__en,wikipedia__en,gender,birth_date,identifier__freebase,image,identifier__viaf,identifier__lcauth,identifier__bnf,identifier__gnc,identifier__isni,identifier__gnd,identifier__nla,identifier__nta,identifier__oxforddnb
"",,"",C G Beltran,"",Minister for Education and Training,67,11,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",E J Reyes,"","Minister for Culture, Heritage, Sport and Leisure",75,11,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",J J Bossano,"",Leader of the Opposition,22,11,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",,"",F R Picardo,"",,69,11,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",Dr,"",J J Garcia,"",,62,11,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",,"",G H Licudi,"",,76,11,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",,"",C A Bruzon,"",,70,11,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",,"",N F Costa,"",,77,11,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",,"",S E Linares,"",,66,11,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",,"",F R Picardo,"",Chief Minister,69,12,Government,Fabian Picardo,https://en.wikipedia.org/wiki/Fabian_Picardo,Gibraltar Socialist Labour Party,Picardo,Fabian Raymond,"Picardo, Fabian Raymond",,Fabian Picardo,Fabian Picardo,male,1972-02-17,/m/0gky7yt,https://upload.wikimedia.org/wikipedia/commons/2/2b/Fabian_Picardo_on_National_Day_2011.jpg,,,,,,,,,
"",Dr,"",J J Garcia,"",Deputy Chief Minister,62,12,Government,Joseph Garcia (Gibraltarian politician),https://en.wikipedia.org/wiki/Joseph_Garcia_(Gibraltarian_politician),Gibraltar Liberal Party,Garcia,Joseph John,"Garcia, Joseph John",,Joseph Garcia,Joseph Garcia (Gibraltarian politician),male,1967-01-01,,,87450345,,,,,,,,
MBE,Dr,"",J E Cortes,"",Minister for Health and Environment,78,12,Government,John Cortes,https://en.wikipedia.org/wiki/John_Cortes,Gibraltar Socialist Labour Party,Cortes,John Emmanuel,"Cortes, John Emmanuel",,John Cortes,John Cortes,male,,/m/0n45q32,https://upload.wikimedia.org/wikipedia/commons/f/fe/Dr_john_cortes.jpg,74064453,n92102697,142677378,,,,,,
"",,"",C A Bruzon,"",Minister for Housing and the Elderly,70,12,Government,Charles Bruzon,https://en.wikipedia.org/wiki/Charles_Bruzon,Gibraltar Socialist Labour Party,Bruzon,Charles Arthur,"Bruzon, Charles Arthur",2013-04-16,Charles Bruzon,Charles Bruzon,male,1938-06-10,/m/0n5v8zq,,,,,,,,,,
"",Miss,"",S J Sacramento,"",Minister for Equality and Social Services,79,12,Government,Samantha Sacramento,https://en.wikipedia.org/wiki/Samantha_Sacramento,Gibraltar Socialist Labour Party,Sacramento,Samantha Jane,"Sacramento, Samantha Jane",,Samantha Sacramento,Samantha Sacramento,female,,,,,,,,,,,,
QC,,"",G H Licudi,"","Minister for Education, Financial Services, Gaming, Telecommunications and Justice",76,12,Government,Gilbert Licudi,https://en.wikipedia.org/wiki/Gilbert_Licudi,Gibraltar Socialist Labour Party,Licudi,Gilbert Horace,"Licudi, Gilbert Horace",,Gilbert Licudi,Gilbert Licudi,male,,,,,,,,,,,,
"",,"",J J Bossano,"","Minister for Enterprise, Training and Employment",22,12,Government,Joe Bossano,https://en.wikipedia.org/wiki/Joe_Bossano,Gibraltar Socialist Labour Party,Bossano,Joseph John,"Bossano, Joseph John",,Joe Bossano,Joe Bossano,male,1939-06-10,/m/02szlq,https://upload.wikimedia.org/wikipedia/commons/2/2b/Joe_Bossano_on_National_Day_2011.jpg,,,,,,,,,
"",,"",N F Costa,"","Minister for Tourism, Public Transport and the Port",77,12,Government,Neil Costa,https://en.wikipedia.org/wiki/Neil_Costa,Gibraltar Liberal Party,Costa,Neil Francis,"Costa, Neil Francis",,Neil Costa,Neil Costa,male,,/m/0n505wn,,,,,,,,,,
"",,"",P J Balban,"","Minister for Traffic, Health & Safety and Technical Services",80,12,Government,Paul Balban,https://en.wikipedia.org/wiki/Paul_Balban,Gibraltar Socialist Labour Party,Balban,Paul John,"Balban, Paul John",,Paul Balban,Paul Balban,male,,/m/0n5vl0w,,,,,,,,,,
"",,"",S E Linares,"","Minister for Sports, Culture, Heritage and Youth",66,12,Government,Steven Linares,https://en.wikipedia.org/wiki/Steven_Linares,Gibraltar Liberal Party,Linares,Steven Ernest,"Linares, Steven Ernest",,Steven Linares,Steven Linares,male,,,https://upload.wikimedia.org/wikipedia/commons/c/c2/Steven_Linares.jpg,,,,,,,,,
QC,,"",P R Caruana,"",Leader of the Opposition,49,12,Opposition,Peter Caruana,https://en.wikipedia.org/wiki/Peter_Caruana,Gibraltar Social Democrats,Caruana,Peter Richard,"Caruana, Peter Richard",,Peter Caruana,Peter Caruana,male,1956-10-15,/m/0218pw,https://upload.wikimedia.org/wikipedia/commons/f/f5/Peter_Caruana_elected.jpg,,,,0242619,,,,,
"",,"",D A Feetham,"",,73,12,Opposition,Daniel Feetham,https://en.wikipedia.org/wiki/Daniel_Feetham,Gibraltar Social Democrats,Feetham,Daniel Anthony,"Feetham, Daniel Anthony",,Daniel Feetham,Daniel Feetham,male,1967-05-26,,,,,,,,,,,
MBE,Mrs,"",I M Ellul-Hammond,"",,81,12,Opposition,Isobel Ellul-Hammond,https://en.wikipedia.org/wiki/Isobel_Ellul-Hammond,Gibraltar Social Democrats,Ellul-Hammond,Isobel Marie,"Ellul-Hammond, Isobel Marie",,Isobel Ellul-Hammond,Isobel Ellul-Hammond,female,,,,,,,,,,,,
"",,"",D J Bossino,"",,82,12,Opposition,Damon Bossino,https://en.wikipedia.org/wiki/Damon_Bossino,Gibraltar Social Democrats,Bossino,Damon James,"Bossino, Damon James",,Damon Bossino,Damon Bossino,male,,,,,,,,,,,,
"",,"",E J Reyes,"",,75,12,Opposition,Edwin Reyes,https://en.wikipedia.org/wiki/Edwin_Reyes,Gibraltar Social Democrats,Reyes,Edwin Joseph,"Reyes, Edwin Joseph",,Edwin Reyes,Edwin Reyes,male,,,,,,,,,,,,
"",,"",J J Netto,"",,57,12,Opposition,,,Gibraltar Social Democrats,Netto,James Joseph,"Netto, James Joseph",,,,,,,,,,,,,,,,
"",,"",S M Figueras,"",,83,12,Opposition,,,Gibraltar Social Democrats,Figueras,Selwyn Matthew,"Figueras, Selwyn Matthew",,,,,,,,,,,,,,,,
