name,image,party,email,term
Agathe Fontain,http://en.inatsisartut.gl/media/234537/2010.09.17%20Start%20EM%202010%2000896.jpg,Inuit_Ataqatigiit,agathe@inatsisartut.gl,2005-11-15
Agnethe Davidsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",2005-11-15
Aleqa Hammond,http://en.inatsisartut.gl/media/760992/Aleqa_Hammond.jpg,Siumut,alha@inatsisartut.gl,2005-11-15
Ane Hansen,http://en.inatsisartut.gl/media/234538/2010.09.17%20Start%20EM%202010%2000903.jpg,Inuit_Ataqatigiit,aneh@inatsisartut.gl,2005-11-15
Anthon Frederiksen,http://en.inatsisartut.gl/media/234539/2010.09.17%20Start%20EM%202010%2000946.jpg,Kattusseqatigiit,antuut@inatsisartut.gl,2005-11-15
Asii Chemnitz Narup,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Inuit_Ataqatigiit,"",2005-11-15
Astrid Fleischer Rex,http://en.inatsisartut.gl/media/234413/2010.09.17%20Start%20EM%202010%2000912.jpg,Demokraatit,asfl@inatsisartut.gl,2005-11-15
"Augusta Salling, Atassut",http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,aus@gh.gl,2005-11-15
"Ellen Christoffersen, Atassut",http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,ekri@gh.gl,2005-11-15
"Esmar Bergstrøm, Inuit Ataqatigiit",http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Demokraatit,esbe@gh.gl,2005-11-15
Finn Karlsen,http://en.inatsisartut.gl/media/234423/2010.09.17%20Start%20EM%202010%2000928.jpg,Atassut,fika@nanoq.gl,2005-11-15
Godmand Rasmussen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",2005-11-15
Jørgen W. Johansen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",2005-11-15
Jens B. Frederiksen,http://en.inatsisartut.gl/media/234540/2010.09.17%20Start%20EM%202010%2000943.jpg,Demokraatit,jensbf@inatsisartut.gl,2005-11-15
"Johan Lund Olsen, Inuit Ataqatigiit",http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Inuit_Ataqatigiit,johan@gh.gl,2005-11-15
Jonathan Motzfeldt,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,jomo@gh.gl,2005-11-15
Josef Motzfeldt,http://en.inatsisartut.gl/media/234511/2010.09.17%20Start%20EM%202010%2000881.jpg,Inuit_Ataqatigiit,tuusi@inatsisartut.gl,2005-11-15
Juliane Henningsen,http://en.inatsisartut.gl/media/234488/2010.09.17%20Start%20EM%202010%2000898.jpg,Inuit_Ataqatigiit,jhen@inatsisartut.gl,2005-11-15
Kim Kielsen,http://en.inatsisartut.gl/media/234524/2010.09.17%20Start%20EM%202010%2000953.jpg,Siumut,kim@nanoq.gl,2005-11-15
Kuupik Vandersee Kleist,http://en.inatsisartut.gl/media/234472/2010.09.17%20Start%20EM%202010%2000948.jpg,Inuit_Ataqatigiit,kuupik@inatsisartut.gl,2005-11-15
Lars-Emil Johansen,http://en.inatsisartut.gl/media/753863/Lars-Emil%20Johansen%20-%2007533.jpg,Siumut,larsemil@inatsisartut.gl,2005-11-15
Lene Knüppel,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Demokraatit,"",2005-11-15
"Marie Fleischer, Inuit Ataqatigiit",http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Demokraatit,mafl@gh.gl,2005-11-15
Olga P. Berthelsen,http://en.inatsisartut.gl/media/302742/untitled.jpg,Inuit_Ataqatigiit,olpe@inatsisartut.gl,2005-11-15
Palle Christiansen,http://en.inatsisartut.gl/media/234434/2010.09.17%20Start%20EM%202010%2000913.jpg,Demokraatit,palle@inatsisartut.gl,2005-11-15
Per Berthelsen,http://en.inatsisartut.gl/media/234529/2010.09.17%20Start%20EM%202010%2000930.jpg,Demokraatit,pebe@inatsisartut.gl,2005-11-15
Ruth Heilmann,http://en.inatsisartut.gl/media/234528/2010.09.17%20Start%20EM%202010%2000940.jpg,Siumut,ruth@inatsisartut.gl,2005-11-15
Siverth Karl Heilmann,http://en.inatsisartut.gl/media/234533/2010.09.17%20Start%20EM%202010%2000891.jpg,Atassut,skhe@inatsisartut.gl,2005-11-15
"Thomas Kristensen, Atassut",http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,thok@gh.gl,2005-11-15
"Vittus Mikaelsen, Siumut",http://en.inatsisartut.gl/media/2316209/INAT-dukke-lys.jpg,Siumut,"",2005-11-15
Josef Motzfeldt,http://en.inatsisartut.gl/media/234511/2010.09.17%20Start%20EM%202010%2000881.jpg,Inuit Ataqatigiit,tuusi@inatsisartut.gl,2009-06-02
Kuupik Vandersee Kleist,http://en.inatsisartut.gl/media/234472/2010.09.17%20Start%20EM%202010%2000948.jpg,Inuit Ataqatigiit,kuupik@inatsisartut.gl,2009-06-02
Akitsinnguaq Olsen,http://en.inatsisartut.gl/media/234911/2010.09.17%20Start%20EM%202010%2000924.jpg,Siumut,akiol@inatsisartut.gl,2009-06-02
Aleqa Hammond,http://en.inatsisartut.gl/media/760992/Aleqa_Hammond.jpg,Siumut,alha@inatsisartut.gl,2009-06-02
Anders Olsen,http://en.inatsisartut.gl/media/293529/untitled-4.jpg,Siumut,anols@inatsisartut.gl,2009-06-02
Andreas Uldum,http://en.inatsisartut.gl/media/234534/2010.09.17%20Start%20EM%202010%2000892.jpg,Demokraatit,uldum@nanoq.gl,2009-06-02
Anthon Frederiksen,http://en.inatsisartut.gl/media/234539/2010.09.17%20Start%20EM%202010%2000946.jpg,Kattusseqatigiit Partiiat,antuut@inatsisartut.gl,2009-06-02
Aqqaluaq B. Egede,http://en.inatsisartut.gl/media/234438/2010.09.17%20Start%20EM%202010%2000886.jpg,Inuit Ataqatigiit,aqqe@inatsisartut.gl,2009-06-02
Astrid Fleischer Rex,http://en.inatsisartut.gl/media/234413/2010.09.17%20Start%20EM%202010%2000912.jpg,Inuit Ataqatigiit,asfl@inatsisartut.gl,2009-06-02
Debora Kleist,http://en.inatsisartut.gl/media/234518/2010.09.17%20Start%20EM%202010%2000895.jpg,Inuit Ataqatigiit,dekl@inatsisartut.gl,2009-06-02
Doris Jakobsen,http://en.inatsisartut.gl/media/293877/untitled-5.jpg,Siumut,doja@nanoq.gl,2009-06-02
Finn Karlsen,http://en.inatsisartut.gl/media/234423/2010.09.17%20Start%20EM%202010%2000928.jpg,Siumut,fika@nanoq.gl,2009-06-02
Hans Enoksen,http://en.inatsisartut.gl/media/298458/untitled-6.jpg,Siumut,hans@inatsisartut.gl,2009-06-02
Hans Aronsen,http://en.inatsisartut.gl/media/234453/2010.09.17%20Start%20EM%202010%2000900.jpg,Inuit Ataqatigiit,haar@inatsisartut.gl,2009-06-02
Harald Bianco,http://en.inatsisartut.gl/media/234500/2010.09.17%20Start%20EM%202010%2000904.jpg,Inuit Ataqatigiit,habi@inatsisartut.gl,2009-06-02
Isak Hammond,http://en.inatsisartut.gl/media/236890/2010.09.17%20Start%20EM%202010%2000920.jpg,Inuit Ataqatigiit,isakh@inatsisartut.gl,2009-06-02
Jørgen-Ole Nyboe Nielsen,http://en.inatsisartut.gl/media/532984/Joergen-Ole%20N%20Nielsen%20-%2001214.jpg,Demokraatit,jonn@inatsisartut.gl,2009-06-02
Juliane Henningsen,http://en.inatsisartut.gl/media/234488/2010.09.17%20Start%20EM%202010%2000898.jpg,Inuit Ataqatigiit,jhen@inatsisartut.gl,2009-06-02
Justus Hansen,http://en.inatsisartut.gl/media/234516/2010.09.17%20Start%20EM%202010%2000888.jpg,Demokraatit,justus@inatsisartut.gl,2009-06-02
Kaali Olsen,http://en.inatsisartut.gl/media/234463/2010.09.17%20Start%20EM%202010%2000950.jpg,Inuit Ataqatigiit,kaali@inatsisartut.gl,2009-06-02
Karl Lyberth,http://en.inatsisartut.gl/media/762432/Karl_Lyberth.jpg,Siumut,karll@inatsisartut.gl,2009-06-02
Kim Kielsen,http://en.inatsisartut.gl/media/234524/2010.09.17%20Start%20EM%202010%2000953.jpg,Siumut,kim@nanoq.gl,2009-06-02
Knud Kristiansen,http://en.inatsisartut.gl/media/234532/2010.09.17%20Start%20EM%202010%2000916.jpg,Atassut,knkr@nanoq.gl ,2009-06-02
Kristian Jeremiassen,http://en.inatsisartut.gl/media/234527/2010.09.17%20Start%20EM%202010%2000926.jpg,Siumut,krje@inatsisartut.gl,2009-06-02
Malik Berthelsen,http://en.inatsisartut.gl/media/234526/2010.09.17%20Start%20EM%202010%2000932.jpg,Siumut,malikb@inatsisartut.gl,2009-06-02
Naaja H. Nathanielsen,http://en.inatsisartut.gl/media/234421/2010.09.17%20Start%20EM%202010%2000941.jpg,Inuit Ataqatigiit,nana@inatsisartut.gl,2009-06-02
Olga P. Berthelsen,http://en.inatsisartut.gl/media/302742/untitled.jpg,Inuit Ataqatigiit,olpe@inatsisartut.gl,2009-06-02
Per Berthelsen,http://en.inatsisartut.gl/media/234529/2010.09.17%20Start%20EM%202010%2000930.jpg,Siumut,pebe@inatsisartut.gl,2009-06-02
Ruth Heilmann,http://en.inatsisartut.gl/media/234528/2010.09.17%20Start%20EM%202010%2000940.jpg,Siumut,ruth@inatsisartut.gl,2009-06-02
Siverth Karl Heilmann,http://en.inatsisartut.gl/media/234533/2010.09.17%20Start%20EM%202010%2000891.jpg,Atassut,skhe@inatsisartut.gl,2009-06-02
Storm Ludvigsen,http://en.inatsisartut.gl/media/302824/untitled-3.jpg,Inuit Ataqatigiit,stlu@inatsisartut.gl,2009-06-02
Lars-Emil Johansen,http://en.inatsisartut.gl/media/753863/Lars-Emil%20Johansen%20-%2007533.jpg,Siumut,larsemil@inatsisartut.gl,2013-03-12
Aleqa Hammond,http://en.inatsisartut.gl/media/760992/Aleqa_Hammond.jpg,Siumut,alha@inatsisartut.gl,2013-03-12
Agathe Fontain,http://en.inatsisartut.gl/media/234537/2010.09.17%20Start%20EM%202010%2000896.jpg,Inuit Ataqatigiit,agathe@inatsisartut.gl,2013-03-12
Anders Olsen,http://en.inatsisartut.gl/media/293529/untitled-4.jpg,Siumut,anols@inatsisartut.gl,2013-03-12
Andreas Uldum,http://en.inatsisartut.gl/media/234534/2010.09.17%20Start%20EM%202010%2000892.jpg,Demokraatiit,uldum@nanoq.gl,2013-03-12
Ane Hansen,http://en.inatsisartut.gl/media/234538/2010.09.17%20Start%20EM%202010%2000903.jpg,Inuit Ataqatigiit,aneh@inatsisartut.gl,2013-03-12
Aqqaluaq B. Egede,http://en.inatsisartut.gl/media/234438/2010.09.17%20Start%20EM%202010%2000886.jpg,Inuit Ataqatigiit,aqqe@inatsisartut.gl,2013-03-12
Astrid Fleischer Rex,http://en.inatsisartut.gl/media/234413/2010.09.17%20Start%20EM%202010%2000912.jpg,Inuit Ataqatigiit,asfl@inatsisartut.gl,2013-03-12
Doris Jakobsen,http://en.inatsisartut.gl/media/293877/untitled-5.jpg,Siumut,doja@nanoq.gl,2013-03-12
Evelyn Frederiksen,http://en.inatsisartut.gl/media/753489/Evelyn%20Frederiksen%20-%2007654.jpg,Siumut,evelyn@inatsisartut.gl,2013-03-12
Hans Enoksen,http://en.inatsisartut.gl/media/298458/untitled-6.jpg,Partii Naleraq,hans@inatsisartut.gl,2013-03-12
Hans Aronsen,http://en.inatsisartut.gl/media/234453/2010.09.17%20Start%20EM%202010%2000900.jpg,Inuit Ataqatigiit,haar@inatsisartut.gl,2013-03-12
Harald Bianco,http://en.inatsisartut.gl/media/234500/2010.09.17%20Start%20EM%202010%2000904.jpg,Inuit Ataqatigiit,habi@inatsisartut.gl,2013-03-12
Jens Immanuelsen,http://en.inatsisartut.gl/media/402739/Jens%20Immanuelsen%20-%2003714.jpg,Siumut,jeim@inatsisartut.gl,2013-03-12
Juliane Henningsen,http://en.inatsisartut.gl/media/234488/2010.09.17%20Start%20EM%202010%2000898.jpg,Inuit Ataqatigiit,jhen@inatsisartut.gl,2013-03-12
Kalistat Lund,http://en.inatsisartut.gl/media/719177/Kalistat%20Lund%20-%2007662.jpg,Inuit Ataqatigiit,kalistat@inatsisartut.gl,2013-03-12
Karl Lyberth,http://en.inatsisartut.gl/media/762432/Karl_Lyberth.jpg,Siumut,karll@inatsisartut.gl,2013-03-12
Karl-Kristian Kruse,http://en.inatsisartut.gl/media/719211/Karl-Kristian%20Kruse%20-%2007672.jpg,Siumut,kkkr@nanoq.gl,2013-03-12
Kristian Jeremiassen,http://en.inatsisartut.gl/media/234527/2010.09.17%20Start%20EM%202010%2000926.jpg,Siumut,krje@inatsisartut.gl,2013-03-12
Lars Mathæussen,http://en.inatsisartut.gl/media/752555/Lars%20Mathaeussen%20-%2007657.jpg,Siumut,lars@inatsisartut.gl,2013-03-12
Michael Rosing,http://en.inatsisartut.gl/media/530703/Michael%20Rosing%20-%2001220.jpg,Demokraatiit,michael@inatsisartut.gl,2013-03-12
Mimi Karlsen,http://en.inatsisartut.gl/media/234447/2010.09.17%20Start%20EM%202010%2000909.jpg,Inuit Ataqatigiit,mimi@inatsisartut.gl,2013-03-12
Naaja H. Nathanielsen,http://en.inatsisartut.gl/media/234421/2010.09.17%20Start%20EM%202010%2000941.jpg,Inuit Ataqatigiit,nana@inatsisartut.gl,2013-03-12
Nikolaj Jeremiassen,http://en.inatsisartut.gl/media/719823/Nikolaj%20Jeremiassen%20-%2007666.jpg,Siumut,nije@inatsisartut.gl,2013-03-12
Per Berthelsen,http://en.inatsisartut.gl/media/234529/2010.09.17%20Start%20EM%202010%2000930.jpg,Siumut,pebe@inatsisartut.gl,2013-03-12
Randi Broberg,http://en.inatsisartut.gl/media/720187/Randi%20Broberg%20-%2007671.jpg,Partii Inuit,randi@inatsisartut.gl,2013-03-12
Ruth Heilmann,http://en.inatsisartut.gl/media/234528/2010.09.17%20Start%20EM%202010%2000940.jpg,Siumut,ruth@inatsisartut.gl,2013-03-12
Sara Olsvig,http://en.inatsisartut.gl/media/720255/Sara%20Olsvig%20-%2007669.jpg,Inuit Ataqatigiit,saol@inatsisartut.gl,2013-03-12
Siverth Karl Heilmann,http://en.inatsisartut.gl/media/234533/2010.09.17%20Start%20EM%202010%2000891.jpg,Atassut,skhe@inatsisartut.gl,2013-03-12
Suka K. Frederiksen,http://en.inatsisartut.gl/media/2461297/Suka%20K.%20Frederiksen%202014.12%20-%2015510.jpg,Siumut,suka@inatsisartut.gl,2014-11-28
Jens Immanuelsen,http://en.inatsisartut.gl/media/402739/Jens%20Immanuelsen%20-%2003714.jpg,Siumut,jeim@inatsisartut.gl,2014-11-28
Aaja Chemnitz Larsen,http://en.inatsisartut.gl/media/2461849/Aaja%20Chemnitz%20Larsen%202014.12%20-%2015537.jpg,Inuit Ataqatigiit,aacl@inatsisartut.gl,2014-11-28
Agathe Fontain,http://en.inatsisartut.gl/media/234537/2010.09.17%20Start%20EM%202010%2000896.jpg,Inuit Ataqatigiit,agathe@inatsisartut.gl,2014-11-28
Anders Olsen,http://en.inatsisartut.gl/media/293529/untitled-4.jpg,Siumut,anols@inatsisartut.gl,2014-11-28
Andreas Uldum,http://en.inatsisartut.gl/media/234534/2010.09.17%20Start%20EM%202010%2000892.jpg,Demokraatit,uldum@nanoq.gl,2014-11-28
Ane Hansen,http://en.inatsisartut.gl/media/234538/2010.09.17%20Start%20EM%202010%2000903.jpg,Inuit Ataqatigiit,aneh@inatsisartut.gl,2014-11-28
Anthon Frederiksen,http://en.inatsisartut.gl/media/234539/2010.09.17%20Start%20EM%202010%2000946.jpg,Partii Naleraq,antuut@inatsisartut.gl,2014-11-28
Aqqaluaq B. Egede,http://en.inatsisartut.gl/media/234438/2010.09.17%20Start%20EM%202010%2000886.jpg,Inuit Ataqatigiit,aqqe@inatsisartut.gl,2014-11-28
Doris Jakobsen,http://en.inatsisartut.gl/media/293877/untitled-5.jpg,Siumut,doja@nanoq.gl,2014-11-28
Hans Enoksen,http://en.inatsisartut.gl/media/298458/untitled-6.jpg,Partii Naleraq,hans@inatsisartut.gl,2014-11-28
Iddimanngiiu Bianco,http://en.inatsisartut.gl/media/2461401/Iddimanngiiu%20Bianco%202014.12%20-%2015527.jpg,Inuit Ataqatigiit,idjb@inatsisartut.gl,2014-11-28
Ineqi Kielsen,http://en.inatsisartut.gl/media/2461245/Ineqi%20Kielsen%202014.12%20-%2015542.jpg,Siumut,ineqi@inatsisartut.gl,2014-11-28
Juliane Henningsen,http://en.inatsisartut.gl/media/234488/2010.09.17%20Start%20EM%202010%2000898.jpg,Inuit Ataqatigiit,jhen@inatsisartut.gl,2014-11-28
Justus Hansen,http://en.inatsisartut.gl/media/234516/2010.09.17%20Start%20EM%202010%2000888.jpg,Demokraatit,justus@inatsisartut.gl,2014-11-28
Kalistat Lund,http://en.inatsisartut.gl/media/719177/Kalistat%20Lund%20-%2007662.jpg,Inuit Ataqatigiit,kalistat@inatsisartut.gl,2014-11-28
Karl-Kristian Kruse,http://en.inatsisartut.gl/media/719211/Karl-Kristian%20Kruse%20-%2007672.jpg,Siumut,kkkr@nanoq.gl,2014-11-28
Kim Kielsen,http://en.inatsisartut.gl/media/234524/2010.09.17%20Start%20EM%202010%2000953.jpg,Siumut,kim@nanoq.gl,2014-11-28
Knud Kristiansen,http://en.inatsisartut.gl/media/234532/2010.09.17%20Start%20EM%202010%2000916.jpg,Atassut,knkr@nanoq.gl ,2014-11-28
Lars-Emil Johansen,http://en.inatsisartut.gl/media/753863/Lars-Emil%20Johansen%20-%2007533.jpg,Siumut,larsemil@inatsisartut.gl,2014-11-28
Laura Tàunâjik,http://en.inatsisartut.gl/media/2461193/Laura%20Taunajik%202014.12%20-%2015533.jpg,Siumut,laura@inatsisartut.gl,2014-11-28
Mala Høy Kuko,http://en.inatsisartut.gl/media/2448262/INAT-dukke-lys.jpg,Atassut,,2014-11-28
Martha Lund Olsen,http://en.inatsisartut.gl/media/759167/Martha_Lund_Olsen.bmp,Siumut,mlol@nanoq.gl,2014-11-28
Mimi Karlsen,http://en.inatsisartut.gl/media/234447/2010.09.17%20Start%20EM%202010%2000909.jpg,Inuit Ataqatigiit,mimi@inatsisartut.gl,2014-11-28
Naaja H. Nathanielsen,http://en.inatsisartut.gl/media/234421/2010.09.17%20Start%20EM%202010%2000941.jpg,Inuit Ataqatigiit,nana@inatsisartut.gl,2014-11-28
Nikolaj Jeremiassen,http://en.inatsisartut.gl/media/719823/Nikolaj%20Jeremiassen%20-%2007666.jpg,Siumut,nije@inatsisartut.gl,2014-11-28
Nivi Olsen,http://en.inatsisartut.gl/media/2448458/INAT-dukke-lys.jpg,Demokraatit,nivi@nanoq.gl,2014-11-28
Per Rosing-Petersen,http://en.inatsisartut.gl/media/2461609/Per%20Rosing%20Petersen%202014.12%20-%2015506.jpg,Partii Naleraq,perrp@inatsisartut.gl,2014-11-28
Peter Olsen,http://en.inatsisartut.gl/media/2462571/Peter%20Olsen%202014.12%20-%2015521.jpg,Inuit Ataqatigiit,ppol@inatsisartut.gl,2014-11-28
Randi Vestergaard Evaldsen,http://en.inatsisartut.gl/media/2462756/Randi%20Vestergaard%20Evaldsen%202014.12%20-%2015505.jpg,Demokraatit,rave@inatsisartut.gl,2014-11-28
Sara Olsvig,http://en.inatsisartut.gl/media/720255/Sara%20Olsvig%20-%2007669.jpg,Inuit Ataqatigiit,saol@inatsisartut.gl,2014-11-28
Lars-Emil Johansen,http://en.inatsisartut.gl/media/753863/Lars-Emil%20Johansen%20-%2007533.jpg,Siumut,larsemil@inatsisartut.gl,2014-12-12
Kim Kielsen,http://en.inatsisartut.gl/media/234524/2010.09.17%20Start%20EM%202010%2000953.jpg,Siumut,kim@nanoq.gl,2014-12-12
Aaja Chemnitz Larsen,http://en.inatsisartut.gl/media/2461849/Aaja%20Chemnitz%20Larsen%202014.12%20-%2015537.jpg,Inuit Ataqatigiit,aacl@inatsisartut.gl,2014-12-12
Agathe Fontain,http://en.inatsisartut.gl/media/234537/2010.09.17%20Start%20EM%202010%2000896.jpg,Inuit Ataqatigiit,agathe@inatsisartut.gl,2014-12-12
Anders Olsen,http://en.inatsisartut.gl/media/293529/untitled-4.jpg,Siumut,anols@inatsisartut.gl,2014-12-12
Ane Hansen,http://en.inatsisartut.gl/media/234538/2010.09.17%20Start%20EM%202010%2000903.jpg,Inuit Ataqatigiit,aneh@inatsisartut.gl,2014-12-12
Anthon Frederiksen,http://en.inatsisartut.gl/media/234539/2010.09.17%20Start%20EM%202010%2000946.jpg,Partii Naleraq,antuut@inatsisartut.gl,2014-12-12
Aqqaluaq B. Egede,http://en.inatsisartut.gl/media/234438/2010.09.17%20Start%20EM%202010%2000886.jpg,Inuit Ataqatigiit,aqqe@inatsisartut.gl,2014-12-12
Hans Enoksen,http://en.inatsisartut.gl/media/298458/untitled-6.jpg,Partii Naleraq,hans@inatsisartut.gl,2014-12-12
Iddimanngiiu Bianco,http://en.inatsisartut.gl/media/2461401/Iddimanngiiu%20Bianco%202014.12%20-%2015527.jpg,Inuit Ataqatigiit,idjb@inatsisartut.gl,2014-12-12
Ineqi Kielsen,http://en.inatsisartut.gl/media/2461245/Ineqi%20Kielsen%202014.12%20-%2015542.jpg,Siumut,ineqi@inatsisartut.gl,2014-12-12
Jens Immanuelsen,http://en.inatsisartut.gl/media/402739/Jens%20Immanuelsen%20-%2003714.jpg,Siumut,jeim@inatsisartut.gl,2014-12-12
Jens-Erik Kirkegaard,http://en.inatsisartut.gl/media/761460/Jens_Erik_Kirkegaard.jpg,Siumut,jenserik@inatsisartut.gl,2014-12-12
Jess Svane,http://en.inatsisartut.gl/media/2461089/Jess%20Svane%202014.12%20-%2015524.jpg,Siumut,jess@inatsisartut.gl,2014-12-12
Juliane Henningsen,http://en.inatsisartut.gl/media/234488/2010.09.17%20Start%20EM%202010%2000898.jpg,Inuit Ataqatigiit,jhen@inatsisartut.gl,2014-12-12
Justus Hansen,http://en.inatsisartut.gl/media/234516/2010.09.17%20Start%20EM%202010%2000888.jpg,Demokraatit,justus@inatsisartut.gl,2014-12-12
Kalistat Lund,http://en.inatsisartut.gl/media/719177/Kalistat%20Lund%20-%2007662.jpg,Inuit Ataqatigiit,kalistat@inatsisartut.gl,2014-12-12
Laura Tàunâjik,http://en.inatsisartut.gl/media/2461193/Laura%20Taunajik%202014.12%20-%2015533.jpg,Siumut,laura@inatsisartut.gl,2014-12-12
Mùte Bourup Egede,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Inuit Ataqatigiit,mube@inatsisartut.gl,2014-12-12
Michael Rosing,http://en.inatsisartut.gl/media/530703/Michael%20Rosing%20-%2001220.jpg,Demokraatit,michael@inatsisartut.gl,2014-12-12
Naaja H. Nathanielsen,http://en.inatsisartut.gl/media/234421/2010.09.17%20Start%20EM%202010%2000941.jpg,Inuit Ataqatigiit,nana@inatsisartut.gl,2014-12-12
Nikolaj Jeremiassen,http://en.inatsisartut.gl/media/719823/Nikolaj%20Jeremiassen%20-%2007666.jpg,Siumut,nije@inatsisartut.gl,2014-12-12
Per Rosing-Petersen,http://en.inatsisartut.gl/media/2461609/Per%20Rosing%20Petersen%202014.12%20-%2015506.jpg,Partii Naleraq,perrp@inatsisartut.gl,2014-12-12
Peter Olsen,http://en.inatsisartut.gl/media/2462571/Peter%20Olsen%202014.12%20-%2015521.jpg,Inuit Ataqatigiit,ppol@inatsisartut.gl,2014-12-12
Randi Vestergaard Evaldsen,http://en.inatsisartut.gl/media/2462756/Randi%20Vestergaard%20Evaldsen%202014.12%20-%2015505.jpg,Demokraatit,rave@inatsisartut.gl,2014-12-12
Sara Olsvig,http://en.inatsisartut.gl/media/720255/Sara%20Olsvig%20-%2007669.jpg,Inuit Ataqatigiit,saol@inatsisartut.gl,2014-12-12
Siverth Karl Heilmann,http://en.inatsisartut.gl/media/234533/2010.09.17%20Start%20EM%202010%2000891.jpg,Atassut,skhe@inatsisartut.gl,2014-12-12
Steen Lynge,http://en.inatsisartut.gl/media/762180/Steen_Lynge.jpg,Atassut,steen@inatsisartut.gl,2014-12-12
Suka K. Frederiksen,http://en.inatsisartut.gl/media/2461297/Suka%20K.%20Frederiksen%202014.12%20-%2015510.jpg,Siumut,suka@inatsisartut.gl,2014-12-12
Tillie Martinussen,http://en.inatsisartut.gl/media/2461141/Tillie%20Martinussen%202014.12%20-%2015498.jpg,Demokraatit,tillie@inatsisartut.gl,2014-12-12
Vivian Motzfeldt,http://en.inatsisartut.gl/media/2461037/Vivian%20Motzfeldt%202014.12%20-%2015515.jpg,Siumut,vivian@inatsisartut.gl,2014-12-12
