id,name__pt,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__ko,name__ru,name__fr,name__es,name__en,name__tr,name__fi,name__hu,name__it,name__et,name__id,name__de,name__ja,name__lt,name__nl,name__ar,name__sv,name__nb,name__fa,name__zh,name__hif,name__da,name__nn,name__mg,name,wikipedia__ar,wikipedia__de,wikipedia__en,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__hu,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__lt,wikipedia__mg,wikipedia__nl,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__simple,wikipedia__sv,wikipedia__tr,wikipedia__zh,image,gender,birth_date,identifier__freebase,given_name,website,identifier__FIFA,original_wikiname,family_name,name__ka,wikipedia__ka,name__ca,name__vi,name__ro,wikipedia__ca,wikipedia__ro,wikipedia__vi,name__bg,name__az,wikipedia__az,wikipedia__bg,name__be,name__hy,second_surname,name__eu,wikipedia__he,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__cs,name__cy,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__frc,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lv,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__oc,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__sc,name__scn,name__sco,name__sk,name__sr_el,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,name__he,wikipedia__commons,twitter,facebook,occupation,wikipedia__uk,name__uk,identifier__google_knowledge,instagram,wikipedia__tg,name__tg,wikipedia__oc,name__sl,wikipedia__el,name__el,name__qu,identifier__ISNI,wikipedia__ast,weblog
Q28503395,,,,,,,,,,,,Moisés Tacle,Moisés Tacle,,,,,,,,,,,,,,,,,,,,Moisés Tacle,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e8/Moisés_Tacle_Galárraga.jpg,male,,,Moisés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MoisesTacle,,politician,,,,,,,,Moisés Tacle,,,,,,
Q28768779,,,,,,,,,,,,Paco Velasco,Paco Velasco,,,,,,,,,,Paco Velasco,,,,,,,,,,Paco Velasco,,,,Paco Velasco,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/4b/Asambleísta_Paco_Velasco_en_su_intervención_en_la_sesión_No._134_del_Pleno_de_la_Asamblea_Nacional_(6300195463).jpg,male,1958-03-28,,Paco,,,Paco Velasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,Paco Velasco,,,,,,
Q28940817,,,,,,,,,,,,Lira Villalva,Lira Villalva,,,,,,,,,,Lira Villalva,,,,,,,,,,Lira Villalva,,,Lira Villalva,Lira Villalva,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/ca/Lira_Villalva_(detalle).png,female,1983-10-10,,,,,Lira Villalva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Lira Villalva,liradelapaz,,politician,,,,,,,,Lira Villalva,,,,,,
Q29051867,,,,,,,,,,,,Angélica María Andino Robalino,Angélica María Andino Robalino,,,,,,,,,,Angélica María Andino Robalino,,,,,,,,,,Angélica María Andino Robalino,,,,,,,,,,,,,,,,,,,,,,,,,,female,1987-11-01,,Angélica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,Angélica María Andino Robalino,,,,,,
Q29269082,,,,,,,,,,,,,Mariana Constante,,,,,,,,,,Mariana Constante,,,,,,,,,,Mariana Constante,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,Mariana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,girasolesn12,,politician,,,,,,,,,,,,,,
Q30084340,,,,,,,,,,,,Cléver Jiménez,Cléver Jiménez,,,,,,,,,,Cléver Jiménez,,,,,,,,,,Cléver Jiménez,,,,Cléver Jiménez,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/dc/Asambleísta_Cléver_Jiménez_(4587032398).jpg,male,1969-09-17,,,,,Cléver Jiménez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clever-Jimenez-297940194348024,politician,,,,,,,,Cléver Jiménez,,,,,,
Q3008822,,,,,,,,,,Синтия Витери,Cynthia Viteri,Cynthia Viteri,Cynthia Viteri,,,,,,,Cynthia Viteri,,,Cynthia Viteri,,,,,,,,,,Cynthia Viteri,,,Cynthia Viteri,Cynthia Viteri,,,,Cynthia Viteri,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1a/Cynthia_Viteri_en_2018_02_(cropped).jpg,female,1965-11-19,/m/026sptl,Cynthia,,,Cynthia Viteri,Viteri,,,,Cynthia Viteri,,,,Cynthia Viteri,,,,,,Սինտիա Վիտերի,,,,,,Cynthia Viteri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cynthia Viteri,,,journalist,,,,,,,,Cynthia Viteri,,,,,Cynthia Viteri,
Q3106635,,,,,,,,,,,Gilmar Gutiérrez,Gilmar Gutiérrez,Gilmar Gutiérrez,,,,,,,,,,Gilmar Gutiérrez,,,,,,,,,,Gilmar Gutiérrez,,,,Gilmar Gutiérrez,,,,Gilmar Gutiérrez,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5a/Asambleísta_Gilmar_Gutiérrez_(3858474303).jpg,male,1968,,Gilmar,,,Gilmar Gutiérrez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,Gilmar Gutiérrez,,,,,,
Q313147,Agustín Delgado,阿古斯丁·德尔加多,阿古斯丁·德爾加多,阿古斯丁·迪加度,阿古斯丁·德尔加多,阿古斯丁·德尔加多,阿古斯丁·德爾加多,Agustín Delgado,아구스틴 델가도,"Дельгадо, Агустин",Agustín Delgado,Agustín Delgado,Agustín Delgado,Agustín Delgado,Agustín Delgado,Agustín Delgado,Agustín Delgado,Agustín Delgado,Agustín Delgado,Agustín Delgado,アグスティン・デルガド,Agustín Delgado,Agustín Delgado,أغوستين ديلغادو,Agustín Delgado,Agustín Delgado,آگوستین دلگادو,阿古斯丁·德尔加多,Agustín Delgado,Agustín Delgado,Agustín Delgado,Agustín Delgado,Agustín Delgado,أغوستين ديلغادو,Agustín Delgado,Agustín Delgado,Agustín Delgado Chalá,Agustín Delgado,آگوستین دلگادو,Agustín Delgado,Agustín Delgado,Agustín Delgado,Agustín Delgado,Agustín Delgado,アグスティン・デルガド,아구스틴 델가도,Agustín Delgado,Agustín Delgado,Agustín Delgado,Agustín Delgado,Agustín Delgado,Agustín Delgado,"Дельгадо, Агустин",Agustín Delgado,Agustín Delgado,Agustín Delgado,阿古斯丁·德尔加多,https://upload.wikimedia.org/wikipedia/commons/1/11/Agustin_Delgado_(2015).jpg,male,1974-12-23,/m/07bn60,Agustín,http://www.tindelgado.com,,Agustín Delgado Chalá,Delgado,,,,,,,,,,,,,,,,Agustín Delgado,אגוסטין דלגאדו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אגוסטין דלגאדו,Category:Agustín Delgado,,,association football player,Агустін Дельгадо,Агустін Дельгадо,,,Агустин Делгадо,Агустин Делгадо,,Agustín Delgado,,,,,,
Q353013,Ulises de la Cruz,,烏利塞斯·德拉克魯斯,,乌利塞斯·德拉克鲁斯,,,Ulises de la Cruz,울리세스 데 라 크루스,"Де ла Крус, Улисес",Ulises de la Cruz,Ulises de la Cruz,Ulises Cruz,Ulises de la Cruz,Ulises de la Cruz,Ulises de la Cruz,Ulises de la Cruz,,Ulises de la Cruz,Ulises de la Cruz,ウリセス・デ・ラ・クルス,Ulises de la Cruz,Ulises de la Cruz,أوليسس دي لا كروز,Ulises de la Cruz,,اولیسز دا لا کروز,,,,,Ulises de la Cruz,Ulises de la Cruz,أوليسس دي لا كروز,Ulises de la Cruz,Ulises de la Cruz,Ulises de la Cruz,,اولیسز دا لا کروز,Ulises de la Cruz,Ulises de la Cruz,Ulises de la Cruz,Ulises de la Cruz,Ulises de la Cruz,ウリセス・デ・ラ・クルス,울리세스 데 라 크루스,Ulises de la Cruz,Ulises de la Cruz,Ulises de la Cruz,,Ulises de la Cruz,Ulises de la Cruz,"Де ла Крус, Улисес",Ulises de la Cruz,Ulises de la Cruz,Ulises de la Cruz,,https://upload.wikimedia.org/wikipedia/commons/d/d3/Asambleísta_Ulises_de_la_Cruz_en_la_Sesión_Inaugural_de_la_Asamblea_Nacional_2013-2017_(8740498725).jpg,male,1974-02-08,/m/04sq2x,Ulises,,,Ulises de la Cruz,Cruz,,,,,,,,,Улисес де ла Крус,Ulises De La Kruz,Ulises de la Kruz,Улисес де ла Крус,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,association football player,Улісес де ла Крус,Улісес де ла Крус,,,Улисес Де Ла Круз,Улисес Де Ла Круз,,Ulises de la Cruz,,,,,,
Q41603596,,,,,,,,,,,María Alejandra Vicuña,María Alejandra Vicuña,María Alejandra Vicuña,,,,,,,,,,,,,,,,,,,,María Alejandra Vicuña,,,María Alejandra Vicuña,María Alejandra Vicuña,,,,María Alejandra Vicuña,,,,,,,,,,,,,María Vicuña,,,,"https://upload.wikimedia.org/wikipedia/commons/7/7b/SESIÓN_SOLEMNE_INFORME_A_LA_NACIÓN,_QUITO_24_DE_MAYO_2018._(28454543258)_(cropped)_(cropped).jpg",female,1978-02-13,,María,,,María Alejandra Vicuña,,,,,,,,,,,,,,,,,,,,,María Alejandra Vicuña,,,,,,,,,María Alejandra Vicuña,María Alejandra Vicuña,María Alejandra Vicuña,,,,,,,,,,,,,,,,,,,,,,,,,María Alejandra Vicuña,,,,,,,,,,,,,,,,,,,,,,,marialevicuna,malejandravicuna,psychologist,,,,malejandravicuna,,,María Alejandra Vicuña,María Alejandra Vicuña,Μαρία Αλεχάντρα Βικούνια,Μαρία Αλεχάντρα Βικούνια,,,María Alejandra Vicuña,
Q44760542,,,,,,,,,,,,Gina Sanmiguel,Gina Sanmiguel,,,,,,,,,,Gina Sanmiguel,,,,,,,,,,Gina Sanmiguel,,,Gina Sanmiguel,Gina Sanmiguel,,,,,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/a/ac/Ingreso_de_Asambleístas,_familiares_e_invitados_a_la_Sesión_Inaugural_de_la_Asamblea_Nacional_2013-2017_(8740488885).jpg",female,1956,,Gina,,,Gina Sanmiguel,Sanmiguel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Gina Sanmiguel,,,politician,,,,,,,,Gina Sanmiguel,,,,,,
Q4664698,,,,,,,,,,Дало Букарам,"Abdalá Bucaram, Jr.",Dalo Bucaram,Dalo Bucaram,,,,,,,Dalo Bucaram,,,"Abdalá Bucaram, Jr.",,,,,,,,,,Dalo Bucaram,,,Abdalá Bucaram Jr.,Dalo Bucaram,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2b/Dalo_Bucaram_visita_Provincia_de_El_Oro_2009.jpg,male,1982-03-25,,Abdalá,,,Dalo Bucaram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Dalo Bucaram,,,association football player,,,,,"Абдулло Букарам, Ҷр.","Абдулло Букарам, Ҷр.",,Dalo Bucaram,,,,,,
Q5444658,,,,,,,,,,,Fernando Cordero Cueva,Fernando Cordero Cueva,Fernando Cordero Cueva,,,Fernando Cordero Cueva,,,,,フェルナンド・コルデロ・クエバ,,Fernando Cordero Cueva,,,,,,,,,,Fernando Cordero Cueva,,,Fernando Cordero Cueva,Fernando Cordero Cueva,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ed/Juan-Fernando-Cordero-Cueva_(8318629964).jpg,male,1952-05-27,/m/05syyrm,Fernando,,,Fernando Cordero Cueva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Fernando Cordero Cueva,fcorderoc,,architect,,,,,,,,Fernando Cordero Cueva,,,,,,
Q55207969,,,,,,,,,,,,José Bolívar Castillo,José Bolívar Castillo,,,,,,,,,,José Bolívar Castillo,,,,,,,,,,José Bolívar Castillo,,,,José Bolívar Castillo,,,,,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/f/f0/Asambleísta,_José_Bolívar_Castillo_en_su_intervención_en_la_sesión_No.-_242_del_Pleno_de_la_Asamblea_Nacional_(9303465244).jpg",male,1945-04-07,,José,,,José Bolívar Castillo,Castillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:José Bolívar Castillo,,,politician,,,,,,,,José Bolívar Castillo,,,,,,
Q58894076,,,,,,,,,,,,,Verónica Rodríguez,,,,,,,,,,Verónica Rodríguez,,,,,,,,,,Verónica Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/a/a8/Asambleísta_Veronica_Rodríguez_integrante_de_la_Comisión_de_Soberanía,_Integración,_Relaciones_Internacionales_y_Seguridad_Integral_(8753740271).jpg",female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verodriguezd,veroasambleista,politician,,,,,,,,,,,,,,https://www.asambleanacional.gob.ec/es/blogs/veronica-rodriguez
Q5948239,,,,,,,,,,,,Juan Carlos Cassinelli,Juan Carlos Cassinelli,,,Juan Carlos Cassinelli,,,,,,,Juan Carlos Cassinelli,,,,,,,,,,Juan Carlos Cassinelli,,,,Juan Carlos Cassinelli,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2f/Juan_Carlos_Cassinelli.jpg,male,1963-08-04,,Juan Carlos,,,Juan Carlos Cassinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Juan Carlos Cassinelli,,,politician,,,,,,,,Juan Carlos Cassinelli,,,,,,
Q5989499,,,,,,,,,,,,Mae Montaño,Mae Montaño,,,,,,,,,,Mae Montaño,,,,,,,,,,Mae Montaño,,,Mae Montaño,Mae Montaño,,,,,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/6/62/Rueda_de_prensa_de_Mae_Montaño,_9_de_noviembre_de_2017_(cropped).png",female,1953-04-07,,Mae,,,Mae Montaño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Mae Montaño,maemontanov,,politician,,,,,,,,Mae Montaño,,,,,,
Q9028537,,,,,,,,,,,Marcela Aguiñaga,Marcela Aguiñaga,Marcela Aguiñaga,,,Marcela Aguiñaga,,,,Marcela Aguiñaga,,,Marcela Aguiñaga,,,,,,,,,,Marcela Aguiñaga,,,Marcela Aguiñaga,Marcela Aguiñaga,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5f/Marcela_Aguiñaga_20_de_diciembre_de_2017_-_Comisión_de_Justicia_(24323552827)_(cropped).png,female,1973-04-25,/m/0bh82lz,Marcela,,,Marcela Aguiñaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Marcela Aguiñaga,marcelaguinaga,,politician,,,,,,,,Marcela Aguiñaga,,,,,,
