id,name,name__ar,wikipedia__ar,gender,given_name,birth_date,original_wikiname,name__en,occupation,name__nl,wikipedia__en,death_date,name__ru,family_name,name__de,name__fr,wikipedia__fr,image,name__es,twitter,identifier__google_knowledge,identifier__ISNI,name__fa,wikipedia__fa,wikipedia__ru,identifier__freebase,name__ja,name__hu,name__bn,name__ast,identifier__LCAuth,name__arz
Q16121505,,محمد نجيب أحمد سيف الحزمي,محمد نجيب أحمد سيف الحزمي,male,Mohammed,1955,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16121556,,محمد هاشم طاهر البطاح,محمد هاشم طاهر البطاح,male,Mohammed,1955,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16121557,,أمين العكيمي,أمين العكيمي,male,,1959,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16121563,,أمين محمد هزاع الصلوي,أمين محمد هزاع الصلوي,male,,1968,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16121658,,محمد يحيى غالب الحاوري,محمد يحيى غالب الحاوري,male,Mohammed,1952,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16121659,,أكرم عبد الله محمد عطيه,أكرم عبد الله محمد عطيه,male,,1961,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16121712,,انصاف علي محمد مايو,انصاف علي محمد مايو,male,,1959-10-02,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16121830,Oras Sultan Naji,أوراس سلطان ناجي محمد ناجي,أوراس سلطان ناجي محمد ناجي,female,,1962,,Oras Sultan Naji,politician,,Oras Sultan Naji,2015-02-25,,,,Oras Sultan Naji,Oras Sultan Naji,,Oras Sultan Naji,,,,,,,,,,,Oras Sultan Naji,,
Q16121873,,ناصر عبده أحمد عرمان,ناصر عبده أحمد عرمان,male,Nasser,1948,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16121905,,ناصر محمد علي باجيل,ناصر محمد علي باجيل,male,Nasser,1966,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16122060,,محمود قائد عوض سلمان الدباسي,محمود قائد عوض سلمان الدباسي,male,Mahmoud,1935,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16122209,,مختار صادق أمين أبو راس,مختار صادق أمين أبو راس,male,,1974,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16122334,Nabil sadik Ali Mohsen pasha,نبيل صادق علي محسن باشا,نبيل صادق علي محسن باشا,male,Nabil,1967,,Nabil sadik Ali Mohsen pasha,politician,,,,,,,,,,,,,,,,,,,,,Nabil sadik Ali Mohsen pasha,,
Q16122483,,علي أحمد غبري درمش,علي أحمد غبري درمش,male,Ali,1962,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16122492,Ali Ahmed Mohamed Al-worafi,علي أحمد محمد الورافي,علي أحمد محمد الورافي,male,Ali,1948,,Ali Ahmed Mohamed Al-worafi,politician,,,,,,,,,,Ali Ahmed Mohamed Al-worafi,,,,,,,,,,,Ali Ahmed Mohamed Al-worafi,,
Q16122503,Ali Ahmad Nasser al-Dhahab,علي أحمد ناصر محمد الذهب,علي أحمد ناصر محمد الذهب,male,Ali,1957,,Ali Ahmad Nasser al-Dhahab,politician,,Ali Ahmad Nasser al-Dhahab,2010-11-30,,,,Ali Ahmad Nasser al-Dhahab,,,Ali Ahmad Nasser al-Dhahab,,,,,,,,,,,Ali Ahmad Nasser al-Dhahab,,
Q16122607,,نجيب أحمد محمد الورقي,نجيب أحمد محمد الورقي,male,,1972-09-26,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16122716,,علي بغوي عبد الله أصلع,علي بغوي عبد الله أصلع,male,Ali,1958,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16122902,,أمين أحمد محمد قائد مخارش,أمين أحمد محمد قائد مخارش,male,,1962,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16122930,Ali Hassan Ahmed gillan,علي حسن أحمد جيلان,علي حسن أحمد جيلان,male,Ali,1963,,Ali Hassan Ahmed gillan,politician,,,,,,,,,,Ali Hassan Ahmed gillan,,,,,,,,,,,Ali Hassan Ahmed gillan,,
Q16122957,,علي حسين سالم المنبهي,علي حسين سالم المنبهي,male,Ali,1958,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16122975,Ali Hussain Nasser Al-Ansi,علي حسين ناصر العنسي,علي حسين ناصر العنسي,male,Ali,1970,,Ali Hussain Nasser Al-Ansi,politician,,,,,,,,,,Ali Hussain Nasser Al-Ansi,,,,,,,,,,,Ali Hussain Nasser Al-Ansi,,
Q16123053,,علي سعيد علي القشيبي,علي سعيد علي القشيبي,male,Ali,1949,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16123080,,علي شائع محمد مثنى,علي شائع محمد مثنى,male,Ali,1952,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16123097,,نصر زيد امين يحيى محي الدين,نصر زيد امين يحيى محي الدين,male,,1959,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16123113,,علي صالح محمد صالح قعشة,علي صالح محمد صالح قعشة,male,Ali,1964,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16123164,,علي عبد الله أحمد أبو حليقة,علي عبد الله أحمد أبو حليقة,male,Ali,1952,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16123188,,علي عبد المعطي أحمد الجنيد,علي عبد المعطي أحمد الجنيد,male,Ali,1951,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16123201,,علي عشال,علي عشال,male,Ali,1967,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16123209,Ali Ali el-tayeb Hassan,علي علي الطيب حسن,علي علي الطيب حسن,male,Ali,1954,,Ali Ali el-tayeb Hassan,politician,,,,,,,,,,Ali Ali el-tayeb Hassan,,,,,,,,,,,Ali Ali el-tayeb Hassan,,
Q16123229,,علي غالب عبد الله الكبودي,علي غالب عبد الله الكبودي,male,Ali,1965,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16123244,,علي فتيني يحيى محمد غلاب,علي فتيني يحيى محمد غلاب,male,Ali,1953,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16123251,,علي قائد سلطان الوافي,علي قائد سلطان الوافي,male,Ali,1959,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16123303,,علي محمد أحمد الخبال,علي محمد أحمد الخبال,male,Ali,1945,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16123313,,علي محمد أحمد المعمري,علي محمد أحمد المعمري,male,Ali,1964,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16123351,,علي محمد حسن الصعر,علي محمد حسن الصعر,male,Ali,1958,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16123359,,علي محمد سالم عطيه,علي محمد سالم عطيه,male,Ali,1950,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16123367,,علي محمد غالب ردمان المخلافي,علي محمد غالب ردمان المخلافي,male,Ali,1956,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16123375,,علي محمد قاصره الأهدل,علي محمد قاصره الأهدل,male,Ali,1980,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16123420,,علي مسعد علي زيد اللهبي,علي مسعد علي زيد اللهبي,male,Ali,1965,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16123488,,علي ناصر عايض السمحي,علي ناصر عايض السمحي,male,Ali,1961,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16123930,,عمر صالح هندي دغسان,عمر صالح هندي دغسان,male,Omar,,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16123983,Omar Mohsen Abd El-Rahman Al-amoudi,عمر محسن عبد الرحمن العمودي,عمر محسن عبد الرحمن العمودي,male,Omar,1954-03-11,,Omar Mohsen Abd El-Rahman Al-amoudi,politician,,,,,,,,,,,,,,,,,,,,,Omar Mohsen Abd El-Rahman Al-amoudi,,
Q16123985,,بسام علي حسن الشاطر,بسام علي حسن الشاطر,male,,1973,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16124140,,شوقي القاضي,شوقي القاضي,male,,1962,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16124146,,شوقي عبد السلام شمسان,شوقي عبد السلام شمسان,male,,1961-02-01,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16124249,,إبراهيم أحمد صغير المزلم,إبراهيم أحمد صغير المزلم,male,Ibrahim,,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16124471,,إبراهيم شعيب محمد الفاشق,إبراهيم شعيب محمد الفاشق,male,Ibrahim,1975,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16124550,Awadh Mohamed AL-Awlaki,عوض محمد العولقي,عوض محمد العولقي,male,,1968-06-12,,Awadh Mohamed AL-Awlaki,politician,,,,,,,,,,Awadh Mohamed AL-Awlaki,,,,,,,,,,,Awadh Mohamed AL-Awlaki,,
Q16124615,,بكيل بن ناجي عبد الله الصوفي,بكيل بن ناجي عبد الله الصوفي,male,,1978,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16124656,,صادق علي عبد الله الضباب,صادق علي عبد الله الضباب,male,,1959,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16124663,,صادق علي يحيى أبو يابس,صادق علي يحيى أبو يابس,male,,1971,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16124717,,عيدروس نصر ناصر النقيب,عيدروس نصر ناصر النقيب,male,,1955-01-22,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16124759,,صالح أحمد علي التام,صالح أحمد علي التام,male,,1950,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16124774,Saleh Ismail Mohamed abou adel,صالح إسماعيل محمد أبو عادل,صالح إسماعيل محمد أبو عادل,male,,1955-04-05,,Saleh Ismail Mohamed abou adel,politician,,,,,,,,,,,,,,,,,,,,,Saleh Ismail Mohamed abou adel,,
Q16124821,,ربيش علي وهبان العليي,ربيش علي وهبان العليي,male,,1962,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16124826,Hashem Abdullah Hussain Al-Ahmar,هاشم عبد الله حسين الأحمر,هاشم عبد الله حسين الأحمر,male,Hashim,,,Hashem Abdullah Hussain Al-Ahmar,military officer,,,,Хашим Абдалла Хуссейн аль-Ахмар,,,,,,Hashem Abdullah Hussain Al-Ahmar,,,,,,,,,,,Hashem Abdullah Hussain Al-Ahmar,,
Q16124928,Saleh Salem hadi Al-ameri,صالح سالم هادي العامري,صالح سالم هادي العامري,male,,1959-05-01,,Saleh Salem hadi Al-ameri,politician,,,,,,,,,,Saleh Salem hadi Al-ameri,,,,,,,,,,,Saleh Salem hadi Al-ameri,,
Q16124968,,صالح عبد الله علي السنباني,صالح عبد الله علي السنباني,male,,1957-04-03,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16125005,,صالح علي فريد البرهمي,صالح علي فريد البرهمي,male,,1952,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16125012,,صالح فريد العولقي,صالح فريد العولقي,male,,1945-01-01,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16125027,,هبة الله علي صغير شريم,هبة الله علي صغير شريم,male,,1948,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16125033,,صالح قايد صالح الشرجي,صالح قايد صالح الشرجي,male,,1961,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16125052,,صالح محمد عبود باعشر,صالح محمد عبود باعشر,male,,1952,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16125102,,إسحاق يحيى بلغيث القحم,إسحاق يحيى بلغيث القحم,male,,1967,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16125181,,غالب عبد الكافي حميد القرشي,غالب عبد الكافي حميد القرشي,male,,1947-01-01,,,politician,,,,,,,,,,,,,0000 0000 8482 6993,,,,,,,,,n84060844,
Q16125291,,إسماعيل عبد الرحمن محمد السماوي,إسماعيل عبد الرحمن محمد السماوي,male,,1946,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16125434,,هزاع سعد مطهر المسوري,هزاع سعد مطهر المسوري,male,,1973,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16125499,,رشاد لطف حميد ناصر الشعوري,رشاد لطف حميد ناصر الشعوري,male,,1963,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16125531,Sghaier Hamoud Ahmed aziz,صغير حمود أحمد عزيز,صغير حمود أحمد عزيز,male,,1970,,Sghaier Hamoud Ahmed aziz,politician,,,,,,,,,,Sghaier Hamoud Ahmed aziz,,,,,,,,,,,Sghaier Hamoud Ahmed aziz,,
Q16125841,Salah al-Chanfara,صلاح قايد صالح الشنفرة,صلاح قايد صالح الشنفرة,male,,1975-05-09,,Salah al-Chanfara,politician,Salah al-Chanfara,,,,,,Salah al-Chanfara,Salah al-Chanfara,,Salah al-Chanfara,,,,,,,,サラー・アル＝シンフラー,,,Salah al-Chanfara,,
Q16125936,,فؤاد دحابه,فؤاد دحابه,male,Fuad,1975,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16125959,Fuad Obaid Saeed waked,فؤاد عبيد سعيد واكد,فؤاد عبيد سعيد واكد,male,Fuad,,,Fuad Obaid Saeed waked,politician,,,,,,,,,,Fuad Obaid Saeed waked,,,,,,,,,,,Fuad Obaid Saeed waked,,
Q16126424,,فايز عبد الله حامس العوجري,فايز عبد الله حامس العوجري,male,,1970,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16126537,Fathi Tawfiq Abdulrahim,فتحي توفيق عبد الرحيم مطهر,فتحي توفيق عبد الرحيم مطهر,male,Fathi,1970,,Fathi Tawfiq Abdulrahim,politician,Fathi Tawfiq Abdulrahim,Fathi Tawfiq Abdulrahim,,,,Fathi Tawfiq Abdulrahim,,,,Fathi Tawfiq Abdulrahim,,,,,,,,,,,Fathi Tawfiq Abdulrahim,,
Q16126685,,حزام ناجي مصلح فاضل,حزام ناجي مصلح فاضل,male,,1945,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16127091,,مطهر عبد الله أحمد الحجري,مطهر عبد الله أحمد الحجري,male,,1967-09-29,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16127144,,أسامة محمد قاسم معوضة,أسامة محمد قاسم معوضة,male,,1972,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16127344,Hassan Abd El-Rahman börje,حسن عبد الرحمن بورجي,حسن عبد الرحمن بورجي,male,,1956,,Hassan Abd El-Rahman börje,politician,,,,,,,,,,,,,,,,,,,,,Hassan Abd El-Rahman börje,,
Q16127391,Hassan Abdh Saleh gide,حسن عبده صالح جيد,حسن عبده صالح جيد,male,,1956,,Hassan Abdh Saleh gide,politician,,,,,,,,,,Hassan Abdh Saleh gide,,,,,,,,,,,Hassan Abdh Saleh gide,,
Q16127497,,مبخوت مبارك مرعي,مبخوت مبارك مرعي,male,,1966,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16127616,Hussain Hussein Ali Al-sawadi,حسين حسين علي السوادي,حسين حسين علي السوادي,male,,1952,,Hussain Hussein Ali Al-sawadi,politician,,,,,,,,,,Hussain Hussein Ali Al-sawadi,,,,,,,,,,,Hussain Hussein Ali Al-sawadi,,
Q16127688,Hussain Abdullah Hussain al-Ahmar,حسين عبد الله حسين الأحمر,حسين عبد الله حسين الأحمر,male,,1976,,Hussain Abdullah Hussain al-Ahmar,politician,,,,Хуссейн Абдалла Хуссейн аль-Ахмар,al-Ahmar,,,,,Hussain Abdullah Hussain al-Ahmar,,,,,,,,,,,Hussain Abdullah Hussain al-Ahmar,,
Q16127765,Zaid Ahmed Mohamed Taha,زيد أحمد محمد طه,زيد أحمد محمد طه,male,,1948-03-02,,Zaid Ahmed Mohamed Taha,politician,,,,,,,,,,Zaid Ahmed Mohamed Taha,,,,,,,,,,,Zaid Ahmed Mohamed Taha,,
Q16127783,Zaid Ali Hameed El-Shami,زيد علي حميد الشامي,زيد علي حميد الشامي,male,,1953,,Zaid Ali Hameed El-Shami,politician,,,,,,,,,,Zaid Ali Hameed El-Shami,,,,,,,,,,,Zaid Ali Hameed El-Shami,,
Q16127793,Zaid Mohamed Mohammed abou Ali,زيد محمد محمد أبو علي,زيد محمد محمد أبو علي,male,,1961,,Zaid Mohamed Mohammed abou Ali,politician,,,,,,,,,,,,,,,,,,,,,Zaid Mohamed Mohammed abou Ali,,
Q16127801,,زيدان علي علي زيدان دهشوش,زيدان علي علي زيدان دهشوش,male,,1966,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16128087,,يحيى حسن يحيى نصار,يحيى حسن يحيى نصار,male,Yahya,1935-06-11,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16128115,,يحيى سهيل علي سهيل الحرجوج,يحيى سهيل علي سهيل الحرجوج,male,Yahya,1950,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16128147,,يحيى محمد علي المطري,يحيى محمد علي المطري,male,Yahya,1953,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16128151,,يحيى ناصر صالح الأسدي,يحيى ناصر صالح الأسدي,male,Yahya,1945,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16128159,,يحيى يحيى القاضي,يحيى يحيى القاضي,male,Yahya,,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16128181,,سالم أحمد محمد عمر الجنيدي,سالم أحمد محمد عمر الجنيدي,male,,1945,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16128186,,مفضل إسماعيل غالب الأبارة,مفضل إسماعيل غالب الأبارة,male,,1966,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16128204,,فيصل عبد الله هزاع الشوافي,فيصل عبد الله هزاع الشوافي,male,Faisal,1959,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16128217,,فيصل ناصر محمد عريج,فيصل ناصر محمد عريج,male,Faisal,1969,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16128229,,سالم علي سالم عبد الله البيضي,سالم علي سالم عبد الله البيضي,male,,1951,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16128235,,عبد الباري عبد الله دغيش,عبد الباري عبد الله دغيش,male,,1959-03-19,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16128266,,عبد الجبار عوض سعيد عمر,عبد الجبار عوض سعيد عمر,male,,1942-06-06,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16128274,,عبد الجليل جازم القباطي,عبد الجليل جازم القباطي,male,,1955-01-29,,,politician,,,2019-05-28,,,,,,,,,,,,,,,,,,,,
Q16128278,,عبد الجليل ردمان أحمد قاسم,عبد الجليل ردمان أحمد قاسم,male,,1942,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16128285,,عبد الجليل عبده ثابت,عبد الجليل عبده ثابت,male,,1944-02-21,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16128317,,عبد الحميد أحمد علي حريز,عبد الحميد أحمد علي حريز,male,Abdul Hamid,,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16128367,,عبد الحميد سيف البتراء,عبد الحميد سيف البتراء,male,Abdul Hamid,1957,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297571,,جابر عبد الله غالب الوهباني,جابر عبد الله غالب الوهباني,male,,1960,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297574,,جبران مجاهد يحيى أبو شوارب,جبران مجاهد يحيى أبو شوارب,male,,1967-07-17,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297575,,جعبل محمد طعيمان,جعبل محمد طعيمان,male,,1959,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297588,,حسن سود أحمد يحيى هفج,حسن سود أحمد يحيى هفج,male,,1960,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297590,Hassan Ali inan,حسن علي عنان,حسن علي عنان,male,,1959,,Hassan Ali inan,politician,,,,,,,,,,Hassan Ali inan,,,,,,,,,,,Hassan Ali inan,,
Q16297593,Hussain Hussein Hussain Khamis,حسين حسين حسين خميس,حسين حسين حسين خميس,male,,1940,,Hussain Hussein Hussain Khamis,politician,,,,,,,,,,Hussain Hussein Hussain Khamis,,,,,,,,,,,Hussain Hussein Hussain Khamis,,
Q16297599,,حمير عبد الله حسين الأحمر,حمير عبد الله حسين الأحمر,male,,1970,,,politician,,,,Хашид Абдалла Хуссейн аль-Ахмар,,,,,,,,,,,,,,,,,,,
Q16297602,,خالد مجود طه محمد الصعدي,خالد مجود طه محمد الصعدي,male,,1977,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297616,,زكريا سعيد محمد الزكري,زكريا سعيد محمد الزكري,male,Zechariah,1968,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297618,Ziyad Ali sghaier schami,زياد علي صغير شامي,زياد علي صغير شامي,male,,1978,,Ziyad Ali sghaier schami,politician,,,,,,,,,,Ziyad Ali sghaier schami,,,,,,,,,,,Ziyad Ali sghaier schami,,
Q16297622,,سالم منصور حيدره حسين,سالم منصور حيدره حسين,male,,1950-01-01,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297629,,سعيد مبارك محمد سعيد دومان,سعيد مبارك محمد سعيد دومان,male,Sa'id,1951,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297633,,سلطان أحمد السامعي,سلطان أحمد السامعي,male,,1960,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297637,Samir khayri redha,سمير خيري رضا,سمير خيري رضا,male,,1962,,Samir khayri redha,politician,,,,,,,,,,Samir khayri redha,,,,,,,,,,,Samir khayri redha,,
Q16297647,Sadik Kassem Mohamed Al-baadani,صادق قاسم محمد البعداني,صادق قاسم محمد البعداني,male,,1957,,Sadik Kassem Mohamed Al-baadani,politician,,,,,,,,,,Sadik Kassem Mohamed Al-baadani,,,,,,,,,,,Sadik Kassem Mohamed Al-baadani,,
Q16297651,Suhayb Hamoud Khaled Al-Sufi,صهيب حمود خالد الصوفي,صهيب حمود خالد الصوفي,male,,,,Suhayb Hamoud Khaled Al-Sufi,politician,,,,,,,,,,Suhayb Hamoud Khaled Al-Sufi,,,,,,,,,,,Suhayb Hamoud Khaled Al-Sufi,,
Q16297663,,عارف أحمد علي الصبري,عارف أحمد علي الصبري,male,,1970,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297667,,عباس أحمد عبد الرحمن النهاري,عباس أحمد عبد الرحمن النهاري,male,,1952,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297669,,عبد الحميد علي عبده الحسني,عبد الحميد علي عبده الحسني,male,Abdul Hamid,1960,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297673,,عبد الرزاق أحمد الهجري,عبد الرزاق أحمد الهجري,male,,1965,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297682,Abdullah Hassan Ahmed khayrat,عبد الله حسن أحمد خيرات,عبد الله حسن أحمد خيرات,male,Abdullah,1954,,Abdullah Hassan Ahmed khayrat,politician,,,,,,,,,,Abdullah Hassan Ahmed khayrat,,,,,,,,,,,Abdullah Hassan Ahmed khayrat,,
Q16297687,,عبد الله سعد شرف النعماني,عبد الله سعد شرف النعماني,male,Abdullah,1964-11-24,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297689,,عبد الله عبده علي أحمد اهيف,عبد الله عبده علي أحمد اهيف,male,Abdullah,1966,,,politician,,,2016-03-02,,,,,,,,,,,,,,,,,,,,
Q16297691,,عبد الله مبخوت صالح العراقي,عبد الله مبخوت صالح العراقي,male,Abdullah,1944,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297695,,عبد المعز عبد الجبار دبوان,عبد المعز عبد الجبار دبوان,male,,1972,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297697,,عبد الوهاب محمد قائد العامر,عبد الوهاب محمد قائد العامر,male,Abdul Wahhab,1964,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297699,Abdh Ali Saleh Al-awdi,عبده علي صالح العودي,عبده علي صالح العودي,male,,1956,,Abdh Ali Saleh Al-awdi,politician,,,,,,,,,,Abdh Ali Saleh Al-awdi,,,,,,,,,,,Abdh Ali Saleh Al-awdi,,
Q16297701,Abdh Mohamed Ali Al-hubaishi,عبده محمد علي الحبيشي,عبده محمد علي الحبيشي,male,,1961,,Abdh Mohamed Ali Al-hubaishi,politician,,,,,,,,,,Abdh Mohamed Ali Al-hubaishi,,,,,,,,,,,Abdh Mohamed Ali Al-hubaishi,,
Q16297711,,علي عبد ربه ضيف الله القاضي,علي عبد ربه ضيف الله القاضي,male,Ali,1947,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297715,,علي مجاهد محمد سعيد شمر,علي مجاهد محمد سعيد شمر,male,Ali,1970-01-01,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297717,,علي هبه أحمد منصري,علي هبه أحمد منصري,male,Ali,1962,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297720,,عوض سالم سعيد باوزير,عوض سالم سعيد باوزير,male,,1953-03-02,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297722,Fuad Mohamed Abdelkrim Mohamed,فؤاد محمد عبد الكريم محمد,فؤاد محمد عبد الكريم محمد,male,Fuad,1944-11-03,,Fuad Mohamed Abdelkrim Mohamed,politician,,,,,,,,,,Fuad Mohamed Abdelkrim Mohamed,,,,,,,,,,,Fuad Mohamed Abdelkrim Mohamed,,
Q16297730,,فيصل شايف عبد الرحمن الحبيشي,فيصل شايف عبد الرحمن الحبيشي,male,Faisal,1958,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297733,,قاسم حسين قاسم الحظاء,قاسم حسين قاسم الحظاء,male,,1965,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297753,,محسن علي عبد الله البحر,محسن علي عبد الله البحر,male,,1958,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297755,,محمد أحمد صالح الباكري,محمد أحمد صالح الباكري,male,Mohammed,1945,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297758,,محمد أحمد محسن المقداد,محمد أحمد محسن المقداد,male,Mohammed,1959,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297761,,محمد الخادم غالب الوجيه,محمد الخادم غالب الوجيه,male,Mohammed,1942-02-04,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297784,,محمد علي أحمد سوار,محمد علي أحمد سوار,male,Mohammed,1948,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297787,Mohamed Ali Yahya marei,محمد علي يحيى مرعي,محمد علي يحيى مرعي,male,Mohammed,1946,,Mohamed Ali Yahya marei,politician,,,,,,,,,,Mohamed Ali Yahya marei,,,,,,,,,,,Mohamed Ali Yahya marei,,
Q16297795,Muhammad bin Muhammad Ahmad Sabri,محمد محمد أحمد الصبري,محمد محمد أحمد الصبري,male,Mohammed,1948,,Muhammad bin Muhammad Ahmad Sabri,politician,Muhammad bin Muhammad Ahmad Sabri,Mohammed al-Sabry,2016-11-25,,,,,,,,,,,,,,,,,,Muhammad bin Muhammad Ahmad Sabri,,
Q16297798,,محمد مقبل علي الحميري,محمد مقبل علي الحميري,male,Mohammed,1959,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297803,,محمد يحيى حمود الشرفي,محمد يحيى حمود الشرفي,male,Mohammed,1954,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297809,,مذحج عبد الله بن حسين الأحمر,مذحج عبد الله بن حسين الأحمر,male,,1977,,,politician,,,,Мадхи Абдалла Хуссейн аль-Ахмар,,,,,,,,,,,,,,,,,,,
