id,name__en,name__es,name__de,name__nl,name__fr,name__hu,name,wikipedia__en,gender,occupation,original_wikiname,name__et,name__ru,name__ca,name__oc,name__nb,name__da,name__nn,name__sv,name__it,name__cy,name__zh_hant,name__zh_cn,name__ja,wikipedia__de,wikipedia__et,wikipedia__fr,wikipedia__it,wikipedia__oc,wikipedia__ru,birth_date,death_date,identifier__freebase,identifier__ISNI,identifier__VIAF,identifier__BNF,identifier__SUDOC,family_name,given_name,name__el,name__en_ca,name__en_gb,name__pl,name__tr,name__fi,wikipedia__el,wikipedia__es,wikipedia__pl,wikipedia__tr,image,website,wikipedia__ja,wikipedia__nl,wikipedia__sv,identifier__LCAuth,identifier__IMDB,identifier__AlloCine,identifier__moviemeter,identifier__FAST,identifier__elonet,identifier__PORT,identifier__kinopoisk,identifier__CSFD,identifier__filmportal_de,name__fa,name__id,name__ka,name__ms,name__pt,wikipedia__fa,wikipedia__id,wikipedia__ka,wikipedia__ms,wikipedia__pt,name__gl,wikipedia__fi,wikipedia__gl,identifier__GND,identifier__NTA,name__eo,name__ml,name__vi,name__ko,name__ar,name__io,name__de_ch,name__lb,name__an,name__la,name__zh,name__be,name__eu,name__cs,wikipedia__an,wikipedia__ar,wikipedia__be,wikipedia__ca,wikipedia__cs,wikipedia__enwikinews,wikipedia__eo,wikipedia__eu,wikipedia__io,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__ml,wikipedia__vi,wikipedia__zh,identifier__Munzinger,identifier__Britannica,identifier__senatDOTfr,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,name__is,name__yo,name__mg,wikipedia__is,wikipedia__mg,wikipedia__yo,name__af,name__ast,name__bar,name__bm,name__br,name__co,name__de_at,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__ie,name__jam,name__kab,name__kg,name__li,name__lij,name__lt,name__min,name__nap,name__nds,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sr_el,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,identifier__sycomore,name__rw,name__sr_ec,name__be_tarask,name__sr,name__arz,wikipedia__arz,wikipedia__be_x_old,wikipedia__bm,wikipedia__br,wikipedia__commons,wikipedia__no,wikipedia__plwikiquote,wikipedia__rw,wikipedia__sr,identifier__snac,name__he,name__uk,wikipedia__uk,wikipedia__he,wikipedia__hr,wikipedia__nn,identifier__NNDB,wikipedia__ruwikinews,identifier__GTAA,identifier__allmovie,wikipedia__cawikiquote,identifier__bigenc_ru
Q30005190,Mahamane Baby,,,Mahamane Baby,,,Mahamane Baby,Mahamane Baby,male,,Mahamane Baby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q30005489,Hamadou Konaté,,,Hamadou Konaté,,,Hamadou Konaté,Hamadou Konaté,male,,Hamadou Konaté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q30005560,Mohamed Ag Erlaf,,,Mohamed Ag Erlaf,,,Mohamed Ag Erlaf,Mohamed Ag Erlaf,male,,Mohamed Ag Erlaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q30005640,Marie Madeleine Togo,,,Marie Madeleine Togo,,,Marie Madeleine Togo,Marie Madeleine Togo,female,,Marie Madeleine Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q30005719,Amadou Koïta,,,Amadou Koïta,,,Amadou Koïta,Amadou Koïta,male,,Amadou Koïta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3011574,Daba Diawara,Daba Diawara,Daba Diawara,Daba Diawara,Daba Diawara,Daba Diawara,Daba Diawara,Daba Diawara,male,politician,Daba Diawara,,,,,,,,,,,,,,,,Daba Diawara,,,,1951-08-15,,,0000 0000 7832 4348,29605696,12337479n,032322887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q30121857,Salif Traoré,,,Salif Traoré,,,Salif Traoré,Salif Traoré,,,Salif Traoré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q30122875,Mohamed El Moctar,,,Mohamed El Moctar,,,Mohamed El Moctar,Mohamed El Moctar,,,Mohamed El Moctar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q30122876,Mohamed Aly Bathily,,,Mohamed Aly Bathily,,,Mohamed Aly Bathily,Mohamed Aly Bathily,,,Mohamed Aly Bathily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q30122877,Tiémoko Sangaré,,,Tiémoko Sangaré,,,Tiémoko Sangaré,Tiémoko Sangaré,,,Tiémoko Sangaré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3038750,Mamadou Dembelé,Mamadou Dembelé,Mamadou Dembelé,Mamadou Dembelé,Mamadou Dembelé,Mamadou Dembelé,Mamadou Dembelé,Mamadou Dembelé,male,politician,Mamadou Dembelé,,Мамаду Дембеле,,,,,,,,,瑪瑪多·德姆貝利,玛玛多·德姆贝利,,Mamadou Dembelé,,Mamadou Dembélé,,,,1936,2016-10-08,,,313576380,,183279778,,Mamadou,,,,Mamadou Dembelé,,,,,Mamadou Dembelé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瑪瑪多·德姆貝利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q308416,Abdoulaye Sékou Sow,Abdoulaye Sékou Sow,Abdoulaye Sékou Sow,Abdoulaye Sékou Sow,Abdoulaye Sékou Sow,Abdoulaye Sékou Sow,Abdoulaye Sékou Sow,Abdoulaye Sékou Sow,male,politician,Abdoulaye Sékou Sow,,"Су, Абдулайе Секу",,,,,,,,Abdoulaye Sékou Sow,阿卜杜拉耶·塞古·索烏,阿卜杜拉耶·塞古·索乌,,Abdoulaye Sékou Sow,,Abdoulaye Sékou Sow,,,"Су, Абдулайе Секу",1931,2013-05-27,,0000 0000 5523 8930,39205886,159633126,131814664,,Abdoulaye,,,,Abdoulaye Sékou Sow,,,,,Abdoulaye Sékou Sow,,,,,,,no2008173115,,,,,,,,,,,,,,,,,,,,Abdoulaye Sékou Sow,,,137395221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3100133,Seydou Badian Kouyaté,Seydou Badian Kouyaté,Seydou Badian Kouyaté,Seydou Badian Kouyaté,Seydou Badian Kouyaté,,Seydou Badian Kouyaté,Seydou Badian Kouyaté,male,writer,Seydou Badian Kouyaté,,,,,,,,Seydou Badian Kouyaté,,,,,,Seydou Badian Kouyaté,,Seydou Badian Kouyaté,,,,1928,,/m/04lhc3x,0000 0001 0936 4546,112358772,118898341,026700271,,,,,,Zejdu Badian,,Seydou Badian Kouyaté,,,Zejdu Badian,,,,,,Seydou Badian Kouyaté,n50043985,,,,15162,,,,,,,,,,,,,,,,Seydou Badian,Seydou Badian Kouyaté,Seydou Badian,123221455,06846472X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3123070,Yamoussa Camara,,Yamoussa Camara,Yamoussa Camara,Général Yamoussa Camara,,Yamoussa Camara,Yamoussa Camara,male,politician,Yamoussa Camara,,,,,Général Yamoussa Camara,Général Yamoussa Camara,Général Yamoussa Camara,Général Yamoussa Camara,,,,,,,,Yamoussa Camara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3126336,Hamane Niang,,Hamane Niang,Hamane Niang,Hamane Niang,,Hamane Niang,Hamane Niang,male,politician,Hamane Niang,,,,,,,,,,,,,,,,Hamane Niang,,,,1952-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3126489,Hamadoun Dicko,Hamadoun Dicko,Hamadoun Dicko,Hamadoun Dicko,Hammadoun Dicko,Hamadoun Dicko,Hamadoun Dicko,Hamadoun Dicko,male,politician,Hamadoun Dicko,,,Hammadoun Dicko,,Hammadoun Dicko,Hammadoun Dicko,Hammadoun Dicko,Hammadoun Dicko,Hammadoun Dicko,,,,,,,Hammadoun Dicko,,,,1924-07-01,1964-02-12,,,,,,,Hamadoun,,,,Hammadoun Dicko,,,,Hamadoun Dicko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hammadoun Dicko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hammadoun Dicko,,,,,,,Hammadoun Dicko,,Hammadoun Dicko,,,Hammadoun Dicko,,,,,,,,,,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q313239,Alpha Oumar Konaré,Alpha Oumar Konaré,Alpha Oumar Konaré,Alpha Oumar Konaré,Alpha Oumar Konaré,Alpha Oumar Konaré,Alpha Oumar Konaré,Alpha Oumar Konaré,male,politician,Alpha Oumar Konaré,Alpha Oumar Konaré,"Конаре, Альфа Умар",,Alpha Oumar Konaré,Alpha Oumar Konaré,Alpha Oumar Konaré,Alpha Oumar Konaré,Alpha Oumar Konaré,Alpha Oumar Konaré,,阿爾法·奧馬爾·科納雷,阿尔法·奥马尔·科纳雷,アルファ・ウマル・コナレ,Alpha Oumar Konaré,Alpha Oumar Konaré,Alpha Oumar Konaré,Alpha Oumar Konaré,Alpha Oumar Konaré,"Конаре, Альфа Умар",1946-02-02,,/m/0361dn,0000 0001 2133 6556,54321839,13615171t,028113330,,,,,,Alpha Oumar Konaré,Alpha Oumar Konaré,Alpha Oumar Konaré,,Alpha Oumar Konaré,Alpha Oumar Konaré,Alpha Oumar Konaré,https://upload.wikimedia.org/wikipedia/commons/3/35/Konare27022007.jpg,,アルファ・ウマル・コナレ,Alpha Oumar Konaré,Alpha Oumar Konaré,n85113279,,,,155922,,,,,,آلفا عمر کوناری,,ალფა უმარ კონარე,,Alpha Oumar Konaré,آلفا عمر کوناری,,ალფა უმარ კონარე,,Alpha Oumar Konaré,Alpha Oumar Konaré,Alpha Oumar Konaré,Alpha Oumar Konaré,130308110,,Alpha Oumar Konaré,,,알파 우마르 코나레,ألفا عمر كوناري,Alpha Oumar Konaré,,,,Alpha Oumar Konaré,阿尔法·奥马尔·科纳雷,Альфа Умар Канарэ,,Alpha Oumar Konaré,,ألفا عمر كوناري,Альфа Умар Канарэ,,Alpha Oumar Konaré,,Alpha Oumar Konaré,,Alpha Oumar Konaré,알파 우마르 코나레,Alpha Oumar Konaré,,,,阿尔法·奥马尔·科纳雷,00000021904,,,阿尔法·奥马尔·科纳雷,阿爾法·奧馬爾·科納雷,阿尔法·奥马尔·科纳雷,阿爾法·奧馬爾·科納雷,,,,,,,,,,Alfa Umar Konare,Alpha Oumar Konaré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alfa Umar Konare,,,,,,,,,,Alpha Oumar Konaré,Алфа Умар Конаре,Альфа Ўмар Канарэ,Алфа Умар Конаре,الفا عمر كونارى,الفا عمر كونارى,Альфа Ўмар Канарэ,Alfa Umar Konare,Alpha Oumar Konaré,Alpha Oumar Konaré,Alpha Oumar Konaré,Alpha Oumar Konaré,Alpha Oumar Konaré,Алфа Умар Конаре,w6j821kb,,,,,,,,,,,,
Q313240,Modibo Keïta,Modibo Keïta,Modibo Keïta,Modibo Keïta,Modibo Keïta,Modibo Keïta,Modibo Keïta,Modibo Keïta,male,politician,Modibo Keïta,Modibo Keïta,Модибо Кейта,Modibo Keïta,,Modibo Keïta,Modibo Keïta,Modibo Keïta,Modibo Keïta,Modibo Keita,,莫迪博·凱塔,莫迪博·凯塔,モディボ・ケイタ,Modibo Keïta,Modibo Keïta,Modibo Keïta (1915-1977),Modibo Keïta,,"Кейта, Модибо",1915-06-04,1977-05-16,/m/03m8qb,0000 0001 1057 0566,39399611,12067015d,028937856,,Modibo,,,,Modibo Keita,Modibo Keita,Modibo Keïta,,Modibo Keïta,Modibo Keïta,Modibo Keïta,https://upload.wikimedia.org/wikipedia/commons/d/d1/Keita_stamp_1961.png,,モディボ・ケイタ,Modibo Keïta (1915),Modibo Keïta,no2012031462,,,,,,,,,,مودیبو کیتا,Modibo Keïta,მოდიბო კეიტა,Modibo Keïta,Modibo Keïta,مودیبو کیتا,Modibo Keïta,მოდიბო კეიტა,Modibo Keïta,Modibo Keïta,,Modibo Keïta,,118984578,,Modibo Keïta,,,모디보 케이타,موديبو كيتا,,,Modibo Keïta,,Modibo Keïta,莫迪博·凯塔,Мадзіба Кейта,,Modibo Keïta,,موديبو كيتا,Мадзіба Кейта,,Modibo Keïta,,Modibo Keïta,,,모디보 케이타,Modibo Keïta,,,,莫迪博·凯塔,,,,莫迪博·凯塔,莫迪博·凱塔,莫迪博·凯塔,莫迪博·凱塔,,,,,,,,,,Modibo Keita,Modibo Keïta,,,,,,,,Modibo Keïta,Modibo Keita,,,,,,Modibo Keïta,,Modibo Keïta,,,Modibo Keïta,,,,,,,,,,,,,,,Modibo Kejta,,,,,,,,,4120,,Модибо Кејта,,Модибо Кејта,,,,Modibo Keita,Modibo Keïta,,Modibo Keïta,Modibo Keïta,,Модибо Кејта,,מודיבו קייטה,,,מודיבו קייטה,Modibo Keita,,,,,,,2059138
Q3141374,Housseini Amion Guindo,Housseini Amion Guindo,Housseini Amion Guindo,Housseini Amion Guindo,Housseini Amion Guindo,Housseini Amion Guindo,Housseini Amion Guindo,Housseini Amion Guindo,male,politician,Housseini Amion Guindo,,,,,,,,Housseini Guindo,,,,,,,,Housseini Amion Guindo,,,,1970-04-21,,/m/0hr44p4,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2e/Housseini_Amion_Guindo.JPG,,,,Housseini Guindo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3162939,Yoro Diakité,Yoro Diakité,Yoro Diakité,Yoro Diakité,Yoro Diakité,Yoro Diakité,Yoro Diakité,Yoro Diakité,male,politician,Yoro Diakité,,Йоро Диаките,,,,,,,,,約羅·迪亞基特,约罗·迪亚基特,ヨロ・ディアキテ,Yoro Diakité,,Yoro Diakité,,,"Диаките, Йоро",1932-10-17,1973-07-20,,,183782691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101521147X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3191837,Kafougouna Koné,,,,Kafougouna Koné,,Kafougouna Koné,Kafougouna Koné,male,politician,Kafougouna Koné,,,,,,,,,,,,,,,,Kafougouna Koné,,,,1944,2017-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q324108,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,male,politician,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,"Кейта, Ибрагим Бубакар",Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,,,,イブラヒム・ブバカール・ケイタ,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,"Кейта, Ибрагим Бубакар",1945-01-29,,/m/05q4ll,,245191338,,,,Ibrahim,Ιμπραήμ Μπουμπακάρ Κεϊτά,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keita,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,Ιμπραΐμ Μπουμπακάρ Κεϊτά,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,https://upload.wikimedia.org/wikipedia/commons/3/37/Ibrahim_Boubacar_Keïta_par_Claude_Truong-Ngoc_décembre_2013.jpg,,イブラヒム・ブバカール・ケイタ,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,,,,,,,,,,,ابراهیم ابوبکر کیتا,Ibrahim Boubacar Keita,იბრაჰიმ ბუბაკარ კეიტა,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,ابراهیم ابوبکر کیتا,Ibrahim Boubacar Keïta,იბრაჰიმ ბუბაკარ კეიტა,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,,Ibrahim Boubacar Keïta,,173230989,,Ibrahim Boubacar Keïta,ഇബ്രാഹിം ബൗബാകാർ കെയ്റ്റ,Ibrahim Boubacar Keïta,이브라힘 부바카르 케이타,إبراهيم أبو بكر كيتا,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,易卜拉欣·布巴卡爾·凱塔,Ібрагім Бубакар Кейта,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,إبراهيم أبو بكر كيتا,Ібрагім Бубакар Кейта,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,Category:Ibrahim Boubacar Keita,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,이브라임 부바카르 케이타,Ibrahim Boubacar Keïta,Ibrahim Boubacar Keïta,ഇബ്രാഹിം ബൗബാകാർ കെയ്റ്റ,Ibrahim Boubacar Keïta,易卜拉欣·布巴卡爾·凱塔,00000029699,biography/Ibrahim-Boubacar-Keita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Ibrahim Boubacar Keïta,,,,,,,,,,,,,,,,,
Q3277550,Mahamane Haidara,Mahamane Haidara,Mahamane Haidara,Mahamane Haidara,Mahamane Alassane Haïdara,Mahamane Haidara,Mahamane Haidara,Mahamane Haidara,male,politician,Mahamane Haidara,,"Хайдара, Махаман Алассан",,,,,,,,,,,,,,Mahamane Alassane Haïdara,,,"Хайдара, Махаман Алассан",1910-01-01,1981-10-17,,,,,,,,,Mahamane Haidara,Mahamane Haidara,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2a/Mahamane_Alassane_Haidara.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,senateur-communaute/haidara_mahamane0113r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3284819,Mamadou Diakité,,Mamadou Diakité,Mamadou Diakité,Mamadou Diakité,,Mamadou Diakité,Mamadou Diakité (politician),male,politician,Mamadou Diakité (politician),,,,,,,,,,,,,,,,Mamadou Diakité (politique),,,,1950,,,,,,,,Mamadou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3284850,Mamadou Lamine Traoré,Mamadou Lamine Traoré,Mamadou Lamine Traoré,Mamadou Lamine Traoré,Mamadou Lamine Traoré,Mamadou Lamine Traoré,Mamadou Lamine Traoré,Mamadou Lamine Traoré,male,politician,Mamadou Lamine Traoré,,,,,,,,,,Mamadou Lamine Traoré,,,,,,Mamadou Lamine Traoré,,,,1947,2007,,0000 0000 8190 2460,121821207,162177543,147503957,Traoré,Mamadou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3326057,Mountaga Tall,Mountaga Tall,Mountaga Tall,Mountaga Tall,Mountaga Tall,Mountaga Tall,Mountaga Tall,Mountaga Tall,male,politician,Mountaga Tall,,"Талль, Мунтага",,,,,,,,,,,,,,Mountaga Tall,,,"Талль, Мунтага",1956-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3326215,Moussa Mara,Moussa Mara,Moussa Mara,Moussa Mara,Moussa Mara,Moussa Mara,Moussa Mara,Moussa Mara,male,politician,Moussa Mara,Moussa Mara,"Мара, Муса",,,,,,,Moussa Mara,,,,ムーサ・マラ,,Moussa Mara,Moussa Mara,Moussa Mara,,"Мара, Муса",1975-03-05,,/m/0104xd2m,,,,,,Moussa,Μουσά Μαρά,Moussa Mara,Moussa Mara,Moussa Mara,Musa Mara,Moussa Mara,Μουσά Μαρά,Moussa Mara,Moussa Mara,Musa Mara,https://upload.wikimedia.org/wikipedia/commons/f/f8/Moussa_Mara.jpg,http://www.moussamara.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3339488,Yeah Samake,Yeah Samake,Yeah Samake,Yeah Samake,Niankoro Yeah Samaké,Yeah Samake,Yeah Samake,Yeah Samake,male,politician,Yeah Samake,,,,,Niankoro Yeah Samaké,Niankoro Yeah Samaké,Niankoro Yeah Samaké,Niankoro Yeah Samaké,,,,,,,,Niankoro Yeah Samaké,,,,1969-02-27,,,,,,,,,,,,,,,,Yeah Samake,,,https://upload.wikimedia.org/wikipedia/commons/6/6f/NiankoroYeahSamake.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Yeah Samake,,,,,,,,,,,,,,,,,
Q3341954,Nina Wallet Intalou,Nina Wallet Intalou,,Nina Wallet Intalou,Nina Wallet Intalou,,Nina Wallet Intalou,Nina Wallet Intalou,female,politician,Nina Wallet Intalou,,,,,,,,,,,,,,,,Nina Wallet Intalou,,,,1963,,,,,,,,Nina,,,,,,,,Nina Wallet Intalou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
