id,name__en,name__de,name__nl,name__fr,name,wikipedia__en,gender,occupation,original_wikiname,name__it,birth_date,given_name,death_date,name__so,wikipedia__so,name__id,wikipedia__id,name__hr,name__pt,name__sv,name__es,name__hu,name__hy,wikipedia__hy,name__cy,wikipedia__de,identifier__freebase,wikipedia__simple,image,name__tr,name__ru,wikipedia__ru,name__pl,name__ku_arab,name__ku_latn,name__fi,name__et,name__ja,name__el,name__ar,name__ku,name__th,name__zh,wikipedia__ar,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__it,wikipedia__ja,wikipedia__ku,wikipedia__nl,wikipedia__pl,wikipedia__sv,wikipedia__th,wikipedia__tr,wikipedia__zh,identifier__VIAF,identifier__SUDOC,name__nb,wikipedia__commons,wikipedia__no,wikipedia__pt,facebook,name__zh_hant,name__zh_cn,name__ca,wikipedia__ca,name__be,name__he,name__oc,name__bg,name__fa,name__ka,name__da,name__lt,name__mg,name__ko,name__vi,name__la,wikipedia__arwikinews,wikipedia__be,wikipedia__bg,wikipedia__da,wikipedia__fa,wikipedia__he,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lt,wikipedia__mg,wikipedia__oc,wikipedia__ruwikinews,wikipedia__vi,name__uk,wikipedia__uk,identifier__BNF,identifier__leonore,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,name__yo,name__bcl,name__sk,name__cs,name__mwl,name__az,wikipedia__az,wikipedia__bcl,wikipedia__cs,wikipedia__mwl,wikipedia__plwikiquote,wikipedia__sk,wikipedia__srwikinews,wikipedia__yo,name__bn,wikipedia__bn,identifier__LCAuth,identifier__NTA,identifier__Oxforddnb,name__de_at,name__de_ch,name__en_ca,name__en_gb,identifier__GND,name__fo,name__kl,wikipedia__hr,website,identifier__ISNI,name__nn,name__sl,name__uz,wikipedia__uz,twitter,wikipedia__cy,name__sr,identifier__SELIBR,linkedin,family_name,pseudonym,identifier__FAST,identifier__OLID,identifier__Britannica,identifier__Munzinger,wikipedia__azb,name__azb,name__ast,name__sq
Q17027996,Deeq Sulaiman Yusuf,Deeq Sulaiman Yusuf,Deeq Sulaiman Yusuf,Deeq Sulaiman Yusuf,Deeq Sulaiman Yusuf,Deeq Sulaiman Yusuf,male,politician,Deeq Sulaiman Yusuf,,,,,,,,,,,,Deeq Sulaiman Yusuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deeq Sulaiman Yusuf,,,,,,,,,,,,,,,,Deeq Sulaiman Yusuf,
Q17037590,Yusuf Moalin Amin,Yusuf Moalin Amin,Yusuf Moalin Amin,Yusuf Moalin Amin,Yusuf Moalin Amin,Yusuf Moalin Amin,male,politician,Yusuf Moalin Amin,,,Yusuf,,,,,,,,,Yusuf Moalin Amin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yusuf Moalin Amin,,,,,,,,,,,,,,,,Yusuf Moalin Amin,
Q17069995,Said Abdullahi Mohamed,Said Abdullahi Mohamed,Said Abdullahi Mohamed,Said Abdullahi Mohamed,Said Abdullahi Mohamed,Said Abdullahi Dani,male,politician,,Said Abdullahi Mohamed,1967,Said,,,,,,,,,Said Abdullahi Mohamed,,,,,,,,,,,,Said Abdullahi Deni,,,,,サイード・アブドゥライ・モハメド,,,,,,,,,,,,,,,,Said Abdullahi Deni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Said Abdullahi Mohamed,,,,,,,,,,,,,,,,Said Abdullahi Mohamed,
Q17070641,Mohamud Hassan Suleiman,Mohamud Hassan Suleiman,Mohamud Hassan Suleiman,Mohamud Hassan Suleiman,Mohamud Hassan Suleiman,Mohamud Hassan Suleiman,male,politician,Mohamud Hassan Suleiman,Mohamud Hassan Suleiman,,,,,,,,,,,Mohamud Hassan Suleiman,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/91/Aid_coordination_round_table_hosted_by_Justine_Greening_ahead_of_the_main_sessions_at_the_London_Conference_on_Somalia_2013_(8717277214).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohamud Hassan Suleiman,,,,,,,,,,,,,,,,Mohamud Hassan Suleiman,
Q17306045,Zakia Hussein,Zakia Hussein,,,Zakia Hussein,Zakia Hussein,female,politician,Zakia Hussein,,,Zakia,,,,,,,,,Zakia Hussein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zakia Hussein,,,,,,,,,,,,,,,,Zakia Hussein,
Q17338731,Ahmed Sheikh Jama,Ahmed Sheikh Jama,,Ahmed Sheikh Jama,Ahmed Sheikh Jama,Ahmed Sheikh Jama,male,politician,Ahmed Sheikh Jama,,,Ahmed,2014-07-09,,,,,,,,Ahmed Sheikh Jama,,,,Ahmed Sheikh Jama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahmed Sheikh Jama,,,,,,,,,,,,,,,,Ahmed Sheikh Jama,
Q17385550,Abdullahi Mohamed Ali,Abdullahi Mohamed Ali,,,Abdullahi Mohamed Ali,Abdullahi Mohamed Ali,male,politician,Abdullahi Mohamed Ali,Abdullahi Mohamed Ali,,Abdullahi,,,,,,,,,Abdullahi Mohamed Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdullahi Mohamed Ali,,,,,,,,,,,,,,,,Abdullahi Mohamed Ali,
Q17386088,Mohamed Sheikh Ismail,Mohamed Sheikh Ismail,,Mohamed Sheikh Ismail,Mohamed Sheikh Ismail,Mohamed Sheikh Ismail,male,politician,Mohamed Sheikh Ismail,,,Mohamed,2014-10-30,,,,,,,,Mohamed Sheikh Ismail,,,,Mohamed Sheikh Ismail,,,,,,,,,,,,,,,محمد الشيخ إسماعيل,,,,محمد الشيخ إسماعيل,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohamed Sheikh Ismail,,,,,,,,,,,,,,,,Mohamed Sheikh Ismail,
Q17386400,Abdinur Sheikh Mohamed,Abdinur Sheikh Mohamed,,,Abdinur Sheikh Mohamed,Abdinur Sheikh Mohamed,male,politician,Abdinur Sheikh Mohamed,,,,,,,,,,,,Abdinur Sheikh Mohamed,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/30/Asheikhmm1.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdinur Sheikh Mohamed,,,,,,,,,,,,,,,,Abdinur Sheikh Mohamed,
Q17404430,Saado Ali Warsame,Saado Ali Warsame,Saado Ali Warsame,Saado Ali Warsame,Saado Ali Warsame,Saado Ali Warsame,female,politician,Saado Ali Warsame,,1950,,2014-07-23,Saado Cali Warsame,Saado Cali Warsame,,,Saado Ali Warsame,,,Saado Ali Warsame,,,,Saado Ali Warsame,,,Saado Ali Warsame,https://upload.wikimedia.org/wikipedia/commons/f/ff/Saadoaliw1.jpg,,,,,,,Saado Ali Warsame,,,,سعدو كالي ارسام,,,,,,,,Saado Ali Warsame,Saado Ali Warsame,,,,,,,,,,,,,Category:Saado Ali Warsame,,,,,,,,,,,,,,,,,,Saado Ali Warsame,,,,,,,,,,,,,,,Saado Ali Warsame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saado Ali Warsame,,,,Saado Ali Warsame,,,,,,,,,,,,,,,,Saado Ali Warsame,
Q17464745,Mohamed Mohamud Hayd,Mohamed Mohamud Hayd,Mohamed Mohamud Hayd,Mohamed Mohamud Hayd,Mohamed Mohamud Hayd,Mohamed Mohamud Hayd,male,politician,Mohamed Mohamud Hayd,,,Mohamed,2014-07-03,,,,,,,,Mohamed Mohamud Hayd,,,,Mohamed Mohamud Hayd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohamed Mohamud Hayd,,,,,,,,,,,,,,,,Mohamed Mohamud Hayd,
Q17540967,Raqiya Haji Dualeh Abdalla,Raqiya Haji Dualeh Abdalla,,Raqiya Haji Dualeh Abdalla,Raqiya Haji Dualeh Abdalla,Raqiya Haji Dualeh Abdalla,female,sociologist,Raqiya Haji Dualeh Abdalla,,,,,,,,,,,,Raqiya Haji Dualeh Abdalla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raqiya Haji Dualeh Abdalla,,,,,,,,,,,,,,,,Raqiya Haji Dualeh Abdalla,
Q18351578,Mahad Mohamed Salad,,,,Mahad Mohamed Salad,Mahad Mohamed Salad,male,politician,,Mahad Mohamed Salad,,,,,,,,,,,Mahad Mohamed Salad,,,,,,,,,,,,,,,,,マハド・モハメド・サラド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mahad Mohamed Salad,
Q18625272,Ibrahim Artan Ismael,Ibrahim Artan Ismael,Ibrahim Artan Ismail,Ibrahim Artan Ismael,Ibrahim Artan Ismael,Ibrahim Artan Ismail,male,diplomat,Ibrahim Artan Ismail,Ibrahim Artan Ismail,1955-10-23,Ibrahim,,,,,,,,,Ibrahim Artan Ismael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibrahim Artan Ismail,,,,,,,,,,,,,,,,,
Q18763770,Abdullahi Boos Ahmed,,,,Abdullahi Boos Ahmed,Abdullahi Boos Ahmed,male,politician,Abdullahi Boos Ahmed,Abdullahi Boos Ahmed,,,,,,,,,,,Abdullahi Boos Ahmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdullahi Boos Ahmed,
Q18763772,Abdullahi Yussuf Alankay,,,,Abdullahi Yussuf Alankay,Abdullahi Yussuf Alankay,male,politician,Abdullahi Yussuf Alankay,,,,,,,,,,,,Abdullahi Yussuf Alankay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdullahi Yussuf Alankay,
Q18808488,Aadil Sheegow Sagaar,,,,Aadil Sheegow Sagaar,Aadil Sheegow Sagaar,male,politician,Aadil Sheegow Sagaar,,,,,,,,,,,,Aadil Sheegow Sagaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aadil Sheegow Sagaar,
Q18808491,Abdullahi Mohamed Noor,,,,Abdullahi Mohamed Noor,Abdullahi Mohamed Noor,male,politician,Abdullahi Mohamed Noor,Abdullahi Mohamed Noor,,,,,,,,,,,Abdullahi Mohamed Noor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdullahi Mohamed Noor,
Q18921316,Khadra Bashir Ali,,,,Khadra Bashir Ali,Khadra Bashir Ali,female,politician,Khadra Bashir Ali,,,,,,,,,,,,Khadra Bashir Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khadra Bashir Ali,
Q18921599,Fahad Yasin Haji Dahir,,,,Fahad Yasin Haji Dahir,Fahad Yasin Haji Dahir,male,politician,Fahad Yasin Haji Dahir,,,Fahad,,,,,,,,,Fahad Yasin Haji Dahir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fahad Yasin Haji Dahir,
Q18921931,Abdirahman Mohamed Husen,,,,Abdirahman Mohamed Husen,Abdirahman Mohamed Husen,male,politician,Abdirahman Mohamed Husen,Abdirahman Mohamed Husen,,,,,,,,,,,Abdirahman Mohamed Husen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdirahman Mohamed Husen,
Q19321625,Shariif Mohamed Hassan,,Shariif Mohamed Hassan,,Shariif Mohamed Hassan,Shariif Mohamed Hassan,male,politician,,Shariif Mohamed Hassan,,,,,,,,,,,Shariif Mohamed Hassan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shariif Mohamed Hassan,
Q19321790,Abdullahi Bile Noor,,Abdullahi Bile Noor,,Abdullahi Bile Noor,Abdullahi Bile Noor,male,politician,Abdullahi Bile Noor,Abdullahi Bile Noor,1965,,,,,,,,,,Abdullahi Bile Noor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdullahi Bile Noor,
Q19609663,Abdulkadir Sheikh Ali Baghdadi,,Abdulkadir Sheikh Ali Baghdadi,,Abdulkadir Sheikh Ali Baghdadi,Abdulkadir Sheikh Ali Baghdadi,male,politician,Abdulkadir Sheikh Ali Baghdadi,,,Abdulkadir,,,,,,,,,Abdulkadir Sheikh Ali Baghdadi,Abdulkadir Sheikh Ali Baghdadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdulkadir Sheikh Ali Baghdadi,
Q19661643,Mohamed Adan,,Mohamed Adan,,Mohamed Adan,Mohamed Adan,male,politician,Mohamed Adan,,,Mohamed,,,,,,,,,Mohamed Adan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohamed Adan,
Q19661656,Abdullah Olaad Roobe,,Abdullah Olaad Roobe,,Abdullah Olaad Roobe,Abdullah Olaad Roobe,male,politician,Abdullah Olaad Roobe,,,Abdullah,,,,,,,,,Abdullah Olaad Roobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdullah Olaad Roobe,
Q19661675,Abdirashid Mohamed Hiddig,,Abdirashid Mohamed Hiddig,,Abdirashid Mohamed Hiddig,Abdirashid Mohamed Hiddig,male,politician,Abdirashid Mohamed Hiddig,,,,,,,,,,,,Abdirashid Mohamed Hiddig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdirashid Mohamed Hiddig,
Q19661704,Mohamud Hayir Ibrahim,,Mohamud Hayir Ibrahim,,Mohamud Hayir Ibrahim,Mohamud Hayir Ibrahim,male,politician,,,,,,,,,,,,,Mohamud Hayir Ibrahim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohamud Hayir Ibrahim,
Q19661706,Abdiweli Ibrahim Ali Sheikh Muudey,,Abdiweli Ibrahim Ali Sheikh Muudey,,Abdiweli Ibrahim Ali Sheikh Muudey,Abdiweli Ibrahim Ali Sheikh Muudey,male,independent politician,Abdiweli Ibrahim Ali Sheikh Muudey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdiweli Ibrahim Ali Sheikh Muudey,
Q19663873,Musa Kassim Omer,,Musa Kassim Omer,,Musa Kassim Omer,Musa Kassim Omer,male,physician,Musa Kassim Omer,,,,,,,,,,,,Musa Kassim Omer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Musa Kassim Omer,,,,,,,,,,,,,,,,Musa Kassim Omer,
Q19689971,Yusuf Bari-Bari,,Yusuf Bari-Bari,Yusuf Mohamed Ismail,Yusuf Bari-Bari,Yusuf Mohamed Ismail,male,diplomat,Yusuf Mohamed Ismail,,1960-09-11,,2015-03-27,Yuusuf Maxamed Ismaaciil,Yuusuf Maxamed Ismaaciil,,,,,,Yusuf Bari-Bari,,,,Yusuf Bari-Bari,,,Yusuf Mohamed Ismail,https://upload.wikimedia.org/wikipedia/commons/0/03/Baribari1.jpg,,,,,,,Yusuf Bari-Bari,,,,يوسف محمد إسماعيل,,,,يوسف محمد إسماعيل,,,,Yusuf Bari-Bari,Yusuf Mohamed Ismail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ইউসূফ মোহাম্মদ ইসমাঈল বারী-বারী,ইউসূফ মোহাম্মদ ইসমাঈল বারী-বারী,,,,,,,,,,,,,,,Yusuf Bari-Bari,,,,,,,,,,,,,,,,,
Q19895454,Abdihamid Sheikh Abdisalam Isse,,Abdihamid Sheikh Abdisalam Isse,,Abdihamid Sheikh Abdisalam Isse,Abdihamid Sheikh Abdisalam Isse,male,politician,Abdihamid Sheikh Abdisalam Isse,,,,,,,,,,,,Abdihamid Sheikh Abdisalam Isse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdihamid Sheikh Abdisalam Isse,,,,,,,,,,,,,,,,Abdihamid Sheikh Abdisalam Isse,
Q19938075,Abdilqadir Ali Omar,,Abdilqadir Ali Omar,,Abdilqadir Ali Omar,Abdilqadir Ali Omar,male,politician,Abdilqadir Ali Omar,,1950,,,,,,,,,,Abdilqadir Ali Omar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdilqadir Ali Omar,,,,,,,,,,,,,,,,Abdilqadir Ali Omar,
Q19957867,Dahir Mohamed Geele,,Dahir Mohamed Geele,,Dahir Mohamed Geele,Dahir Mohamud Gelle,male,diplomat,Dahir Mohamud Gelle,,,,,,,,,,,,Dahir Mohamed Geele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dahir Mohamed Geele,,,,,,,,,,,,,,,,Dahir Mohamed Geele,
Q20982490,Ahmed Ibrahim Artan,,Ahmed Ibrahim Artan,,Ahmed Ibrahim Artan,Ahmed Ibrahim Artan,male,diplomat,Ahmed Ibrahim Artan,,,Ahmed,,,,,,,,,Ahmed Ibrahim Artan,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/34/AHMED1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahmed Ibrahim Artan,,,,,,,,,,,,,,,,Ahmed Ibrahim Artan,
Q21065112,Abdulcadir Gabeire Farah,,Abdulcadir Gabeire Farah,Abdulcadir Gabeire Farah,Abdulcadir Gabeire Farah,Abdulcadir Gabeire Farah,male,politician,Abdulcadir Gabeire Farah,,1955,,2015-09-21,,,,,,,,Abdulcadir Gabeire Farah,,,,Abdulcadir Gabeire Farah,,,,,,,,Abdulcadir Gabeire Farah,,,,,,,,,,,,,,,,,,,,,Abdulcadir Gabeire Farah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdulcadir Gabeire Farah,,,,,,,,,,,,,,,,Abdulcadir Gabeire Farah,
Q21933545,Mohamed Hassan Maidane,Mohamed Hassan Maidane,Mohamed Hassan Maidane,Mohamed Hassan Maidane,Mohamed Hassan Maidane,Mohamed Hassan Maidane,male,politician,Mohamed Hassan Maidane,Mohamed Hassan Maidane,,Mohamed,,,,,,Mohamed Hassan Maidane,Mohamed Hassan Maidane,Mohamed Hassan Maidane,Mohamed Hassan Maidane,,,,,,,,,,,,,,,,,,,,,,穆罕默德·胡森·馬依達涅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohamed Hassan Maidane,
Q22278411,Yusuf Hussein Jimaale,,Yusuf Hussein Jimaale,,Yusuf Hussein Jimaale,Yusuf Hussein Jimaale,male,politician,Yusuf Hussein Jimaale,,,,,,,,,,,,Yusuf Hussein Jimaale,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0b/Yusuf_h_j.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yusuf Hussein Jimaale,,,,,,,,,,,,,,,,Yusuf Hussein Jimaale,
Q23058584,Muhayadin Mohamed,,Muhayadin Mohamed,,Muhayadin Mohamed,Muhayadin Mohamed,male,politician,Muhayadin Mohamed,,,,2016-02-15,,,,,,,,Muhayadin Mohamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muhayadin Mohamed,
Q23540881,Abdirashid Mohamed Ahmed,,,,Abdirashid Mohamed Ahmed,Abdirashid Mohamed Ahmed,male,politician,Abdirashid Mohamed Ahmed,,,,,,,,,,,,Abdirashid Mohamed Ahmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdirashid Mohamed Ahmed,
Q2423878,Djama Ali Moussa,,Djama Ali Moussa,Djama Ali Moussa,Djama Ali Moussa,Djama Ali Moussa,male,politician,Djama Ali Moussa,,1916,,1959-11,,,,,,,Djama Ali Moussa,Djama Ali Moussa,Djama Ali Moussa,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/19/Djama_Ali_Moussa.jpg,,,,,,,,,,,,,,,,,,,,Djama Ali Moussa,,,,,,,,,,,,Djama Ali Moussa,,,,,,,Djama Ali Moussa,,,,,,,,Djama Ali Moussa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Djama Ali Moussa,Djama Ali Moussa,,,,,,,,,,,,,,,,Djama Ali Moussa,
Q24529631,Hussein Sheikh Abdirahman,,Hussein Sheikh Abdirahman,,Hussein Sheikh Abdirahman,Hussein Sheikh Abdirahman,male,judge,Hussein Sheikh Abdirahman,,1941,,2016-05-16,,,,,,,,Hussein Sheikh Abdirahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hussein Sheikh Abdirahman,,,,,,,,,,,,,,,,Hussein Sheikh Abdirahman,
Q24894835,Hassan Moalim,,Hassan Moalim,,Hassan Moalim,Hassan Moalim,male,politician,Hassan Moalim,,,,,,,,,,,,Hassan Moalim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hassan Moalim,,,,,,,,,,,,,,,,Hassan Moalim,
