id,name__en,name__de,name__fr,name,wikipedia__en,gender,birth_date,given_name,original_wikiname,name__sr,name__sh,name__hr,name__en_ca,name__en_gb,name__ru,name__nl,name__pt,name__nb,name__da,name__nn,name__sv,name__cy,name__gl,wikipedia__hr,wikipedia__pt,wikipedia__ru,wikipedia__sh,wikipedia__sr,death_date,identifier__Munzinger,name__sl,name__bg,name__el,name__sr_el,name__sr_ec,name__es,name__mk,wikipedia__bg,wikipedia__commons,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__fr,wikipedia__mk,wikipedia__sl,image,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__freebase,identifier__FAST,family_name,name__it,name__hu,wikipedia__it,name__pl,name__bs,name__uk,wikipedia__bs,wikipedia__no,wikipedia__pl,wikipedia__sv,wikipedia__uk,name__cs,name__ie,wikipedia__cs,wikipedia__ie,name__sq,wikipedia__nl,wikipedia__sq,name__fa,wikipedia__fa,name__ka,wikipedia__bswikiquote,wikipedia__da,wikipedia__ka,wikipedia__srwikiquote,name__az,wikipedia__az,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__eu,name__ml,name__sk,name__tr,name__ro,name__ca,name__fi,name__lmo,name__lt,name__zh,name__id,name__ja,name__vi,name__sco,wikipedia__ca,wikipedia__elwikiquote,wikipedia__eu,wikipedia__fi,wikipedia__hu,wikipedia__id,wikipedia__ja,wikipedia__lmo,wikipedia__lt,wikipedia__ml,wikipedia__plwikiquote,wikipedia__ro,wikipedia__sco,wikipedia__sk,wikipedia__tr,wikipedia__vi,wikipedia__zh,identifier__NDL,identifier__SBN_it,identifier__NLA,identifier__OLID,identifier__NKC,identifier__SELIBR,identifier__NLI,identifier__BNE,identifier__PTBNP,identifier__NTA,identifier__BAV,identifier__NUKAT,identifier__CANTIC,identifier__NLAtrove,name__ko,name__he,name__yo,name__oc,name__ms,name__et,name__br,name__ar,name__eo,name__io,name__de_ch,name__pt_br,name__be,name__la,name__lv,wikipedia__ar,wikipedia__be,wikipedia__br,wikipedia__enwikisource,wikipedia__eo,wikipedia__et,wikipedia__gl,wikipedia__he,wikipedia__io,wikipedia__ko,wikipedia__la,wikipedia__lv,wikipedia__ms,wikipedia__nn,wikipedia__oc,wikipedia__simple,wikipedia__yo,identifier__GNC,identifier__GTAA,name__kk,name__lb,name__qu,wikipedia__kk,wikipedia__lb,wikipedia__qu,wikipedia__ruwikinews,wikipedia__ptwikiquote,identifier__PACE,wikipedia__hsb,name__hsb,identifier__bigenc_ru,wikipedia__hy,name__hy,occupation,wikipedia__itwikiquote,identifier__nlg
Q3503970,Dragiša Pešić,Dragiša Pešić,,Dragiša Pešić,Dragiša Pešić,male,1954-08-08,Dragiša,Dragiša Pešić,Драгиша Пешић,,,,,,Dragiša Pešić,Dragiša Pešić,,,,,,,,Dragiša Pešić,,,Драгиша Пешић,2016-09-08,,,,,Dragiša Pešić,Драгиша Пешић,Dragiša Pešić,,,,,,,,,,,,,,,,,,,,,Dragiša Pešić,,,,,,,,,,Dragiša Pešić,,Dragiša Pešić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,德拉基沙·佩西奇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3512674,Mihailo Ivanović,,,Mihailo Ivanović,Mihailo Ivanović,male,1874,,Mihailo Ivanović,,,Mihailo Ivanović,,,"Иванович, Михайло",Mihailo Ivanović,,,,,,,,Mihailo Ivanović,,"Иванович, Михайло",,,1949,,,,,,,,,,,,,,,,,,,,,,,,,,Ivanović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3539814,Marko Orlandić,Marko Orlandić,Marko Orlandić,Marko Orlandić,Marko Orlandić,male,1930-09-28,Marko,Marko Orlandić,Марко Орландић,,,,,,Marko Orlandić,,,,,,,,,,,,Марко Орландић,,,,,,,,,,,,,,,,,,,,21655458,,,,,,,,,,,,,,,,,,,,,,,,Marko Orlandić,,,,,,,,,,,,馬爾科·奧爾蘭迪奇,,马尔科·奥尔兰迪奇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,,
Q356556,Željko Šturanović,Željko Šturanović,Željko Šturanović,Željko Šturanović,Željko Šturanović,male,1960-01-31,Željko,Željko Šturanović,Жељко Штурановић,Željko Šturanović,Željko Šturanović,,,"Штуранович, Желько",Željko Šturanović,,Željko Šturanović,Željko Šturanović,Željko Šturanović,Željko Šturanović,Željko Šturanović,Željko Šturanović,Željko Šturanović,,"Штуранович, Желько",Željko Šturanović,Жељко Штурановић,2014-06-30,00000026246,,Желко Щуранович,Ζέλικο Στουράνοβιτς,Željko Šturanović,Жељко Штурановић,Željko Šturanović,,Желко Щуранович,,Željko Šturanović,Ζέλικο Στουράνοβιτς,Željko Šturanović,Željko Šturanović,,,,,,,,,,/m/0ks0xw,,,Željko Šturanović,Željko Šturanović,Željko Šturanović,Željko Šturanović,Željko Šturanović,Желько Штуранович,Željko Šturanović,,Željko Šturanović,Željko Šturanović,Желько Штуранович,Željko Šturanović,Željko Šturanović,Željko Šturanović,Željko Šturanović,Zeljko Sturanoviç,,Zeljko Sturanoviç,,,,,,,,,,,,,,,,,,Željko Šturanović,Željko Šturanović,,,Željko Šturanović,,,,,ジェリコ・シュトラノヴィッチ,,,,,,Željko Šturanović,,,ジェリコ・シュトラノヴィッチ,,,,,,,Željko Šturanović,Željko Šturanović,,,,,,,,,,,,,,,,,,,,Željko Šturanović,,Željko Šturanović,,,,,,,,,,,,,Author:Željko Šturanović,,Željko Šturanović,,,,,,,,,Željko Šturanović,Željko Šturanović,,,,,,,,,,,,,,,,,,politician,,
Q4080005,Slobodan Backović,,,Slobodan Backović,Slobodan Backović,male,1946-09-03,Slobodan,Slobodan Backović,,,,,,"Бацкович, Слободан",Slobodan Backović,,,,,,,,,,"Бацкович, Слободан",,,,,,,,,,Slobodan Backović,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e4/Slobodan_Backovic.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,,
Q4098705,Žarko Bulajić,Žarko Bulajić,,Žarko Bulajić,Žarko Bulajić,male,1922-07-22,Žarko,Žarko Bulajić,Жарко Булајић,,,,,"Буладжич, Жарко",Žarko Bulajić,,,,,,,,,,"Буладжич, Жарко",,Жарко Булајић,2009-01-01,,,,,,,,,,,,,,,,,,,233711655,,,115512798,,/m/0dpcb5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,political commissar,,
Q431413,Svetozar Marović,Svetozar Marović,Svetozar Marović,Svetozar Marović,Svetozar Marović,male,1955-03-31,Svetozar,Svetozar Marović,Светозар Маровић,Svetozar Marović,Svetozar Marović,,,"Марович, Светозар",Svetozar Marović,Svetozar Marović,Svetozar Marović,Svetozar Marović,Svetozar Marović,Svetozar Marović,,Svetozar Marović,Svetozar Marović,Svetozar Marović,"Марович, Светозар",Svetozar Marović,Светозар Маровић,,,,,,Svetozar Marović,Светозар Маровић,Svetozar Marović,,,,Svetozar Marović,,Svetozar Marović,Svetozar Marović,,,https://upload.wikimedia.org/wikipedia/commons/f/fe/Svetozar_Marović.jpg,,40316520,124611680,,,,/m/022q11,,,Svetozar Marović,Svetozar Marović,Svetozar Marović,Svetozar Marović,Svetozar Marović,Светозар Марович,Svetozar Marović,Svetozar Marović,Svetozar Marović,Svetozar Marović,Светозар Марович,,,,,,,,,,,Svetozar Marović,,,Светозар Маровић,,,斯韦托扎尔·马罗维奇,斯韋托扎爾·馬羅維奇,斯韋托扎爾·馬羅維奇,斯韦托扎尔·马罗维奇,斯韦托扎尔·马罗维奇,斯韋托扎爾·馬羅維奇,,,,,,,Svetozar Marović,,,斯韦托扎尔·马罗维奇,Svetozar Marović,スヴェトザル・マロヴィッチ,,,,,,Svetozar Marović,,Svetozar Marović,スヴェトザル・マロヴィッチ,,,,,,,,,,斯韦托扎尔·马罗维奇,,,,,,,,,,,,,,,스베토자르 마로비치,סבטוזר מרוביץ',,,,,,,,,,,,,,,,,,,,Svetozar Marović,סבטוזר מרוביץ',,스베토자르 마로비치,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q4759340,Andrija Lompar,Andrija Lompar,Andrija Lompar,Andrija Lompar,Andrija Lompar,male,1956-11-26,Andrija,Andrija Lompar,,,,,,,Andrija Lompar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/aa/Andrija_Lompar_signs_U.S.-Montenegro_Open_Skies_Agreement.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4946183,Boro Vučinić,Boro Vučinić,,Boro Vučinić,Boro Vučinić,male,1954,,Boro Vučinić,,,,,,,Boro Vučinić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boro Vučinić,,,,,Boro Vučinić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4953092,Božo Nikolić,Božo Nikolić,Božo Nikolić,Božo Nikolić,Božo Nikolić,male,1949,Božo,Božo Nikolić,,,,,,,Božo Nikolić,,,,,,,,,,,,,2010-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q4957423,Branislav Šoškić,Branislav Šoškić,Branislav Šoškić,Branislav Šoškić,Branislav Šoškić,male,1922-11-19,Branislav,Branislav Šoškić,Бранислав Шошкић,,,,,"Шошкич, Бранислав",Branislav Šoškić,,,,,,,,,,"Шошкич, Бранислав",,Бранислав Шошкић,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,布拉尼斯拉夫·索斯基奇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economist,,
Q4985108,Budislav Šoškić,Budislav Šoškić,,Budislav Šoškić,Budislav Šoškić,male,1925,,Budislav Šoškić,Будислав Шошкић,,,,,"Шошкич, Будислав",Budislav Šoškić,,,,,,,,,,"Шошкич, Будислав",,Будислав Шошкић,1979,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/75/Budislav_Šoškić.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,political commissar,,
Q511453,Andrija Mandić,Andrija Mandić,Andrija Mandić,Andrija Mandić,Andrija Mandić,male,1965-01-19,Andrija,Andrija Mandić,Андрија Мандић,,,,,,Andrija Mandić,,,,,,,,,,,,Андрија Мандић,,,,,,,,,,,,Andrija Mandić,,,Andrija Mandić,,,,,,,,,,/m/03ctzkl,,Mandić,,,,Andrija Mandić,,,,,Andrija Mandić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5993,,,,,,politician,,
Q5304918,Dragan Đurović,,,Dragan Đurović,Dragan Đurović,male,1959-10-31,Dragan,Dragan Đurović,,,,,,,Dragan Đurović,,,,,,,,,,,,,,,,,,,,Dragan Đurović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ドラガン・ジュロヴィッチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5304975,Dragiša Burzan,Dragiša Burzan,Dragiša Burzan,Dragiša Burzan,Dragiša Burzan,male,1950,Dragiša,Dragiša Burzan,,,,,,,Dragiša Burzan,,,,,,,,,,,,,,,,,,,,Dragiša Burzan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,,
Q5448463,Filip Bajković,,,Filip Bajković,Filip Bajković,male,1910-05-20,Filip,Filip Bajković,Филип Бајковић,,,,,,Filip Bajković,,,,,,,,,,,,Филип Бајковић,1985,,Filip Bajković,,,,,,,,,,,,,,Filip Bajković,,,,,,,,/m/0gs80h,,,,,,Filip Bajković,,,,,Filip Bajković,,,,,,,,,,,,,,,,,,,,菲利普·巴吉科維奇,,菲利普·巴吉科维奇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,political commissar,,
Q57542,Filip Vujanović,Filip Vujanović,Filip Vujanović,Filip Vujanović,Filip Vujanović,male,1954-09-01,Filip,Filip Vujanović,Филип Вујановић,Filip Vujanović,Filip Vujanović,Filip Vujanović,Filip Vujanović,Филип Вуянович,Filip Vujanović,Filip Vujanović,Filip Vujanović,Filip Vujanović,Filip Vujanović,Filip Vujanović,,Filip Vujanović,Filip Vujanović,Filip Vujanović,"Вуянович, Филип",Filip Vujanović,Филип Вујановић,,00000024570,,Филип Вуянович,Φίλιπ Βουγιάνοβιτς,,,Filip Vujanović,Филип Вујановиќ,Филип Вуянович,,Filip Vujanović,Φίλιπ Βουγιάνοβιτς,Filip Vujanović,Filip Vujanović,,,https://upload.wikimedia.org/wikipedia/commons/0/05/FilipVujanovic.jpg,,,,,,,/m/035z83,,,Filip Vujanović,Filip Vujanović,Filip Vujanović,Filip Vujanović,Filip Vujanović,Філіп Вуянович,Filip Vujanović,Filip Vujanović,Filip Vujanović,Filip Vujanović,Філіп Вуянович,Filip Vujanović,Filip Vujanović,Filip Vujanović,Filip Vujanović,Filip Vujanoviç,Filip Vujanović,Filip Vujanoviç,فیلیپ وویانویچ,فیلیپ وویانویچ,ფილიპ ვუიანოვიჩი,Filip Vujanović,Filip Vujanović,ფილიპ ვუიანოვიჩი,,,,,,,,,,Filip Vujanović,,Filip Vujanović,Filip Vujanović,Filip Vujanović,Filip Vujanović,Filip Vujanović,Filip Vujanović,Filip Vujanović,菲利普·武亚诺维奇,Filip Vujanović,フィリップ・ヴヤノヴィッチ,Filip Vujanović,Filip Vujanović,Filip Vujanović,,Filip Vujanović,Filip Vujanović,,Filip Vujanović,フィリップ・ヴヤノヴィッチ,Filip Vujanović,Filip Vujanović,,,Filip Vujanović,Filip Vujanović,Filip Vujanović,Filip Vujanović,Filip Vujanović,菲利普·武亚诺维奇,,,,,,,,,,,,,,,필리프 부야노비치,פיליפ וויאנוביץ',Filip Vujanović,Filip Vujanović,,Filip Vujanović,,فيليب فويانوفيتش,Filip Vujanović,Filip Vujanović,Filip Vujanović,Filip Vujanović,Філіп Вуянавіч,Philippus Vujanović,,فيليب فويانوفيتش,Філіп Вуянавіч,,Author:Filip Vujanović,Filip Vujanović,Filip Vujanović,Filip Vujanović,פיליפ וויאנוביץ',Filip Vujanović,필리프 부야노비치,Philippus Vujanović,,,Filip Vujanović,Filip Vujanović,,Filip Vujanović,,,Филип Вуянович,Filip Vujanović,Filip Vujanović,Филип Вуянович,Filip Vujanović,Filip Vujanović,Категория:Филип Вуянович,,,,,,Ֆիլիպ Վույանովիչ,Ֆիլիպ Վույանովիչ,politician,,
Q57746,Igor Lukšić,Igor Lukšić,Igor Lukšić,Igor Lukšić,Igor Lukšić,male,1976-06-14,Igor,Igor Lukšić,Игор Лукшић,Igor Lukšić,Igor Lukšić,,,"Лукшич, Игор",Igor Lukšić,Igor Lukšić,Igor Lukšić,Igor Lukšić,Igor Lukšić,Igor Lukšić,,,Igor Lukšić,Igor Lukšić,"Лукшич, Игор",Igor Lukšić,Игор Лукшић,,,,Игор Лукшич,,,,Igor Lukšić,,Игор Лукшич,Category:Igor Lukšić,Igor Lukšić,,Igor Lukšić,Igor Lukšić,,,https://upload.wikimedia.org/wikipedia/commons/d/db/Luksic_portrait.jpg,,310661503,1058094173,,,188947809,/m/02rl22g,,,Igor Lukšić,Igor Lukšić,Igor Lukšić,Igor Lukšić,,Ігор Лукшич,,Igor Lukšić,Igor Lukšić,Igor Lukšić,Ігор Лукшич,Igor Lukšić,Igor Lukšić,Igor Lukšić,Igor Lukšić,,Igor Lukšić,,ایگور لوکشیچ,ایگور لوکشیچ,,,,,,,,,,,,,,,,,Igor Lukšić,Igor Lukšić,Igor Lukšić,,,,伊戈尔·卢科希奇,Igor Lukšić,イゴル・ルクシッチ,,,,,,,,Igor Lukšić,イゴル・ルクシッチ,,,,,Igor Lukšić,,,Igor Lukşiç,,伊戈尔·卢科希奇,,,,,,,,,,,,,,,이고르 루크시치,,Igor Lukšić,Igor Lukšić,,Igor Lukšić,Igor Lukšić,,,Igor Lukšić,,,,Inguarus Lukšić,,,,Igor Lukšić,,,Igor Lukšić,,,Igor Lukšić,이고르 루크시치,Inguarus Lukšić,,,,Igor Lukšić,,Igor Lukšić,,,,,,,,,,,,,,,,,politician,,
Q6296668,Jovan Markuš,,,Jovan Markuš,Jovan Markuš,male,1949-01-20,Jovan,Jovan Markuš,,,,,,,Jovan Markuš,,,,,,,,,,,,,,,,,,,,Jovan Markuš,,,,,,,,,,,,,,,,,,,,,Jovan Markuš,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q641395,Veselin Đuranović,Veselin Đuranović,Veselin Đuranović,Veselin Đuranović,Veselin Đuranović,male,1925-05-17,Veselin,Veselin Đuranović,Веселин Ђурановић,,Veselin Đuranović,,,"Джуранович, Веселин",Veselin Đuranović,Veselin Đuranović,,,,,,,Veselin Đuranović,Veselin Đuranović,"Джуранович, Веселин",,Веселин Ђурановић,1997-08-30,,,,,Veselin Đuranović,Веселин Ђурановић,Veselin Duranović,,,,Veselin Đuranović,,Veselin Duranović,Veselin Đuranović,,,https://upload.wikimedia.org/wikipedia/commons/1/11/Veselin_Đuranović.jpg,,,,,,,/m/0dm7x6,,,Veselin Đuranović,,Veselin Đuranović,Veselin Đuranović,,,,,Veselin Đuranović,,,,,,,,,,,,,,,,,,,,韋塞林·久拉諾維奇,,韦塞林·久拉诺维奇,,,,,,,,,,,,,,ヴェセリン・ジュラノヴィッチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,political commissar,,
Q6435474,Koča Pavlović,,,Koča Pavlović,Koča Pavlović,male,1962-09-17,,Koča Pavlović,,,,,,,Koča Pavlović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pavlović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q656898,Sekula Drljević,Sekula Drljević,Sekula Drljević,Sekula Drljević,Sekula Drljević,male,1884-08-25,,Sekula Drljević,Секула Дрљевић,Sekula Drljević,Sekula Drljević,,,"Дрлевич, Секула",Sekula Drljević,,Sekula Drljević,Sekula Drljević,Sekula Drljević,Sekula Drljević,,,Sekula Drljević,,"Дрлевич, Секула",Sekula Drljević,Секула Дрљевић,1945-11-10,,,,,Sekula Drljević,Секула Дрљевић,Sekula Drljević,,,,Sekula Drljević,,,Sekula Drljević,,,https://upload.wikimedia.org/wikipedia/commons/d/d5/Sekula_Drljević.jpg,0000 0000 4320 4047,24779829,12180884X,no96030679,13738052k,,/m/07dbnc,,,Sekula Drljević,Sekula Drljević,Sekula Drljević,Sekula Drljević,,Секула Дрлевич,,,Sekula Drljević,,Секула Дрлевич,,,,,,,,,,,,,,,,,,塞庫勒·德爾耶維奇,,塞库勒·德尔耶维奇,,,,,,,,,,,,,,セクラ・ドルリェビッチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,סקולה דרלייביץ',,,,,,,,,,,,,,,,,,,,,סקולה דרלייביץ',,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q6591444,Veljko Milatović,,,Veljko Milatović,Veljko Milatović,male,1921-12-05,Veljko,Veljko Milatović,Вељко Милатовић,,,,,,Veljko Milatović,,,,,,,,,,"Милатович, Велько",,Вељко Милатовић,2004-10-19,,,,,Veljko Milatović,Вељко Милатовић,,,,,,,,,,,,,295889720,,,,,,,,,,,Veljko Milatović,,,,,Veljko Milatović,,,,,,,,,,,,,,,,,,,,韋利科·米拉托維奇,,韦利科·米拉托维奇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,political commissar,,
Q6592979,Srđan Milić,Srđan Milić,,Srđan Milić,Srđan Milić,male,1965-09-17,Srđan,Srđan Milić,Срђан Милић,,,,,,Srđan Milić,,,,,,,,,,,,Срђан Милић,,,,,,Srđan Milić,Срђан Милић,,,,,,,,,,,,,,,,,,,,,,,,Srđan Milić,,,,,Srđan Milić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6871381,Miodrag Vlahović,,,Miodrag Vlahović,Miodrag Vlahović,male,,Miodrag,Miodrag Vlahović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,米奧德拉格·弗拉霍維奇,,米奥德拉格·弗拉霍维奇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6871382,Miodrag Vlahović,,,Miodrag Vlahović,Miodrag Vlahović (foreign minister),male,,Miodrag,Miodrag Vlahović (foreign minister),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,,
Q6871391,Miodrag Živković,,,Miodrag Živković,Miodrag Živković,male,1957,Miodrag,Miodrag Živković,Miodrag Živković,,,,,,Miodrag Živković,,,,,,,,,,,,Miodrag Živković (političar),,,,,,,,,,,,,,,,,,,,,,,,,,,Živković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q6897530,Momčilo Cemović,,Momčilo Cemović,Momčilo Cemović,Momčilo Cemović,male,1928,,Momčilo Cemović,Момчило Цемовић,,,,,,,,,,,,,,,,,,Момчило Цемовић,2001,,,,,,,,,,,,,,,,,,,37077765,,,13532234d,050489356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,political commissar,,
Q7064886,Novica Radović,,,Novica Radović,Novica Radović,male,1890,,Novica Radović,Новица Радовић,,Novica Radović,,,,,,,,,,,,Novica Radović,,,,Новица Радовић,1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q715893,Momir Bulatović,Momir Bulatović,Momir Bulatović,Momir Bulatović,Momir Bulatović,male,1956-09-21,,Momir Bulatović,Момир Булатовић,,Momir Bulatović,,,"Булатович, Момир",Momir Bulatović,Momir Bulatović,Momir Bulatović,Momir Bulatović,Momir Bulatović,Momir Bulatović,,,Momir Bulatović,Momir Bulatović,"Булатович, Момир",,Момир Булатовић,,,Momir Bulatović,,,Momir Bulatović,Момир Булатовић,Momir Bulatović,,,Category:Momir Bulatović,Momir Bulatović,,,Momir Bulatović,,Momir Bulatović,https://upload.wikimedia.org/wikipedia/commons/1/1d/Momir_Bulatović.jpg,,79263611,103476903,no98114925,,,/m/03f7jh,,,Momir Bulatović,Momir Bulatović,Momir Bulatović,Momir Bulatović,Momir Bulatović,Момір Булатович,Momir Bulatović,,Momir Bulatović,,Момір Булатович,Momir Bulatović,,Momir Bulatović,,,,,مومیر بولاتوویچ,مومیر بولاتوویچ,მომირ ბულატოვიჩი,Momir Bulatović,Momir Bulatović,მომირ ბულატოვიჩი,Момир Булатовић,,,,莫米爾·布拉托維奇,,莫米尔·布拉托维奇,,,,,,,,,,,,,,モミル・ブラトヴィッチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,مومير بولاتوفيتش,,,,,,,,مومير بولاتوفيتش,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
