id,name__fr,name__en,name,wikipedia__fr,gender,birth_date,death_date,given_name,original_wikiname,name__it,name__nl,name__hu,name__pt,name__es,name__de,wikipedia__en,wikipedia__pt,name__el,name__ty,name__nb,name__da,name__nn,name__sv,name__tr,name__pl,name__ko,wikipedia__el,wikipedia__ko,wikipedia__pl,wikipedia__tr,wikipedia__ty,image,family_name,identifier__sycomore,twitter,facebook,name__vi,name__ca,name__lt,name__fi,wikipedia__ca,wikipedia__es,wikipedia__fi,wikipedia__lt,wikipedia__no,wikipedia__vi,identifier__freebase,name__cy,name__ru,wikipedia__nl,wikipedia__ru,name__ja,name__en_ca,name__en_gb,wikipedia__de,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__EuroparlMEP,identifier__senatDOTfr,identifier__FAST,name__zh,website,name__et,name__hr,name__la,wikipedia__commons,wikipedia__et,wikipedia__hr,wikipedia__it,wikipedia__la,wikipedia__sv,name__sh,wikipedia__sh,wikipedia__ar,name__ar,name__zh_hant,name__zh_cn,wikipedia__zh,occupation,identifier__persee,name__nds,name__li,name__lb,name__gsw,identifier__assemblee_nationale
Q3123602,Gérald Coppenrath,Gérald Coppenrath,Gérald Coppenrath,Gérald Coppenrath,male,1922-04-17,2008-11-04,Gérald,Gérald Coppenrath,,Gérald Coppenrath,Gérald Coppenrath,,Gérald Coppenrath,Gérald Coppenrath,Gérald Coppenrath,,,,Gérald Coppenrath,Gérald Coppenrath,Gérald Coppenrath,Gérald Coppenrath,,,,,,,,,,,,,,,,,,,,,,,,/m/04zw06g,Gérald Coppenrath,,,,,,,,0000 0000 7832 1972,6074147,131725653,,12274540t,077045467,,senateur/coppenrath_gerald57710g,,,,,,,,,,,,,,,,,,,,journalist,160737,,,,,
Q3125246,Haamoetini Lagarde,Haamoetini Lagarde,Haamoetini Lagarde,Haamoetini Lagarde,female,,,,Haamoetini Lagarde,Haamoetini Lagarde,,Haamoetini Lagarde,,,,,,,,Haamoetini Lagarde,Haamoetini Lagarde,Haamoetini Lagarde,Haamoetini Lagarde,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/4e/Mairefa4.jpg,Lagarde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3160384,Jacqui Drollet,Jacqui Drollet,Jacqui Drollet,Jacqui Drollet,male,1944-11-22,,Jacqui,Jacqui Drollet,,Jacqui Drollet,Jacqui Drollet,Jacqui Drollet,,Jacqui Drollet,Jacqui Drollet,Jacqui Drollet,,Jacqui Drollet,Jacqui Drollet,,,,,,,,,,,Jacqui Drollet,https://upload.wikimedia.org/wikipedia/commons/6/6c/Le_président_de_l'assemblée_de_la_Polynésie.jpg,,,,,,,,,,,,,Jacqui Drollet,,,,,,,,,,,0000 0004 1881 2699,305247587,,,16712909g,171660986,,,,,,,,,,,,,,,,,,,傑奎·杜洛特,杰奎·杜洛特,,politician,,,,,,
Q3164730,Jean-Christophe Bouissou,Jean-Christophe Bouissou,Jean-Christophe Bouissou,Jean-Christophe Bouissou,male,1960-10-28,,Jean-Christophe,Jean-Christophe Bouissou,,Jean-Christophe Bouissou,Jean-Christophe Bouissou,,Jean-Christophe Bouissou,,Jean-Christophe Bouissou,,,,Jean-Christophe Bouissou,Jean-Christophe Bouissou,Jean-Christophe Bouissou,Jean-Christophe Bouissou,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/35/Jean-Christophe_Bouissou.jpg,,,,,,,,,,,,,,,,,,,,ジャン＝クリストッフ・ブイスー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,
Q3172869,Jean Juventin,Jean Juventin,Jean Juventin,Jean Juventin,male,1928-03-09,,Jean,Jean Juventin,Jean Juventin,,Jean Juventin,,,Jean Juventin,Jean Juventin,,,,Jean Juventin,Jean Juventin,Jean Juventin,Jean Juventin,,Jean Juventin,,,,,,,,,4109,,,,Jean Juventin,Jean Juventin,,Jean Juventin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Jean Juventin,Jean Juventin,Jean Juventin,Jean Juventin,
Q3194720,Keitapu Maamaatuaiahutapu,Keitapu Maamaatuaiahutapu,Keitapu Maamaatuaiahutapu,Keitapu Maamaatuaiahutapu,male,,,,Keitapu Maamaatuaiahutapu,,,Keitapu Maamaatuaiahutapu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,
Q3271158,Léon Lichtlé,Léon Lichtlé,Léon Lichtlé,Léon Lichtlé,male,1941-05-26,,Léon,Léon Lichtlé,,,Léon Lichtlé,,,,,,,,Léon Lichtlé,Léon Lichtlé,Léon Lichtlé,Léon Lichtlé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,
Q3289309,Marcel Pouvanaa Oopa,Marcel Oopa,Marcel Oopa,Marcel Pouvanaa Oopa,male,1917-04-21,1961-07-14,Marcel,Marcel Pouvanaa Oopa,Marcel Pouvanaa Oopa,Marcel Oopa,Marcel Pouvanaa Oopa,,,Marcel Oopa,Marcel Oopa,,,,Marcel Pouvanaa Oopa,Marcel Pouvanaa Oopa,Marcel Pouvanaa Oopa,Marcel Pouvanaa Oopa,,Marcel Pouvanaa Oopa,,,,,,,,,5607,,,,Marcel Pouvanaa Oopa,Marcel Pouvanaa Oopa,,,,,,Marcel Pouvanaa Oopa,,/m/07s7jrx,,,,,,,,,,,,,,,,,,,,,Marcel Oopa,,,,Marcel Oopa,,,,Marcel Oopa,Marcel Oopa,,,,,,politician,,Marcel Pouvanaa Oopa,Marcel Pouvanaa Oopa,Marcel Pouvanaa Oopa,Marcel Pouvanaa Oopa,
Q3341009,Nicole Bouteau,Nicole Bouteau,Nicole Bouteau,Nicole Bouteau,female,1969-01-20,,Nicole,Nicole Bouteau,Nicole Bouteau,Nicole Bouteau,Nicole Bouteau,,Nicole Bouteau,Nicole Bouteau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,
Q3367673,Pascale Haiti,Pascale Haiti,Pascale Haiti,Pascale Haiti,female,1972-04-03,,Pascale,Pascale Haiti,Pascale Haiti,,Pascale Haiti,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/12/P.Haiti.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3369606,Patrick Leboucher,Patrick Leboucher,Patrick Leboucher,Patrick Leboucher,male,1950-06-07,,Patrick,Patrick Leboucher,,,Patrick Leboucher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3379075,Philip Schyle,Philip Schyle,Philip Schyle,Philip Schyle,male,1962-09-15,,Philip,Philip Schyle,,Philip Schyle,Philip Schyle,Philip Schyle,Philip Schyle,Philip Schyle,Philip Schyle,Philip Schyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,菲利普·思訥,,,,,,,,,,,,,,,,,,politician,,,,,,
Q3385093,Pierre Frébault,Pierre Frébault,Pierre Frébault,Pierre Frébault,male,1959-10-27,,Pierre,Pierre Frébault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3517190,Teina Maraeura,Teina Maraeura,Teina Maraeura,Teina Maraeura,female,1950-08-11,,,Teina Maraeura,Teina Maraeura,Teina Maraeura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,
Q3556404,Vetea Bambridge,Vetea Bambridge,Vetea Bambridge,Vetea Bambridge,male,1955-07-22,2005-01-29,,Vetea Bambridge,Vetea Bambridge,,,,,,,,,,Vetea Bambridge,Vetea Bambridge,Vetea Bambridge,Vetea Bambridge,,,,,,,,,,,,,,,,,,,,,,,,,Vetea Bambridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,
Q3565772,Walter Grand,Walter Grand,Walter Grand,Walter Grand,male,1917-06-29,1983-07-04,Walter,Walter Grand,,,,,,,,,,,Walter Grand,Walter Grand,Walter Grand,Walter Grand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,military personnel,,,,,,
Q3588780,Émile Vernaudon,Émile Vernaudon,Émile Vernaudon,Émile Vernaudon,male,1843-12-08,,Émile,Émile Vernaudon,Émile Vernaudon,,,,,Émile Vernaudon,,,,,Émile Vernaudon,Émile Vernaudon,Émile Vernaudon,Émile Vernaudon,,Émile Vernaudon,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a1/Emile_Vernaudon.jpg,Vernaudon,7417,,,,Émile Vernaudon,Émile Vernaudon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Émile Vernaudon,Émile Vernaudon,Émile Vernaudon,Émile Vernaudon,
Q6120901,Jacques Teuira,Jacques Teuira,Jacques Teuira,Jacques Teuira,male,1933-12-14,,Jacques,Jacques Teuira,,Jacques Teuira,,,,Jacques Teuira,Jacques Teuira,,,,Jacky Teuira,,,,,,,,,,,,,,,,,,,,,,,,,Jacky Teuira,,,,,,,,Jacques Teuira,Jacques Teuira,,,,,,,,,,,賈姬·狄舞拉,,,,,,,,,,,,,,,,,,politician,,,,,,
Q936654,Oscar Temaru,Oscar Temaru,Oscar Temaru,Oscar Temaru,male,1944-11-01,,Oscar,Oscar Temaru,Oscar Temaru,Oscar Temaru,Oscar Temaru,Oscar Temaru,Oscar Temaru,Oscar Temaru,Oscar Temaru,Oscar Temaru,Όσκαρ Τεμαρού,Oscar Temaru,Oscar Temaru,Oscar Temaru,Oscar Temaru,Oscar Temaru,,Oscar Temaru,오스카르 테마루,Όσκαρ Τεμαρού,오스카르 테마루,Oscar Temaru,,Oscar Temaru,https://upload.wikimedia.org/wikipedia/commons/c/c2/Oscar_Temaru_2015.jpg,,,,,,Oscar Temaru,Oscar Temaru,Oscar Temaru,Oscar Temaru,Oscar Temaru,Oscar Temaru,Oscar Temaru,Oscar Temaru,,/m/036p99,,"Темару, Оскар",,"Темару, Оскар",,,,,0000 0000 9692 8452,143306967,,nb2005007078,140514185,079443265,,,1614997,奧斯卡·特馬魯,,Oscar Temaru,Oscar Temaru,Anscharius Manutahi Temaru,Category:Oscar Temaru,Oscar Temaru,Oscar Temaru,Oscar Temaru,Anscharius Manutahi Temaru,Oscar Temaru,,,,,,,,politician,,,,,,
