id,name__fr,name__it,name__en,name,wikipedia__fr,image,gender,birth_date,given_name,original_wikiname,name__nl,name__de,name__ar,wikipedia__ar,wikipedia__en,identifier__freebase,wikipedia__commons,name__pl,wikipedia__pl,name__es,name__hu,name__sv,wikipedia__sv,name__zh_hans,name__zh_hant,name__zh_hk,name__nb,name__ru,name__uk,name__et,name__zh,name__id,name__tr,name__ca,name__kab,wikipedia__ca,wikipedia__de,wikipedia__es,wikipedia__et,wikipedia__hu,wikipedia__id,wikipedia__it,wikipedia__kab,wikipedia__nl,wikipedia__no,wikipedia__ru,wikipedia__tr,wikipedia__uk,wikipedia__zh,name__cs,wikipedia__cswikiquote,website,twitter,identifier__IMDB,identifier__VIAF,identifier__BNF,name__ja,name__eu,identifier__allmovie,identifier__kinopoisk,wikipedia__fawikiquote,identifier__google_knowledge,occupation,name__fa,facebook,wikipedia__arwikinews,name__mg,wikipedia__mg,family_name,identifier__GND,identifier__LCAuth,name__bn,identifier__ISNI,weblog,name__sl,wikipedia__fa,death_date,identifier__Munzinger
Q29577454,Imen Ben Mhamed,,Imen Ben Mhamed,Imen Ben Mhamed,Imen Ben Mhamed,https://upload.wikimedia.org/wikipedia/commons/0/03/ImenBenAhmed_Ennahdha_2014.JPG,female,1984-11-13,Imen,Imen Ben Mhamed,Imen Ben Mhamed,Imen Ben Mhamed,إيمان بن محمد,,,,Category:Imen Ben Mhamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ImenBenMohamed,,,,,,,,,,politician,,,,,,,,,,,,Imen Ben Mhamed,,,
Q29577510,Basma Jebali,,Basma Jebali,Basma Jebali,Basma Jebali,,female,1975-12-25,,Basma Jebali,Basma Jebali,Basma Jebali,بسمة الجبالي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,besma.jebali,,,,,,,,,,Basma Jebali,,,
Q29580438,Abdelaziz Kotti,,Abdelaziz Kotti,Abdelaziz Kotti,Abdelaziz Kotti,https://upload.wikimedia.org/wikipedia/commons/d/d1/Abdlaziz_Kotti.JPG,male,1970-04-30,Abd al-Aziz,Abdelaziz Kotti,Abdelaziz Kotti,Abdelaziz Kotti,عبد العزيز القطي,,,,Category:Abdelaziz Kotti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Abdelaziz Kotti,,,
Q29580481,Mohamed Ghannem,,Mohamed Ghannem,Mohamed Ghannem,Mohamed Ghannem,https://upload.wikimedia.org/wikipedia/commons/6/6d/Mohamed_Ghannem.png,male,1955-05-27,Mohamed,Mohamed Ghannem,Mohamed Ghannem,Mohamed Ghannem,محمد غنام,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cardiologist,,dr.mohamed.ghannem,,,,,,,,,,Mohamed Ghannem,,,
Q3125673,Hafedh Zouari,Hafedh Zouari,Hafedh Zouari,Hafedh Zouari,Hafedh Zouari,,male,1963,,Hafedh Zouari,Hafedh Zouari,Hafedh Zouari,حافظ الزواري,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,businessperson,,,,,,,,,,,,Hafedh Zouari,,,
Q3129573,Hela Hammi,Hela Hammi,Hela Hammi,Hela Hammi,Hela Hammi,,female,1964-11-25,,هالة الحامي,Hela Hammi,Hela Hammi,هالة الحامي,هالة الحامي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Hela Hammi,,,
Q3196141,Khemaïs Ksila,,Khemais Ksila,Khemaïs Ksila,Khemaïs Ksila,https://upload.wikimedia.org/wikipedia/commons/7/7d/Khmaies_Ksila.JPG,male,1956-05-01,,Khemaïs Ksila,Khemais Ksila,Khemais Ksila,خميس قسيلة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Khemaïs Ksila,,,
Q3218481,Latifa Habachi,Latifa Habachi,Latifa Habachi,Latifa Habachi,Latifa Habachi,https://upload.wikimedia.org/wikipedia/commons/8/8d/Latifa_Habachi.jpg,female,1972-08-13,Latifa,لطيفة الحباشي,Latifa Habachi,Latifa Habachi,لطيفة الحباشي,لطيفة الحباشي,Latifa Habachi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Latifa Habachi,,,
Q3220051,Lazhar Akremi,,Lazhar Akremi,Lazhar Akremi,Lazhar Akremi,https://upload.wikimedia.org/wikipedia/commons/a/a0/Lazher_Akermi.jpg,male,1959-03-06,,لزهر العكرمي,,,لزهر العكرمي,لزهر العكرمي,,,Category:Lazhar Akremi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,Lazhar Akremi,,,
Q3304538,Meherzia Labidi Maïza,,Meherzia Labidi Maïza,Meherzia Labidi Maïza,Meherzia Labidi Maïza,https://upload.wikimedia.org/wikipedia/commons/7/7d/Meherzia_Labidi_Maiza.jpg,female,1963-12-17,,محرزية العبيدي,Meherzia Labidi Maïza,Meherzia Labidi Maïza,محرزية العبيدي,محرزية العبيدي,Meherzia Labidi Maïza,,Category:Meherzia Labidi Maiza,,,,,Mehrezia Labidi,Mehrezia Labidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Meherzia Labidi Maïza,,,
Q3318419,Mohamed Ben Salem,,Mohamed Ben Salem,Mohamed Ben Salem,Mohamed Ben Salem (1953),https://upload.wikimedia.org/wikipedia/commons/8/83/MohamedBenSalemANC2011.jpg,male,1953-02-19,Mohamed,محمد بن سالم (سياسي تونسي),Mohamed Ben Salem,Mohamed Ben Salem,محمد بن سالم,محمد بن سالم (سياسي تونسي),Mohamed Ben Salem,/m/0j_44dv,Category:Mohamed Ben Salem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Mohamed Ben Salem,,,
Q3318530,Mohamed Ennaceur,,Mohamed Ennaceur,Mohamed Ennaceur,Mohamed Ennaceur,https://upload.wikimedia.org/wikipedia/commons/8/88/MohamedEnnaceur.jpg,male,1934-03-21,Mohamed,محمد الناصر (سياسي),,Mohamed Ennaceur,محمد الناصر,محمد الناصر (سياسي),Mohamed Ennaceur,,Category:Mohamed Ennaceur,,,Mohamed Ennaceur,,,,,,,,,,,,,,,,,,Mohamed Ennaceur,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Mohamed Ennaceur,,,
Q3318553,Mohamed Frikha,,Mohamed Frikha,Mohamed Frikha,Mohamed Frikha,https://upload.wikimedia.org/wikipedia/commons/b/bf/Mohamed_Frikha_CandidatEnnahda_2014.JPG,male,1963-12,Mohamed,محمد الفريخة,Mohamed Frikha,Mohamed Frikha,محمد الفريخة,محمد الفريخة,,,Category:Mohamed Frikha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,businessperson,,,,,,,,,,,,Mohamed Frikha,,,
Q3318686,Mohamed Mahjoub,,Mohamed Mahjoub,Mohamed Mahjoub,Mohamed Mahjoub,,male,1924-08-24,Mohamed,محمد محجوب,Mohamed Mahjoub,,محمد محجوب,محمد محجوب,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,association football player,,,,,,,,,,,,Mohamed Mahjoub,,1994,
Q3320447,Moncef Sellami,Moncef Sellami,Moncef Sellami,Moncef Sellami,Moncef Sellami,https://upload.wikimedia.org/wikipedia/commons/f/f9/SellamiCoupeTunisieFootball2009Rades.jpg,male,1941-11-12,Moncef,Moncef Sellami,Moncef Sellami,Moncef Sellami,المنصف السلامي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,businessperson,,,,,,,,,,,,Moncef Sellami,,,
Q3461533,Sahbi Atigue,,Sahbi Atigue,Sahbi Atigue,Sahbi Atigue,https://upload.wikimedia.org/wikipedia/commons/2/28/SahbiAtigpicture.jpg,male,1959-08-14,,الصحبي عتيق,Sahbi Atigue,Sahbi Atigue,الصحبي عتيق,الصحبي عتيق,,,Category:Sahbi Atigue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Sahbi Atigue,,,
Q3470837,Samir Dilou,,Samir Dilou,Samir Dilou,Samir Dilou,https://upload.wikimedia.org/wikipedia/commons/5/59/Dilou.jpg,male,1966,Samir,سمير ديلو,Samir Dilou,Samir Dilou,سمير ديلو,سمير ديلو,Samir Dilou,,Category:Samir Dilou,,,Samir Dilou,Samir Dilou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Samir Dilou,,,
Q3474776,Saïd Aïdi,,Saïd Aïdi,Saïd Aïdi,Saïd Aïdi,https://upload.wikimedia.org/wikipedia/commons/1/1c/Said_Aidi_2.jpg,male,1961-05-08,Sa'id,سعيد العايدي,,,سعيد العايدي,سعيد العايدي,,,Category:Said Aidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,saidaidi,,,,,,,,,,politician,,,,,,,,,,,,Saïd Aïdi,,,
Q3486675,Slim Besbes,,Slim Besbes,Slim Besbes,Slim Besbes,https://upload.wikimedia.org/wikipedia/commons/f/fc/SlimBesbesSep2014.JPG,male,1963-05-07,,سليم بسباس,,Slim Besbes,سليم بسباس,سليم بسباس,,,Category:Slim Besbes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economist,,,,,,,,,,,,Slim Besbes,,,
Q3571481,Yamina Zoghlami,,Yamina Zoghlami,Yamina Zoghlami,Yamina Zoghlami,https://upload.wikimedia.org/wikipedia/commons/f/fa/Yamina_Zoghlami_Cropped.jpg,female,1970-02-28,Yamina,يمينة الزغلامي,Yamina Zoghlami,Yamina Zoghlami,يمينة الزغلامي,يمينة الزغلامي,,,Category:Yamina Zoghlami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Yamina Zoghlami,,,
Q3571955,Yassine Brahim,,Yassine Brahim,Yassine Brahim,Yassine Brahim,https://upload.wikimedia.org/wikipedia/commons/0/04/CroppedYassineBrahim.png,male,1966-02-20,Yassine,ياسين إبراهيم,Yassine Brahim,Yassine Brahim,ياسين إبراهيم,ياسين إبراهيم,Yassine Brahim,,Category:Yassine Brahim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://yassine.brahim.over-blog.com/,Yassine_Brahim,,,,,,,,,/g/120xv2v6,politician,,,,,,,,,,,,Yassine Brahim,,,
Q668526,Noureddine Bhiri,,Noureddine Bhiri,Noureddine Bhiri,Noureddine Bhiri,https://upload.wikimedia.org/wikipedia/commons/2/24/Noureddine_Bhiri.jpg,male,1958-07-10,Noureddine,نور الدين البحيري,Noureddine Bhiri,Noureddine Bhiri,نور الدين البحيري,نور الدين البحيري,Noureddine Bhiri,/m/0j_32s1,Category:Noureddine Bhiri,,,Noureddine Bhiri,Noureddine Bhiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Noureddine Bhiri,,,
Q7961932,Walid Bennani,,Walid Bennani,Walid Bennani,Walid Bennani,https://upload.wikimedia.org/wikipedia/commons/f/f5/Walid_Bennani.jpg,male,1956-11-11,Walid,وليد البناني,Walid Bennani,Walid Bennani,وليد البناني,وليد البناني,Walid Bennani,/m/0hgpzh4,Category:Walid Bennani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Walid Bennani,,,
